,waardeer,waardering,dankbaar,dankbaarheid,dankbaarheid,dankie,dankbaar,dankbaarheid,verplig,skuldgevoel,verpligting,verplig,skuld,verskuldig,verskonend,verskonings,verskoon,verskoning,jammerte,jammer,vergewe my,verskoon my
waardeer,0.9999999999999999,0.9949140861039553,0.9950539402430706,0.9902327737079715,0.9902327737079715,0.9945171736968933,0.9950539402430706,0.9902327737079715,0.9943991927753895,0.9926348428878218,0.9939526633949854,0.9943991927753895,0.9950545006087702,0.9955895591830367,0.9939220127263055,0.9950162995862605,0.9932274401309799,0.9939540241844746,0.9942794437940884,0.9945538457129807,0.9948758369949032,0.9937818499132097
waardering,0.9949140861039553,0.9999999999999997,0.9912967931582173,0.9912412961862864,0.9912412961862864,0.9904269378514589,0.9912967931582173,0.9912412961862864,0.9898905292417467,0.99019091089017,0.9943632662485604,0.9898905292417467,0.9915972786744204,0.9928763639593392,0.9894754114234315,0.9927390010531038,0.9889685357565842,0.9926533497489715,0.9908203061711308,0.9904120608373267,0.9907499576041592,0.98966247934363
dankbaar,0.9950539402430706,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9954693746460277,0.999999999999999,0.9942832376873055,0.9951867829963152,0.9911607471295547,0.9933194715002315,0.9951867829963152,0.9949404587281797,0.9961414753855723,0.9941927565715734,0.995144256376129,0.9934889666936806,0.9936403778834483,0.9924826198258971,0.9937167724612279,0.9939548804813165,0.9948123080127492
dankbaarheid,0.9902327737079715,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9887550835554774,0.9942832376873055,0.9999999999999998,0.9890099968933769,0.9867888819565312,0.9922262976062544,0.9890099968933769,0.9887644715149402,0.9910244798290503,0.9873673242371696,0.9907991111093367,0.9865660378550438,0.990320564315399,0.9872218886063443,0.9866487394758937,0.9879031222092095,0.9881232349620704
dankbaarheid,0.9902327737079715,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9887550835554774,0.9942832376873055,0.9999999999999998,0.9890099968933769,0.9867888819565312,0.9922262976062544,0.9890099968933769,0.9887644715149402,0.9910244798290503,0.9873673242371696,0.9907991111093367,0.9865660378550438,0.990320564315399,0.9872218886063443,0.9866487394758937,0.9879031222092095,0.9881232349620704
dankie,0.9945171736968933,0.9904269378514589,0.9954693746460277,0.9887550835554774,0.9887550835554774,1.0000000000000002,0.9954693746460277,0.9887550835554774,0.9933580699779562,0.9917205226356726,0.9912850309764497,0.9933580699779562,0.9951859338498884,0.9940215508836855,0.9942381381299473,0.993950738065362,0.9936808348670504,0.992149509948812,0.994798946033684,0.9966369772763031,0.9950200485798931,0.9949423134296213
dankbaar,0.9950539402430706,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9954693746460277,0.999999999999999,0.9942832376873055,0.9951867829963152,0.9911607471295547,0.9933194715002315,0.9951867829963152,0.9949404587281797,0.9961414753855723,0.9941927565715734,0.995144256376129,0.9934889666936806,0.9936403778834483,0.9924826198258971,0.9937167724612279,0.9939548804813165,0.9948123080127492
dankbaarheid,0.9902327737079715,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9887550835554774,0.9942832376873055,0.9999999999999998,0.9890099968933769,0.9867888819565312,0.9922262976062544,0.9890099968933769,0.9887644715149402,0.9910244798290503,0.9873673242371696,0.9907991111093367,0.9865660378550438,0.990320564315399,0.9872218886063443,0.9866487394758937,0.9879031222092095,0.9881232349620704
verplig,0.9943991927753895,0.9898905292417467,0.9951867829963152,0.9890099968933769,0.9890099968933769,0.9933580699779562,0.9951867829963152,0.9890099968933769,1.0000000000000007,0.9905108394403283,0.9939269544617624,1.0000000000000007,0.9945244574202469,0.9965046522151864,0.9942321305191149,0.994634878990674,0.9928920139112136,0.9923574329607777,0.9918199527006616,0.9925645134989295,0.9929795175721512,0.9929300254976982
skuldgevoel,0.9926348428878218,0.99019091089017,0.9911607471295547,0.9867888819565312,0.9867888819565312,0.9917205226356726,0.9911607471295547,0.9867888819565312,0.9905108394403283,0.9999999999999991,0.9894409513301515,0.9905108394403283,0.9936839656702332,0.9916273156889962,0.9923306097707649,0.9916713417645227,0.9904361124465695,0.9893848894674113,0.9923648591300744,0.9903643401453038,0.993244367508498,0.9913660248257055
