,vlerësoj,vlerësim,mirënjohës,mirënjohje,mirënjohje,faleminderit,mirënjohës,mirënjohje,mirënjohës,mirënjohje,detyrim,angazhim,ia kam borxh,në borxh ​,i detyruar,penduar,keqardhje,më fal,më falni,kërkim falje,kërkime faljesh,kërkoj falje,më ndjeni
vlerësoj,0.9999999999999996,0.9954593903110704,0.9938153615984554,0.9921275028373053,0.9921275028373053,0.9925391186681914,0.9938153615984554,0.9921275028373053,0.9938153615984558,0.9921275028373051,0.9937108565308677,0.9846188907327508,0.9809217144365309,0.9901642834002303,0.9750223913753638,0.9911303482706814,0.9928868547285175,0.9936659347664085,0.9936266080085795,0.9928383279856449,0.9920068955235889,0.9946829190166486,0.9932829042358312
vlerësim,0.9954593903110704,0.9999999999999989,0.9945107283710046,0.990987906311389,0.990987906311389,0.9950268500543974,0.9945107283710046,0.990987906311389,0.9945107283710035,0.9909879063113877,0.9933732987731545,0.9863599167983917,0.9810150122066463,0.989627335438283,0.9774807460404437,0.9940473044646061,0.9898991895285881,0.992568303104633,0.9931658834902504,0.9932356566433049,0.9928810938976483,0.9929306587400634,0.9918232540589452
mirënjohës,0.9938153615984554,0.9945107283710046,0.9999999999999993,0.9936524214694967,0.9936524214694967,0.9946029710719437,0.9999999999999993,0.9936524214694967,0.9999999999999988,0.9936524214694966,0.9940385123588853,0.9874887808075419,0.9828085615098214,0.9908025627739697,0.9764063849129074,0.9945452581142371,0.9911041612145431,0.9928069242669021,0.9933709999983543,0.993853890096996,0.9937198292388775,0.9934765737052516,0.991460810564241
mirënjohje,0.9921275028373053,0.990987906311389,0.9936524214694967,0.9999999999999998,0.9999999999999998,0.9908764846552074,0.9936524214694967,0.9999999999999998,0.9936524214694966,0.9999999999999997,0.9932190950671174,0.9856391366158871,0.9809973405445362,0.9863739355903969,0.9703867627514322,0.990773209738065,0.9914173924938591,0.9916501803644163,0.9919286960764704,0.9905703708925785,0.9909463976612751,0.9921942275607214,0.9910013387340421
mirënjohje,0.9921275028373053,0.990987906311389,0.9936524214694967,0.9999999999999998,0.9999999999999998,0.9908764846552074,0.9936524214694967,0.9999999999999998,0.9936524214694966,0.9999999999999997,0.9932190950671174,0.9856391366158871,0.9809973405445362,0.9863739355903969,0.9703867627514322,0.990773209738065,0.9914173924938591,0.9916501803644163,0.9919286960764704,0.9905703708925785,0.9909463976612751,0.9921942275607214,0.9910013387340421
faleminderit,0.9925391186681914,0.9950268500543974,0.9946029710719437,0.9908764846552074,0.9908764846552074,0.9999999999999996,0.9946029710719437,0.9908764846552074,0.9946029710719444,0.9908764846552074,0.9937179316251131,0.986845086971017,0.9805543013540671,0.9892204818038335,0.9753790951888638,0.9944157779882623,0.9891584714454625,0.9922480363163829,0.9932332490348655,0.9932886295262844,0.9929081781770469,0.9920598831183685,0.9904898216059309
mirënjohës,0.9938153615984554,0.9945107283710046,0.9999999999999993,0.9936524214694967,0.9936524214694967,0.9946029710719437,0.9999999999999993,0.9936524214694967,0.9999999999999988,0.9936524214694966,0.9940385123588853,0.9874887808075419,0.9828085615098214,0.9908025627739697,0.9764063849129074,0.9945452581142371,0.9911041612145431,0.9928069242669021,0.9933709999983543,0.993853890096996,0.9937198292388775,0.9934765737052516,0.991460810564241
mirënjohje,0.9921275028373053,0.990987906311389,0.9936524214694967,0.9999999999999998,0.9999999999999998,0.9908764846552074,0.9936524214694967,0.9999999999999998,0.9936524214694966,0.9999999999999997,0.9932190950671174,0.9856391366158871,0.9809973405445362,0.9863739355903969,0.9703867627514322,0.990773209738065,0.9914173924938591,0.9916501803644163,0.9919286960764704,0.9905703708925785,0.9909463976612751,0.9921942275607214,0.9910013387340421
mirënjohës,0.9938153615984558,0.9945107283710035,0.9999999999999988,0.9936524214694966,0.9936524214694966,0.9946029710719444,0.9999999999999988,0.9936524214694966,0.9999999999999993,0.9936524214694967,0.9940385123588846,0.9874887808075412,0.9828085615098213,0.9908025627739693,0.9764063849129071,0.9945452581142367,0.9911041612145431,0.9928069242669021,0.9933709999983543,0.993853890096996,0.9937198292388775,0.9934765737052516,0.991460810564241
mirënjohje,0.9921275028373051,0.9909879063113877,0.9936524214694966,0.9999999999999997,0.9999999999999997,0.9908764846552074,0.9936524214694966,0.9999999999999997,0.9936524214694967,0.9999999999999998,0.9932190950671184,0.9856391366158873,0.9809973405445356,0.9863739355903962,0.9703867627514322,0.9907732097380656,0.9914173924938591,0.9916501803644163,0.9919286960764704,0.9905703708925785,0.9909463976612751,0.9921942275607214,0.9910013387340421
