,التقدير,تقدير,الامتنان,امتنان,ممتن,شكر,دين,مديون,التزام,ملزم,مدين,شعور بالالتزام,معتذر,اعتذارات,يعتذر,اعتذار,عذرًا,سامحني,الأسف,آسف
التقدير,1.0000000000000002,0.9941317702427834,0.9932637372431442,0.9867646575780084,0.9923368655667523,0.9895928958092761,0.98945682227051,0.9916208262254422,0.993512704013187,0.9879147490960081,0.990179711416502,0.99409847640509,0.9896977239472464,0.9928172750878796,0.9916522077067151,0.993168064071836,0.9904182058472012,0.989374996225164,0.9924314799950216,0.9904749304981718
تقدير,0.9941317702427834,1.0,0.9938697463523252,0.9898331213851259,0.9949986358979239,0.9942845668370546,0.9940498006276391,0.9937784166021155,0.9943489494598468,0.9912768686066857,0.9922168136040841,0.995103893197913,0.9931944741255969,0.9951644425279348,0.9946960252298878,0.9956411674385833,0.9937172929148865,0.9927956515816438,0.9944952283398366,0.994776935722812
الامتنان,0.9932637372431442,0.9938697463523252,0.9999999999999998,0.9921368058254071,0.9966671107583602,0.9941803188694158,0.9931404027247042,0.9935714114438581,0.9964390983473251,0.991966889975229,0.9921164607684873,0.9955766715052744,0.9947679356045763,0.995632570428303,0.9954921575902979,0.9963874384647453,0.9954223155178333,0.9923116338083628,0.9957061852573738,0.9948407797667087
امتنان,0.9867646575780084,0.9898331213851259,0.9921368058254071,0.9999999999999993,0.9927002836316257,0.9914142504091932,0.9908287536661515,0.9906510943286242,0.9902968929598607,0.9883904454227493,0.9871561032953031,0.9894874685114624,0.9925064050941024,0.9914625677849022,0.9918339518248271,0.9923210684438137,0.9921794292361436,0.9885796424070327,0.9907672914340107,0.9916387550888506
ممتن,0.9923368655667523,0.9949986358979239,0.9966671107583602,0.9927002836316257,0.9999999999999998,0.9958625043498126,0.9960471062999754,0.9955588399957173,0.9957531028405072,0.993232460773877,0.9939078400353376,0.9943638383909205,0.9965275789217553,0.9960699117421161,0.9960331503200511,0.9966162742009985,0.9967272020443512,0.9939860557468425,0.9952249449354855,0.9968998891711565
شكر,0.9895928958092761,0.9942845668370546,0.9941803188694158,0.9914142504091932,0.9958625043498126,0.9999999999999999,0.9942149322543756,0.9919694737939606,0.994139573700328,0.9932769996978886,0.9915893302439679,0.9927042208684894,0.9957801052138084,0.9951468496223341,0.9951968255742617,0.9952002131266539,0.9963940206143764,0.9959150190928001,0.9944209020747801,0.9968157016432576
دين,0.98945682227051,0.9940498006276391,0.9931404027247042,0.9908287536661515,0.9960471062999754,0.9942149322543756,0.9999999999999994,0.996278799965042,0.9919837842072875,0.9912377887519805,0.9925515380215202,0.991518030540353,0.9933345804649618,0.9944866715792003,0.9934948996704405,0.9954203554581749,0.9947578063706257,0.9918559517635692,0.993672024370465,0.9959099974347245
مديون,0.9916208262254422,0.9937784166021155,0.9935714114438581,0.9906510943286242,0.9955588399957173,0.9919694737939606,0.996278799965042,0.9999999999999998,0.9915761718590224,0.9906446073765098,0.992784858037995,0.9914593653096999,0.9918358576632013,0.9951289556165719,0.9922845559437267,0.9956709560391097,0.9935347019813063,0.9907426889980425,0.9936063564997085,0.9948134849504903
التزام,0.993512704013187,0.9943489494598468,0.9964390983473251,0.9902968929598607,0.9957531028405072,0.994139573700328,0.9919837842072875,0.9915761718590224,0.9999999999999999,0.9918095660305022,0.9906678213420195,0.9966952282956117,0.9940152825556375,0.9941568244110704,0.9944767689098343,0.9951796980777244,0.9945114932589669,0.9927185333307301,0.99439650972602,0.993966259944246
ملزم,0.9879147490960081,0.9912768686066857,0.991966889975229,0.9883904454227493,0.993232460773877,0.9932769996978886,0.9912377887519805,0.9906446073765098,0.9918095660305022,0.9999999999999998,0.9911515595374798,0.9898685185475803,0.9928099717385654,0.9911311419018992,0.9922320139212608,0.9919338845447954,0.9943614643479585,0.9934907283424256,0.9922812575537886,0.9948152209332335
مدين,0.990179711416502,0.9922168136040841,0.9921164607684873,0.9871561032953031,0.9939078400353376,0.9915893302439679,0.9925515380215202,0.992784858037995,0.9906678213420195,0.9911515595374798,0.9999999999999997,0.9901089223063543,0.9906974120749739,0.9918240659853298,0.9903208717280416,0.9924624316189016,0.9927631170122716,0.9914050279816228,0.9928372145204769,0.9940167595658346
شعور بالالتزام,0.99409847640509,0.995103893197913,0.9955766715052744,0.9894874685114624,0.9943638383909205,0.9927042208684894,0.991518030540353,0.9914593653096999,0.9966952282956117,0.9898685185475803,0.9901089223063543,0.9999999999999996,0.9924903527285037,0.9952194148479006,0.9947660903664793,0.9959416312311387,0.9930952674966796,0.9908423638710666,0.9930441141745978,0.9925180161957523
معتذر,0.9896977239472464,0.9931944741255969,0.9947679356045763,0.9925064050941024,0.9965275789217553,0.9957801052138084,0.9933345804649618,0.9918358576632013,0.9940152825556375,0.9928099717385654,0.9906974120749739,0.9924903527285037,0.9999999999999997,0.9945033494139819,0.9970140527123115,0.9947966244878468,0.9974511532968763,0.9928253582095682,0.9929237090067157,0.9952372488155933
اعتذارات,0.9928172750878796,0.9951644425279348,0.995632570428303,0.9914625677849022,0.9960699117421161,0.9951468496223341,0.9944866715792003,0.9951289556165719,0.9941568244110704,0.9911311419018992,0.9918240659853298,0.9952194148479006,0.9945033494139819,0.9999999999999993,0.9953178718048385,0.9987573270552805,0.9951898459326034,0.9922182566694424,0.9941656462859534,0.9949827758168416
يعتذر,0.9916522077067151,0.9946960252298878,0.9954921575902979,0.9918339518248271,0.9960331503200511,0.9951968255742617,0.9934948996704405,0.9922845559437267,0.9944767689098343,0.9922320139212608,0.9903208717280416,0.9947660903664793,0.9970140527123115,0.9953178718048385,0.9999999999999996,0.9959914809081982,0.9962378426485874,0.992182928483215,0.9929402323787065,0.9944609671968956
اعتذار,0.993168064071836,0.9956411674385833,0.9963874384647453,0.9923210684438137,0.9966162742009985,0.9952002131266539,0.9954203554581749,0.9956709560391097,0.9951796980777244,0.9919338845447954,0.9924624316189016,0.9959416312311387,0.9947966244878468,0.9987573270552805,0.9959914809081982,1.0000000000000002,0.9960530706632363,0.9924240644204247,0.9945994547630278,0.995473568347196
عذرًا,0.9904182058472012,0.9937172929148865,0.9954223155178333,0.9921794292361436,0.9967272020443512,0.9963940206143764,0.9947578063706257,0.9935347019813063,0.9945114932589669,0.9943614643479585,0.9927631170122716,0.9930952674966796,0.9974511532968763,0.9951898459326034,0.9962378426485874,0.9960530706632363,0.9999999999999989,0.9941257079541825,0.9939125665223836,0.9965843446623158
سامحني,0.989374996225164,0.9927956515816438,0.9923116338083628,0.9885796424070327,0.9939860557468425,0.9959150190928001,0.9918559517635692,0.9907426889980425,0.9927185333307301,0.9934907283424256,0.9914050279816228,0.9908423638710666,0.9928253582095682,0.9922182566694424,0.992182928483215,0.9924240644204247,0.9941257079541825,0.9999999999999996,0.9941159670767568,0.9954481019260285
الأسف,0.9924314799950216,0.9944952283398366,0.9957061852573738,0.9907672914340107,0.9952249449354855,0.9944209020747801,0.993672024370465,0.9936063564997085,0.99439650972602,0.9922812575537886,0.9928372145204769,0.9930441141745978,0.9929237090067157,0.9941656462859534,0.9929402323787065,0.9945994547630278,0.9939125665223836,0.9941159670767568,0.9999999999999999,0.9964780916088838
آسف,0.9904749304981718,0.994776935722812,0.9948407797667087,0.9916387550888506,0.9968998891711565,0.9968157016432576,0.9959099974347245,0.9948134849504903,0.993966259944246,0.9948152209332335,0.9940167595658346,0.9925180161957523,0.9952372488155933,0.9949827758168416,0.9944609671968956,0.995473568347196,0.9965843446623158,0.9954481019260285,0.9964780916088838,0.9999999999999996
