,apreziar,apreziazión,agradezito,agradezimiento,agradezimiento,gracias,agradezito,agradezimiento,endeudada,endeudau,endeudamiento,obrigación,obrigada,obrigau,compromiso,deber,debendo,en deuda,disculpador,disculpadora,disculpas,disculpar,disculpa,perdone,disculpe,sentimiento de pena,lo siento
apreziar,0.9999999999999996,0.9918995642598057,0.9934409332593265,0.9925473184798581,0.9925473184798581,0.9847042670039223,0.9934409332593265,0.9925473184798581,0.9899960247380045,0.9925418421992085,0.9857438795679547,0.9875348714001444,0.9903573527674451,0.9914925745539301,0.9820622254379244,0.993774174594437,0.9934664867894182,0.990846051544435,0.990041554969361,0.992004506751372,0.9920137600301349,0.9891304318301714,0.9890846145652612,0.9934304013596778,0.9926742106851792,0.9925295350150284,0.9922829088995734
apreziazión,0.9918995642598057,0.9999999999999997,0.9884576999808259,0.987139889037097,0.987139889037097,0.9787792212859011,0.9884576999808259,0.987139889037097,0.9905642703093616,0.9902649966114103,0.9846811653561214,0.9868958817663855,0.98701872935067,0.9881050820134445,0.9746192891089517,0.9911201111431854,0.9910364523321438,0.9912832218507663,0.9889355118401365,0.9919092474454215,0.9918230770969768,0.99080856697848,0.989117742676403,0.9900510330489465,0.9922881902040751,0.989033466054683,0.9916006125477768
agradezito,0.9934409332593265,0.9884576999808259,0.9999999999999993,0.9946685494203727,0.9946685494203727,0.9847691835107854,0.9999999999999993,0.9946685494203727,0.9882001554211357,0.9913926991479316,0.9865796405912015,0.9879106240266465,0.9903485945615417,0.9891642508971091,0.9827336039270346,0.9909213445022708,0.9925216472662083,0.9884546645176904,0.9875506273389119,0.9894456410552646,0.9895633336808501,0.9864513525687381,0.9866517570016203,0.9915493058078502,0.989762556216387,0.9917274091689273,0.9908669518529903
agradezimiento,0.9925473184798581,0.987139889037097,0.9946685494203727,0.9999999999999994,0.9999999999999994,0.9883910514881927,0.9946685494203727,0.9999999999999994,0.9847922602906225,0.9892835218200575,0.9899547662269588,0.9903862549791643,0.9874010411376942,0.9891850830205873,0.985331909812181,0.9909336193630758,0.9916276420106148,0.9870692435318484,0.9852362291161726,0.9873324208660651,0.9873681846130924,0.9841653072708619,0.9843593203958382,0.9909394443068907,0.9876686559851098,0.9932422519302061,0.9914022370772144
agradezimiento,0.9925473184798581,0.987139889037097,0.9946685494203727,0.9999999999999994,0.9999999999999994,0.9883910514881927,0.9946685494203727,0.9999999999999994,0.9847922602906225,0.9892835218200575,0.9899547662269588,0.9903862549791643,0.9874010411376942,0.9891850830205873,0.985331909812181,0.9909336193630758,0.9916276420106148,0.9870692435318484,0.9852362291161726,0.9873324208660651,0.9873681846130924,0.9841653072708619,0.9843593203958382,0.9909394443068907,0.9876686559851098,0.9932422519302061,0.9914022370772144
gracias,0.9847042670039223,0.9787792212859011,0.9847691835107854,0.9883910514881927,0.9883910514881927,0.9999999999999993,0.9847691835107854,0.9883910514881927,0.9771285163129905,0.9810710474061567,0.9848033184949453,0.9824052633671828,0.9796747566691402,0.9780798296605141,0.9905515815203583,0.9829357785442681,0.9844075093329553,0.9780087226988213,0.9782804325715693,0.9796490535627476,0.9803744588244233,0.976534725090558,0.9780151814239548,0.982796800925721,0.9814925775478153,0.988045509887354,0.9825203618338261
agradezito,0.9934409332593265,0.9884576999808259,0.9999999999999993,0.9946685494203727,0.9946685494203727,0.9847691835107854,0.9999999999999993,0.9946685494203727,0.9882001554211357,0.9913926991479316,0.9865796405912015,0.9879106240266465,0.9903485945615417,0.9891642508971091,0.9827336039270346,0.9909213445022708,0.9925216472662083,0.9884546645176904,0.9875506273389119,0.9894456410552646,0.9895633336808501,0.9864513525687381,0.9866517570016203,0.9915493058078502,0.989762556216387,0.9917274091689273,0.9908669518529903
agradezimiento,0.9925473184798581,0.987139889037097,0.9946685494203727,0.9999999999999994,0.9999999999999994,0.9883910514881927,0.9946685494203727,0.9999999999999994,0.9847922602906225,0.9892835218200575,0.9899547662269588,0.9903862549791643,0.9874010411376942,0.9891850830205873,0.985331909812181,0.9909336193630758,0.9916276420106148,0.9870692435318484,0.9852362291161726,0.9873324208660651,0.9873681846130924,0.9841653072708619,0.9843593203958382,0.9909394443068907,0.9876686559851098,0.9932422519302061,0.9914022370772144
endeudada,0.9899960247380045,0.9905642703093616,0.9882001554211357,0.9847922602906225,0.9847922602906225,0.9771285163129905,0.9882001554211357,0.9847922602906225,0.9999999999999993,0.9940288277604892,0.983341496046802,0.984937964042884,0.9886251263814623,0.9872904126980703,0.9751173255744816,0.9895982256963123,0.9911734357715352,0.9893669327692192,0.9875915706225993,0.9900029488675816,0.9894756169913771,0.9867102882236096,0.9862077603945286,0.9886230992839649,0.9902313627298328,0.9877817848618049,0.98822444790632
endeudau,0.9925418421992085,0.9902649966114103,0.9913926991479316,0.9892835218200575,0.9892835218200575,0.9810710474061567,0.9913926991479316,0.9892835218200575,0.9940288277604892,0.9999999999999994,0.9858616029261208,0.9865404916776932,0.9877850926923261,0.9930433538630958,0.9779438592245971,0.9911395840457238,0.9922445635536167,0.9906643393820453,0.9887634329158749,0.9912742033343996,0.9913908168219977,0.9880358133446228,0.9874305559314972,0.9905089822660494,0.9917465757107569,0.9896887607696203,0.9904923852494083
endeudamiento,0.9857438795679547,0.9846811653561214,0.9865796405912015,0.9899547662269588,0.9899547662269588,0.9848033184949453,0.9865796405912015,0.9899547662269588,0.983341496046802,0.9858616029261208,0.9999999999999998,0.9944981855826069,0.9852198693863558,0.984494275504883,0.9855692713622866,0.9872903911830997,0.9900238928925126,0.9851799784480342,0.9841438015988463,0.9856226477850807,0.9849601394674878,0.9829370687917136,0.982858522986548,0.9859186901514135,0.9851741103153497,0.9916632470884317,0.9868683723844418
obrigación,0.9875348714001444,0.9868958817663855,0.9879106240266465,0.9903862549791643,0.9903862549791643,0.9824052633671828,0.9879106240266465,0.9903862549791643,0.984937964042884,0.9865404916776932,0.9944981855826069,1.0000000000000004,0.9893856242580203,0.9875188968099956,0.982500076999745,0.9916163130645553,0.9917668251774318,0.9875593125506065,0.984709061308203,0.9868448964055602,0.9863458884526679,0.9847606429279181,0.9842001977692042,0.9885245401296299,0.9869184977806329,0.992993065457705,0.9880419828101605
obrigada,0.9903573527674451,0.98701872935067,0.9903485945615417,0.9874010411376942,0.9874010411376942,0.9796747566691402,0.9903485945615417,0.9874010411376942,0.9886251263814623,0.9877850926923261,0.9852198693863558,0.9893856242580203,0.9999999999999998,0.9876319079458942,0.9797667946382482,0.9889595421139692,0.9903027835924894,0.9863922491934598,0.9855291620005032,0.9868770292902048,0.9859597377304552,0.983546938745504,0.9836791092210427,0.987649643062895,0.9868838004087555,0.9884326556662242,0.9864293558770747
obrigau,0.9914925745539301,0.9881050820134445,0.9891642508971091,0.9891850830205873,0.9891850830205873,0.9780798296605141,0.9891642508971091,0.9891850830205873,0.9872904126980703,0.9930433538630958,0.984494275504883,0.9875188968099956,0.9876319079458942,0.9999999999999993,0.9775191267435962,0.9902605246633133,0.9911258409263604,0.9896663525997662,0.986835763857691,0.9886743764858282,0.9881657293200485,0.9857326323664954,0.9843886207147015,0.9892195766885764,0.9883375013065773,0.9884731301919712,0.9897911305141595
compromiso,0.9820622254379244,0.9746192891089517,0.9827336039270346,0.985331909812181,0.985331909812181,0.9905515815203583,0.9827336039270346,0.985331909812181,0.9751173255744816,0.9779438592245971,0.9855692713622866,0.982500076999745,0.9797667946382482,0.9775191267435962,0.9999999999999993,0.9806706345123706,0.9832013489940399,0.975302499990074,0.9764676679410281,0.9769272584651947,0.976428920732925,0.9727667676695317,0.9747540689945223,0.9797581647900809,0.9778732754315218,0.9864455157430896,0.9780546469191119
deber,0.993774174594437,0.9911201111431854,0.9909213445022708,0.9909336193630758,0.9909336193630758,0.9829357785442681,0.9909213445022708,0.9909336193630758,0.9895982256963123,0.9911395840457238,0.9872903911830997,0.9916163130645553,0.9889595421139692,0.9902605246633133,0.9806706345123706,0.9999999999999996,0.9965847157331156,0.9924068646046983,0.9894962145441911,0.9924187173548458,0.9923290940320881,0.9895420927856107,0.9888064248375875,0.9940352277195345,0.9930803294900821,0.9932771349489629,0.9918401735775642
debendo,0.9934664867894182,0.9910364523321438,0.9925216472662083,0.9916276420106148,0.9916276420106148,0.9844075093329553,0.9925216472662083,0.9916276420106148,0.9911734357715352,0.9922445635536167,0.9900238928925126,0.9917668251774318,0.9903027835924894,0.9911258409263604,0.9832013489940399,0.9965847157331156,0.9999999999999996,0.9927009132694513,0.9915909626103154,0.9939299874049898,0.9930876033729626,0.9904337681896171,0.9895242883208536,0.993492307744443,0.9934705759351559,0.9942093301162515,0.9926924256284703
en deuda,0.990846051544435,0.9912832218507663,0.9884546645176904,0.9870692435318484,0.9870692435318484,0.9780087226988213,0.9884546645176904,0.9870692435318484,0.9893669327692192,0.9906643393820453,0.9851799784480342,0.9875593125506065,0.9863922491934598,0.9896663525997662,0.975302499990074,0.9924068646046983,0.9927009132694513,0.9999999999999998,0.988209964534302,0.9921668028098065,0.9927111011277564,0.990012039696449,0.988758182069519,0.990626659966448,0.9926121095318304,0.9899256827464705,0.9916274363840151
disculpador,0.990041554969361,0.9889355118401365,0.9875506273389119,0.9852362291161726,0.9852362291161726,0.9782804325715693,0.9875506273389119,0.9852362291161726,0.9875915706225993,0.9887634329158749,0.9841438015988463,0.984709061308203,0.9855291620005032,0.986835763857691,0.9764676679410281,0.9894962145441911,0.9915909626103154,0.988209964534302,1.0,0.9979771898391248,0.9950739964046567,0.9953706658076835,0.9959346927937813,0.9878496267471055,0.9954015404692155,0.9877306427505627,0.988995611125995
disculpadora,0.992004506751372,0.9919092474454215,0.9894456410552646,0.9873324208660651,0.9873324208660651,0.9796490535627476,0.9894456410552646,0.9873324208660651,0.9900029488675816,0.9912742033343996,0.9856226477850807,0.9868448964055602,0.9868770292902048,0.9886743764858282,0.9769272584651947,0.9924187173548458,0.9939299874049898,0.9921668028098065,0.9979771898391248,0.9999999999999998,0.9976822366481721,0.996511333009894,0.996592829572401,0.9909535555032782,0.9976384669212556,0.9902191156275866,0.99209710955674
