,գնահատել,գնահատանք,շնորհակալ,շնորհակալություն,շնորհակալություն,շնորհակալ,շնորհակալություն,շնորհակալ եմ,պարտապան,պարտք,պարտավորություն,պարտավորված,պարտավորություն,պարտք,պարտք ունեմ,partk unem),ներողամիտ,ներողություններ,ներողություն,ներեցեք,խղճահարություն,կներեք,ներեցեք ինձ,ներողություն խնդրել
գնահատել,0.9999999999999998,0.994888806231316,0.9922691954024994,0.9912531842634641,0.9912531842634641,0.9922691954024994,0.9912531842634641,0.99111516719389,0.9918485536823927,0.9922204161575869,0.9916280281715493,0.9926154653807994,0.9916280281715493,0.9922204161575869,0.9880734017417787,0.9868763073930189,0.9923777156660638,0.990471374313969,0.9911457909904361,0.9867210499467035,0.9932580365649409,0.9785345190197483,0.9867153765962479,0.9913793864040219
գնահատանք,0.994888806231316,0.9999999999999997,0.993001088482408,0.9929971315687377,0.9929971315687377,0.993001088482408,0.9929971315687377,0.9904308651393982,0.9924240693968844,0.9916774685708736,0.9942152277025972,0.9919033543641287,0.9942152277025972,0.9916774685708736,0.987689989865753,0.9852920812703219,0.9922322563908841,0.9925177867337194,0.9935518027929571,0.9866231345379414,0.9948192694380498,0.9787377194167143,0.9866177235268396,0.990829757007407
շնորհակալ,0.9922691954024994,0.993001088482408,0.9999999999999986,0.9963324824774751,0.9963324824774751,0.9999999999999986,0.9963324824774751,0.9963671520142445,0.9948382241646434,0.9953811940606938,0.9943101889843199,0.9934595023560038,0.9943101889843199,0.9953811940606938,0.9907555686194396,0.9900795600331226,0.9947132317697479,0.9935745828521823,0.9939514162997937,0.9867743435982554,0.995928636089554,0.9782903342100797,0.9905187336331408,0.9942325604735485
շնորհակալություն,0.9912531842634641,0.9929971315687377,0.9963324824774751,0.9999999999999991,0.9999999999999991,0.9963324824774751,0.9999999999999991,0.9944114858062951,0.9941486579690205,0.99376323057594,0.9957023429882931,0.9936349162219358,0.9957023429882931,0.99376323057594,0.9892640415613332,0.9885357192907128,0.9936045638800466,0.9933043239637115,0.9941893703873236,0.9857958475359476,0.9957387904352567,0.9787724375760956,0.9892643712814151,0.9929389679524115
շնորհակալություն,0.9912531842634641,0.9929971315687377,0.9963324824774751,0.9999999999999991,0.9999999999999991,0.9963324824774751,0.9999999999999991,0.9944114858062951,0.9941486579690205,0.99376323057594,0.9957023429882931,0.9936349162219358,0.9957023429882931,0.99376323057594,0.9892640415613332,0.9885357192907128,0.9936045638800466,0.9933043239637115,0.9941893703873236,0.9857958475359476,0.9957387904352567,0.9787724375760956,0.9892643712814151,0.9929389679524115
շնորհակալ,0.9922691954024994,0.993001088482408,0.9999999999999986,0.9963324824774751,0.9963324824774751,0.9999999999999986,0.9963324824774751,0.9963671520142445,0.9948382241646434,0.9953811940606938,0.9943101889843199,0.9934595023560038,0.9943101889843199,0.9953811940606938,0.9907555686194396,0.9900795600331226,0.9947132317697479,0.9935745828521823,0.9939514162997937,0.9867743435982554,0.995928636089554,0.9782903342100797,0.9905187336331408,0.9942325604735485
շնորհակալություն,0.9912531842634641,0.9929971315687377,0.9963324824774751,0.9999999999999991,0.9999999999999991,0.9963324824774751,0.9999999999999991,0.9944114858062951,0.9941486579690205,0.99376323057594,0.9957023429882931,0.9936349162219358,0.9957023429882931,0.99376323057594,0.9892640415613332,0.9885357192907128,0.9936045638800466,0.9933043239637115,0.9941893703873236,0.9857958475359476,0.9957387904352567,0.9787724375760956,0.9892643712814151,0.9929389679524115
շնորհակալ եմ,0.99111516719389,0.9904308651393982,0.9963671520142445,0.9944114858062951,0.9944114858062951,0.9963671520142445,0.9944114858062951,0.9999999999999998,0.9938026860901327,0.9947473353327119,0.9924615334268435,0.9932895585580148,0.9924615334268435,0.9947473353327119,0.9929822908686989,0.9907282868090997,0.9950373210459083,0.9935037865783736,0.993140606770781,0.9888629277756816,0.9950688822609509,0.9808217787549833,0.9928959045178251,0.9947642276983301
պարտապան,0.9918485536823927,0.9924240693968844,0.9948382241646434,0.9941486579690205,0.9941486579690205,0.9948382241646434,0.9941486579690205,0.9938026860901327,0.9999999999999997,0.9960317659788716,0.9948850942773175,0.993282850706386,0.9948850942773175,0.9960317659788716,0.9901399886273262,0.9897763274151503,0.9950337511475338,0.9940884259047543,0.9945831847999995,0.9856132769829962,0.9960149561775206,0.9784400579935681,0.9891194932025891,0.9932777064809529
պարտք,0.9922204161575869,0.9916774685708736,0.9953811940606938,0.99376323057594,0.99376323057594,0.9953811940606938,0.99376323057594,0.9947473353327119,0.9960317659788716,1.0000000000000004,0.9949204972137524,0.9946872995850068,0.9949204972137524,1.0000000000000004,0.9936201225824437,0.9911418582964862,0.9960493325627418,0.9949742704216609,0.9953124212499604,0.98847678471109,0.9966068272047445,0.9811902762899503,0.9917726595463927,0.995432121213436
