,proxongxa),kritoggo),kritaggota),kritaggota),dhonyobad),kritoggo),kritaggota),proxongxa kora),দায়িত্ব,ঋণী,ঋণগ্ৰস্ততা,কৰ্তব্য,বাধ্য,বাধ্যবাধকতা,ঋণত থকা,ঋণী হৈ থকা,ক্ষমাসূচক,ক্ষমা খোজা,ক্ষমা প্ৰাৰ্থনা,ক্ষমা কৰিব,ক্ষমাসূচক প্ৰাৰ্থনাসমূহ,দুখিত ভাব,মাফ কৰিব,মাফ কৰিব
proxongxa),0.9999999999999991,0.9936930970995259,0.9933354097843631,0.9933354097843631,0.9913736201826067,0.9936930970995259,0.9933354097843631,0.997926984318589,0.9838881524192723,0.9894685338925845,0.9891818409817373,0.9815376446915324,0.9870777666714325,0.9886543107466645,0.9883791269822352,0.9889064033989461,0.9909967992143931,0.9903192568413408,0.9871724806791072,0.9895136988795292,0.9849019234507492,0.9892305982580254,0.9895435022451518,0.9895435022451518
kritoggo),0.9936930970995259,0.9999999999999996,0.9988922156563681,0.9988922156563681,0.9963821091246022,0.9999999999999996,0.9988922156563681,0.9927127468059566,0.9861734052459805,0.9918779923482217,0.9899417222307654,0.98354654965506,0.9906159303429576,0.9888804808066859,0.9906766429162542,0.9903914462538735,0.9933366346808133,0.9918705300333661,0.9864509750142582,0.9907692232062362,0.9834580604322529,0.9892869121040587,0.9907799981157843,0.9907799981157843
kritaggota),0.9933354097843631,0.9988922156563681,0.9999999999999999,0.9999999999999999,0.9963541480505653,0.9988922156563681,0.9999999999999999,0.9923434515785724,0.985274084055458,0.9918795001955881,0.9900558021846655,0.9836041522122552,0.9899265847598214,0.9889823951319499,0.9902563624874537,0.9903453711236773,0.9934362819675684,0.9919740749462103,0.986691080509978,0.9907908939182595,0.98356522325991,0.9889043803131596,0.9907387131551633,0.9907387131551633
kritaggota),0.9933354097843631,0.9988922156563681,0.9999999999999999,0.9999999999999999,0.9963541480505653,0.9988922156563681,0.9999999999999999,0.9923434515785724,0.985274084055458,0.9918795001955881,0.9900558021846655,0.9836041522122552,0.9899265847598214,0.9889823951319499,0.9902563624874537,0.9903453711236773,0.9934362819675684,0.9919740749462103,0.986691080509978,0.9907908939182595,0.98356522325991,0.9889043803131596,0.9907387131551633,0.9907387131551633
dhonyobad),0.9913736201826067,0.9963821091246022,0.9963541480505653,0.9963541480505653,0.9999999999999993,0.9963821091246022,0.9963541480505653,0.9909168129617529,0.9853253178652358,0.9913861214024385,0.989329422117549,0.9834235079450383,0.9900961735969891,0.9876068648546722,0.990357760338,0.9902018248984962,0.9927285967179482,0.9914128302322116,0.9862730588826316,0.9908206157585022,0.9833183176479983,0.9884223461636676,0.9911218763939543,0.9911218763939543
kritoggo),0.9936930970995259,0.9999999999999996,0.9988922156563681,0.9988922156563681,0.9963821091246022,0.9999999999999996,0.9988922156563681,0.9927127468059566,0.9861734052459805,0.9918779923482217,0.9899417222307654,0.98354654965506,0.9906159303429576,0.9888804808066859,0.9906766429162542,0.9903914462538735,0.9933366346808133,0.9918705300333661,0.9864509750142582,0.9907692232062362,0.9834580604322529,0.9892869121040587,0.9907799981157843,0.9907799981157843
kritaggota),0.9933354097843631,0.9988922156563681,0.9999999999999999,0.9999999999999999,0.9963541480505653,0.9988922156563681,0.9999999999999999,0.9923434515785724,0.985274084055458,0.9918795001955881,0.9900558021846655,0.9836041522122552,0.9899265847598214,0.9889823951319499,0.9902563624874537,0.9903453711236773,0.9934362819675684,0.9919740749462103,0.986691080509978,0.9907908939182595,0.98356522325991,0.9889043803131596,0.9907387131551633,0.9907387131551633
proxongxa kora),0.997926984318589,0.9927127468059566,0.9923434515785724,0.9923434515785724,0.9909168129617529,0.9927127468059566,0.9923434515785724,0.9999999999999994,0.9824016197620005,0.9896405944943665,0.9899423949425518,0.9802364375180155,0.9870065798474045,0.9902357630850752,0.9894930776544498,0.9904160133270452,0.990939008597073,0.9913025884710885,0.9877170617914635,0.9903730992774147,0.9856214364198428,0.9902389877611779,0.9901568641508185,0.9901568641508185
দায়িত্ব,0.9838881524192723,0.9861734052459805,0.985274084055458,0.985274084055458,0.9853253178652358,0.9861734052459805,0.985274084055458,0.9824016197620005,0.9999999999999992,0.9872074151012312,0.983720553951215,0.9826607876126112,0.9870498729094852,0.9807398759328955,0.9848550142800113,0.9835104154526506,0.9870026619888966,0.9833069032742655,0.9807485457902785,0.985174300951348,0.978337928591632,0.9828234030211359,0.9853672771174616,0.9853672771174616
ঋণী,0.9894685338925845,0.9918779923482217,0.9918795001955881,0.9918795001955881,0.9913861214024385,0.9918779923482217,0.9918795001955881,0.9896405944943665,0.9872074151012312,1.0,0.9960149418225634,0.9876663235741687,0.9942319398179909,0.9927306975154649,0.9966669818128101,0.9965942379826059,0.9963303731924187,0.9940968187312096,0.9906439066515287,0.9952315963519435,0.9876407816354782,0.9915234044381791,0.9946128175897639,0.9946128175897639
