,apreciar,apreciu,agradecida,agradecíu,agradecimientu,agradecimientu,gracies,agradecida,agradecíu,agradecimientu,endeudada,endeudáu,endebedamientu,obligación,obligada,obligáu,compromisu,deber,debiendo,con deuda,arrepentida,arrepentíu,desculpes,desculpar,desculpa,perdona,perdonam,perdón,sentimientu de pena
apreciar,0.9999999999999998,0.9857170384087738,0.986032032348901,0.9836405619221373,0.9860358105791673,0.9860358105791673,0.986504470770025,0.986032032348901,0.9836405619221379,0.9860358105791673,0.9830486743189785,0.9849500312875896,0.9830929267324354,0.9837219604736029,0.9874624211933349,0.9844621684524941,0.9837838614128112,0.9862046802253007,0.9843691862840864,0.9856866420279374,0.9823461145804047,0.9847657962038562,0.9857969733751233,0.9857494173158534,0.9878232109678858,0.9867553530987642,0.9860342111162209,0.9862256030052197,0.9864514246843759
apreciu,0.9857170384087738,0.9999999999999994,0.9891465114921495,0.9958014163641479,0.9913739095996622,0.9913739095996622,0.9888662295143498,0.9891465114921495,0.9958014163641474,0.9913739095996634,0.9881907804879047,0.9936559790531989,0.9907256808953694,0.9854395737073354,0.989722477867571,0.9910667926446067,0.9901853952163595,0.9908808327417393,0.9843938309366075,0.9895486500428329,0.987768684966133,0.9889816559274535,0.989700373351007,0.9899137371698792,0.991260817296824,0.9913970989095217,0.9898109869354877,0.9911866697115437,0.991171835582994
agradecida,0.986032032348901,0.9891465114921495,0.9999999999999999,0.9898394306286907,0.9934954786885445,0.9934954786885445,0.9908775379217182,0.9999999999999999,0.9898394306286907,0.993495478688544,0.9895996343406155,0.9906409185106648,0.9881878495229828,0.9884125576105328,0.9935400862203662,0.9903769646911534,0.9911299610066464,0.9923199821711465,0.9871417939872591,0.9915848566090167,0.9882010783061913,0.9901798007065764,0.9922037536276128,0.9920000103492129,0.9935133707628053,0.9936730930719443,0.9919587073080731,0.9920325382750708,0.9927328403208425
agradecíu,0.9836405619221373,0.9958014163641479,0.9898394306286907,0.9999999999999993,0.9904915518405559,0.9904915518405559,0.9886252382382755,0.9898394306286907,0.9999999999999989,0.9904915518405557,0.9867368105200454,0.9917958042573394,0.9867525385568162,0.9833272952489418,0.9890515409376355,0.9917078206709972,0.9878533844437247,0.9889575875932692,0.9844174393973091,0.9883638814428428,0.9834598189516629,0.9863297062825779,0.9888105452423179,0.9886986820080401,0.9899781247864216,0.9894076760129152,0.9894931542779071,0.9886368022092549,0.9889802771519993
agradecimientu,0.9860358105791673,0.9913739095996622,0.9934954786885445,0.9904915518405559,1.0,1.0,0.9902015627579779,0.9934954786885445,0.9904915518405557,1.0,0.9894799130502665,0.9918358840734363,0.9936243961408275,0.9888721431197861,0.9913972947495118,0.9919775760114372,0.9928461407002135,0.9938406496645464,0.9847032347891566,0.9929342834136352,0.9889884772597847,0.991303067522257,0.9920633758843262,0.9924589329226352,0.9931951298680737,0.9932498260970354,0.9913539639377569,0.9928062975843499,0.9948987703849352
agradecimientu,0.9860358105791673,0.9913739095996622,0.9934954786885445,0.9904915518405559,1.0,1.0,0.9902015627579779,0.9934954786885445,0.9904915518405557,1.0,0.9894799130502665,0.9918358840734363,0.9936243961408275,0.9888721431197861,0.9913972947495118,0.9919775760114372,0.9928461407002135,0.9938406496645464,0.9847032347891566,0.9929342834136352,0.9889884772597847,0.991303067522257,0.9920633758843262,0.9924589329226352,0.9931951298680737,0.9932498260970354,0.9913539639377569,0.9928062975843499,0.9948987703849352
gracies,0.986504470770025,0.9888662295143498,0.9908775379217182,0.9886252382382755,0.9902015627579779,0.9902015627579779,1.0000000000000004,0.9908775379217182,0.988625238238276,0.9902015627579773,0.9856861420156516,0.9885839999697363,0.9868559575167649,0.9848862211427789,0.990017132779065,0.98768798872057,0.9897952098719311,0.9903694898636186,0.9890429368129515,0.9883765719924549,0.9846833646899348,0.9874353755354686,0.9878260902933235,0.9873978283798113,0.9893915033357765,0.9919901893964373,0.9901047829624956,0.9912033554123798,0.9900344037567107
agradecida,0.986032032348901,0.9891465114921495,0.9999999999999999,0.9898394306286907,0.9934954786885445,0.9934954786885445,0.9908775379217182,0.9999999999999999,0.9898394306286907,0.993495478688544,0.9895996343406155,0.9906409185106648,0.9881878495229828,0.9884125576105328,0.9935400862203662,0.9903769646911534,0.9911299610066464,0.9923199821711465,0.9871417939872591,0.9915848566090167,0.9882010783061913,0.9901798007065764,0.9922037536276128,0.9920000103492129,0.9935133707628053,0.9936730930719443,0.9919587073080731,0.9920325382750708,0.9927328403208425
agradecíu,0.9836405619221379,0.9958014163641474,0.9898394306286907,0.9999999999999989,0.9904915518405557,0.9904915518405557,0.988625238238276,0.9898394306286907,0.9999999999999993,0.9904915518405559,0.9867368105200461,0.9917958042573386,0.9867525385568156,0.9833272952489416,0.989051540937636,0.9917078206709969,0.9878533844437247,0.9889575875932692,0.9844174393973091,0.9883638814428428,0.9834598189516629,0.9863297062825779,0.9888105452423179,0.9886986820080401,0.9899781247864216,0.9894076760129152,0.9894931542779071,0.9886368022092549,0.9889802771519993
agradecimientu,0.9860358105791673,0.9913739095996634,0.993495478688544,0.9904915518405557,1.0,1.0,0.9902015627579773,0.993495478688544,0.9904915518405559,1.0,0.9894799130502658,0.9918358840734364,0.9936243961408268,0.9888721431197866,0.9913972947495115,0.9919775760114369,0.9928461407002135,0.9938406496645464,0.9847032347891566,0.9929342834136352,0.9889884772597847,0.991303067522257,0.9920633758843262,0.9924589329226352,0.9931951298680737,0.9932498260970354,0.9913539639377569,0.9928062975843499,0.9948987703849352
endeudada,0.9830486743189785,0.9881907804879047,0.9895996343406155,0.9867368105200454,0.9894799130502665,0.9894799130502665,0.9856861420156516,0.9895996343406155,0.9867368105200461,0.9894799130502658,0.9999999999999993,0.9940288277604892,0.9900147873430959,0.9842016062922013,0.9903112646854941,0.9861804657652298,0.9871625046740575,0.989598225696312,0.9808182207480542,0.9911739271989038,0.9913411896629569,0.9873693339301717,0.9909694348184035,0.9908288430661752,0.990246121103033,0.9885280196554236,0.9892233431608382,0.9872093867356025,0.9883545503383663
endeudáu,0.9849500312875896,0.9936559790531989,0.9906409185106648,0.9917958042573394,0.9918358840734363,0.9918358840734363,0.9885839999697363,0.9906409185106648,0.9917958042573386,0.9918358840734364,0.9940288277604892,0.9999999999999994,0.9935310312077728,0.9865458277062242,0.991004494931353,0.9921137814735786,0.9909678423565501,0.9911395840457237,0.9843165983902347,0.991175123955683,0.9898755962528097,0.9897770560198589,0.9921244156398848,0.9918842134010653,0.9923150997094451,0.9907348050681704,0.9899963356328774,0.990056015128332,0.9918400233611364
endebedamientu,0.9830929267324354,0.9907256808953694,0.9881878495229828,0.9867525385568162,0.9936243961408275,0.9936243961408275,0.9868559575167649,0.9881878495229828,0.9867525385568156,0.9936243961408268,0.9900147873430959,0.9935310312077728,1.0,0.9870033411939425,0.9883008147249869,0.9887811708353673,0.991272946690788,0.9906623835155564,0.9812033508064705,0.99034827913524,0.9895543242888902,0.991078113960379,0.990191107646411,0.9903192504031637,0.9907094226392608,0.9898468364706384,0.9878276490225534,0.9900048123481476,0.9921495822312736
obligación,0.9837219604736029,0.9854395737073354,0.9884125576105328,0.9833272952489418,0.9888721431197861,0.9888721431197861,0.9848862211427789,0.9884125576105328,0.9833272952489416,0.9888721431197866,0.9842016062922013,0.9865458277062242,0.9870033411939425,1.0,0.9920358658977029,0.987305568653211,0.9894026067802033,0.9916174760093761,0.986763098543899,0.9880595490345186,0.9863176893159408,0.986551883555925,0.9861272653945004,0.9862006184659159,0.9880591362727386,0.9919415466507139,0.9867647068838354,0.9909854559363462,0.9907565265158894
obligada,0.9874624211933349,0.989722477867571,0.9935400862203662,0.9890515409376355,0.9913972947495118,0.9913972947495118,0.990017132779065,0.9935400862203662,0.989051540937636,0.9913972947495115,0.9903112646854941,0.991004494931353,0.9883008147249869,0.9920358658977029,0.9999999999999993,0.9924107447043029,0.9906831062086827,0.9934350220332137,0.9867597123580357,0.9921731367776103,0.9901630458239392,0.989963976838382,0.9915042519711128,0.9909584253465935,0.9924257385633025,0.9926236097834908,0.9897711648272083,0.9904810219306464,0.992191150475583
obligáu,0.9844621684524941,0.9910667926446067,0.9903769646911534,0.9917078206709972,0.9919775760114372,0.9919775760114372,0.98768798872057,0.9903769646911534,0.9917078206709969,0.9919775760114369,0.9861804657652298,0.9921137814735786,0.9887811708353673,0.987305568653211,0.9924107447043029,0.9999999999999994,0.9913910699004543,0.9917198129855618,0.9837079468454898,0.9903705622502968,0.9864718321320803,0.990470325327924,0.99080912922309,0.9917686617181949,0.9922728275330608,0.9906434682586198,0.989277076316821,0.9900118357188736,0.9919624648033065
compromisu,0.9837838614128112,0.9901853952163595,0.9911299610066464,0.9878533844437247,0.9928461407002135,0.9928461407002135,0.9897952098719311,0.9911299610066464,0.9878533844437247,0.9928461407002135,0.9871625046740575,0.9909678423565501,0.991272946690788,0.9894026067802033,0.9906831062086827,0.9913910699004543,0.9999999999999991,0.9919828840571532,0.9853210774491604,0.9921436653603835,0.9879136002694879,0.9920352113819135,0.9910630285492197,0.9907491591023748,0.9919592734478596,0.9938303430870625,0.9900518737699732,0.992495649605533,0.9946735298985934
deber,0.9862046802253007,0.9908808327417393,0.9923199821711465,0.9889575875932692,0.9938406496645464,0.9938406496645464,0.9903694898636186,0.9923199821711465,0.9889575875932692,0.9938406496645464,0.989598225696312,0.9911395840457237,0.9906623835155564,0.9916174760093761,0.9934350220332137,0.9917198129855618,0.9919828840571532,0.9999999999999996,0.9851163585123668,0.9935766458554739,0.9915273884789684,0.9912501110613754,0.9911055985916833,0.9918438656917836,0.9924757940577873,0.9934048104169089,0.9919209225347678,0.9930190719778633,0.9931877687033869
