,qiymətləndirmək,qiymətləndirmə,minnətdar,minnətdarlıq,minnətdarlıq,təşəkkür,minnətdar,minnətdarlıq,borclu,borcluluq,öhdəlik,borclu,məcub,öhdəlik,borclu olmaq,borcu var,üzrlər,üzr,bağışlayın,bağışla,məni bağışlayın,üzr istəyən,üzr istəmək,üzr hissi
qiymətləndirmək,0.9999999999999999,0.9975269605515293,0.9928411536356081,0.9915950207356453,0.9915950207356453,0.9892102082838059,0.9928411536356081,0.9915950207356453,0.9915049545903096,0.9915692998703624,0.9942536014939015,0.9915049545903096,0.9926581946637643,0.9942536014939015,0.9892574137356217,0.9855753979874046,0.9907184418569815,0.9903127299359014,0.9906181685428443,0.9910425502406552,0.9887200911942401,0.9936871831586065,0.9953829645044328,0.9930249319732074
qiymətləndirmə,0.9975269605515293,0.9999999999999996,0.9921773782039391,0.9943383691799076,0.9943383691799076,0.9907555286086906,0.9921773782039391,0.9943383691799076,0.991233972412018,0.9937303844695246,0.9935346643080958,0.991233972412018,0.9917499415527317,0.9935346643080958,0.9917761400825729,0.9837725011688672,0.9884709678650858,0.9878491089061847,0.9903929760317282,0.9919265779275007,0.9867523107020852,0.9921652711891009,0.993911764281197,0.993541654470726
minnətdar,0.9928411536356081,0.9921773782039391,0.9999999999999992,0.9939022231956314,0.9939022231956314,0.9898712897412552,0.9999999999999992,0.9939022231956314,0.9892824896016064,0.9910867020610714,0.9937193897328374,0.9892824896016064,0.9941170127414933,0.9937193897328374,0.9909899473314956,0.9851385439881797,0.9908701586414822,0.9898897109358022,0.995158062665737,0.9911537233468402,0.9903137849611455,0.994307919590152,0.9941553489909665,0.9930329959388727
minnətdarlıq,0.9915950207356453,0.9943383691799076,0.9939022231956314,0.9999999999999996,0.9999999999999996,0.9906068490955242,0.9939022231956314,0.9999999999999996,0.9893179976928949,0.9943836430623539,0.9925335254201818,0.9893179976928949,0.9912490062490638,0.9925335254201818,0.9926508255335936,0.9816321607762994,0.9875483566110025,0.9863020164941579,0.9913974500831596,0.9930500696975542,0.9851061110273711,0.9896258497145085,0.991096719424513,0.9934441062083954
minnətdarlıq,0.9915950207356453,0.9943383691799076,0.9939022231956314,0.9999999999999996,0.9999999999999996,0.9906068490955242,0.9939022231956314,0.9999999999999996,0.9893179976928949,0.9943836430623539,0.9925335254201818,0.9893179976928949,0.9912490062490638,0.9925335254201818,0.9926508255335936,0.9816321607762994,0.9875483566110025,0.9863020164941579,0.9913974500831596,0.9930500696975542,0.9851061110273711,0.9896258497145085,0.991096719424513,0.9934441062083954
təşəkkür,0.9892102082838059,0.9907555286086906,0.9898712897412552,0.9906068490955242,0.9906068490955242,0.9999999999999996,0.9898712897412552,0.9906068490955242,0.9854750297234982,0.9908143888598254,0.9908706295798778,0.9854750297234982,0.9910780772882587,0.9908706295798778,0.9901169276594783,0.9821173055352899,0.9861830093249777,0.9853129988740892,0.9882543671411191,0.9881477700117456,0.9817974046823076,0.9883754465764518,0.9897250996314325,0.9897863540007878
minnətdar,0.9928411536356081,0.9921773782039391,0.9999999999999992,0.9939022231956314,0.9939022231956314,0.9898712897412552,0.9999999999999992,0.9939022231956314,0.9892824896016064,0.9910867020610714,0.9937193897328374,0.9892824896016064,0.9941170127414933,0.9937193897328374,0.9909899473314956,0.9851385439881797,0.9908701586414822,0.9898897109358022,0.995158062665737,0.9911537233468402,0.9903137849611455,0.994307919590152,0.9941553489909665,0.9930329959388727
minnətdarlıq,0.9915950207356453,0.9943383691799076,0.9939022231956314,0.9999999999999996,0.9999999999999996,0.9906068490955242,0.9939022231956314,0.9999999999999996,0.9893179976928949,0.9943836430623539,0.9925335254201818,0.9893179976928949,0.9912490062490638,0.9925335254201818,0.9926508255335936,0.9816321607762994,0.9875483566110025,0.9863020164941579,0.9913974500831596,0.9930500696975542,0.9851061110273711,0.9896258497145085,0.991096719424513,0.9934441062083954
borclu,0.9915049545903096,0.991233972412018,0.9892824896016064,0.9893179976928949,0.9893179976928949,0.9854750297234982,0.9892824896016064,0.9893179976928949,0.9999999999999998,0.9920266563127458,0.9929724480687401,0.9999999999999998,0.9910917427665553,0.9929724480687401,0.9863751250549084,0.9893396914233399,0.9880255046892187,0.9893686890567511,0.9870197779641898,0.9925791265534056,0.9820700270151622,0.98674854884364,0.988230891453249,0.9942664119231069
borcluluq,0.9915692998703624,0.9937303844695246,0.9910867020610714,0.9943836430623539,0.9943836430623539,0.9908143888598254,0.9910867020610714,0.9943836430623539,0.9920266563127458,0.9999999999999996,0.9931731620741234,0.9920266563127458,0.9919332540212287,0.9931731620741234,0.9941082706375768,0.9834703607432492,0.9872598499161004,0.9861910887547957,0.9901516816407565,0.9927376782566123,0.9838141694699232,0.9896416217890898,0.9905314445496944,0.9939861827370216
öhdəlik,0.9942536014939015,0.9935346643080958,0.9937193897328374,0.9925335254201818,0.9925335254201818,0.9908706295798778,0.9937193897328374,0.9925335254201818,0.9929724480687401,0.9931731620741234,0.9999999999999989,0.9929724480687401,0.9948233344210652,0.9999999999999989,0.9895308207198563,0.9878958232641453,0.9924126652871221,0.9910079184355252,0.9913720113197496,0.9934041373668892,0.9862208703148966,0.9913437092661548,0.9929572899798765,0.995027971500652
borclu,0.9915049545903096,0.991233972412018,0.9892824896016064,0.9893179976928949,0.9893179976928949,0.9854750297234982,0.9892824896016064,0.9893179976928949,0.9999999999999998,0.9920266563127458,0.9929724480687401,0.9999999999999998,0.9910917427665553,0.9929724480687401,0.9863751250549084,0.9893396914233399,0.9880255046892187,0.9893686890567511,0.9870197779641898,0.9925791265534056,0.9820700270151622,0.98674854884364,0.988230891453249,0.9942664119231069
