,eskertu,eskertza,esker oneko,esker ona,esker ona,esker oneko,esker ona,eskerrik asko,zordun,betebehar,behartuta,betebehar,zorrak izatea,zorra izan,zorretan egon,barkabide,barkamenak,barkamena,barkatu,barkaidazu,barkatu,dolu,barkatu,barkamena eskatu
eskertu,0.9999999999999994,0.9960409160719459,0.9924327133159346,0.9963292902619906,0.9963292902619906,0.9924327133159346,0.9963292902619906,0.9897339273423583,0.993389707223197,0.992793600993566,0.9934509522201358,0.992793600993566,0.9717260608982081,0.9906892744336201,0.9916411056493066,0.9906428287836428,0.9807759046846253,0.9918531364510923,0.9871627532327844,0.9921768472954817,0.9871627532327844,0.9930434583699902,0.9871627532327844,0.9892182187027022
eskertza,0.9960409160719459,1.0,0.9956307458103587,0.9965476382198194,0.9965476382198194,0.9956307458103587,0.9965476382198194,0.9917970011990571,0.995702741887111,0.995698399788145,0.9938423594015061,0.995698399788145,0.9750925622766842,0.9896859652738754,0.9913667291994958,0.9943394085552278,0.9848016245236003,0.9959527263702175,0.9915400978926987,0.9957071006296176,0.9915400978926987,0.9928542891069738,0.9915400978926987,0.9916335997194846
esker oneko,0.9924327133159346,0.9956307458103587,0.9999999999999994,0.9951291883101263,0.9951291883101263,0.9999999999999994,0.9951291883101263,0.9956768685451391,0.9950995751198335,0.9957160779257377,0.9942348130559227,0.9957160779257377,0.9779457987867188,0.9926975270330272,0.9942236866537749,0.9943181895117641,0.9861763477435017,0.9947229377159132,0.9921773382760372,0.9947615250355794,0.9921773382760372,0.991240248343103,0.9921773382760372,0.9934076697129588
esker ona,0.9963292902619906,0.9965476382198194,0.9951291883101263,1.0000000000000002,1.0000000000000002,0.9951291883101263,1.0000000000000002,0.9931462042492434,0.9959215994190042,0.995150626901676,0.9953599779852793,0.995150626901676,0.9741129830666516,0.9925878561873442,0.9930340696798365,0.9936293510146337,0.9826817140117708,0.9943484863565306,0.9894649844605778,0.9941764728106578,0.9894649844605778,0.9948901266525063,0.9894649844605778,0.9909528263242305
esker ona,0.9963292902619906,0.9965476382198194,0.9951291883101263,1.0000000000000002,1.0000000000000002,0.9951291883101263,1.0000000000000002,0.9931462042492434,0.9959215994190042,0.995150626901676,0.9953599779852793,0.995150626901676,0.9741129830666516,0.9925878561873442,0.9930340696798365,0.9936293510146337,0.9826817140117708,0.9943484863565306,0.9894649844605778,0.9941764728106578,0.9894649844605778,0.9948901266525063,0.9894649844605778,0.9909528263242305
esker oneko,0.9924327133159346,0.9956307458103587,0.9999999999999994,0.9951291883101263,0.9951291883101263,0.9999999999999994,0.9951291883101263,0.9956768685451391,0.9950995751198335,0.9957160779257377,0.9942348130559227,0.9957160779257377,0.9779457987867188,0.9926975270330272,0.9942236866537749,0.9943181895117641,0.9861763477435017,0.9947229377159132,0.9921773382760372,0.9947615250355794,0.9921773382760372,0.991240248343103,0.9921773382760372,0.9934076697129588
esker ona,0.9963292902619906,0.9965476382198194,0.9951291883101263,1.0000000000000002,1.0000000000000002,0.9951291883101263,1.0000000000000002,0.9931462042492434,0.9959215994190042,0.995150626901676,0.9953599779852793,0.995150626901676,0.9741129830666516,0.9925878561873442,0.9930340696798365,0.9936293510146337,0.9826817140117708,0.9943484863565306,0.9894649844605778,0.9941764728106578,0.9894649844605778,0.9948901266525063,0.9894649844605778,0.9909528263242305
eskerrik asko,0.9897339273423583,0.9917970011990571,0.9956768685451391,0.9931462042492434,0.9931462042492434,0.9956768685451391,0.9931462042492434,1.0000000000000004,0.9926336925047288,0.9928506162112046,0.9931128665832272,0.9928506162112046,0.9774765959819641,0.9920487202187833,0.9948707827398304,0.9908059122263055,0.9828822548077398,0.9908371147830598,0.9887328469341058,0.9911793913354804,0.9887328469341058,0.989369621898971,0.9887328469341058,0.9917346265847543
zordun,0.993389707223197,0.995702741887111,0.9950995751198335,0.9959215994190042,0.9959215994190042,0.9950995751198335,0.9959215994190042,0.9926336925047288,0.9999999999999996,0.9955260431263518,0.9943245310328545,0.9955260431263518,0.9752888754156684,0.989341109824207,0.9917669045376138,0.9955721264453612,0.9844581852613702,0.995237822248888,0.9928593066885175,0.9956330444247378,0.9928593066885175,0.9926074124762665,0.9928593066885175,0.9910938067017334
betebehar,0.992793600993566,0.995698399788145,0.9957160779257377,0.995150626901676,0.995150626901676,0.9957160779257377,0.995150626901676,0.9928506162112046,0.9955260431263518,0.9999999999999997,0.9952944440935175,0.9999999999999997,0.9760050369971582,0.9895947407431271,0.9918650917589629,0.9949259277058685,0.988009885859081,0.99623628972765,0.9936278837755517,0.9946509827791434,0.9936278837755517,0.9930862397824365,0.9936278837755517,0.994212633365025
