,schätzen,wertschätzung,dankbar,dankbarkeit,dankbarkeit,dankschee,dankbar,dankbarkeit,schuldig,schuldigkeit,verpflichtung,obg'ligd,verpflichtt,verpflichtung,schuidig sei,schuidig hob'n,entschuldigend,entschuldigungen,entschuldigen,entschuldigung,entschuldigung,verzeihung,entschuldigung,bedauern,entschuldigung,verzeih ma
schätzen,0.9999999999999992,0.9958049875425399,0.9931361397614081,0.9921341491086972,0.9921341491086972,0.9955822757607686,0.9931361397614081,0.9921341491086972,0.9942633037205275,0.994279797039066,0.9957369877024017,0.9900877251854234,0.9946859886147832,0.9957369877024017,0.9928958407365795,0.9918910040903306,0.9932016331745762,0.9950896107076767,0.9922015651687597,0.9926108390363342,0.9926108390363342,0.9962164368432973,0.9926108390363342,0.9935860482929119,0.9926108390363342,0.9947316349652672
wertschätzung,0.9958049875425399,0.9999999999999999,0.9931957278716655,0.9946692898424909,0.9946692898424909,0.9949116647463732,0.9931957278716655,0.9946692898424909,0.9951882894802971,0.9965127014549334,0.9977410039319996,0.9889361357722412,0.9946973745579164,0.9977410039319996,0.9924257055808438,0.9916504182902498,0.9940656000112921,0.996448732672978,0.9927716214674418,0.9959400308625465,0.9959400308625465,0.9963078499141483,0.9959400308625465,0.9939928999013147,0.9959400308625465,0.9939187947015143
dankbar,0.9931361397614081,0.9931957278716655,0.9999999999999996,0.994789363567351,0.994789363567351,0.9946622196895645,0.9999999999999996,0.994789363567351,0.9960015889632271,0.9954148815852227,0.9943902608687448,0.9907777900725037,0.9942638133686902,0.9943902608687448,0.9931376698236152,0.9930450584076757,0.9942898810449383,0.9935089143030674,0.9926783267585116,0.9915969366104272,0.9915969366104272,0.9945712721013125,0.9915969366104272,0.9930085650625253,0.9915969366104272,0.9939125036604557
dankbarkeit,0.9921341491086972,0.9946692898424909,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9932584877722686,0.994789363567351,0.9999999999999999,0.9933617104044419,0.9958402099528716,0.9944337506983505,0.985794551242809,0.9915096058145259,0.9944337506983505,0.9894123650974805,0.9881780919754528,0.991287623909385,0.9937696566041223,0.9906627502956281,0.9935527935285706,0.9935527935285706,0.9931988360715769,0.9935527935285706,0.9919961996410862,0.9935527935285706,0.9907150284350409
dankbarkeit,0.9921341491086972,0.9946692898424909,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9932584877722686,0.994789363567351,0.9999999999999999,0.9933617104044419,0.9958402099528716,0.9944337506983505,0.985794551242809,0.9915096058145259,0.9944337506983505,0.9894123650974805,0.9881780919754528,0.991287623909385,0.9937696566041223,0.9906627502956281,0.9935527935285706,0.9935527935285706,0.9931988360715769,0.9935527935285706,0.9919961996410862,0.9935527935285706,0.9907150284350409
dankschee,0.9955822757607686,0.9949116647463732,0.9946622196895645,0.9932584877722686,0.9932584877722686,0.9999999999999992,0.9946622196895645,0.9932584877722686,0.9951220042514657,0.9945321177307705,0.9954831096399782,0.9905105649850217,0.9946022293035331,0.9954831096399782,0.993532440027928,0.9931590908142107,0.9940959945578238,0.9941875399058425,0.9929850171871746,0.9920155843928576,0.9920155843928576,0.9952792144531815,0.9920155843928576,0.9947337291905614,0.9920155843928576,0.9944564139664663
dankbar,0.9931361397614081,0.9931957278716655,0.9999999999999996,0.994789363567351,0.994789363567351,0.9946622196895645,0.9999999999999996,0.994789363567351,0.9960015889632271,0.9954148815852227,0.9943902608687448,0.9907777900725037,0.9942638133686902,0.9943902608687448,0.9931376698236152,0.9930450584076757,0.9942898810449383,0.9935089143030674,0.9926783267585116,0.9915969366104272,0.9915969366104272,0.9945712721013125,0.9915969366104272,0.9930085650625253,0.9915969366104272,0.9939125036604557
dankbarkeit,0.9921341491086972,0.9946692898424909,0.994789363567351,0.9999999999999999,0.9999999999999999,0.9932584877722686,0.994789363567351,0.9999999999999999,0.9933617104044419,0.9958402099528716,0.9944337506983505,0.985794551242809,0.9915096058145259,0.9944337506983505,0.9894123650974805,0.9881780919754528,0.991287623909385,0.9937696566041223,0.9906627502956281,0.9935527935285706,0.9935527935285706,0.9931988360715769,0.9935527935285706,0.9919961996410862,0.9935527935285706,0.9907150284350409
schuldig,0.9942633037205275,0.9951882894802971,0.9960015889632271,0.9933617104044419,0.9933617104044419,0.9951220042514657,0.9960015889632271,0.9933617104044419,1.0,0.9970554996439831,0.995693461396802,0.9897467572335761,0.9957436552669515,0.995693461396802,0.9944387443631837,0.9936610611249265,0.9964927671711565,0.9956289919312372,0.995833353073476,0.9942300008278119,0.9942300008278119,0.9944310859863716,0.9942300008278119,0.9942381394881067,0.9942300008278119,0.9934336262046
schuldigkeit,0.994279797039066,0.9965127014549334,0.9954148815852227,0.9958402099528716,0.9958402099528716,0.9945321177307705,0.9954148815852227,0.9958402099528716,0.9970554996439831,0.9999999999999996,0.9968487664999539,0.9887049351295272,0.9948034812827256,0.9968487664999539,0.993551931754999,0.9928577103076988,0.9949653157573887,0.9971210058218654,0.9935014754043014,0.99624597438568,0.99624597438568,0.9952305843982002,0.99624597438568,0.9940622607257303,0.99624597438568,0.9936992892462657
