,ацаніць,ацэнка,удзячны,удзячнасць,удзячнасць,дзякуй,удзячны,удзячнасць,запазычаны,запазычанасць,абавязак,абавязаны,абавязацельства,вінаваціць,вінны,быць вінны,прабачлівы,прабачэнні,прабачэнне,прабачце,спачуванне,прабач,даруйце мне,прасіць прабачэння
ацаніць,1.0,0.9894404601420228,0.9937351280733685,0.9929712343598406,0.9929712343598406,0.9914704545798756,0.9937351280733685,0.9929712343598406,0.9940149447916364,0.995741377979496,0.9921300125207954,0.9921545240917132,0.9873498499922646,0.9884400378117454,0.9895872468664701,0.9931788596404715,0.9953236531842347,0.9927813420359833,0.9930679840435916,0.9936304306591939,0.9912187958510938,0.9922052166142,0.9913818371011391,0.9953102649682884
ацэнка,0.9894404601420228,0.9999999999999996,0.9873443325732892,0.9883288295371884,0.9883288295371884,0.985213196378766,0.9873443325732892,0.9883288295371884,0.9856688743757123,0.9896047867293114,0.9881049001560848,0.9822249545379278,0.9863460379269118,0.9805507852113906,0.9801119034712461,0.9843059743529692,0.9890497027424724,0.987095221556952,0.988104420996905,0.9870605617689512,0.9863475231290655,0.9880463559307172,0.9812721591096338,0.9885200916832055
удзячны,0.9937351280733685,0.9873443325732892,1.0000000000000002,0.9927529230132389,0.9927529230132389,0.9915150173401206,1.0000000000000002,0.9927529230132389,0.9932974198472097,0.9928803591858866,0.9918154980601002,0.9909139729378869,0.9873985545001347,0.9909617917651965,0.9913732112022117,0.9908090513961456,0.9948757942374173,0.9912464770691829,0.9914276687144415,0.9929035489139342,0.9890563908099933,0.9944180388216348,0.9879734420183108,0.9910971469899108
удзячнасць,0.9929712343598406,0.9883288295371884,0.9927529230132389,0.9999999999999993,0.9999999999999993,0.9891884183437791,0.9927529230132389,0.9999999999999993,0.9893671192945629,0.9968687833234344,0.9908387059541901,0.9861881211987694,0.9887074560613293,0.985483223227625,0.9852395452787474,0.9919420416089043,0.9945756328043782,0.9929555842232531,0.9943360844540596,0.9928261394003728,0.993933797891536,0.9899502377669351,0.9890141631222796,0.9931950472926052
удзячнасць,0.9929712343598406,0.9883288295371884,0.9927529230132389,0.9999999999999993,0.9999999999999993,0.9891884183437791,0.9927529230132389,0.9999999999999993,0.9893671192945629,0.9968687833234344,0.9908387059541901,0.9861881211987694,0.9887074560613293,0.985483223227625,0.9852395452787474,0.9919420416089043,0.9945756328043782,0.9929555842232531,0.9943360844540596,0.9928261394003728,0.993933797891536,0.9899502377669351,0.9890141631222796,0.9931950472926052
дзякуй,0.9914704545798756,0.985213196378766,0.9915150173401206,0.9891884183437791,0.9891884183437791,0.9999999999999992,0.9915150173401206,0.9891884183437791,0.9884742293710631,0.9905360604638841,0.9917136055562706,0.9870583357492981,0.984141416550345,0.9885955869408632,0.9888240263006991,0.9908362757800531,0.9911441474933438,0.9900976092451937,0.9876059179909181,0.9919361655636004,0.9900172083395069,0.9890045997768485,0.9895145954654662,0.9875311640508577
удзячны,0.9937351280733685,0.9873443325732892,1.0000000000000002,0.9927529230132389,0.9927529230132389,0.9915150173401206,1.0000000000000002,0.9927529230132389,0.9932974198472097,0.9928803591858866,0.9918154980601002,0.9909139729378869,0.9873985545001347,0.9909617917651965,0.9913732112022117,0.9908090513961456,0.9948757942374173,0.9912464770691829,0.9914276687144415,0.9929035489139342,0.9890563908099933,0.9944180388216348,0.9879734420183108,0.9910971469899108
удзячнасць,0.9929712343598406,0.9883288295371884,0.9927529230132389,0.9999999999999993,0.9999999999999993,0.9891884183437791,0.9927529230132389,0.9999999999999993,0.9893671192945629,0.9968687833234344,0.9908387059541901,0.9861881211987694,0.9887074560613293,0.985483223227625,0.9852395452787474,0.9919420416089043,0.9945756328043782,0.9929555842232531,0.9943360844540596,0.9928261394003728,0.993933797891536,0.9899502377669351,0.9890141631222796,0.9931950472926052
запазычаны,0.9940149447916364,0.9856688743757123,0.9932974198472097,0.9893671192945629,0.9893671192945629,0.9884742293710631,0.9932974198472097,0.9893671192945629,0.9999999999999999,0.9925628867181191,0.9890319724192472,0.9933575192491103,0.9832813384613214,0.9875474409027599,0.9888112446068582,0.9891963042626327,0.993087365194807,0.9902135969698926,0.9906568300873868,0.9897017870033066,0.9869737245707821,0.9907840249023057,0.9868674241058302,0.9902736166510295
запазычанасць,0.995741377979496,0.9896047867293114,0.9928803591858866,0.9968687833234344,0.9968687833234344,0.9905360604638841,0.9928803591858866,0.9968687833234344,0.9925628867181191,0.9999999999999992,0.9933170561511556,0.9884934863274198,0.9893491566418753,0.9879184223329235,0.9875417296036093,0.9924460022794638,0.994283264818802,0.9930781625398583,0.993527274077534,0.9941159024131428,0.9937868623609553,0.9905605918143193,0.9898218377202226,0.9938125893447157
