,প্রশংসা,কৃতজ্ঞ,কৃতজ্ঞতা,কৃতজ্ঞতা,ধন্যবাদ,কৃতজ্ঞ,কৃতজ্ঞতা,প্রশংসা করা,ঋণী,ঋণগ্রস্ততা,দায়িত্ব,বাধ্যবাধকতা,বাধ্য,বাধ্যবাধকতা,ঋণ থাকা,ঋণী থাকা,ক্ষমাপ্রার্থী,ক্ষমা,দুঃখবোধ,দুঃখিত,ক্ষমা চাওয়া,আমাকে ক্ষমা করবেন,আমাকে ক্ষমা করবেন,ক্ষমাসূচক কথা
প্রশংসা,0.9999999999999996,0.9893821637741532,0.989008593645891,0.989008593645891,0.9892808274706155,0.9893821637741532,0.989008593645891,0.9942417087189329,0.9864609845689336,0.9882159032430131,0.9760911754379333,0.9897366686570837,0.9864436055487453,0.9897366686570837,0.9885489690146037,0.9893501431939524,0.9902985333220655,0.9888828161001808,0.9896226858275331,0.9900141165553169,0.9891174621736368,0.9823207122511577,0.9823207122511577,0.9890126886260369
কৃতজ্ঞ,0.9893821637741532,0.999999999999999,0.9986747867728252,0.9986747867728252,0.9964459644906829,0.999999999999999,0.9986747867728252,0.9930074968248128,0.996192150756209,0.9967130045003687,0.9860985815318828,0.994506391466596,0.9949566135120337,0.994506391466596,0.9958691702048498,0.9965857483750421,0.997050607301693,0.9975851388882085,0.9974491576110167,0.9964798858761134,0.9950058461116609,0.9913676958893387,0.9913676958893387,0.9958062709735043
কৃতজ্ঞতা,0.989008593645891,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.9931585842434281,0.9965337669577043,0.9979904264966851,0.9849553251930196,0.995961476266371,0.9950384202841621,0.995961476266371,0.9961067700291873,0.996819621289024,0.9979171657721417,0.9976947146700227,0.9977873772596849,0.9966127760897199,0.9956141998485192,0.9922857541302171,0.9922857541302171,0.9965803230300038
কৃতজ্ঞতা,0.989008593645891,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.9931585842434281,0.9965337669577043,0.9979904264966851,0.9849553251930196,0.995961476266371,0.9950384202841621,0.995961476266371,0.9961067700291873,0.996819621289024,0.9979171657721417,0.9976947146700227,0.9977873772596849,0.9966127760897199,0.9956141998485192,0.9922857541302171,0.9922857541302171,0.9965803230300038
ধন্যবাদ,0.9892808274706155,0.9964459644906829,0.9971179049280072,0.9971179049280072,0.9999999999999994,0.9964459644906829,0.9971179049280072,0.9922536993947798,0.995188680382544,0.9968417276146907,0.9845217674045954,0.9956703878564214,0.9935752117199445,0.9956703878564214,0.9944366282009512,0.9954587127163488,0.9967325849520028,0.9958651147744911,0.9966933569287582,0.9962547072478519,0.9944861801792642,0.9900747177276484,0.9900747177276484,0.9952990460685639
কৃতজ্ঞ,0.9893821637741532,0.999999999999999,0.9986747867728252,0.9986747867728252,0.9964459644906829,0.999999999999999,0.9986747867728252,0.9930074968248128,0.996192150756209,0.9967130045003687,0.9860985815318828,0.994506391466596,0.9949566135120337,0.994506391466596,0.9958691702048498,0.9965857483750421,0.997050607301693,0.9975851388882085,0.9974491576110167,0.9964798858761134,0.9950058461116609,0.9913676958893387,0.9913676958893387,0.9958062709735043
কৃতজ্ঞতা,0.989008593645891,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.9931585842434281,0.9965337669577043,0.9979904264966851,0.9849553251930196,0.995961476266371,0.9950384202841621,0.995961476266371,0.9961067700291873,0.996819621289024,0.9979171657721417,0.9976947146700227,0.9977873772596849,0.9966127760897199,0.9956141998485192,0.9922857541302171,0.9922857541302171,0.9965803230300038
প্রশংসা করা,0.9942417087189329,0.9930074968248128,0.9931585842434281,0.9931585842434281,0.9922536993947798,0.9930074968248128,0.9931585842434281,0.9999999999999997,0.9908117127631604,0.9927971796658447,0.981311743026431,0.9935418857811483,0.9905373507825866,0.9935418857811483,0.9932220474343453,0.993897518789651,0.9943901013042818,0.9930924654538559,0.9933561475431528,0.994091121810116,0.9939309479423716,0.9885920745684578,0.9885920745684578,0.9929694528924019
ঋণী,0.9864609845689336,0.996192150756209,0.9965337669577043,0.9965337669577043,0.995188680382544,0.996192150756209,0.9965337669577043,0.9908117127631604,1.0,0.996924902766283,0.9872074151012312,0.9927306975154649,0.9942319398179909,0.9927306975154649,0.9959181649620881,0.9964347277371586,0.9960390322387949,0.9961704427258863,0.9960276967014263,0.9954616543428063,0.9925688467613876,0.9914391067821501,0.9914391067821501,0.9941909090456937
ঋণগ্রস্ততা,0.9882159032430131,0.9967130045003687,0.9979904264966851,0.9979904264966851,0.9968417276146907,0.9967130045003687,0.9979904264966851,0.9927971796658447,0.996924902766283,0.9999999999999996,0.9836547525493621,0.9964111883362119,0.9934259620093131,0.9964111883362119,0.9964797864825901,0.9973677824987899,0.9970426336364612,0.9966972469774082,0.9966124359068753,0.9957341043083111,0.9953798762241618,0.9901984702724033,0.9901984702724033,0.9957048345098117
দায়িত্ব,0.9760911754379333,0.9860985815318828,0.9849553251930196,0.9849553251930196,0.9845217674045954,0.9860985815318828,0.9849553251930196,0.981311743026431,0.9872074151012312,0.9836547525493621,0.9999999999999992,0.9807398759328955,0.9870498729094852,0.9807398759328955,0.9852657906464808,0.9848167358122708,0.9852679691755994,0.9857932684923888,0.9860342032632085,0.9864833590646046,0.981724456505082,0.9842604153185569,0.9842604153185569,0.9831389658790515
বাধ্যবাধকতা,0.9897366686570837,0.994506391466596,0.995961476266371,0.995961476266371,0.9956703878564214,0.994506391466596,0.995961476266371,0.9935418857811483,0.9927306975154649,0.9964111883362119,0.9807398759328955,0.9999999999999999,0.9918297120028482,0.9999999999999999,0.9941821012324837,0.9956159985839909,0.9965998423492285,0.9953018660185916,0.9953966307157761,0.9947730673633457,0.9962494198908197,0.9884020213483272,0.9884020213483272,0.9954565228395813
বাধ্য,0.9864436055487453,0.9949566135120337,0.9950384202841621,0.9950384202841621,0.9935752117199445,0.9949566135120337,0.9950384202841621,0.9905373507825866,0.9942319398179909,0.9934259620093131,0.9870498729094852,0.9918297120028482,0.9999999999999993,0.9918297120028482,0.9944688854978434,0.9942712154382223,0.9944718720123942,0.9949628997112905,0.995453337501124,0.9940893167956095,0.9916668963929914,0.9931349860383687,0.9931349860383687,0.9927032423319835
বাধ্যবাধকতা,0.9897366686570837,0.994506391466596,0.995961476266371,0.995961476266371,0.9956703878564214,0.994506391466596,0.995961476266371,0.9935418857811483,0.9927306975154649,0.9964111883362119,0.9807398759328955,0.9999999999999999,0.9918297120028482,0.9999999999999999,0.9941821012324837,0.9956159985839909,0.9965998423492285,0.9953018660185916,0.9953966307157761,0.9947730673633457,0.9962494198908197,0.9884020213483272,0.9884020213483272,0.9954565228395813
ঋণ থাকা,0.9885489690146037,0.9958691702048498,0.9961067700291873,0.9961067700291873,0.9944366282009512,0.9958691702048498,0.9961067700291873,0.9932220474343453,0.9959181649620881,0.9964797864825901,0.9852657906464808,0.9941821012324837,0.9944688854978434,0.9941821012324837,0.9999999999999997,0.9993863181062953,0.996427413344436,0.9965709025095466,0.995539007261838,0.9950835240272713,0.9945826282810145,0.9916241396254107,0.9916241396254107,0.9949937056384837
ঋণী থাকা,0.9893501431939524,0.9965857483750421,0.996819621289024,0.996819621289024,0.9954587127163488,0.9965857483750421,0.996819621289024,0.993897518789651,0.9964347277371586,0.9973677824987899,0.9848167358122708,0.9956159985839909,0.9942712154382223,0.9956159985839909,0.9993863181062953,0.9999999999999998,0.9975349629482526,0.9970426548849055,0.9962855685625899,0.9961163273860848,0.9957136965959419,0.9917945263771437,0.9917945263771437,0.9963687826033887
ক্ষমাপ্রার্থী,0.9902985333220655,0.997050607301693,0.9979171657721417,0.9979171657721417,0.9967325849520028,0.997050607301693,0.9979171657721417,0.9943901013042818,0.9960390322387949,0.9970426336364612,0.9852679691755994,0.9965998423492285,0.9944718720123942,0.9965998423492285,0.996427413344436,0.9975349629482526,0.9999999999999998,0.9976361876539402,0.9972642540047318,0.9967799055264331,0.9964288649395445,0.9928538111814436,0.9928538111814436,0.9980898436753877
ক্ষমা,0.9888828161001808,0.9975851388882085,0.9976947146700227,0.9976947146700227,0.9958651147744911,0.9975851388882085,0.9976947146700227,0.9930924654538559,0.9961704427258863,0.9966972469774082,0.9857932684923888,0.9953018660185916,0.9949628997112905,0.9953018660185916,0.9965709025095466,0.9970426548849055,0.9976361876539402,0.9999999999999997,0.9967067722262831,0.9963356875219086,0.9967699492509,0.9918445607855526,0.9918445607855526,0.9961310070663861
দুঃখবোধ,0.9896226858275331,0.9974491576110167,0.9977873772596849,0.9977873772596849,0.9966933569287582,0.9974491576110167,0.9977873772596849,0.9933561475431528,0.9960276967014263,0.9966124359068753,0.9860342032632085,0.9953966307157761,0.995453337501124,0.9953966307157761,0.995539007261838,0.9962855685625899,0.9972642540047318,0.9967067722262831,0.9999999999999996,0.9976929063112947,0.9952084422649786,0.9921546702013979,0.9921546702013979,0.9955517524951921
দুঃখিত,0.9900141165553169,0.9964798858761134,0.9966127760897199,0.9966127760897199,0.9962547072478519,0.9964798858761134,0.9966127760897199,0.994091121810116,0.9954616543428063,0.9957341043083111,0.9864833590646046,0.9947730673633457,0.9940893167956095,0.9947730673633457,0.9950835240272713,0.9961163273860848,0.9967799055264331,0.9963356875219086,0.9976929063112947,0.9999999999999993,0.9949058624297612,0.9910497713766799,0.9910497713766799,0.9953900698930084
ক্ষমা চাওয়া,0.9891174621736368,0.9950058461116609,0.9956141998485192,0.9956141998485192,0.9944861801792642,0.9950058461116609,0.9956141998485192,0.9939309479423716,0.9925688467613876,0.9953798762241618,0.981724456505082,0.9962494198908197,0.9916668963929914,0.9962494198908197,0.9945826282810145,0.9957136965959419,0.9964288649395445,0.9967699492509,0.9952084422649786,0.9949058624297612,1.0,0.9895999031587499,0.9895999031587499,0.9957863545106929
আমাকে ক্ষমা করবেন,0.9823207122511577,0.9913676958893387,0.9922857541302171,0.9922857541302171,0.9900747177276484,0.9913676958893387,0.9922857541302171,0.9885920745684578,0.9914391067821501,0.9901984702724033,0.9842604153185569,0.9884020213483272,0.9931349860383687,0.9884020213483272,0.9916241396254107,0.9917945263771437,0.9928538111814436,0.9918445607855526,0.9921546702013979,0.9910497713766799,0.9895999031587499,0.9999999999999999,0.9999999999999999,0.9919113471923339
আমাকে ক্ষমা করবেন,0.9823207122511577,0.9913676958893387,0.9922857541302171,0.9922857541302171,0.9900747177276484,0.9913676958893387,0.9922857541302171,0.9885920745684578,0.9914391067821501,0.9901984702724033,0.9842604153185569,0.9884020213483272,0.9931349860383687,0.9884020213483272,0.9916241396254107,0.9917945263771437,0.9928538111814436,0.9918445607855526,0.9921546702013979,0.9910497713766799,0.9895999031587499,0.9999999999999999,0.9999999999999999,0.9919113471923339
ক্ষমাসূচক কথা,0.9890126886260369,0.9958062709735043,0.9965803230300038,0.9965803230300038,0.9952990460685639,0.9958062709735043,0.9965803230300038,0.9929694528924019,0.9941909090456937,0.9957048345098117,0.9831389658790515,0.9954565228395813,0.9927032423319835,0.9954565228395813,0.9949937056384837,0.9963687826033887,0.9980898436753877,0.9961310070663861,0.9955517524951921,0.9953900698930084,0.9957863545106929,0.9919113471923339,0.9919113471923339,0.9999999999999996
