,প্রসংসা,কৃতজ্ঞ,কৃতজ্ঞতা,কৃতজ্ঞতা,ধন্যবাদ,কৃতজ্ঞ,কৃতজ্ঞতা,প্রসংসা করা,ঋণী,ঋণীত্ব,কর্তব্য,বাধ্যবাধকতা,বাধ্য,বাধ্যবাধকতা,ঋণ আছিল,ঋণী অই,ঋণী আছিল,মাফীখোজা,মাফিসমূহ,মাফি,দুঃখ ভাব,মাফ খুজা,মাফ খুরিতু,মাফ খুরিতু,মাফ খুরিতু
প্রসংসা,0.9999999999999993,0.9949398160710515,0.9946753077307264,0.9946753077307264,0.994545290301484,0.9949398160710515,0.9946753077307264,0.9954978065225507,0.9925680353340144,0.9912863841550136,0.9942573948762907,0.9957076753372827,0.9919177094336242,0.9957076753372827,0.9940170720955492,0.9873591734146526,0.9938950666650913,0.9954925700541573,0.9956055246270561,0.9939233939413207,0.9932604427792964,0.9940356962420273,0.9940666256910033,0.9940666256910033,0.9940666256910033
কৃতজ্ঞ,0.9949398160710515,0.999999999999999,0.9986747867728252,0.9986747867728252,0.9964459644906829,0.999999999999999,0.9986747867728252,0.992904421686761,0.996192150756209,0.9956717628880828,0.9954928453431,0.994506391466596,0.9949566135120337,0.994506391466596,0.9968356751449368,0.991874218874466,0.9967357702792828,0.9966178937303485,0.995035564683329,0.9954068744738352,0.9968245629950001,0.9959283308302855,0.9961301950414219,0.9961301950414219,0.9961301950414219
কৃতজ্ঞতা,0.9946753077307264,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.99281951561775,0.9965337669577043,0.9952036697783856,0.9962783079789348,0.995961476266371,0.9950384202841621,0.995961476266371,0.9969455458827671,0.991309813660568,0.996940397525461,0.9967992502626346,0.9954607721610439,0.9954527135645591,0.9970912828825653,0.9958596353511981,0.9957172780793662,0.9957172780793662,0.9957172780793662
কৃতজ্ঞতা,0.9946753077307264,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.99281951561775,0.9965337669577043,0.9952036697783856,0.9962783079789348,0.995961476266371,0.9950384202841621,0.995961476266371,0.9969455458827671,0.991309813660568,0.996940397525461,0.9967992502626346,0.9954607721610439,0.9954527135645591,0.9970912828825653,0.9958596353511981,0.9957172780793662,0.9957172780793662,0.9957172780793662
ধন্যবাদ,0.994545290301484,0.9964459644906829,0.9971179049280072,0.9971179049280072,0.9999999999999994,0.9964459644906829,0.9971179049280072,0.9918227885746148,0.995188680382544,0.9937686317335781,0.9951702532088229,0.9956703878564214,0.9935752117199445,0.9956703878564214,0.9954991484256911,0.9897029141102691,0.9956017129330698,0.9953607108897435,0.994601230053677,0.9940493379622989,0.9952515150779082,0.9941953093218745,0.9946254203179987,0.9946254203179987,0.9946254203179987
কৃতজ্ঞ,0.9949398160710515,0.999999999999999,0.9986747867728252,0.9986747867728252,0.9964459644906829,0.999999999999999,0.9986747867728252,0.992904421686761,0.996192150756209,0.9956717628880828,0.9954928453431,0.994506391466596,0.9949566135120337,0.994506391466596,0.9968356751449368,0.991874218874466,0.9967357702792828,0.9966178937303485,0.995035564683329,0.9954068744738352,0.9968245629950001,0.9959283308302855,0.9961301950414219,0.9961301950414219,0.9961301950414219
কৃতজ্ঞতা,0.9946753077307264,0.9986747867728252,0.9999999999999994,0.9999999999999994,0.9971179049280072,0.9986747867728252,0.9999999999999994,0.99281951561775,0.9965337669577043,0.9952036697783856,0.9962783079789348,0.995961476266371,0.9950384202841621,0.995961476266371,0.9969455458827671,0.991309813660568,0.996940397525461,0.9967992502626346,0.9954607721610439,0.9954527135645591,0.9970912828825653,0.9958596353511981,0.9957172780793662,0.9957172780793662,0.9957172780793662
প্রসংসা করা,0.9954978065225507,0.992904421686761,0.99281951561775,0.99281951561775,0.9918227885746148,0.992904421686761,0.99281951561775,0.9999999999999998,0.9901014342914768,0.9887422763592162,0.9926644720156506,0.9934847477630216,0.9901037610331918,0.9934847477630216,0.9919997602641236,0.9855895441176639,0.991725633712217,0.9936309020805368,0.9937724814418863,0.9919549924543188,0.9918856726064844,0.9923514064365309,0.9923408066392431,0.9923408066392431,0.9923408066392431
ঋণী,0.9925680353340144,0.996192150756209,0.9965337669577043,0.9965337669577043,0.995188680382544,0.996192150756209,0.9965337669577043,0.9901014342914768,1.0,0.9979613364090788,0.9933285381244807,0.9927306975154649,0.9942319398179909,0.9927306975154649,0.9967867675125424,0.9939108273801713,0.996603898806314,0.9953036649132558,0.9937243549127555,0.9949981957380276,0.9952569798993818,0.9938593864483798,0.9938975469442191,0.9938975469442191,0.9938975469442191
ঋণীত্ব,0.9912863841550136,0.9956717628880828,0.9952036697783856,0.9952036697783856,0.9937686317335781,0.9956717628880828,0.9952036697783856,0.9887422763592162,0.9979613364090788,1.0000000000000004,0.9916132662128471,0.9916694934553093,0.9928400829091353,0.9916694934553093,0.9954708740341147,0.9929300015162901,0.9951025580020578,0.9932853471705975,0.9919720244796942,0.9928369427747061,0.9938600887761143,0.99237398619724,0.9926890150410065,0.9926890150410065,0.9926890150410065
কর্তব্য,0.9942573948762907,0.9954928453431,0.9962783079789348,0.9962783079789348,0.9951702532088229,0.9954928453431,0.9962783079789348,0.9926644720156506,0.9933285381244807,0.9916132662128471,0.9999999999999998,0.9953536039803912,0.9913571889758654,0.9953536039803912,0.9936726860893571,0.9860761159294131,0.993509844934729,0.9950499370799357,0.9952688439376092,0.9935003355472586,0.9936306727531637,0.9940938737083252,0.9937945150789593,0.9937945150789593,0.9937945150789593
বাধ্যবাধকতা,0.9957076753372827,0.994506391466596,0.995961476266371,0.995961476266371,0.9956703878564214,0.994506391466596,0.995961476266371,0.9934847477630216,0.9927306975154649,0.9916694934553093,0.9953536039803912,0.9999999999999999,0.9918297120028482,0.9999999999999999,0.994090957913188,0.9855091671768637,0.9942246305214177,0.9950376187461473,0.9951489300304565,0.9927445161207339,0.9935854522328541,0.9936523756818001,0.9933077605799692,0.9933077605799692,0.9933077605799692
বাধ্য,0.9919177094336242,0.9949566135120337,0.9950384202841621,0.9950384202841621,0.9935752117199445,0.9949566135120337,0.9950384202841621,0.9901037610331918,0.9942319398179909,0.9928400829091353,0.9913571889758654,0.9918297120028482,0.9999999999999993,0.9918297120028482,0.995389399259822,0.9913905976002856,0.9952357628103052,0.9941431867681926,0.9915466813129757,0.9934514474507008,0.9954928848969385,0.9922838748568951,0.9922445895138441,0.9922445895138441,0.9922445895138441
বাধ্যবাধকতা,0.9957076753372827,0.994506391466596,0.995961476266371,0.995961476266371,0.9956703878564214,0.994506391466596,0.995961476266371,0.9934847477630216,0.9927306975154649,0.9916694934553093,0.9953536039803912,0.9999999999999999,0.9918297120028482,0.9999999999999999,0.994090957913188,0.9855091671768637,0.9942246305214177,0.9950376187461473,0.9951489300304565,0.9927445161207339,0.9935854522328541,0.9936523756818001,0.9933077605799692,0.9933077605799692,0.9933077605799692
ঋণ আছিল,0.9940170720955492,0.9968356751449368,0.9969455458827671,0.9969455458827671,0.9954991484256911,0.9968356751449368,0.9969455458827671,0.9919997602641236,0.9967867675125424,0.9954708740341147,0.9936726860893571,0.994090957913188,0.995389399259822,0.994090957913188,0.9999999999999991,0.9929124382699618,0.99960769710901,0.9960171640407457,0.9945139421523941,0.9952797614963883,0.9968653265291298,0.9952391698293583,0.9955564419635694,0.9955564419635694,0.9955564419635694
ঋণী অই,0.9873591734146526,0.991874218874466,0.991309813660568,0.991309813660568,0.9897029141102691,0.991874218874466,0.991309813660568,0.9855895441176639,0.9939108273801713,0.9929300015162901,0.9860761159294131,0.9855091671768637,0.9913905976002856,0.9855091671768637,0.9929124382699618,0.9999999999999989,0.993052119738644,0.9904381853538634,0.987885375909902,0.9897653436061563,0.9912260820429628,0.9878668277785896,0.9889391515089223,0.9889391515089223,0.9889391515089223
ঋণী আছিল,0.9938950666650913,0.9967357702792828,0.996940397525461,0.996940397525461,0.9956017129330698,0.9967357702792828,0.996940397525461,0.991725633712217,0.996603898806314,0.9951025580020578,0.993509844934729,0.9942246305214177,0.9952357628103052,0.9942246305214177,0.99960769710901,0.993052119738644,0.9999999999999994,0.9963217055091695,0.994829098187175,0.9955740129728232,0.9970324254081815,0.9956060596872067,0.995691780533776,0.995691780533776,0.9956917805337742
মাফীখোজা,0.9954925700541573,0.9966178937303485,0.9967992502626346,0.9967992502626346,0.9953607108897435,0.9966178937303485,0.9967992502626346,0.9936309020805368,0.9953036649132558,0.9932853471705975,0.9950499370799357,0.9950376187461473,0.9941431867681926,0.9950376187461473,0.9960171640407457,0.9904381853538634,0.9963217055091695,1.0,0.9969836071738848,0.9974606427574131,0.9957684668373203,0.9970287779732845,0.9963743043805473,0.9963743043805473,0.9963743043805462
মাফিসমূহ,0.9956055246270561,0.995035564683329,0.9954607721610439,0.9954607721610439,0.994601230053677,0.995035564683329,0.9954607721610439,0.9937724814418863,0.9937243549127555,0.9919720244796942,0.9952688439376092,0.9951489300304565,0.9915466813129757,0.9951489300304565,0.9945139421523941,0.987885375909902,0.994829098187175,0.9969836071738848,0.9999999999999993,0.9970766639101415,0.9946463013482807,0.9970909190241458,0.9960415954233863,0.9960415954233863,0.9960415954233857
মাফি,0.9939233939413207,0.9954068744738352,0.9954527135645591,0.9954527135645591,0.9940493379622989,0.9954068744738352,0.9954527135645591,0.9919549924543188,0.9949981957380276,0.9928369427747061,0.9935003355472586,0.9927445161207339,0.9934514474507008,0.9927445161207339,0.9952797614963883,0.9897653436061563,0.9955740129728232,0.9974606427574131,0.9970766639101415,1.0000000000000002,0.9953921172770227,0.9980205385585178,0.9963988234179456,0.9963988234179456,0.9963988234179447
দুঃখ ভাব,0.9932604427792964,0.9968245629950001,0.9970912828825653,0.9970912828825653,0.9952515150779082,0.9968245629950001,0.9970912828825653,0.9918856726064844,0.9952569798993818,0.9938600887761143,0.9936306727531637,0.9935854522328541,0.9954928848969385,0.9935854522328541,0.9968653265291298,0.9912260820429628,0.9970324254081815,0.9957684668373203,0.9946463013482807,0.9953921172770227,0.9999999999999993,0.9954629271809217,0.9955913225103686,0.9955913225103686,0.995591322510368
মাফ খুজা,0.9940356962420273,0.9959283308302855,0.9958596353511981,0.9958596353511981,0.9941953093218745,0.9959283308302855,0.9958596353511981,0.9923514064365309,0.9938593864483798,0.99237398619724,0.9940938737083252,0.9936523756818001,0.9922838748568951,0.9936523756818001,0.9952391698293583,0.9878668277785896,0.9956060596872067,0.9970287779732845,0.9970909190241458,0.9980205385585178,0.9954629271809217,0.9999999999999999,0.9979923639839182,0.9979923639839182,0.997992363983919
মাফ খুরিতু,0.9940666256910033,0.9961301950414219,0.9957172780793662,0.9957172780793662,0.9946254203179987,0.9961301950414219,0.9957172780793662,0.9923408066392431,0.9938975469442191,0.9926890150410065,0.9937945150789593,0.9933077605799692,0.9922445895138441,0.9933077605799692,0.9955564419635694,0.9889391515089223,0.995691780533776,0.9963743043805473,0.9960415954233863,0.9963988234179456,0.9955913225103686,0.9979923639839182,1.0,1.0,0.9999999999999996
মাফ খুরিতু,0.9940666256910033,0.9961301950414219,0.9957172780793662,0.9957172780793662,0.9946254203179987,0.9961301950414219,0.9957172780793662,0.9923408066392431,0.9938975469442191,0.9926890150410065,0.9937945150789593,0.9933077605799692,0.9922445895138441,0.9933077605799692,0.9955564419635694,0.9889391515089223,0.995691780533776,0.9963743043805473,0.9960415954233863,0.9963988234179456,0.9955913225103686,0.9979923639839182,1.0,1.0,0.9999999999999996
মাফ খুরিতু,0.9940666256910033,0.9961301950414219,0.9957172780793662,0.9957172780793662,0.9946254203179987,0.9961301950414219,0.9957172780793662,0.9923408066392431,0.9938975469442191,0.9926890150410065,0.9937945150789593,0.9933077605799692,0.9922445895138441,0.9933077605799692,0.9955564419635694,0.9889391515089223,0.9956917805337742,0.9963743043805462,0.9960415954233857,0.9963988234179447,0.995591322510368,0.997992363983919,0.9999999999999996,0.9999999999999996,1.0
