,cijeniti,cijenjenje,zahvalan,zahvalna,zahvalnost,zahvalnost,hvala,zahvalan,zahvalna,zahvalnost,zadužen,zadužena,zaduženost,obaveza,obavezan,obavezna,obaveza,dugovati,dugujem,u dugu,izvinjavajući,izvinjenja,izvinjenje,izvini,oprosti,oprosti,žaljenje,izvini,izvinjavati se
cijeniti,0.9999999999999992,0.9923723623236785,0.9886638351088266,0.9876789838104892,0.990398387382233,0.990398387382233,0.9864627254260093,0.9886638351088266,0.9876789838104895,0.9903983873822343,0.9910141948329418,0.9907414823203882,0.9897672251070001,0.9881663123480492,0.9897753244817832,0.9875122418979803,0.9881663123480492,0.9906432411120917,0.9910129267077128,0.991237905904122,0.9914652959191599,0.9861446226189914,0.9908808204044254,0.9866523392037807,0.9914613524947136,0.9914613524947136,0.991741717297374,0.9866523392037807,0.9925527941958613
cijenjenje,0.9923723623236785,0.9999999999999998,0.9910802107826843,0.9893971172748558,0.9936373356843509,0.9936373356843509,0.991147572877328,0.9910802107826843,0.9893971172748574,0.9936373356843501,0.9914271383837351,0.9911113454154717,0.9941015380931302,0.9920570904983748,0.9934377538157977,0.9902753124419188,0.9920570904983748,0.9936454601000028,0.9920161927911629,0.9908503575940324,0.9933847446685312,0.9915468371755775,0.9967748685266484,0.989535284775948,0.9919599620918869,0.9919599620918869,0.9959720294584968,0.989535284775948,0.9907222795370496
zahvalan,0.9886638351088266,0.9910802107826843,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9941078109754036,0.9960080691277784,0.9920065889840181,0.9941078109754036,0.993380386561626,0.9928182288362635,0.9914530423559721,0.9917932183583815,0.9860455057633586,0.9914123672855675,0.9883162718241995,0.9930570117442498,0.9930570117442498,0.9921997743474661,0.9883162718241995,0.9901482094995754
zahvalna,0.9876789838104892,0.9893971172748558,0.9944306777245904,1.0,0.9968267524379455,0.9968267524379455,0.988625060380875,0.9944306777245904,0.9999999999999994,0.996826752437946,0.994452701203919,0.9958128538469897,0.992222648328642,0.9940661684105926,0.9938495367108621,0.9949866580224829,0.9940661684105926,0.9918934964692131,0.9924382179247064,0.9932331975227164,0.9926442940007415,0.9860386494230567,0.9897754652729006,0.9893343391678282,0.9932090927343042,0.9932090927343042,0.9916002041355332,0.9893343391678282,0.9902859450299234
zahvalnost,0.990398387382233,0.9936373356843509,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9955689597781788,0.9954106724106008,0.9948037156418803,0.9955689597781788,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9901565554078456,0.995061933684167,0.995061933684167,0.9942981113913095,0.9901565554078456,0.9918770479814675
zahvalnost,0.990398387382233,0.9936373356843509,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9955689597781788,0.9954106724106008,0.9948037156418803,0.9955689597781788,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9901565554078456,0.995061933684167,0.995061933684167,0.9942981113913095,0.9901565554078456,0.9918770479814675
hvala,0.9864627254260093,0.991147572877328,0.9915072756177907,0.988625060380875,0.9915394952006655,0.9915394952006655,0.9999999999999998,0.9915072756177907,0.9886250603808746,0.9915394952006662,0.9889282344523258,0.9890808404423194,0.9904236449117894,0.9917698984634306,0.9931934033252902,0.9891727168652207,0.9917698984634306,0.9928212216198934,0.9907363757945212,0.989375035155157,0.9903791478075347,0.9875803669190429,0.9915538545630271,0.9868462952138606,0.9902504121962188,0.9902504121962188,0.9918456913414537,0.9868462952138606,0.9870455120249416
zahvalan,0.9886638351088266,0.9910802107826843,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9941078109754036,0.9960080691277784,0.9920065889840181,0.9941078109754036,0.993380386561626,0.9928182288362635,0.9914530423559721,0.9917932183583815,0.9860455057633586,0.9914123672855675,0.9883162718241995,0.9930570117442498,0.9930570117442498,0.9921997743474661,0.9883162718241995,0.9901482094995754
zahvalna,0.9876789838104895,0.9893971172748574,0.9944306777245907,0.9999999999999994,0.996826752437946,0.996826752437946,0.9886250603808746,0.9944306777245907,1.0,0.9968267524379455,0.9944527012039186,0.9958128538469898,0.992222648328641,0.9940661684105937,0.993849536710863,0.9949866580224836,0.9940661684105926,0.9918934964692131,0.9924382179247064,0.9932331975227164,0.9926442940007415,0.9860386494230567,0.9897754652729006,0.9893343391678282,0.9932090927343042,0.9932090927343042,0.9916002041355332,0.9893343391678282,0.9902859450299234
zahvalnost,0.9903983873822343,0.9936373356843501,0.9951732459721471,0.996826752437946,1.000000000000001,1.000000000000001,0.9915394952006662,0.9951732459721471,0.9968267524379455,0.9999999999999999,0.99409013515372,0.9951111967027528,0.996509759471156,0.9955689597781785,0.995410672410601,0.9948037156418804,0.9955689597781788,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940997697831853,0.9875135747145928,0.993271424199554,0.9901565554078456,0.995061933684167,0.995061933684167,0.9942981113913095,0.9901565554078456,0.9918770479814675
zadužen,0.9910141948329418,0.9914271383837351,0.9931549608089065,0.994452701203919,0.9940901351537192,0.9940901351537192,0.9889282344523258,0.9931549608089065,0.9944527012039186,0.99409013515372,0.9999999999999991,0.9978507699562129,0.9933668293720498,0.9927520759069504,0.9940314064901056,0.9932774191552434,0.9927520759069502,0.9935526500759894,0.9942483327365534,0.9942506710765928,0.9945742249882251,0.9896900148491212,0.9918279610803701,0.9903348734289257,0.9927477145378583,0.9927477145378583,0.9935223845300806,0.9903348734289257,0.9909561774777177
zadužena,0.9907414823203882,0.9911113454154717,0.9924972498804462,0.9958128538469897,0.9951111967027533,0.9951111967027533,0.9890808404423194,0.9924972498804462,0.9958128538469898,0.9951111967027528,0.9978507699562129,0.9999999999999999,0.9941363626758624,0.9934573125224817,0.9935261995637112,0.9945730789838503,0.9934573125224818,0.992435087049168,0.9933040797811492,0.9942206509695296,0.9941281002691135,0.9889991465062311,0.9910363321847432,0.9889976574299794,0.992611595676547,0.992611595676547,0.9927386626535296,0.9889976574299794,0.9913987467183668
zaduženost,0.9897672251070001,0.9941015380931302,0.9923488292030352,0.992222648328642,0.9965097594711553,0.9965097594711553,0.9904236449117894,0.9923488292030352,0.992222648328641,0.996509759471156,0.9933668293720498,0.9941363626758624,0.9999999999999991,0.9935380538967769,0.9943466419302048,0.992304313366333,0.9935380538967762,0.9933153729623924,0.9920274828721435,0.9910671342029982,0.9930872933250577,0.9873484108833873,0.9932710459347343,0.9883080799516663,0.9928236286152095,0.9928236286152095,0.9933643434625273,0.9883080799516663,0.9901688437010415
obaveza,0.9881663123480492,0.9920570904983748,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9955689597781788,0.9917698984634306,0.9941078109754036,0.9940661684105937,0.9955689597781785,0.9927520759069504,0.9934573125224817,0.9935380538967769,1.0,0.9973474237111944,0.9968885404060022,0.9999999999999996,0.9918981348274225,0.9917531502241317,0.9906068388340461,0.9917693507976965,0.9889814422614452,0.9919549085710603,0.9887715804112008,0.9916771975898738,0.9916771975898738,0.993073362755827,0.9887715804112008,0.9897604439497822
obavezan,0.9897753244817832,0.9934377538157977,0.9960080691277784,0.9938495367108621,0.9954106724106008,0.9954106724106008,0.9931934033252902,0.9960080691277784,0.993849536710863,0.995410672410601,0.9940314064901056,0.9935261995637112,0.9943466419302048,0.9973474237111944,0.9999999999999992,0.9959585389316064,0.9973474237111946,0.9946149520748699,0.993238871409635,0.9924083561300355,0.9938290790598787,0.9894174053387663,0.9938811586334276,0.9900900797155043,0.993918134375418,0.993918134375418,0.994685501725202,0.9900900797155043,0.9914412524637531
obavezna,0.9875122418979803,0.9902753124419188,0.9920065889840181,0.9949866580224829,0.9948037156418803,0.9948037156418803,0.9891727168652207,0.9920065889840181,0.9949866580224836,0.9948037156418804,0.9932774191552434,0.9945730789838503,0.992304313366333,0.9968885404060022,0.9959585389316064,0.9999999999999994,0.9968885404060028,0.9907945763898797,0.9905348866941738,0.9910796619489034,0.9933128280918534,0.987133648583135,0.9904006902138093,0.9875340679908016,0.9915096507163724,0.9915096507163724,0.9918409017592893,0.9875340679908016,0.9901942413991541
obaveza,0.9881663123480492,0.9920570904983748,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9955689597781788,0.9917698984634306,0.9941078109754036,0.9940661684105926,0.9955689597781788,0.9927520759069502,0.9934573125224818,0.9935380538967762,0.9999999999999996,0.9973474237111946,0.9968885404060028,1.0,0.9918981348274226,0.9917531502241311,0.9906068388340453,0.9917693507976963,0.9889814422614461,0.9919549085710608,0.9887715804112012,0.9916771975898738,0.9916771975898738,0.993073362755827,0.9887715804112008,0.9897604439497822
dugovati,0.9906432411120917,0.9936454601000028,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9941817083269165,0.9928212216198934,0.993380386561626,0.9918934964692131,0.9941817083269165,0.9935526500759894,0.992435087049168,0.9933153729623924,0.9918981348274225,0.9946149520748699,0.9907945763898797,0.9918981348274226,0.9999999999999996,0.9941697001935467,0.9932907089810767,0.9940415654546725,0.9888287117567162,0.9940629338709757,0.991306140158871,0.9943268083698672,0.9943268083698672,0.9942777369238142,0.9913061401588711,0.9911174964471555
dugujem,0.9910129267077128,0.9920161927911629,0.9928182288362635,0.9924382179247064,0.9935731287360314,0.9935731287360314,0.9907363757945212,0.9928182288362635,0.9924382179247064,0.9935731287360314,0.9942483327365534,0.9933040797811492,0.9920274828721435,0.9917531502241317,0.993238871409635,0.9905348866941738,0.9917531502241311,0.9941697001935467,0.9999999999999999,0.9943868041555741,0.9927446660700753,0.9875339918768549,0.9927219123780747,0.9898318237849686,0.9935854071710828,0.9935854071710828,0.9938796684702265,0.9898318237849674,0.9905267147967399
u dugu,0.991237905904122,0.9908503575940324,0.9914530423559721,0.9932331975227164,0.993609375986505,0.993609375986505,0.989375035155157,0.9914530423559721,0.9932331975227164,0.993609375986505,0.9942506710765928,0.9942206509695296,0.9910671342029982,0.9906068388340461,0.9924083561300355,0.9910796619489034,0.9906068388340453,0.9932907089810767,0.9943868041555741,1.0,0.9927994237099513,0.9856262045783107,0.9906591747049276,0.9895621101013747,0.9931886081428148,0.9931886081428148,0.992925004887857,0.9895621101013745,0.9903522753166688
izvinjavajući,0.9914652959191599,0.9933847446685312,0.9917932183583815,0.9926442940007415,0.9940997697831853,0.9940997697831853,0.9903791478075347,0.9917932183583815,0.9926442940007415,0.9940997697831853,0.9945742249882251,0.9941281002691135,0.9930872933250577,0.9917693507976965,0.9938290790598787,0.9933128280918534,0.9917693507976963,0.9940415654546725,0.9927446660700753,0.9927994237099513,0.9999999999999998,0.9895992124798614,0.9937187209263518,0.9907935086972208,0.9938708408597288,0.9938708408597288,0.9938803416539402,0.9907935086972209,0.9929171091434283
izvinjenja,0.9861446226189914,0.9915468371755775,0.9860455057633586,0.9860386494230567,0.9875135747145928,0.9875135747145928,0.9875803669190429,0.9860455057633586,0.9860386494230567,0.9875135747145928,0.9896900148491212,0.9889991465062311,0.9873484108833873,0.9889814422614452,0.9894174053387663,0.987133648583135,0.9889814422614461,0.9888287117567162,0.9875339918768549,0.9856262045783107,0.9895992124798614,0.9999999999999998,0.9940957157158202,0.986052111036023,0.9849644509023098,0.9849644509023098,0.9935732878313818,0.9860521110360227,0.9860872425202614
izvinjenje,0.9908808204044254,0.9967748685266484,0.9914123672855675,0.9897754652729006,0.993271424199554,0.993271424199554,0.9915538545630271,0.9914123672855675,0.9897754652729006,0.993271424199554,0.9918279610803701,0.9910363321847432,0.9932710459347343,0.9919549085710603,0.9938811586334276,0.9904006902138093,0.9919549085710608,0.9940629338709757,0.9927219123780747,0.9906591747049276,0.9937187209263518,0.9940957157158202,0.9999999999999993,0.990292911797799,0.9923342549581239,0.9923342549581239,0.9978804374997097,0.9902929117977985,0.9914081644376449
izvini,0.9866523392037807,0.989535284775948,0.9883162718241995,0.9893343391678282,0.9901565554078456,0.9901565554078456,0.9868462952138606,0.9883162718241995,0.9893343391678282,0.9901565554078456,0.9903348734289257,0.9889976574299794,0.9883080799516663,0.9887715804112008,0.9900900797155043,0.9875340679908016,0.9887715804112012,0.991306140158871,0.9898318237849686,0.9895621101013747,0.9907935086972208,0.986052111036023,0.990292911797799,0.9999999999999994,0.9903634202795373,0.9903634202795373,0.9897696772120591,0.9999999999999988,0.9864778472742337
oprosti,0.9914613524947136,0.9919599620918869,0.9930570117442498,0.9932090927343042,0.995061933684167,0.995061933684167,0.9902504121962188,0.9930570117442498,0.9932090927343042,0.995061933684167,0.9927477145378583,0.992611595676547,0.9928236286152095,0.9916771975898738,0.993918134375418,0.9915096507163724,0.9916771975898738,0.9943268083698672,0.9935854071710828,0.9931886081428148,0.9938708408597288,0.9849644509023098,0.9923342549581239,0.9903634202795373,0.9999999999999993,0.9999999999999993,0.9927887854680552,0.9903634202795374,0.9932186179264165
oprosti,0.9914613524947136,0.9919599620918869,0.9930570117442498,0.9932090927343042,0.995061933684167,0.995061933684167,0.9902504121962188,0.9930570117442498,0.9932090927343042,0.995061933684167,0.9927477145378583,0.992611595676547,0.9928236286152095,0.9916771975898738,0.993918134375418,0.9915096507163724,0.9916771975898738,0.9943268083698672,0.9935854071710828,0.9931886081428148,0.9938708408597288,0.9849644509023098,0.9923342549581239,0.9903634202795373,0.9999999999999993,0.9999999999999993,0.9927887854680552,0.9903634202795374,0.9932186179264165
žaljenje,0.991741717297374,0.9959720294584968,0.9921997743474661,0.9916002041355332,0.9942981113913095,0.9942981113913095,0.9918456913414537,0.9921997743474661,0.9916002041355332,0.9942981113913095,0.9935223845300806,0.9927386626535296,0.9933643434625273,0.993073362755827,0.994685501725202,0.9918409017592893,0.993073362755827,0.9942777369238142,0.9938796684702265,0.992925004887857,0.9938803416539402,0.9935732878313818,0.9978804374997097,0.9897696772120591,0.9927887854680552,0.9927887854680552,0.9999999999999996,0.9897696772120592,0.990938720976766
