,appreciñ,appreciadur,trugarezus,trugarez,trugarez,trugarez,trugarezus,trugarez,dleet,dleour,dleterezh,dlead,rediet,dlead,dleout,dleañ,o vezañ dleour,digarezus,digareziñ,digarez,pardonit,tristidigezh,digarez,digarezit ac’hanon,goulen digarez
appreciñ,1.0,0.9945084998579377,0.9951034561194569,0.9944278558867821,0.9944278558867821,0.9944278558867821,0.9951034561194569,0.9944278558867821,0.9968726210522175,0.9954099000593728,0.9922005288153116,0.9953032486472713,0.9928655129928201,0.9953032486472713,0.9964069446802606,0.9964212168902914,0.9938260950114465,0.99542684249941,0.9955285124059938,0.9925989474746857,0.9968384709552216,0.9901685437985136,0.9925989474746857,0.9880708032207404,0.9914827453443853
appreciadur,0.9945084998579377,0.9999999999999992,0.994985048504629,0.9931935086522399,0.9931935086522399,0.9931935086522399,0.994985048504629,0.9931935086522399,0.9947341642210872,0.9952397400837475,0.9936382158729916,0.9930721877864727,0.9919159089132982,0.9930721877864727,0.9944136768364817,0.9945336447667015,0.9948700068631796,0.9952875003768527,0.9939104148840011,0.9920387093983645,0.9940939104523071,0.9926500717752406,0.9920387093983645,0.9893474811230447,0.9913134244999502
trugarezus,0.9951034561194569,0.994985048504629,1.0,0.9975546202583003,0.9975546202583003,0.9975546202583003,1.0,0.9975546202583003,0.9961471938587668,0.9960105770995329,0.9940074852849986,0.9944118872910732,0.9922821779122906,0.9944118872910732,0.9963617512537273,0.9961555631292105,0.9951025112922512,0.9977623779374322,0.9961758741374999,0.9941337844452535,0.9960450006612261,0.9922486122688954,0.9941337844452535,0.9896728739855959,0.9938580129265588
trugarez,0.9944278558867821,0.9931935086522399,0.9975546202583003,0.9999999999999992,0.9999999999999992,0.9999999999999992,0.9975546202583003,0.9999999999999992,0.9954152014481743,0.9953534453277805,0.9935448060914711,0.9937050080141523,0.9910630665361729,0.9937050080141523,0.9957581216935488,0.9954464608431243,0.9940700209949643,0.9966545045611835,0.9959589904043412,0.9964244452964689,0.9960938945183914,0.9922577880255051,0.9964244452964689,0.9901249565168337,0.9963905756666757
trugarez,0.9944278558867821,0.9931935086522399,0.9975546202583003,0.9999999999999992,0.9999999999999992,0.9999999999999992,0.9975546202583003,0.9999999999999992,0.9954152014481743,0.9953534453277805,0.9935448060914711,0.9937050080141523,0.9910630665361729,0.9937050080141523,0.9957581216935488,0.9954464608431243,0.9940700209949643,0.9966545045611835,0.9959589904043412,0.9964244452964689,0.9960938945183914,0.9922577880255051,0.9964244452964689,0.9901249565168337,0.9963905756666757
trugarez,0.9944278558867821,0.9931935086522399,0.9975546202583003,0.9999999999999992,0.9999999999999992,0.9999999999999992,0.9975546202583003,0.9999999999999992,0.9954152014481743,0.9953534453277805,0.9935448060914711,0.9937050080141523,0.9910630665361729,0.9937050080141523,0.9957581216935488,0.9954464608431243,0.9940700209949643,0.9966545045611835,0.9959589904043412,0.9964244452964689,0.9960938945183914,0.9922577880255051,0.9964244452964689,0.9901249565168337,0.9963905756666757
trugarezus,0.9951034561194569,0.994985048504629,1.0,0.9975546202583003,0.9975546202583003,0.9975546202583003,1.0,0.9975546202583003,0.9961471938587668,0.9960105770995329,0.9940074852849986,0.9944118872910732,0.9922821779122906,0.9944118872910732,0.9963617512537273,0.9961555631292105,0.9951025112922512,0.9977623779374322,0.9961758741374999,0.9941337844452535,0.9960450006612261,0.9922486122688954,0.9941337844452535,0.9896728739855959,0.9938580129265588
trugarez,0.9944278558867821,0.9931935086522399,0.9975546202583003,0.9999999999999992,0.9999999999999992,0.9999999999999992,0.9975546202583003,0.9999999999999992,0.9954152014481743,0.9953534453277805,0.9935448060914711,0.9937050080141523,0.9910630665361729,0.9937050080141523,0.9957581216935488,0.9954464608431243,0.9940700209949643,0.9966545045611835,0.9959589904043412,0.9964244452964689,0.9960938945183914,0.9922577880255051,0.9964244452964689,0.9901249565168337,0.9963905756666757
dleet,0.9968726210522175,0.9947341642210872,0.9961471938587668,0.9954152014481743,0.9954152014481743,0.9954152014481743,0.9961471938587668,0.9954152014481743,0.9999999999999996,0.9983150895635537,0.9952146009478766,0.9973483561774672,0.9933199149015133,0.9973483561774672,0.9982894072539161,0.9985173571145086,0.9953784083804629,0.9964929909619387,0.9967063061850673,0.9932051026171456,0.9971282525390579,0.9932228119113218,0.9932051026171456,0.9897189853524322,0.9931773466100826
dleour,0.9954099000593728,0.9952397400837475,0.9960105770995329,0.9953534453277805,0.9953534453277805,0.9953534453277805,0.9960105770995329,0.9953534453277805,0.9983150895635537,1.0000000000000002,0.9967371790320235,0.9968315316766149,0.9921856097644135,0.9968315316766149,0.9978496618626886,0.9981907158030685,0.9965175420902602,0.9964241436047614,0.9960017976612133,0.9934713428294359,0.9958734753287165,0.9949313976886865,0.9934713428294359,0.9901667231508431,0.9940386375563703
dleterezh,0.9922005288153116,0.9936382158729916,0.9940074852849986,0.9935448060914711,0.9935448060914711,0.9935448060914711,0.9940074852849986,0.9935448060914711,0.9952146009478766,0.9967371790320235,0.9999999999999996,0.9924614930765476,0.9898604889101531,0.9924614930765476,0.9951355902326449,0.9951048178159843,0.9959319588757586,0.9944370096560422,0.9936092174699985,0.9926456279940048,0.9927107303743166,0.9974179143671167,0.9926456279940048,0.9888064905131219,0.9925178372747774
dlead,0.9953032486472713,0.9930721877864727,0.9944118872910732,0.9937050080141523,0.9937050080141523,0.9937050080141523,0.9944118872910732,0.9937050080141523,0.9973483561774672,0.9968315316766149,0.9924614930765476,0.9999999999999993,0.9928463332040657,0.9999999999999993,0.9964568190539695,0.9973369837508727,0.9926992948429479,0.9948342575031806,0.9946702139097862,0.991487764839032,0.995971998611649,0.9902526964167357,0.991487764839032,0.9887736255955992,0.9908031777900729
rediet,0.9928655129928201,0.9919159089132982,0.9922821779122906,0.9910630665361729,0.9910630665361729,0.9910630665361729,0.9922821779122906,0.9910630665361729,0.9933199149015133,0.9921856097644135,0.9898604889101531,0.9928463332040657,0.9999999999999997,0.9928463332040657,0.9934697424366046,0.9928817344365729,0.9914426253725166,0.9918563117143266,0.9910475150439204,0.9893318348593174,0.9929528493520221,0.9881832222944219,0.9893318348593174,0.9866133863200486,0.988197500906545
dlead,0.9953032486472713,0.9930721877864727,0.9944118872910732,0.9937050080141523,0.9937050080141523,0.9937050080141523,0.9944118872910732,0.9937050080141523,0.9973483561774672,0.9968315316766149,0.9924614930765476,0.9999999999999993,0.9928463332040657,0.9999999999999993,0.9964568190539695,0.9973369837508727,0.9926992948429479,0.9948342575031806,0.9946702139097862,0.991487764839032,0.995971998611649,0.9902526964167357,0.991487764839032,0.9887736255955992,0.9908031777900729
dleout,0.9964069446802606,0.9944136768364817,0.9963617512537273,0.9957581216935488,0.9957581216935488,0.9957581216935488,0.9963617512537273,0.9957581216935488,0.9982894072539161,0.9978496618626886,0.9951355902326449,0.9964568190539695,0.9934697424366046,0.9964568190539695,0.9999999999999994,0.99772544817324,0.9959768012556696,0.9969056810110426,0.9964785382241661,0.9937244609264123,0.9970862587186079,0.9932948467088908,0.9937244609264123,0.9897124365937259,0.9939632245100765
dleañ,0.9964212168902914,0.9945336447667015,0.9961555631292105,0.9954464608431243,0.9954464608431243,0.9954464608431243,0.9961555631292105,0.9954464608431243,0.9985173571145086,0.9981907158030685,0.9951048178159843,0.9973369837508727,0.9928817344365729,0.9973369837508727,0.99772544817324,0.9999999999999998,0.99566413741926,0.9971538071990532,0.9968386326857817,0.9942495649755915,0.9965120280073668,0.9935627016758277,0.9942495649755915,0.9912902047253944,0.9937558598901439
o vezañ dleour,0.9938260950114465,0.9948700068631796,0.9951025112922512,0.9940700209949643,0.9940700209949643,0.9940700209949643,0.9951025112922512,0.9940700209949643,0.9953784083804629,0.9965175420902602,0.9959319588757586,0.9926992948429479,0.9914426253725166,0.9926992948429479,0.9959768012556696,0.99566413741926,0.9999999999999997,0.9957389575644016,0.9948914054876015,0.9931540858941025,0.9945855495464299,0.9950477004495109,0.9931540858941025,0.9898056814910913,0.9930041886381393
digarezus,0.99542684249941,0.9952875003768527,0.9977623779374322,0.9966545045611835,0.9966545045611835,0.9966545045611835,0.9977623779374322,0.9966545045611835,0.9964929909619387,0.9964241436047614,0.9944370096560422,0.9948342575031806,0.9918563117143266,0.9948342575031806,0.9969056810110426,0.9971538071990532,0.9957389575644016,0.9999999999999993,0.9981958895078852,0.9963395822070016,0.9962804218797604,0.9933677166744551,0.9963395822070016,0.9916724048842855,0.9954947353855733
digareziñ,0.9955285124059938,0.9939104148840011,0.9961758741374999,0.9959589904043412,0.9959589904043412,0.9959589904043412,0.9961758741374999,0.9959589904043412,0.9967063061850673,0.9960017976612133,0.9936092174699985,0.9946702139097862,0.9910475150439204,0.9946702139097862,0.9964785382241661,0.9968386326857817,0.9948914054876015,0.9981958895078852,0.9999999999999996,0.9960594058911391,0.9963021967157315,0.9920903189482309,0.9960594058911391,0.9909269286667204,0.9952580166865811
