,ценя,признателност,благодарност,благодарност,благодаря,благодарност,благодарен / благодарна,благодарен / благодарна,задлъжнял,задължен,задлъжнялост,задължение,задължен,задължение,дължа,дължа,в дълг,извинителен,извинения,извинение,извинете,съжаление,съжалявам,извинявам се,простете ми
ценя,0.9999999999999994,0.9817619154947709,0.992605127080206,0.992605127080206,0.9910785099919102,0.992605127080206,0.9922371322574017,0.9922371322574017,0.9903260271511617,0.9921972668046105,0.9930658225267555,0.9946232904844682,0.9921972668046105,0.9946232904844682,0.9940694200727767,0.9940694200727767,0.988788233195602,0.9937510497031675,0.9948283370675134,0.9941952253060075,0.9907949665898169,0.9906787905003586,0.9893781616025771,0.9901938043716908,0.9914654057844114
признателност,0.9817619154947709,1.0000000000000004,0.9833886907556838,0.9833886907556838,0.9769534915921759,0.9833886907556838,0.980143521266106,0.980143521266106,0.9818380219637636,0.9813727048927646,0.9853294044313157,0.985063219180309,0.9813727048927646,0.985063219180309,0.9819213658970728,0.9819213658970728,0.9787817450857256,0.9835282520844922,0.9839045894389445,0.9836121076397355,0.9796853318309996,0.977945599265464,0.9781179499402288,0.9786060266357882,0.9776605263835189
благодарност,0.992605127080206,0.9833886907556838,0.9999999999999993,0.9999999999999993,0.9901345428412105,0.9999999999999993,0.9932585013309723,0.9932585013309723,0.9891738232221108,0.9910064076786083,0.9917574168122304,0.9943910648345015,0.9910064076786083,0.9943910648345015,0.9929157796930134,0.9929157796930134,0.9891558359072931,0.9927732006763805,0.9942702545162044,0.9932903323875752,0.9894130984186639,0.9906281058556311,0.9892690914312897,0.9894301217932074,0.9903492320888114
благодарност,0.992605127080206,0.9833886907556838,0.9999999999999993,0.9999999999999993,0.9901345428412105,0.9999999999999993,0.9932585013309723,0.9932585013309723,0.9891738232221108,0.9910064076786083,0.9917574168122304,0.9943910648345015,0.9910064076786083,0.9943910648345015,0.9929157796930134,0.9929157796930134,0.9891558359072931,0.9927732006763805,0.9942702545162044,0.9932903323875752,0.9894130984186639,0.9906281058556311,0.9892690914312897,0.9894301217932074,0.9903492320888114
благодаря,0.9910785099919102,0.9769534915921759,0.9901345428412105,0.9901345428412105,0.9999999999999996,0.9901345428412105,0.992409540535033,0.992409540535033,0.9876613054772744,0.9897699909621375,0.9879341092604401,0.991729441239416,0.9897699909621375,0.991729441239416,0.992746477385791,0.992746477385791,0.9892263761921302,0.9905664556650834,0.9918620837296349,0.9912452982062555,0.9907273705243423,0.9937050298430673,0.9921492602398327,0.9905601665112619,0.9930531793266029
благодарност,0.992605127080206,0.9833886907556838,0.9999999999999993,0.9999999999999993,0.9901345428412105,0.9999999999999993,0.9932585013309723,0.9932585013309723,0.9891738232221108,0.9910064076786083,0.9917574168122304,0.9943910648345015,0.9910064076786083,0.9943910648345015,0.9929157796930134,0.9929157796930134,0.9891558359072931,0.9927732006763805,0.9942702545162044,0.9932903323875752,0.9894130984186639,0.9906281058556311,0.9892690914312897,0.9894301217932074,0.9903492320888114
благодарен / благодарна,0.9922371322574017,0.980143521266106,0.9932585013309723,0.9932585013309723,0.992409540535033,0.9932585013309723,1.0000000000000004,1.0000000000000004,0.989900723705698,0.9918326379384246,0.9904903921483892,0.9934050564530312,0.9918326379384246,0.9934050564530312,0.9923961168274886,0.9923961168274886,0.98824531209154,0.9926616841429716,0.9931884651207694,0.993199070194993,0.9918533979647939,0.9922145364079122,0.9919624120182441,0.9919104823840778,0.993663169210335
благодарен / благодарна,0.9922371322574017,0.980143521266106,0.9932585013309723,0.9932585013309723,0.992409540535033,0.9932585013309723,1.0000000000000004,1.0000000000000004,0.989900723705698,0.9918326379384246,0.9904903921483892,0.9934050564530312,0.9918326379384246,0.9934050564530312,0.9923961168274886,0.9923961168274886,0.98824531209154,0.9926616841429716,0.9931884651207694,0.993199070194993,0.9918533979647939,0.9922145364079122,0.9919624120182441,0.9919104823840778,0.993663169210335
задлъжнял,0.9903260271511617,0.9818380219637636,0.9891738232221108,0.9891738232221108,0.9876613054772744,0.9891738232221108,0.989900723705698,0.989900723705698,0.9999999999999996,0.9954464308381074,0.9957270674379805,0.993082967712923,0.9954464308381074,0.993082967712923,0.9931361913272717,0.9931361913272717,0.9893298974559711,0.992724925113324,0.9907438706114051,0.9905240346093825,0.9866871350601,0.9886225718825542,0.9897909362963165,0.9901623285635222,0.9885099424033021
задължен,0.9921972668046105,0.9813727048927646,0.9910064076786083,0.9910064076786083,0.9897699909621375,0.9910064076786083,0.9918326379384246,0.9918326379384246,0.9954464308381074,0.9999999999999997,0.9941783968267331,0.995084776004236,0.9999999999999997,0.995084776004236,0.995419631599328,0.995419631599328,0.99197914442534,0.9949308516015412,0.9919527078592102,0.9916485115791412,0.9888692885260197,0.9918224420059389,0.9912160566624425,0.9918505501605493,0.9902192923344659
