,ကျေးဇူးတင်ရှိသည်,ချီးမြှင့်မှု,ကျေးဇူးတင်သော,ကျေးဇူးတင်မှု,ကျေးဇူးတင်မှု,ကျေးဇူးတင်ပါတယ်,ကျေးဇူးတင်သော,ကျေးဇူးတင်မှု,အကြွေးရှိသော,အကြွေးရှိမှု,တာဝန်,တာဝန်ရှိသည်,ကတိပြုခြင်း,အကြွေးတင်သည်,ပေးရန်ကျန်ရှိသည်,တောင်းပန်လိုစိတ်ရှိသော,တောင်းပန်ချက်များ,တောင်းပန်တယ်,တောင်းပန်ချက်,တဆိတ်လောက်,ဝမ်းနည်းခြင်း,ဆောင်းပါးတယ်,ကျေးဇူးပြုပြီး‌ အားမလို
ကျေးဇူးတင်ရှိသည်,0.9999999999999991,0.9854637114103337,0.994807282106464,0.9949815624823011,0.9949815624823011,0.9852650115590497,0.994807282106464,0.9949815624823011,0.9913179414114975,0.9917612321182138,0.9853045023170628,0.9923895575190828,0.9893891091122177,0.9930340915444908,0.9947585482272039,0.9927007747639629,0.9891761159351179,0.9802471593818726,0.9876595443451192,0.990492376476954,0.9893166935518093,0.9891450677898512,0.9910749123245636
ချီးမြှင့်မှု,0.9854637114103337,0.9999999999999994,0.9846137131887649,0.9877167877353834,0.9877167877353834,0.979366161300033,0.9846137131887649,0.9877167877353834,0.9831031978964665,0.9888893778180434,0.986013639163827,0.98593837822466,0.9869896768195814,0.9853440220474057,0.9871714244809504,0.9843398837375987,0.9871686864438785,0.9776187657657832,0.9872593588081019,0.9865039755039223,0.9855416168587176,0.9854599090842137,0.9873927901589417
ကျေးဇူးတင်သော,0.994807282106464,0.9846137131887649,1.0,0.9963263690883826,0.9963263690883826,0.9849833239394853,1.0,0.9963263690883826,0.9952696760452192,0.9944214310950148,0.9853766706589513,0.9896566643100154,0.9923212425055783,0.9948775283525,0.9942959290573175,0.9959315438141315,0.9913739874259424,0.9807651245135803,0.989206393313416,0.9930924280059327,0.9922434017371153,0.9918573735671757,0.9935991821620186
ကျေးဇူးတင်မှု,0.9949815624823011,0.9877167877353834,0.9963263690883826,0.9999999999999997,0.9999999999999997,0.9872198583578955,0.9963263690883826,0.9999999999999997,0.9930851867893915,0.9955633818794779,0.9867580694462351,0.9890445718000231,0.9923272405775359,0.9944628728686697,0.9935436718844941,0.9943904525785489,0.9909265640121395,0.9834792840546528,0.9900005564169755,0.9934648276332327,0.9917197070239335,0.991807072237879,0.9941166664340758
ကျေးဇူးတင်မှု,0.9949815624823011,0.9877167877353834,0.9963263690883826,0.9999999999999997,0.9999999999999997,0.9872198583578955,0.9963263690883826,0.9999999999999997,0.9930851867893915,0.9955633818794779,0.9867580694462351,0.9890445718000231,0.9923272405775359,0.9944628728686697,0.9935436718844941,0.9943904525785489,0.9909265640121395,0.9834792840546528,0.9900005564169755,0.9934648276332327,0.9917197070239335,0.991807072237879,0.9941166664340758
ကျေးဇူးတင်ပါတယ်,0.9852650115590497,0.979366161300033,0.9849833239394853,0.9872198583578955,0.9872198583578955,0.9999999999999998,0.9849833239394853,0.9872198583578955,0.9818711323006342,0.9858112828370642,0.9784665355597166,0.9808165725599131,0.98307214681201,0.9833463956779249,0.9849845284932851,0.9839696524333825,0.9827842497850005,0.9913087420578299,0.9840066973905501,0.984746701489215,0.9811846883599571,0.9911808252536538,0.9868783899879214
ကျေးဇူးတင်သော,0.994807282106464,0.9846137131887649,1.0,0.9963263690883826,0.9963263690883826,0.9849833239394853,1.0,0.9963263690883826,0.9952696760452192,0.9944214310950148,0.9853766706589513,0.9896566643100154,0.9923212425055783,0.9948775283525,0.9942959290573175,0.9959315438141315,0.9913739874259424,0.9807651245135803,0.989206393313416,0.9930924280059327,0.9922434017371153,0.9918573735671757,0.9935991821620186
ကျေးဇူးတင်မှု,0.9949815624823011,0.9877167877353834,0.9963263690883826,0.9999999999999997,0.9999999999999997,0.9872198583578955,0.9963263690883826,0.9999999999999997,0.9930851867893915,0.9955633818794779,0.9867580694462351,0.9890445718000231,0.9923272405775359,0.9944628728686697,0.9935436718844941,0.9943904525785489,0.9909265640121395,0.9834792840546528,0.9900005564169755,0.9934648276332327,0.9917197070239335,0.991807072237879,0.9941166664340758
အကြွေးရှိသော,0.9913179414114975,0.9831031978964665,0.9952696760452192,0.9930851867893915,0.9930851867893915,0.9818711323006342,0.9952696760452192,0.9930851867893915,0.9999999999999994,0.9961910745473301,0.9851864912049573,0.9897542882077667,0.9934083393668163,0.9969876547563113,0.9938526912670226,0.9970250111420769,0.990615556284155,0.9808626799527587,0.9878905428217533,0.9934422607163641,0.993967998252064,0.9912136347939354,0.9929122534996048
အကြွေးရှိမှု,0.9917612321182138,0.9888893778180434,0.9944214310950148,0.9955633818794779,0.9955633818794779,0.9858112828370642,0.9944214310950148,0.9955633818794779,0.9961910745473301,0.9999999999999999,0.9893401588611421,0.9909182058486122,0.9966357775100514,0.9968021089126753,0.9945511726917313,0.9958269610561391,0.9945228934308078,0.9852525026265008,0.9924125807024393,0.996180826312188,0.9961046790960645,0.9943922356658168,0.9959788812414894
