,apreciar,apreciació,agraïda,agraït,agraïment,gratitud,gràcies,agraïda,agraït,agraïment,endeutada,endeutat,endeutament,obligació,obligada,obligat,compromís,deure,devent,amb deute,penedida,penedit,disculpes,disculpa,disculpa,perdona,perdona'm,disculpar-se,sentiment de pena,ho sento
apreciar,0.9999999999999998,0.9883014484335928,0.985218027177949,0.9858056858350348,0.9836674866150471,0.9876424801967681,0.986504470770025,0.985218027177949,0.985805685835034,0.9836674866150475,0.9859930923703678,0.9864476961497227,0.9859331792165306,0.9818404431910749,0.9874624211933349,0.9868095182667435,0.982234033455372,0.9854986373894875,0.9856286204250454,0.985771129703353,0.9860010341532975,0.9866163305176877,0.9848100538918038,0.9830851060789283,0.9830851060789283,0.9867553530987642,0.9799350461450099,0.987608262031119,0.9869429231425264,0.9848092668419489
apreciació,0.9883014484335928,1.0000000000000002,0.9919864532248278,0.9926266897730159,0.9914163228940894,0.9913321258859598,0.9902299651813125,0.9919864532248278,0.9926266897730163,0.9914163228940901,0.9914626460767563,0.9919656605110362,0.9946659487856367,0.9935759981550021,0.9931425317536278,0.9925405345881051,0.9893416143877575,0.9930961921835851,0.9906995119689996,0.9929390902473298,0.994726915188837,0.9935716629618414,0.992292065955419,0.9891797335155539,0.9891797335155539,0.9939709622448679,0.9843781843843886,0.991671962369045,0.9952902070510374,0.9899170509395716
agraïda,0.985218027177949,0.9919864532248278,0.9999999999999993,0.9951525942238089,0.9950711324467538,0.9918964862929887,0.9894828761738702,0.9999999999999993,0.9951525942238088,0.9950711324467534,0.9916540967887887,0.9909800234559348,0.9925826842818496,0.9858359462754385,0.9924577438404456,0.991194665292691,0.9856939775406094,0.9923157213881688,0.9927870196461832,0.9911707639538803,0.9944104822037793,0.9937900750611298,0.9906165281094987,0.9877989800678234,0.9877989800678234,0.9918961373577351,0.9841011353758998,0.9906816548829219,0.9924961158124829,0.991518133526436
agraït,0.9858056858350348,0.9926266897730159,0.9951525942238089,0.9999999999999998,0.9943904543587431,0.991921963831452,0.9894007133908941,0.9951525942238089,0.999999999999999,0.9943904543587426,0.9915810946817477,0.9917352907172766,0.9949866115575264,0.9869203490165686,0.9915100533385496,0.9915022920148978,0.9857241451860492,0.9933444557453535,0.9926054449832028,0.9923467246938776,0.9945730250585748,0.9948790145127013,0.992573327699342,0.9895009007803165,0.9895009007803165,0.9918012683348507,0.9838315583904986,0.9914081100904777,0.9936237990450403,0.990922487445965
agraïment,0.9836674866150471,0.9914163228940894,0.9950711324467538,0.9943904543587431,0.9999999999999993,0.9891395838170135,0.9874451018776904,0.9950711324467538,0.9943904543587426,0.9999999999999986,0.9905550364751662,0.9909197356183028,0.9928237238886671,0.9856462654638093,0.9900168807098143,0.989452508754858,0.9839484037788949,0.9909375582593128,0.9906480128726997,0.991657511100758,0.9923382881563203,0.9919218670759041,0.9907410993542851,0.9874541542559157,0.9874541542559157,0.9894504722189101,0.9814598827994186,0.9894290641108341,0.9913635787680687,0.9902458058041986
gratitud,0.9876424801967681,0.9913321258859598,0.9918964862929887,0.991921963831452,0.9891395838170135,0.9999999999999998,0.9893337009622862,0.9918964862929887,0.9919219638314524,0.9891395838170136,0.9926241001869365,0.9920710343164109,0.9915425514900374,0.9874740241560197,0.9941613703816268,0.9942713989623214,0.9874361762628873,0.9921946814348271,0.9917161938003286,0.9909125233080179,0.9921194398343142,0.9935856542317067,0.9915960671332871,0.9887271900992454,0.9887271900992454,0.9918814791036343,0.983763972100925,0.9923152337425856,0.9924508453551841,0.9901516602856982
gràcies,0.986504470770025,0.9902299651813125,0.9894828761738702,0.9894007133908941,0.9874451018776904,0.9893337009622862,1.0000000000000004,0.9894828761738702,0.9894007133908933,0.9874451018776897,0.9908955797387788,0.9881277687761385,0.9898615423721262,0.9843666322484403,0.990017132779065,0.9889730328713736,0.9883083089691626,0.9898582990987413,0.9895543621791114,0.988556698965761,0.9903012277985028,0.9914843835247563,0.9887162401311163,0.9846977004944252,0.9846977004944252,0.9919901893964373,0.9857267685199436,0.9879996111151516,0.9926085907164087,0.9868989167473038
agraïda,0.985218027177949,0.9919864532248278,0.9999999999999993,0.9951525942238089,0.9950711324467538,0.9918964862929887,0.9894828761738702,0.9999999999999993,0.9951525942238088,0.9950711324467534,0.9916540967887887,0.9909800234559348,0.9925826842818496,0.9858359462754385,0.9924577438404456,0.991194665292691,0.9856939775406094,0.9923157213881688,0.9927870196461832,0.9911707639538803,0.9944104822037793,0.9937900750611298,0.9906165281094987,0.9877989800678234,0.9877989800678234,0.9918961373577351,0.9841011353758998,0.9906816548829219,0.9924961158124829,0.991518133526436
agraït,0.985805685835034,0.9926266897730163,0.9951525942238088,0.999999999999999,0.9943904543587426,0.9919219638314524,0.9894007133908933,0.9951525942238088,0.9999999999999998,0.9943904543587431,0.9915810946817469,0.9917352907172775,0.9949866115575263,0.9869203490165683,0.9915100533385488,0.9915022920148985,0.9857241451860492,0.9933444557453535,0.9926054449832028,0.9923467246938776,0.9945730250585748,0.9948790145127013,0.992573327699342,0.9895009007803165,0.9895009007803165,0.9918012683348507,0.9838315583904986,0.9914081100904777,0.9936237990450403,0.990922487445965
agraïment,0.9836674866150475,0.9914163228940901,0.9950711324467534,0.9943904543587426,0.9999999999999986,0.9891395838170136,0.9874451018776897,0.9950711324467534,0.9943904543587431,0.9999999999999993,0.9905550364751655,0.9909197356183039,0.9928237238886684,0.985646265463809,0.9900168807098143,0.9894525087548569,0.9839484037788949,0.9909375582593128,0.9906480128726997,0.991657511100758,0.9923382881563203,0.9919218670759041,0.9907410993542851,0.9874541542559157,0.9874541542559157,0.9894504722189101,0.9814598827994186,0.9894290641108341,0.9913635787680687,0.9902458058041986
