,pasalamati,pagpasalamat,mapasalamaton,pagkamapasalamaton,pagpasalamat,salamat,mapasalamaton,pagkamapasalamaton,nangutang,utang,katungdanan,gipasidunggan,gipugos,katungdanan,utangan,naay utang,may utang,naa pay utang,nagbasol,pagbasol,ekskyusi ko,mangayo og pasaylo,pagpangayo og pasaylo,mga pagpasaylo,pasayloa ko,pasayloa ko,pasayloa ko
pasalamati,0.9999999999999991,0.993644849225813,0.9936901725033538,0.9888827548530645,0.993644849225813,0.9950184646101361,0.9936901725033538,0.9888827548530645,0.9931451604842279,0.9906320637656416,0.9904914444141225,0.9925346877912207,0.9863488431302346,0.9904914444141225,0.9926273157403543,0.9910477783075444,0.9913890049968653,0.9918052129816627,0.9947834146266702,0.9948186995028262,0.9918094113877658,0.9918684462717791,0.9917462507174933,0.9868794123227721,0.9895222133262318,0.9895222133262318,0.9895222133262318
pagpasalamat,0.993644849225813,0.9999999999999992,0.9947492311175278,0.9938429606961021,0.9999999999999992,0.9927836661917402,0.9947492311175278,0.9938429606961021,0.9940679539416287,0.9893264071943303,0.9928077166464637,0.9928631241246132,0.9860230718679135,0.9928077166464637,0.9918856714056375,0.9911983805903556,0.99099260788381,0.9932844980375863,0.9932946330259922,0.9965684177278405,0.9899399037532299,0.990226427506477,0.9924597305368755,0.9926114924927886,0.9905458423192864,0.9905458423192864,0.9905458423192864
mapasalamaton,0.9936901725033538,0.9947492311175278,0.9999999999999996,0.9924546130207735,0.9947492311175278,0.9965871726373491,0.9999999999999996,0.9924546130207735,0.994941612168146,0.99114296040912,0.9903508180503634,0.9932392509864092,0.9885044650896919,0.9903508180503634,0.9935146282577336,0.9923872818956281,0.9923397430024629,0.9947567321811636,0.9957706844962104,0.9960091125419243,0.9942847321201691,0.9937942987961724,0.9935196296305866,0.9899069563222562,0.9940274696532632,0.9940274696532632,0.9940274696532632
pagkamapasalamaton,0.9888827548530645,0.9938429606961021,0.9924546130207735,0.9999999999999996,0.9938429606961021,0.9894356606584149,0.9924546130207735,0.9999999999999996,0.9911193332941657,0.9861832938380011,0.9900924483580719,0.9890087391400255,0.9831654054316399,0.9900924483580719,0.9888985542648252,0.9885867973383338,0.9883084707844868,0.9902131638880888,0.9903739949140383,0.9933923536040844,0.9868243199221699,0.9871792763715841,0.9903542822152289,0.9915091888481637,0.9880501777119026,0.9880501777119026,0.9880501777119026
pagpasalamat,0.993644849225813,0.9999999999999992,0.9947492311175278,0.9938429606961021,0.9999999999999992,0.9927836661917402,0.9947492311175278,0.9938429606961021,0.9940679539416287,0.9893264071943303,0.9928077166464637,0.9928631241246132,0.9860230718679135,0.9928077166464637,0.9918856714056375,0.9911983805903556,0.99099260788381,0.9932844980375863,0.9932946330259922,0.9965684177278405,0.9899399037532299,0.990226427506477,0.9924597305368755,0.9926114924927886,0.9905458423192864,0.9905458423192864,0.9905458423192864
salamat,0.9950184646101361,0.9927836661917402,0.9965871726373491,0.9894356606584149,0.9927836661917402,0.9999999999999998,0.9965871726373491,0.9894356606584149,0.9950385799736495,0.9927804427537726,0.9898491407493919,0.9927441797859671,0.9892182894473589,0.9898491407493919,0.9942794209610871,0.9933032011202929,0.9936210106398787,0.9943062937028302,0.9971739921528164,0.9958651014550624,0.9947231178562942,0.9945518584858991,0.9931770328250524,0.9874235536066784,0.9924832627708713,0.9924832627708713,0.9924832627708713
mapasalamaton,0.9936901725033538,0.9947492311175278,0.9999999999999996,0.9924546130207735,0.9947492311175278,0.9965871726373491,0.9999999999999996,0.9924546130207735,0.994941612168146,0.99114296040912,0.9903508180503634,0.9932392509864092,0.9885044650896919,0.9903508180503634,0.9935146282577336,0.9923872818956281,0.9923397430024629,0.9947567321811636,0.9957706844962104,0.9960091125419243,0.9942847321201691,0.9937942987961724,0.9935196296305866,0.9899069563222562,0.9940274696532632,0.9940274696532632,0.9940274696532632
pagkamapasalamaton,0.9888827548530645,0.9938429606961021,0.9924546130207735,0.9999999999999996,0.9938429606961021,0.9894356606584149,0.9924546130207735,0.9999999999999996,0.9911193332941657,0.9861832938380011,0.9900924483580719,0.9890087391400255,0.9831654054316399,0.9900924483580719,0.9888985542648252,0.9885867973383338,0.9883084707844868,0.9902131638880888,0.9903739949140383,0.9933923536040844,0.9868243199221699,0.9871792763715841,0.9903542822152289,0.9915091888481637,0.9880501777119026,0.9880501777119026,0.9880501777119026
nangutang,0.9931451604842279,0.9940679539416287,0.994941612168146,0.9911193332941657,0.9940679539416287,0.9950385799736495,0.994941612168146,0.9911193332941657,0.9999999999999991,0.9897868145675158,0.9944963709556267,0.9953558914847762,0.986687520494044,0.9944963709556267,0.99178224107861,0.9915499546206601,0.9916523944006176,0.993875546769172,0.994470573803707,0.9949778186257349,0.9942787067442119,0.9925769873360848,0.9946085919506423,0.991245286395823,0.9923220842928567,0.9923220842928567,0.9923220842928567
utang,0.9906320637656416,0.9893264071943303,0.99114296040912,0.9861832938380011,0.9893264071943303,0.9927804427537726,0.99114296040912,0.9861832938380011,0.9897868145675158,0.9999999999999994,0.984262899110466,0.9892230229026666,0.9860153162753562,0.984262899110466,0.9971052095409929,0.9978495942918179,0.9976756398983876,0.9948958188002929,0.9926706187290105,0.9928499942667135,0.9908640446361683,0.9909669462606253,0.9896523665354163,0.9846528989938534,0.9880640153031303,0.9880640153031303,0.9880640153031303
