,къуллакхетар,къуллакхетар,белхал,белхал,баркалла,белхал,дика хьун,дика хьун,доьзал,доьзалар,йоккхалла,билгалдар,йоккхалла,доьзал болу,доьзахь болу,угӏазойттийна,угӏазойн,угӏазо,угӏазо,кхузе хьо,угӏазо йоцу,угӏазо йоцу,хьажа гӏозанан
къуллакхетар,0.9999999999999997,0.9999999999999997,0.9881185601045344,0.9881185601045344,0.992421818892909,0.9881185601045344,0.986446180015919,0.986446180015919,0.9871987543858901,0.9953135733805086,0.9874188470539191,0.985958475234247,0.9874188470539191,0.991548422339119,0.9900564982903969,0.9884054872713959,0.9833078508092115,0.9925086289444733,0.9925086289444733,0.9888326923666545,0.9806014158385639,0.9806014158385639,0.9924572337721461
къуллакхетар,0.9999999999999997,0.9999999999999997,0.9881185601045344,0.9881185601045344,0.992421818892909,0.9881185601045344,0.986446180015919,0.986446180015919,0.9871987543858901,0.9953135733805086,0.9874188470539191,0.985958475234247,0.9874188470539191,0.991548422339119,0.9900564982903969,0.9884054872713959,0.9833078508092115,0.9925086289444733,0.9925086289444733,0.9888326923666545,0.9806014158385639,0.9806014158385639,0.9924572337721461
белхал,0.9881185601045344,0.9881185601045344,0.9999999999999992,0.9999999999999992,0.9929186573386082,0.9999999999999992,0.9870233542993743,0.9870233542993743,0.9913431367756673,0.9900528135990183,0.9794802900655212,0.9826966606369293,0.9794802900655212,0.991504538310366,0.9859526779953462,0.9816617965984894,0.9818032419251346,0.9876579719388462,0.9876579719388462,0.9888214102158492,0.9785500384007694,0.9785500384007694,0.9867012273134587
белхал,0.9881185601045344,0.9881185601045344,0.9999999999999992,0.9999999999999992,0.9929186573386082,0.9999999999999992,0.9870233542993743,0.9870233542993743,0.9913431367756673,0.9900528135990183,0.9794802900655212,0.9826966606369293,0.9794802900655212,0.991504538310366,0.9859526779953462,0.9816617965984894,0.9818032419251346,0.9876579719388462,0.9876579719388462,0.9888214102158492,0.9785500384007694,0.9785500384007694,0.9867012273134587
баркалла,0.992421818892909,0.992421818892909,0.9929186573386082,0.9929186573386082,0.9999999999999994,0.9929186573386082,0.9884517435342244,0.9884517435342244,0.9903417505661041,0.993615577140191,0.9849258487306067,0.9874997492655073,0.9849258487306067,0.9946390127711416,0.9887244526885478,0.9847743902124682,0.9814604105710408,0.9903525602555018,0.9903525602555018,0.9911363759057178,0.9798679379355002,0.9798679379355002,0.9913544455382948
белхал,0.9881185601045344,0.9881185601045344,0.9999999999999992,0.9999999999999992,0.9929186573386082,0.9999999999999992,0.9870233542993743,0.9870233542993743,0.9913431367756673,0.9900528135990183,0.9794802900655212,0.9826966606369293,0.9794802900655212,0.991504538310366,0.9859526779953462,0.9816617965984894,0.9818032419251346,0.9876579719388462,0.9876579719388462,0.9888214102158492,0.9785500384007694,0.9785500384007694,0.9867012273134587
дика хьун,0.986446180015919,0.986446180015919,0.9870233542993743,0.9870233542993743,0.9884517435342244,0.9870233542993743,0.9999999999999992,0.9999999999999992,0.9864725705513937,0.9883033945989028,0.9797138260917703,0.9784808676805307,0.9797138260917703,0.9884195759073761,0.9874374296440995,0.9829981348475447,0.9830354947768102,0.9866854072122383,0.9866854072122383,0.9864266733167423,0.9810644062208609,0.9810644062208609,0.9887080451280975
дика хьун,0.986446180015919,0.986446180015919,0.9870233542993743,0.9870233542993743,0.9884517435342244,0.9870233542993743,0.9999999999999992,0.9999999999999992,0.9864725705513937,0.9883033945989028,0.9797138260917703,0.9784808676805307,0.9797138260917703,0.9884195759073761,0.9874374296440995,0.9829981348475447,0.9830354947768102,0.9866854072122383,0.9866854072122383,0.9864266733167423,0.9810644062208609,0.9810644062208609,0.9887080451280975
доьзал,0.9871987543858901,0.9871987543858901,0.9913431367756673,0.9913431367756673,0.9903417505661041,0.9913431367756673,0.9864725705513937,0.9864725705513937,0.9999999999999996,0.9903048284334949,0.9759995659347575,0.9797662792896183,0.9759995659347575,0.9913897060814258,0.9845839587429545,0.9815384094699081,0.983077479379854,0.9870736029868309,0.9870736029868309,0.9905076251603692,0.9796510751131068,0.9796510751131068,0.9874024620972414
доьзалар,0.9953135733805086,0.9953135733805086,0.9900528135990183,0.9900528135990183,0.993615577140191,0.9900528135990183,0.9883033945989028,0.9883033945989028,0.9903048284334949,1.0,0.9850881467340642,0.9861293393453066,0.9850881467340642,0.9939477053300583,0.9911195300037078,0.9881528653420759,0.9843182515599092,0.9931580611260473,0.9931580611260473,0.9900421748261913,0.9816742926977021,0.9816742926977021,0.9941000644130026
йоккхалла,0.9874188470539191,0.9874188470539191,0.9794802900655212,0.9794802900655212,0.9849258487306067,0.9794802900655212,0.9797138260917703,0.9797138260917703,0.9759995659347575,0.9850881467340642,1.0,0.9791645483808065,1.0,0.9843301331374529,0.9869779565430923,0.9839705466079738,0.979906798241615,0.985392374837076,0.985392374837076,0.9798112471466197,0.9770781207371855,0.9770781207371855,0.986750994516068
билгалдар,0.985958475234247,0.985958475234247,0.9826966606369293,0.9826966606369293,0.9874997492655073,0.9826966606369293,0.9784808676805307,0.9784808676805307,0.9797662792896183,0.9861293393453066,0.9791645483808065,0.9999999999999993,0.9791645483808065,0.9858707981485201,0.9830374665459488,0.979173477601178,0.9722514956208689,0.9825599146856623,0.9825599146856623,0.9783215075265347,0.9727042262557619,0.9727042262557619,0.9828866044565345
йоккхалла,0.9874188470539191,0.9874188470539191,0.9794802900655212,0.9794802900655212,0.9849258487306067,0.9794802900655212,0.9797138260917703,0.9797138260917703,0.9759995659347575,0.9850881467340642,1.0,0.9791645483808065,1.0,0.9843301331374529,0.9869779565430923,0.9839705466079738,0.979906798241615,0.985392374837076,0.985392374837076,0.9798112471466197,0.9770781207371855,0.9770781207371855,0.986750994516068
доьзал болу,0.991548422339119,0.991548422339119,0.991504538310366,0.991504538310366,0.9946390127711416,0.991504538310366,0.9884195759073761,0.9884195759073761,0.9913897060814258,0.9939477053300583,0.9843301331374529,0.9858707981485201,0.9843301331374529,1.0000000000000004,0.9909708503142463,0.9860181658293774,0.9807876257001105,0.9899792483865582,0.9899792483865582,0.9911870285384909,0.981768074071731,0.981768074071731,0.9910877190629064
доьзахь болу,0.9900564982903969,0.9900564982903969,0.9859526779953462,0.9859526779953462,0.9887244526885478,0.9859526779953462,0.9874374296440995,0.9874374296440995,0.9845839587429545,0.9911195300037078,0.9869779565430923,0.9830374665459488,0.9869779565430923,0.9909708503142463,1.0,0.9916673135075491,0.9857481257880274,0.9911398897946637,0.9911398897946637,0.9870506303035443,0.9846262469216611,0.9846262469216611,0.9942379971623284
угӏазойттийна,0.9884054872713959,0.9884054872713959,0.9816617965984894,0.9816617965984894,0.9847743902124682,0.9816617965984894,0.9829981348475447,0.9829981348475447,0.9815384094699081,0.9881528653420759,0.9839705466079738,0.979173477601178,0.9839705466079738,0.9860181658293774,0.9916673135075491,0.9999999999999999,0.9873386873303929,0.9925526394882804,0.9925526394882804,0.9834339343458557,0.9859896642568697,0.9859896642568697,0.9918413201510723
