,欣赏,欣赏之情,感恩之情,感激,感谢,感恩,感激之情,债务,负债,负债状态,义务,有义务,义务感,欠,欠着,抱歉的,歉意的,致歉,道歉,道歉,道歉,不好意思,劳驾,请原谅,抱歉,对不起
欣赏,0.9999999999999998,0.9955597750212145,0.9859484240630718,0.9918912391343783,0.9922668404199504,0.9906476230297976,0.9916058424312216,0.9920366018771408,0.9890632662597997,0.9916000352587051,0.9838782653658438,0.9899690865542684,0.9851241741681227,0.9823949159063495,0.9843462182935252,0.988521033061423,0.9894990332264401,0.9918585964523252,0.991946592584554,0.991946592584554,0.991946592584554,0.9924643746464482,0.9895008578911392,0.9904496362111953,0.9916403212320178,0.9924170713464314
欣赏之情,0.9955597750212145,1.0000000000000004,0.9932188355761716,0.9916164773437934,0.9928044341722292,0.9915340308611976,0.9968802175930008,0.9924327899971038,0.989621276832824,0.9939952710312683,0.9873153012963921,0.993005432872422,0.989469147696556,0.9813362901759921,0.9858459925604599,0.9905258254819277,0.9915302324445165,0.9903364171995229,0.9901439047287648,0.9901439047287648,0.9901439047287648,0.9934812721701464,0.9911233633867946,0.9911128568626775,0.9906719942936444,0.994476705074953
感恩之情,0.9859484240630718,0.9932188355761716,1.0,0.988744347784286,0.9890587507808822,0.9922026836739661,0.9969163841314264,0.9849152521960515,0.9856572898225112,0.988058489476404,0.9849491022305058,0.990140182343009,0.990336216657637,0.9750540668132704,0.9848591893769012,0.9872028813313543,0.9881666446759465,0.985181208010691,0.9848943745533292,0.9848943745533292,0.9848943745533292,0.9896742504878748,0.9860701887281418,0.987793450303427,0.9855216461972033,0.9913473783058033
感激,0.9918912391343783,0.9916164773437934,0.988744347784286,0.9999999999999993,0.9964534274584722,0.9932210036274037,0.9934318104324328,0.9900318941391452,0.9913968839694933,0.990791605001042,0.9833950977934179,0.9899975556406326,0.9879123177024615,0.9845741601328963,0.9885131669929647,0.9915875873276797,0.991452231164117,0.9942561604853333,0.9943527772516562,0.9943527772516562,0.9943527772516562,0.9955835352042758,0.9868894144280566,0.9938690718565002,0.9954960978920641,0.9945374366361546
感谢,0.9922668404199504,0.9928044341722292,0.9890587507808822,0.9964534274584722,1.0,0.9931108141709893,0.993118594912921,0.9908232829183066,0.9922757181315544,0.9915546027671278,0.9854590159922245,0.9920631439003917,0.9894980304300189,0.9864934254026939,0.9880802671812355,0.9925582276300378,0.9924681629684794,0.9947998482934591,0.9946781700678904,0.9946781700678904,0.9946781700678904,0.9967923990238584,0.9879164851316552,0.9961410019308541,0.9959488243543791,0.9953949835168581
感恩,0.9906476230297976,0.9915340308611976,0.9922026836739661,0.9932210036274037,0.9931108141709893,0.9999999999999991,0.9943939727103505,0.9897291650184846,0.9889808125760682,0.9890146052466389,0.9830824780774817,0.9892816080276436,0.9857963532965692,0.9831101102325189,0.9865301716512648,0.9903834257011649,0.9907381101342747,0.9919863767364631,0.9919713790729194,0.9919713790729194,0.9919713790729194,0.9931845915566847,0.9878180106421419,0.9901331715882072,0.9923611572960978,0.9931517517513486
感激之情,0.9916058424312216,0.9968802175930008,0.9969163841314264,0.9934318104324328,0.993118594912921,0.9943939727103505,1.0000000000000004,0.9906664885102955,0.9896023076351866,0.9923737685991327,0.986257321043233,0.9921740015139675,0.9899815283189288,0.9802019554900249,0.9863360844812353,0.9917013919256282,0.992224148516872,0.9903085516448001,0.9901241539252045,0.9901241539252045,0.9901241539252045,0.9940944520379436,0.9894745469133774,0.9912940581234988,0.9910174543149448,0.9951068266927928
债务,0.9920366018771408,0.9924327899971038,0.9849152521960515,0.9900318941391452,0.9908232829183066,0.9897291650184846,0.9906664885102955,0.9999999999999994,0.9916808633023841,0.9952363314602282,0.9873342946072641,0.9915687319758507,0.9864407963630538,0.9834493106447701,0.9835663940965752,0.9875902833675014,0.9888931796508418,0.9908775861788632,0.9916891936417817,0.9916891936417817,0.9916891936417817,0.992260110012829,0.99105583115137,0.9893963758939589,0.9918010908730224,0.9933447935179517
负债,0.9890632662597997,0.989621276832824,0.9856572898225112,0.9913968839694933,0.9922757181315544,0.9889808125760682,0.9896023076351866,0.9916808633023841,1.0000000000000002,0.991959709030606,0.9873390034704245,0.9920373762949982,0.9862080338091882,0.9852438994625224,0.9890646295962328,0.9899169504599467,0.9904514936938612,0.9910857718476782,0.9914864003161455,0.9914864003161455,0.9914864003161455,0.9923075536367607,0.9880037754988118,0.9922368718440127,0.9913749458710083,0.9930946218580762
负债状态,0.9916000352587051,0.9939952710312683,0.988058489476404,0.990791605001042,0.9915546027671278,0.9890146052466389,0.9923737685991327,0.9952363314602282,0.991959709030606,0.9999999999999993,0.9857799892077833,0.9917156582123384,0.9883860835745095,0.9799689656630393,0.9849087616411019,0.9881052692171497,0.9894776234031054,0.9898373784640767,0.9905956712495128,0.9905956712495128,0.9905956712495128,0.9921935226435095,0.9902141699503767,0.9900859310509419,0.9904122431914533,0.9947646841458043
