,пĕрлешĕр,пĕрлешĕ,шуплашĕ,шуплашĕнче,шуплашĕнче,шупаш,шуплашĕ,шуплашĕнче,тӑвакал,тӑвакалăк,йытатнӑ,пӗрлешӗв,йытатнӑ,йытатнӑ,тӑвакал,тӑвакал илтӗр,тӑвакал илтӗр,уяраслатнă,уярасланÿ,уяраслат,уяраслану,апак,хÿтсем,апак,апак ит
пĕрлешĕр,0.9999999999999996,0.9891102822119467,0.9891497055958205,0.9879440929149752,0.9879440929149752,0.9759615648160843,0.9891497055958205,0.9879440929149752,0.9862734681520889,0.9875710036525202,0.9814958711475824,0.9843292318472029,0.9814958711475824,0.9814958711475824,0.9862734681520889,0.9895436163104349,0.9895436163104349,0.9913671227092445,0.9842987594209299,0.9857770151074103,0.9856342524689639,0.9874794694763032,0.9871700774808919,0.9874794694763032,0.9869154813569673
пĕрлешĕ,0.9891102822119467,0.9999999999999991,0.9827523139442932,0.9849614338393079,0.9849614338393079,0.9681637649605432,0.9827523139442932,0.9849614338393079,0.9777435631452807,0.9808501512046994,0.9729592735079905,0.9758009541176914,0.9729592735079905,0.9729592735079905,0.9777435631452807,0.978613308003587,0.978613308003587,0.9840329461203053,0.9781326497071274,0.9740584161194575,0.974346291004467,0.9770644689897168,0.9786522386387764,0.9770644689897168,0.9776398365610353
шуплашĕ,0.9891497055958205,0.9827523139442932,1.0,0.9935467249702628,0.9935467249702628,0.9846263120406716,1.0,0.9935467249702628,0.9941181719332881,0.9947046823934507,0.987586748598299,0.9898970477191782,0.987586748598299,0.987586748598299,0.9941181719332881,0.992781741308565,0.992781741308565,0.9946890873233499,0.9892776754362629,0.9935339489862427,0.9926519023281085,0.9964321915741033,0.9920642962347801,0.9964321915741033,0.9949116881794886
шуплашĕнче,0.9879440929149752,0.9849614338393079,0.9935467249702628,0.9999999999999999,0.9999999999999999,0.9840039889516128,0.9935467249702628,0.9999999999999999,0.9907774896419338,0.9925967655121268,0.9819384021907007,0.984901298710538,0.9819384021907007,0.9819384021907007,0.9907774896419338,0.9869280106067522,0.9869280106067522,0.9917905018526861,0.9864465052577647,0.9857675696164724,0.9862617599103972,0.9901587916631273,0.98595702052088,0.9901587916631273,0.9887643112415515
шуплашĕнче,0.9879440929149752,0.9849614338393079,0.9935467249702628,0.9999999999999999,0.9999999999999999,0.9840039889516128,0.9935467249702628,0.9999999999999999,0.9907774896419338,0.9925967655121268,0.9819384021907007,0.984901298710538,0.9819384021907007,0.9819384021907007,0.9907774896419338,0.9869280106067522,0.9869280106067522,0.9917905018526861,0.9864465052577647,0.9857675696164724,0.9862617599103972,0.9901587916631273,0.98595702052088,0.9901587916631273,0.9887643112415515
шупаш,0.9759615648160843,0.9681637649605432,0.9846263120406716,0.9840039889516128,0.9840039889516128,1.0,0.9846263120406716,0.9840039889516128,0.9793397147511919,0.9822297681898703,0.9704429780771451,0.9734529473405946,0.9704429780771451,0.9704429780771451,0.9793397147511919,0.9747479000654459,0.9747479000654459,0.9809778089002583,0.9742741382730736,0.9759034812986179,0.9754106354820301,0.9809545085216821,0.9743736296216393,0.9809545085216821,0.9789030065459093
шуплашĕ,0.9891497055958205,0.9827523139442932,1.0,0.9935467249702628,0.9935467249702628,0.9846263120406716,1.0,0.9935467249702628,0.9941181719332881,0.9947046823934507,0.987586748598299,0.9898970477191782,0.987586748598299,0.987586748598299,0.9941181719332881,0.992781741308565,0.992781741308565,0.9946890873233499,0.9892776754362629,0.9935339489862427,0.9926519023281085,0.9964321915741033,0.9920642962347801,0.9964321915741033,0.9949116881794886
шуплашĕнче,0.9879440929149752,0.9849614338393079,0.9935467249702628,0.9999999999999999,0.9999999999999999,0.9840039889516128,0.9935467249702628,0.9999999999999999,0.9907774896419338,0.9925967655121268,0.9819384021907007,0.984901298710538,0.9819384021907007,0.9819384021907007,0.9907774896419338,0.9869280106067522,0.9869280106067522,0.9917905018526861,0.9864465052577647,0.9857675696164724,0.9862617599103972,0.9901587916631273,0.98595702052088,0.9901587916631273,0.9887643112415515
тӑвакал,0.9862734681520889,0.9777435631452807,0.9941181719332881,0.9907774896419338,0.9907774896419338,0.9793397147511919,0.9941181719332881,0.9907774896419338,0.9999999999999992,0.9958346610118717,0.9878672190513219,0.991287223337007,0.9878672190513219,0.9878672190513219,0.9999999999999992,0.9935606271303393,0.99356062713034,0.993394726954836,0.9904607381562052,0.9923135271496477,0.9916501159471982,0.9952378395386268,0.9902594895124094,0.9952378395386268,0.9929611801066003
тӑвакалăк,0.9875710036525202,0.9808501512046994,0.9947046823934507,0.9925967655121268,0.9925967655121268,0.9822297681898703,0.9947046823934507,0.9925967655121268,0.9958346610118717,0.9999999999999997,0.983988749853705,0.9878270564640688,0.983988749853705,0.983988749853705,0.9958346610118717,0.9905191521030303,0.990519152103031,0.9937234491521142,0.9903633405296427,0.9899658776972237,0.9888513733896219,0.9937747718869062,0.9895336354023376,0.9937747718869062,0.9912133843832107
