,apprezzà,apprezzamentu,ricunniscente,gratitùdine,gratitùdine,grazie,ricunniscente,gratitùdine,indebitata,indebitatu,indebitu,obbligazione,obbligata,obbligatu,obbligazione,duvè,duvendu,indebitu,scusèvule,scuse,scusà,scusa,scusate,pèrmittimi,scusami,tristezza,mi dispiace
apprezzà,0.9999999999999998,0.9955734133995936,0.9932069031611575,0.9910388486230617,0.9910388486230617,0.9835179495979615,0.9932069031611575,0.9910388486230617,0.9909006026931967,0.9814877453978967,0.9925264501390672,0.9932686684482005,0.9847777226046444,0.9928140837265871,0.9932686684482005,0.9936032851791281,0.991050696648545,0.9925264501390672,0.9870650314521127,0.9947839363505643,0.993724355160335,0.993724355160335,0.9959770656757261,0.9924631795964856,0.9945132029885116,0.994600803692088,0.9965856373562562
apprezzamentu,0.9955734133995936,0.9999999999999994,0.9951281904086553,0.9924844496990524,0.9924844496990524,0.9823956039812034,0.9951281904086553,0.9924844496990524,0.9932823447276833,0.9866684149350485,0.9954520651858958,0.994579501480685,0.986514031295976,0.9955261303668254,0.994579501480685,0.9948620588151706,0.9942832227127705,0.9954520651858958,0.9879918535032688,0.9951149129125091,0.9937814934961142,0.9937814934961142,0.9955391839620852,0.9933928586253725,0.9949986593420346,0.9926639314217073,0.9945379310633131
ricunniscente,0.9932069031611575,0.9951281904086553,1.0,0.9926916822692082,0.9926916822692082,0.9818203260297597,1.0,0.9926916822692082,0.9931992081109249,0.9863541379673634,0.9942454075589242,0.9941495118310616,0.9848745196666301,0.9929661842826382,0.9941495118310616,0.9937181636804766,0.9918380646305048,0.9942454075589242,0.9859821214507838,0.9938848409742356,0.9934464115768089,0.9934464115768089,0.9942243732818855,0.9921867963227501,0.9936419327874045,0.9929717267898133,0.9932876094428544
gratitùdine,0.9910388486230617,0.9924844496990524,0.9926916822692082,0.9999999999999998,0.9999999999999998,0.9783533990194797,0.9926916822692082,0.9999999999999998,0.9914519700239343,0.9839951943245403,0.9930396389773543,0.9931280329777266,0.9827680854437536,0.9893649953743043,0.9931280329777266,0.9926618853984349,0.9929021901840765,0.9930396389773543,0.9851550359189707,0.9930020593808796,0.9920397823932391,0.9920397823932391,0.9926210089022302,0.9891349639884262,0.9923914822303577,0.992227944514865,0.992525885266602
gratitùdine,0.9910388486230617,0.9924844496990524,0.9926916822692082,0.9999999999999998,0.9999999999999998,0.9783533990194797,0.9926916822692082,0.9999999999999998,0.9914519700239343,0.9839951943245403,0.9930396389773543,0.9931280329777266,0.9827680854437536,0.9893649953743043,0.9931280329777266,0.9926618853984349,0.9929021901840765,0.9930396389773543,0.9851550359189707,0.9930020593808796,0.9920397823932391,0.9920397823932391,0.9926210089022302,0.9891349639884262,0.9923914822303577,0.992227944514865,0.992525885266602
grazie,0.9835179495979615,0.9823956039812034,0.9818203260297597,0.9783533990194797,0.9783533990194797,0.9999999999999992,0.9818203260297597,0.9783533990194797,0.979465907767982,0.9714716106305056,0.9805135713203094,0.9827586038853806,0.9737057176305287,0.9843058887786851,0.9827586038853806,0.9821487268065856,0.9790458460152154,0.9805135713203094,0.9788097361841067,0.9817954875505939,0.9825612366063565,0.9825612366063565,0.9851767210055101,0.9820570557922769,0.9836350595614864,0.9855396902624337,0.985113228045962
ricunniscente,0.9932069031611575,0.9951281904086553,1.0,0.9926916822692082,0.9926916822692082,0.9818203260297597,1.0,0.9926916822692082,0.9931992081109249,0.9863541379673634,0.9942454075589242,0.9941495118310616,0.9848745196666301,0.9929661842826382,0.9941495118310616,0.9937181636804766,0.9918380646305048,0.9942454075589242,0.9859821214507838,0.9938848409742356,0.9934464115768089,0.9934464115768089,0.9942243732818855,0.9921867963227501,0.9936419327874045,0.9929717267898133,0.9932876094428544
gratitùdine,0.9910388486230617,0.9924844496990524,0.9926916822692082,0.9999999999999998,0.9999999999999998,0.9783533990194797,0.9926916822692082,0.9999999999999998,0.9914519700239343,0.9839951943245403,0.9930396389773543,0.9931280329777266,0.9827680854437536,0.9893649953743043,0.9931280329777266,0.9926618853984349,0.9929021901840765,0.9930396389773543,0.9851550359189707,0.9930020593808796,0.9920397823932391,0.9920397823932391,0.9926210089022302,0.9891349639884262,0.9923914822303577,0.992227944514865,0.992525885266602
indebitata,0.9909006026931967,0.9932823447276833,0.9931992081109249,0.9914519700239343,0.9914519700239343,0.979465907767982,0.9931992081109249,0.9914519700239343,0.9999999999999998,0.9875562652563812,0.9954830572427185,0.9930767106356826,0.987300945608303,0.9925284820118663,0.9930767106356826,0.9921149302798875,0.9916737354431802,0.9954830572427192,0.9868745655696258,0.9938763979432114,0.9945612462775542,0.9945612462775542,0.9936436331855623,0.9897210921930232,0.9944682831323804,0.9903948246047799,0.9910179195793933
indebitatu,0.9814877453978967,0.9866684149350485,0.9863541379673634,0.9839951943245403,0.9839951943245403,0.9714716106305056,0.9863541379673634,0.9839951943245403,0.9875562652563812,0.9999999999999993,0.990013232818193,0.9835125303573355,0.9759117578751574,0.9861197351556469,0.9835125303573355,0.9817828500633657,0.984626557179546,0.9900132328181925,0.9778948019851218,0.9844059524839934,0.9844752017877298,0.9844752017877298,0.9839941863817674,0.9811297607796777,0.9850548121446122,0.9814727197346518,0.9815459747685479
