,cijeniti,cijenjenje,zahvalan,zahvalna,zahvalnost,zahvalnost,hvala,zahvalan,zahvalna,zahvalnost,zadužen,zadužena,zaduženost,obveza,obavezan,obavezna,obveza,dugovati,dugujem,u dugu,ispričavajući,isprike,isprika,oprostite,oprostite,žalost,oprosti,ispričati se
cijeniti,0.9999999999999992,0.9923723623236785,0.9886638351088266,0.9876789838104892,0.990398387382233,0.990398387382233,0.9864627254260093,0.9886638351088266,0.9876789838104895,0.9903983873822343,0.9910141948329418,0.9907414823203882,0.9897672251070001,0.9871243209621522,0.9897753244817832,0.9875122418979803,0.9871243209621522,0.9906432411120917,0.9910129267077128,0.991237905904122,0.9936611310640371,0.989332289249392,0.9899720119939884,0.9889163728226253,0.9889163728226253,0.9867842796755517,0.9914613524947136,0.9945259892031415
cijenjenje,0.9923723623236785,0.9999999999999998,0.9910802107826843,0.9893971172748558,0.9936373356843509,0.9936373356843509,0.991147572877328,0.9910802107826843,0.9893971172748574,0.9936373356843501,0.9914271383837351,0.9911113454154717,0.9941015380931302,0.9911563988855465,0.9934377538157977,0.9902753124419188,0.9911563988855465,0.9936454601000028,0.9920161927911629,0.9908503575940324,0.9919390511604512,0.9916468200800508,0.9929947833282114,0.9921996376289386,0.9921996376289386,0.9895772080653692,0.9919599620918869,0.9917436355565427
zahvalan,0.9886638351088266,0.9910802107826843,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9942552778076,0.9960080691277784,0.9920065889840181,0.9942552778076,0.993380386561626,0.9928182288362635,0.9914530423559721,0.9921518027623062,0.9916824111797503,0.9935856153859707,0.9931910915402259,0.9931910915402259,0.9926808178284262,0.9930570117442498,0.9912518659940781
zahvalna,0.9876789838104892,0.9893971172748558,0.9944306777245904,1.0,0.9968267524379455,0.9968267524379455,0.988625060380875,0.9944306777245904,0.9999999999999994,0.996826752437946,0.994452701203919,0.9958128538469897,0.992222648328642,0.9942097600278297,0.9938495367108621,0.9949866580224829,0.9942097600278297,0.9918934964692131,0.9924382179247064,0.9932331975227164,0.9932118218461509,0.9909470504569586,0.9917868600063177,0.9925436095961858,0.9925436095961858,0.9938165660352862,0.9932090927343042,0.9908646423923722
zahvalnost,0.990398387382233,0.9936373356843509,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9954737894351062,0.9954106724106008,0.9948037156418803,0.9954737894351062,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940514768113808,0.9930819475768107,0.9940634360870381,0.995229834232621,0.995229834232621,0.9945397565579916,0.995061933684167,0.9932996204226138
zahvalnost,0.990398387382233,0.9936373356843509,0.9951732459721468,0.9968267524379455,0.9999999999999999,0.9999999999999999,0.9915394952006655,0.9951732459721468,0.996826752437946,1.000000000000001,0.9940901351537192,0.9951111967027533,0.9965097594711553,0.9954737894351062,0.9954106724106008,0.9948037156418803,0.9954737894351062,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940514768113808,0.9930819475768107,0.9940634360870381,0.995229834232621,0.995229834232621,0.9945397565579916,0.995061933684167,0.9932996204226138
hvala,0.9864627254260093,0.991147572877328,0.9915072756177907,0.988625060380875,0.9915394952006655,0.9915394952006655,0.9999999999999998,0.9915072756177907,0.9886250603808746,0.9915394952006662,0.9889282344523258,0.9890808404423194,0.9904236449117894,0.9919068478061462,0.9931934033252902,0.9891727168652207,0.9919068478061462,0.9928212216198934,0.9907363757945212,0.989375035155157,0.9891124862224783,0.9912440756314864,0.9917652928017942,0.9908535937415739,0.9908535937415739,0.9910726298223479,0.9902504121962188,0.9887843596967046
zahvalan,0.9886638351088266,0.9910802107826843,0.9999999999999994,0.9944306777245904,0.9951732459721468,0.9951732459721468,0.9915072756177907,0.9999999999999994,0.9944306777245907,0.9951732459721471,0.9931549608089065,0.9924972498804462,0.9923488292030352,0.9942552778076,0.9960080691277784,0.9920065889840181,0.9942552778076,0.993380386561626,0.9928182288362635,0.9914530423559721,0.9921518027623062,0.9916824111797503,0.9935856153859707,0.9931910915402259,0.9931910915402259,0.9926808178284262,0.9930570117442498,0.9912518659940781
zahvalna,0.9876789838104895,0.9893971172748574,0.9944306777245907,0.9999999999999994,0.996826752437946,0.996826752437946,0.9886250603808746,0.9944306777245907,1.0,0.9968267524379455,0.9944527012039186,0.9958128538469898,0.992222648328641,0.9942097600278299,0.993849536710863,0.9949866580224836,0.9942097600278297,0.9918934964692131,0.9924382179247064,0.9932331975227164,0.9932118218461509,0.9909470504569586,0.9917868600063177,0.9925436095961858,0.9925436095961858,0.9938165660352862,0.9932090927343042,0.9908646423923722
zahvalnost,0.9903983873822343,0.9936373356843501,0.9951732459721471,0.996826752437946,1.000000000000001,1.000000000000001,0.9915394952006662,0.9951732459721471,0.9968267524379455,0.9999999999999999,0.99409013515372,0.9951111967027528,0.996509759471156,0.9954737894351058,0.995410672410601,0.9948037156418804,0.9954737894351062,0.9941817083269165,0.9935731287360314,0.993609375986505,0.9940514768113808,0.9930819475768107,0.9940634360870381,0.995229834232621,0.995229834232621,0.9945397565579916,0.995061933684167,0.9932996204226138
