,ocenit,ocenění,vděčná,vděčný,vděčnost,vděčnost,děkuji,vděčná,vděčný,vděčnost,zadlužená,zadlužený,zadluženost,povinnost,závazek,povinný,závazný,závazek,dlužit,dlužím,zadlužený,omluvný,omluvy,omluva,promiňte,lítost,promiň,odpusťte mi,omluvit se
ocenit,1.0000000000000002,0.9938429258852399,0.9952120539816202,0.9942423274727935,0.9945205426595167,0.9945205426595167,0.9950179744170321,0.9952120539816202,0.9942423274727937,0.9945205426595163,0.9929840835119365,0.9941586164680191,0.9919718830245471,0.9950310938696769,0.9937065126109582,0.9944751247157134,0.99531673373728,0.9937065126109582,0.9936585870540412,0.9948787614492868,0.9941586164680191,0.992374529841511,0.9927207009207185,0.990197692645315,0.9939232867992815,0.9968743903386711,0.9946805939038983,0.9919117025686754,0.9960598590430235
ocenění,0.9938429258852399,0.999999999999999,0.9918601863233532,0.9898587640733996,0.9920631211876975,0.9920631211876975,0.9921278553876035,0.9918601863233532,0.9898587640733995,0.9920631211876987,0.9896225243544569,0.9910542922968106,0.989873585749633,0.9922548522646473,0.9910451849409793,0.9910020034040444,0.9917738116930269,0.9910451849409793,0.9894389414594891,0.9918154998771834,0.9910542922968106,0.988847883844581,0.9903765201087712,0.987100847750767,0.9901203488599936,0.9921117986459691,0.9915884104476982,0.9892203862825402,0.9920636784006565
vděčná,0.9952120539816202,0.9918601863233532,0.9999999999999996,0.9969594832189956,0.9973088564841417,0.9973088564841417,0.9941147857451587,0.9999999999999996,0.996959483218995,0.9973088564841418,0.9950390464420314,0.9951376245335528,0.9930189564640335,0.9955080022063987,0.994060640516778,0.9963726588868883,0.9965009330132425,0.994060640516778,0.993752029243033,0.9954200714788466,0.9951376245335528,0.9935367427430701,0.9916875600935482,0.9880484220465309,0.9946473170929182,0.9956722666745252,0.9950637738499215,0.9941119035533237,0.9956533892636348
vděčný,0.9942423274727935,0.9898587640733996,0.9969594832189956,0.9999999999999998,0.9957562794853241,0.9957562794853241,0.9930259832047974,0.9969594832189956,1.0000000000000002,0.9957562794853243,0.9930632861401686,0.9952027992795858,0.9907858735285308,0.9945537081453805,0.9924242504618783,0.9968140842053274,0.9962140502313434,0.9924242504618783,0.9944669952785852,0.9954936069019675,0.9952027992795858,0.9952592733762614,0.9913023935646866,0.9866041721558816,0.9935365586307,0.9956244784448129,0.9935807614804245,0.993199551936672,0.9941807184916457
vděčnost,0.9945205426595167,0.9920631211876975,0.9973088564841417,0.9957562794853241,1.0000000000000002,1.0000000000000002,0.9928958557653162,0.9973088564841417,0.9957562794853243,1.0,0.9932574676297664,0.9938718940369462,0.9952052249561123,0.9965871019698215,0.9935944072616625,0.9949709020889023,0.9949134068326421,0.9935944072616625,0.9917218447924722,0.9940367572137127,0.9938718940369462,0.9914391587667212,0.9901479883459455,0.9865274971789,0.9933874627473709,0.9949269958471723,0.9935745727647627,0.9936539518153299,0.9938815696178718
vděčnost,0.9945205426595167,0.9920631211876975,0.9973088564841417,0.9957562794853241,1.0000000000000002,1.0000000000000002,0.9928958557653162,0.9973088564841417,0.9957562794853243,1.0,0.9932574676297664,0.9938718940369462,0.9952052249561123,0.9965871019698215,0.9935944072616625,0.9949709020889023,0.9949134068326421,0.9935944072616625,0.9917218447924722,0.9940367572137127,0.9938718940369462,0.9914391587667212,0.9901479883459455,0.9865274971789,0.9933874627473709,0.9949269958471723,0.9935745727647627,0.9936539518153299,0.9938815696178718
děkuji,0.9950179744170321,0.9921278553876035,0.9941147857451587,0.9930259832047974,0.9928958557653162,0.9928958557653162,0.9999999999999998,0.9941147857451587,0.9930259832047982,0.9928958557653164,0.9922963661681959,0.9934669045827733,0.9895482267342548,0.9930027462397245,0.9919005092092031,0.9933729111563286,0.9940014723280979,0.9919005092092031,0.9935134288522006,0.9936188713441376,0.9934669045827733,0.9905909446092744,0.9902600584747179,0.9875656834663744,0.993328948188733,0.9951254364809013,0.9935292296931728,0.9918374082093594,0.9947488537443375
vděčná,0.9952120539816202,0.9918601863233532,0.9999999999999996,0.9969594832189956,0.9973088564841417,0.9973088564841417,0.9941147857451587,0.9999999999999996,0.996959483218995,0.9973088564841418,0.9950390464420314,0.9951376245335528,0.9930189564640335,0.9955080022063987,0.994060640516778,0.9963726588868883,0.9965009330132425,0.994060640516778,0.993752029243033,0.9954200714788466,0.9951376245335528,0.9935367427430701,0.9916875600935482,0.9880484220465309,0.9946473170929182,0.9956722666745252,0.9950637738499215,0.9941119035533237,0.9956533892636348
vděčný,0.9942423274727937,0.9898587640733995,0.996959483218995,1.0000000000000002,0.9957562794853243,0.9957562794853243,0.9930259832047982,0.996959483218995,0.9999999999999998,0.9957562794853241,0.9930632861401705,0.9952027992795857,0.9907858735285303,0.9945537081453814,0.9924242504618793,0.9968140842053268,0.9962140502313434,0.9924242504618783,0.9944669952785852,0.9954936069019675,0.9952027992795858,0.9952592733762614,0.9913023935646866,0.9866041721558816,0.9935365586307,0.9956244784448129,0.9935807614804245,0.993199551936672,0.9941807184916457
vděčnost,0.9945205426595163,0.9920631211876987,0.9973088564841418,0.9957562794853243,1.0,1.0,0.9928958557653164,0.9973088564841418,0.9957562794853241,1.0000000000000002,0.9932574676297663,0.9938718940369461,0.9952052249561117,0.9965871019698214,0.9935944072616629,0.9949709020889019,0.9949134068326421,0.9935944072616625,0.9917218447924722,0.9940367572137127,0.9938718940369462,0.9914391587667212,0.9901479883459455,0.9865274971789,0.9933874627473709,0.9949269958471723,0.9935745727647627,0.9936539518153299,0.9938815696178718
