,værdsætte,værdsættelse,taknemmelig,taknemmelighed,taknemmelighed,tak,taknemmelig,taknemmelighed,forgældet,gældsætning,forpligtelse,forpligtet,forpligtelse,skylde,skyldende,undskyldende,undskyldninger,undskylde,undskyldning,beklagelse,undskyld,tilgiv mig,undskyld mig
værdsætte,0.9999999999999996,0.9959734194112762,0.9912776906260665,0.9920050489206874,0.9920050489206874,0.9884718554129102,0.9912776906260665,0.9920050489206874,0.9935161247213947,0.9938451091693955,0.9916182048868112,0.9925134153816597,0.9916182048868112,0.9906102916962383,0.9867982479525995,0.9912045976786416,0.9917608515921367,0.9918813743477699,0.9886798393960518,0.9920362792868591,0.9920315783953031,0.9929957999517055,0.9919335997144674
værdsættelse,0.9959734194112762,1.0,0.9942092287267563,0.9954768464649665,0.9954768464649665,0.9892401127395308,0.9942092287267563,0.9954768464649665,0.9946732322888999,0.9964299158813452,0.9953030054191981,0.9920433445870473,0.9953030054191981,0.9940075108293689,0.9904847050265105,0.9922239815790976,0.9964443756378979,0.993159738999323,0.9944699882124027,0.9968327543711211,0.9939751576702965,0.9924157415249274,0.9924498581691045
taknemmelig,0.9912776906260665,0.9942092287267563,0.9999999999999994,0.996980598532907,0.996980598532907,0.9948846491419887,0.9999999999999994,0.996980598532907,0.9911923469786871,0.9930852002181856,0.9927648704070634,0.991285251010075,0.9927648704070634,0.995275049160338,0.9911622235442176,0.9934659132850281,0.9957864620964846,0.9946263391110436,0.9932608833377546,0.9958375020976176,0.9953255846220089,0.9933219214167305,0.9944131655131374
taknemmelighed,0.9920050489206874,0.9954768464649665,0.996980598532907,0.9999999999999997,0.9999999999999997,0.9920302870607781,0.996980598532907,0.9999999999999997,0.9918500108331989,0.9955927840750608,0.9955934843142146,0.9908788132145588,0.9955934843142146,0.9946996284268098,0.9910036244197638,0.9917828335442458,0.9961883585065513,0.9927765222374739,0.9933403020635946,0.9963961414916358,0.9935154335400783,0.9932260337773077,0.9924295747940911
taknemmelighed,0.9920050489206874,0.9954768464649665,0.996980598532907,0.9999999999999997,0.9999999999999997,0.9920302870607781,0.996980598532907,0.9999999999999997,0.9918500108331989,0.9955927840750608,0.9955934843142146,0.9908788132145588,0.9955934843142146,0.9946996284268098,0.9910036244197638,0.9917828335442458,0.9961883585065513,0.9927765222374739,0.9933403020635946,0.9963961414916358,0.9935154335400783,0.9932260337773077,0.9924295747940911
tak,0.9884718554129102,0.9892401127395308,0.9948846491419887,0.9920302870607781,0.9920302870607781,0.9999999999999994,0.9948846491419887,0.9920302870607781,0.9854670671039161,0.9885684190287496,0.988057035609141,0.9882829195944226,0.988057035609141,0.9909582783970386,0.984886780988482,0.9905779194945404,0.9897036659986903,0.9918614711078789,0.9870258152762607,0.9905235114716195,0.9918663004666978,0.9918506741076197,0.9927065332731217
taknemmelig,0.9912776906260665,0.9942092287267563,0.9999999999999994,0.996980598532907,0.996980598532907,0.9948846491419887,0.9999999999999994,0.996980598532907,0.9911923469786871,0.9930852002181856,0.9927648704070634,0.991285251010075,0.9927648704070634,0.995275049160338,0.9911622235442176,0.9934659132850281,0.9957864620964846,0.9946263391110436,0.9932608833377546,0.9958375020976176,0.9953255846220089,0.9933219214167305,0.9944131655131374
taknemmelighed,0.9920050489206874,0.9954768464649665,0.996980598532907,0.9999999999999997,0.9999999999999997,0.9920302870607781,0.996980598532907,0.9999999999999997,0.9918500108331989,0.9955927840750608,0.9955934843142146,0.9908788132145588,0.9955934843142146,0.9946996284268098,0.9910036244197638,0.9917828335442458,0.9961883585065513,0.9927765222374739,0.9933403020635946,0.9963961414916358,0.9935154335400783,0.9932260337773077,0.9924295747940911
forgældet,0.9935161247213947,0.9946732322888999,0.9911923469786871,0.9918500108331989,0.9918500108331989,0.9854670671039161,0.9911923469786871,0.9918500108331989,0.9999999999999997,0.9944264631992874,0.9921873110538212,0.9927085316857914,0.9921873110538212,0.9906451062543905,0.9897670843227081,0.9893860370408543,0.9931765883952255,0.9885382071167402,0.9900076930916979,0.9924994069848118,0.9899318335966247,0.9886946300377829,0.9876558762663793
gældsætning,0.9938451091693955,0.9964299158813452,0.9930852002181856,0.9955927840750608,0.9955927840750608,0.9885684190287496,0.9930852002181856,0.9955927840750608,0.9944264631992874,1.0000000000000004,0.9940611823044228,0.9906237272986108,0.9940611823044228,0.9922800849354376,0.9888919653110425,0.9897845319727713,0.9944259720308659,0.9905879240148007,0.992462802945799,0.994034621303329,0.9919050764967028,0.9911246000145926,0.9908752135676044
