,ޝުކުރިއްޔާކުރެވޭ,ޝުކުރިއްޔާ,ޝުކުރިއްޔާ,ޝުކުރިއްޔާ,ޝުކުރިއްޔާކުރެވޭ,ޝުކުރިއްޔާ,ކަމެއް ކުރެވޭ,ކަމެއް ކުރެވޭ ކަމުން,ނެރުވެރި,ދަނޑުކުރެވި,މަދުވެރި,ދަނޑުކުރެވި,ދަނޑުކުރެވި,ނެރުވެރި,ނެރު ދިނުން,މަދުވެރި ހެދި,ޚާއްސަންވި,ޚާއްސަންތައް,ޚާއްސަންކޮށް,ޚާއްސަން,ނޫންކޮށް,ނޫންކޮށް,ރަށްވިއްޖެ,ނޫންކޮށް
ޝުކުރިއްޔާކުރެވޭ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ޝުކުރިއްޔާ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ޝުކުރިއްޔާ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ޝުކުރިއްޔާ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ޝުކުރިއްޔާކުރެވޭ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ޝުކުރިއްޔާ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9956998922967601,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ކަމެއް ކުރެވޭ,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.99968289156115,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999988,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453
ކަމެއް ކުރެވޭ ކަމުން,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.9956998922967601,0.99968289156115,0.9999999999999996,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9996828915611496,0.9996828915611496,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599,0.9956998922967599
ނެރުވެރި,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
ދަނޑުކުރެވި,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9956998922967599,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997
