,waarderen,waardering,dankbaar,dankbaarheid,bedanken,dankbaar,verschuldigd,schuld,verplichting,verplicht,schuldig,schuldig zijn,verontschuldigend,verontschuldigingen,verontschuldigen,verontschuldiging,pardon,spijt,sorry,excuseer me,neem me niet kwalijk,vergeef me
waarderen,0.9999999999999996,0.9950052607139954,0.9934382427392243,0.9892858032227373,0.9922391744848742,0.9934382427392243,0.991811840697322,0.9919443397554154,0.9938369870487138,0.9924102723152383,0.9924593353309203,0.9907041288672042,0.9932560842709426,0.993194948792939,0.9931889928532542,0.9897647504896647,0.9924675087342549,0.9923548329699121,0.9860998086485971,0.9899107640205465,0.9895667139407448,0.9926580101634962
waardering,0.9950052607139954,0.9999999999999997,0.9912967931582173,0.9912412961862864,0.9906998732838364,0.9912967931582173,0.990601219425946,0.9900344304883143,0.9940744417524934,0.990997555869763,0.9900487818445889,0.9880728516052579,0.9924292020517351,0.9933655540757576,0.9909542782022868,0.9917908801168297,0.9905940349787858,0.9902754622610828,0.9828399025120247,0.9861788066035232,0.9868625292923836,0.9894233532425909
dankbaar,0.9934382427392243,0.9912967931582173,0.999999999999999,0.9942832376873055,0.992122255171079,0.999999999999999,0.9933558715556052,0.9949810492432997,0.9945005936163258,0.9961853850773191,0.9957621964051515,0.994841138314849,0.9951866641573853,0.9926451762168208,0.9945535987972589,0.9892181361315338,0.9940327678383475,0.9920748966717154,0.9910865563374363,0.990377849529172,0.9943715343884773,0.993795279194845
dankbaarheid,0.9892858032227373,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9865384377526835,0.9942832376873055,0.9870571628883541,0.9891777477342545,0.9908627950026733,0.9904317788889848,0.9888159942363555,0.9887515531099594,0.9899306080726508,0.9896116593912195,0.9883726396401281,0.9862881884930441,0.9885488575237499,0.986840405032551,0.9828112074523565,0.9830559271875993,0.9893922467560722,0.9883574519143905
bedanken,0.9922391744848742,0.9906998732838364,0.992122255171079,0.9865384377526835,1.0,0.992122255171079,0.9901482154841168,0.9909957316935154,0.9922518905398426,0.9914428103668659,0.9913337745451097,0.9893642461920574,0.9910120354860825,0.9910901373709363,0.9916281871457887,0.9895616028588705,0.9913937531679587,0.9917686400032373,0.9865095752162311,0.9886683033471456,0.9880293323456141,0.9909022618688103
dankbaar,0.9934382427392243,0.9912967931582173,0.999999999999999,0.9942832376873055,0.992122255171079,0.999999999999999,0.9933558715556052,0.9949810492432997,0.9945005936163258,0.9961853850773191,0.9957621964051515,0.994841138314849,0.9951866641573853,0.9926451762168208,0.9945535987972589,0.9892181361315338,0.9940327678383475,0.9920748966717154,0.9910865563374363,0.990377849529172,0.9943715343884773,0.993795279194845
verschuldigd,0.991811840697322,0.990601219425946,0.9933558715556052,0.9870571628883541,0.9901482154841168,0.9933558715556052,0.9999999999999992,0.992690846214962,0.9939197765853044,0.9953151431535463,0.995055256288169,0.9938229179118886,0.9967382150605619,0.9928734806198913,0.9964261775368831,0.9913558590713063,0.9925519121480885,0.9917842494923297,0.9871589649351693,0.9891197679913631,0.9899065872249823,0.9910381853380158
schuld,0.9919443397554154,0.9900344304883143,0.9949810492432997,0.9891777477342545,0.9909957316935154,0.9949810492432997,0.992690846214962,1.0000000000000002,0.9932403202236529,0.9953649589912048,0.9978256514071631,0.9957960070083681,0.9942131878088613,0.9933372322606194,0.9948268644721757,0.991026228877319,0.99488476848086,0.9911407753931244,0.9913753917770237,0.991210524838126,0.9925573966753518,0.9936887056009114
verplichting,0.9938369870487138,0.9940744417524934,0.9945005936163258,0.9908627950026733,0.9922518905398426,0.9945005936163258,0.9939197765853044,0.9932403202236529,0.9999999999999994,0.9955577040178112,0.9938571703680873,0.991535391622039,0.9952368327066461,0.995688442588126,0.9948299825422444,0.9944005784462715,0.9926892826498599,0.992777339487535,0.9860322003262121,0.9889981305445771,0.9897062956020957,0.9919315903398411
verplicht,0.9924102723152383,0.990997555869763,0.9961853850773191,0.9904317788889848,0.9914428103668659,0.9961853850773191,0.9953151431535463,0.9953649589912048,0.9955577040178112,0.999999999999999,0.9963031307079113,0.9954071004428615,0.9968189909604726,0.992443068167165,0.9955379546318566,0.9900918600355637,0.9936066570969075,0.9920767692306068,0.990102568386932,0.9901948084855569,0.9932179631835447,0.9941256050758237
