,قدّر,تقدير,ممتنة,ممتن,امتنان,امتنان,شكراً,شاكرة,شاكر,امتنان,مديون,المديونية,التزام,مجبر,مضطر,التزام,عليه دين,مديون بـ,معتذر,اعتذارات,يعتذر,اعتذار,سامحني,الأسف,آسف,لو سمحت
قدّر,0.9999999999999993,0.9856318626269455,0.9853622748670076,0.9879194311452009,0.9846688261799301,0.9846688261799301,0.9871831346474808,0.9864279882804582,0.9870947235700335,0.9846688261799303,0.986269133754464,0.9830166497851928,0.98569221806047,0.9868353234055812,0.9864347436829152,0.98569221806047,0.9867380110491414,0.9858625355765266,0.9868110077376883,0.9837574578565268,0.9855009706278407,0.9846399758405253,0.9864526998134548,0.9875052216903707,0.9896647201663825,0.9847175042837334
تقدير,0.9856318626269455,1.0,0.9946146746512478,0.9949986358979239,0.9898331213851259,0.9898331213851259,0.994338625647972,0.9957869248712019,0.9947863651092984,0.9898331213851261,0.9937784166021156,0.9912879544522777,0.9943489494598468,0.9957613842054497,0.99371518104429,0.9943489494598468,0.9942620307303807,0.9937562890771591,0.9931944741255969,0.9951644425279348,0.9946960252298878,0.9956411674385833,0.9927956515816438,0.9944952283398366,0.994776935722812,0.9926200971975847
ممتنة,0.9853622748670076,0.9946146746512478,0.9999999999999999,0.9974888464456076,0.9906482932575521,0.9906482932575521,0.9945311641896664,0.9975408493607961,0.9957085481731702,0.9906482932575525,0.9957922224151299,0.995201031973613,0.9936868145226916,0.9978264985853966,0.9945768378079491,0.9936868145226916,0.9948310735758624,0.9965395963955809,0.9946094956667645,0.9961065135956298,0.994529847297365,0.9962203575111599,0.9930087357754135,0.9944399091831948,0.9958937314765096,0.9934134688870061
ممتن,0.9879194311452009,0.9949986358979239,0.9974888464456076,0.9999999999999998,0.9927002836316257,0.9927002836316257,0.9961756130359389,0.996617268122135,0.9957185686442326,0.9927002836316247,0.9955588399957176,0.9924138448175609,0.9957531028405072,0.9975460840631534,0.9968345263206011,0.9957531028405072,0.9964889045435495,0.9954937035752159,0.9965275789217553,0.9960699117421161,0.9960331503200511,0.9966162742009985,0.9939860557468425,0.9952249449354855,0.9968998891711565,0.9951919419086058
امتنان,0.9846688261799301,0.9898331213851259,0.9906482932575521,0.9927002836316257,0.9999999999999993,0.9999999999999993,0.9919139324298059,0.9909110051437531,0.9902788373857478,1.0000000000000002,0.9906510943286225,0.9869998134449454,0.9902968929598607,0.9916577807772078,0.991571213888074,0.9902968929598607,0.9914888801076599,0.9898403545571498,0.9925064050941024,0.9914625677849022,0.9918339518248271,0.9923210684438137,0.9885796424070327,0.9907672914340107,0.9916387550888506,0.9910021517640023
امتنان,0.9846688261799301,0.9898331213851259,0.9906482932575521,0.9927002836316257,0.9999999999999993,0.9999999999999993,0.9919139324298059,0.9909110051437531,0.9902788373857478,1.0000000000000002,0.9906510943286225,0.9869998134449454,0.9902968929598607,0.9916577807772078,0.991571213888074,0.9902968929598607,0.9914888801076599,0.9898403545571498,0.9925064050941024,0.9914625677849022,0.9918339518248271,0.9923210684438137,0.9885796424070327,0.9907672914340107,0.9916387550888506,0.9910021517640023
شكراً,0.9871831346474808,0.994338625647972,0.9945311641896664,0.9961756130359389,0.9919139324298059,0.9919139324298059,0.9999999999999991,0.9964822907396793,0.9970531729327209,0.9919139324298059,0.992794073765543,0.990678082023324,0.9944061147475919,0.9964915640245697,0.9971203795480057,0.9944061147475919,0.9957767340484197,0.9932994730791811,0.995535527477852,0.9957029765420314,0.9954917844920074,0.9960796403175777,0.9959760266974365,0.9948590089807446,0.9966654470598764,0.9953012568547508
شاكرة,0.9864279882804582,0.9957869248712019,0.9975408493607961,0.996617268122135,0.9909110051437531,0.9909110051437531,0.9964822907396793,1.0000000000000002,0.9978290686398856,0.9909110051437531,0.9955636988091178,0.995397846364662,0.9941511880380659,0.9983627511560114,0.9948837556966803,0.9941511880380659,0.9954753660947624,0.9962872906557013,0.9948280002916862,0.9971083195654898,0.995152704055523,0.9967771611945302,0.9947734326869543,0.995893828813868,0.9968764185808606,0.9932413630041828
شاكر,0.9870947235700335,0.9947863651092984,0.9957085481731702,0.9957185686442326,0.9902788373857478,0.9902788373857478,0.9970531729327209,0.9978290686398856,1.0000000000000002,0.9902788373857486,0.9941942338313208,0.9928853206508832,0.993259342067903,0.9974293251301622,0.9951792489075495,0.993259342067903,0.9954760931980547,0.994628797076454,0.9943399064428001,0.9954992165950767,0.9946568298592029,0.9957738589980407,0.9969783442877771,0.9953377829323702,0.997268276832101,0.9930416768949438
امتنان,0.9846688261799303,0.9898331213851261,0.9906482932575525,0.9927002836316247,1.0000000000000002,1.0000000000000002,0.9919139324298059,0.9909110051437531,0.9902788373857486,0.9999999999999993,0.9906510943286242,0.9869998134449453,0.9902968929598603,0.9916577807772083,0.9915712138880735,0.9902968929598603,0.9914888801076599,0.9898403545571498,0.9925064050941024,0.9914625677849022,0.9918339518248271,0.9923210684438137,0.9885796424070327,0.9907672914340107,0.9916387550888506,0.9910021517640023
