,aprezê,aprezéi,apreziament,apreziamènt,grato,grèz,gratitùdin,gratitudine,gratitùdin,gratitudine,grazi,grâzi,grato,grèz,gratitùdin,gratitudine,débit,débit,débit,débiti,obligaziån,obligaziòun,obligâ,obligê,obligaziån,obligaziòun,dvé,dvê,débitê,débitêr,scusévol,scusévol,scüse,scuse,scusê,scusèr,scüsa,scusa,scüsem,scusem,pardunèm,pardunem,dispièśer,dispiêṣer,spiàṣa,spiêṣa
aprezê,0.9999999999999996,0.9975874320740488,0.9964403316128405,0.9964403316128405,0.9956466807225957,0.9957539342765789,0.9888017417323625,0.9933031301864229,0.9888017417323625,0.9933031301864229,0.9937427737321101,0.9937427737321101,0.9956466807225957,0.9957539342765789,0.9888017417323625,0.9933031301864229,0.9676463550308353,0.9676463550308353,0.9676463550308353,0.9931239678487975,0.9941942559459207,0.9921979770487882,0.9898237553386044,0.9892580919736722,0.9941942559459207,0.9921979770487882,0.9856394361147384,0.9856394361147384,0.9947686578957853,0.9931043929576713,0.995713229485404,0.995713229485404,0.9960120714876288,0.9960120714876288,0.9960120714876288,0.9960175953936927,0.9947484835098241,0.9947484835098241,0.9933619550833898,0.9933619550833898,0.9946201018432218,0.9946201018432218,0.9956771125448405,0.9956771125448405,0.9929545129960081,0.9960893220696159
aprezéi,0.9975874320740488,1.0,0.9969342962896207,0.9969342962896207,0.9955293804823626,0.9956184621715387,0.9883860281055686,0.9933529170040023,0.9883860281055686,0.9933529170040023,0.9933888097606205,0.9933888097606205,0.9955293804823626,0.9956184621715387,0.9883860281055686,0.9933529170040023,0.9667143048501602,0.9667143048501602,0.9667143048501602,0.9925987312709922,0.9937230401525113,0.9929204391431408,0.9893629113440519,0.9906453686322407,0.9937230401525113,0.9929204391431408,0.986428696347028,0.986428696347028,0.9934592325976966,0.9922994298553174,0.9953571004384265,0.9953571004384265,0.9948119196533345,0.9948119196533345,0.9948119196533345,0.9952511789985321,0.9932997331117729,0.9932997331117729,0.9929975872758979,0.9929975872758979,0.9946336164926353,0.9946336164926353,0.9941639854046906,0.9941639854046906,0.9928398484691499,0.9952612331636779
apreziament,0.9964403316128405,0.9969342962896207,0.9999999999999997,0.9999999999999997,0.9943966285863801,0.9946315876247519,0.9886871818805606,0.9937310156998171,0.9886871818805606,0.9937310156998171,0.9925821911917362,0.9925821911917362,0.9943966285863801,0.9946315876247519,0.9886871818805606,0.9937310156998171,0.9657827405257068,0.9657827405257068,0.9657827405257068,0.9920205596428658,0.9945166661527939,0.9916801272842437,0.9884607208263785,0.9889575746091842,0.9945166661527939,0.9916801272842437,0.9830357772680864,0.9830357772680864,0.993831790358136,0.9920190871417836,0.994150316737109,0.994150316737109,0.9944100890443937,0.9944100890443937,0.9944100890443937,0.9938989395167418,0.9931119886421641,0.9931119886421641,0.9928283466777862,0.9928283466777862,0.9949235486043257,0.9949235486043257,0.9935285554907949,0.9935285554907949,0.9928087752119703,0.9948437752754772
apreziamènt,0.9964403316128405,0.9969342962896207,0.9999999999999997,0.9999999999999997,0.9943966285863801,0.9946315876247519,0.9886871818805606,0.9937310156998171,0.9886871818805606,0.9937310156998171,0.9925821911917362,0.9925821911917362,0.9943966285863801,0.9946315876247519,0.9886871818805606,0.9937310156998171,0.9657827405257068,0.9657827405257068,0.9657827405257068,0.9920205596428658,0.9945166661527939,0.9916801272842437,0.9884607208263785,0.9889575746091842,0.9945166661527939,0.9916801272842437,0.9830357772680864,0.9830357772680864,0.993831790358136,0.9920190871417836,0.994150316737109,0.994150316737109,0.9944100890443937,0.9944100890443937,0.9944100890443937,0.9938989395167418,0.9931119886421641,0.9931119886421641,0.9928283466777862,0.9928283466777862,0.9949235486043257,0.9949235486043257,0.9935285554907949,0.9935285554907949,0.9928087752119703,0.9948437752754772
grato,0.9956466807225957,0.9955293804823626,0.9943966285863801,0.9943966285863801,0.9999999999999988,0.9959016559888905,0.9860927586807027,0.992053222927701,0.9860927586807027,0.992053222927701,0.9938052323047999,0.9938052323047999,0.9999999999999988,0.9959016559888905,0.9860927586807027,0.992053222927701,0.9661744632187718,0.9661744632187718,0.9661744632187718,0.9922563448644339,0.9929537787631686,0.9918382312695868,0.9906923816271673,0.9900129710429405,0.9929537787631686,0.9918382312695868,0.9845421323678544,0.9845421323678544,0.9931486576507234,0.9936217152709738,0.9964265497373476,0.9964265497373476,0.9953530731947445,0.9953530731947445,0.9953530731947445,0.9959907719295711,0.9952159443735755,0.9952159443735755,0.9943803428042619,0.9943803428042619,0.9940439236089136,0.9940439236089136,0.9951041789708592,0.9951041789708592,0.9940813219260173,0.9947645386155342
grèz,0.9957539342765789,0.9956184621715387,0.9946315876247519,0.9946315876247519,0.9959016559888905,0.9999999999999991,0.986905225104423,0.9917985003267002,0.986905225104423,0.9917985003267002,0.9944371918698264,0.9944371918698264,0.9959016559888905,0.9999999999999991,0.986905225104423,0.9917985003267002,0.9652397515158828,0.9652397515158828,0.9652397515158828,0.9921035376485005,0.994625654853416,0.9930173626500435,0.9919271866033459,0.9899696630437678,0.994625654853416,0.9930173626500435,0.987529270457179,0.987529270457179,0.9928610380114523,0.9927911989506174,0.9964400226410924,0.9964400226410924,0.9953693247158366,0.9953693247158366,0.9953693247158366,0.9962319753388037,0.9939156697172185,0.9939156697172185,0.9946441420383609,0.9946441420383609,0.9945434552766107,0.9945434552766107,0.9945118670036539,0.9945118670036539,0.9938444630363295,0.9959798587474796
gratitùdin,0.9888017417323625,0.9883860281055686,0.9886871818805606,0.9886871818805606,0.9860927586807027,0.986905225104423,0.9999999999999991,0.9944513964389378,0.9999999999999991,0.9944513964389378,0.9846138507285163,0.9846138507285163,0.9860927586807027,0.986905225104423,0.9999999999999991,0.9944513964389378,0.9599164875407601,0.9599164875407601,0.9599164875407601,0.9856160981510365,0.9886405010170775,0.9852450039174118,0.9812401980926236,0.9806086399548838,0.9886405010170775,0.9852450039174118,0.9771526737021022,0.9771526737021022,0.9863664515023027,0.9848385600475842,0.9869335847951325,0.9869335847951325,0.9875125750118589,0.9875125750118589,0.9875125750118589,0.9855450621669389,0.9859133627552826,0.9859133627552826,0.984686877588327,0.984686877588327,0.9888017905814591,0.9888017905814591,0.9854371474445327,0.9854371474445327,0.9841917969520247,0.9884165728566428
gratitudine,0.9933031301864229,0.9933529170040023,0.9937310156998171,0.9937310156998171,0.992053222927701,0.9917985003267002,0.9944513964389378,0.9999999999999997,0.9944513964389378,0.9999999999999997,0.9912262098644522,0.9912262098644522,0.992053222927701,0.9917985003267002,0.9944513964389378,0.9999999999999997,0.9645554717785346,0.9645554717785346,0.9645554717785346,0.9916154024462432,0.9925474662703921,0.9898261885160627,0.9863472284420512,0.9847982084557384,0.9925474662703921,0.9898261885160627,0.9808722214420753,0.9808722214420753,0.9922049070164075,0.9900569194785762,0.9924887548954794,0.9924887548954794,0.9930020593808795,0.9930020593808795,0.9930020593808795,0.9913218743757657,0.9920397823932391,0.9920397823932391,0.990965981896027,0.990965981896027,0.9934843959253624,0.9934843959253624,0.9904903865537418,0.9904903865537418,0.9910832796402007,0.9933405731232245
gratitùdin,0.9888017417323625,0.9883860281055686,0.9886871818805606,0.9886871818805606,0.9860927586807027,0.986905225104423,0.9999999999999991,0.9944513964389378,0.9999999999999991,0.9944513964389378,0.9846138507285163,0.9846138507285163,0.9860927586807027,0.986905225104423,0.9999999999999991,0.9944513964389378,0.9599164875407601,0.9599164875407601,0.9599164875407601,0.9856160981510365,0.9886405010170775,0.9852450039174118,0.9812401980926236,0.9806086399548838,0.9886405010170775,0.9852450039174118,0.9771526737021022,0.9771526737021022,0.9863664515023027,0.9848385600475842,0.9869335847951325,0.9869335847951325,0.9875125750118589,0.9875125750118589,0.9875125750118589,0.9855450621669389,0.9859133627552826,0.9859133627552826,0.984686877588327,0.984686877588327,0.9888017905814591,0.9888017905814591,0.9854371474445327,0.9854371474445327,0.9841917969520247,0.9884165728566428
gratitudine,0.9933031301864229,0.9933529170040023,0.9937310156998171,0.9937310156998171,0.992053222927701,0.9917985003267002,0.9944513964389378,0.9999999999999997,0.9944513964389378,0.9999999999999997,0.9912262098644522,0.9912262098644522,0.992053222927701,0.9917985003267002,0.9944513964389378,0.9999999999999997,0.9645554717785346,0.9645554717785346,0.9645554717785346,0.9916154024462432,0.9925474662703921,0.9898261885160627,0.9863472284420512,0.9847982084557384,0.9925474662703921,0.9898261885160627,0.9808722214420753,0.9808722214420753,0.9922049070164075,0.9900569194785762,0.9924887548954794,0.9924887548954794,0.9930020593808795,0.9930020593808795,0.9930020593808795,0.9913218743757657,0.9920397823932391,0.9920397823932391,0.990965981896027,0.990965981896027,0.9934843959253624,0.9934843959253624,0.9904903865537418,0.9904903865537418,0.9910832796402007,0.9933405731232245
