,appreciate,appreciation,grateful,gratefulness,gratitude,thank,thankful,thankfulness,debt,indebted,indebtedness,indebtment,obligation,obliged,obligedness,obligement,owe,owing,apologetic,apologies,apologize,apology,excuse,pardon,sorriness,sorry
appreciate,0.9999999999999996,0.9968204460623127,0.9947914417028071,0.9940916099486458,0.9922759713033987,0.9886346364326095,0.9929326337458383,0.9937843439747682,0.9892014135526825,0.9770333577035468,0.9855178113024403,0.9933571028030684,0.9887291880597063,0.993641882061303,0.9924400691370893,0.9926545333961226,0.9876426114575254,0.9918898943597084,0.9932370083981895,0.9939669822983326,0.9902336742198178,0.9938134176748998,0.9954356106563742,0.9937170450132321,0.9868592259032694,0.9918884765764596
appreciation,0.9968204460623127,0.9999999999999992,0.9932787841828522,0.9942808923368697,0.9918175146004052,0.9876985075157023,0.9920871094887573,0.9941099393426217,0.9890129807641558,0.9774467630347313,0.9880973388396552,0.9942995307685996,0.9898558114942633,0.993659560473086,0.9952493701828248,0.99408203095113,0.9903834412600916,0.9930302845883964,0.9950294843046491,0.9960925131387522,0.993603500690684,0.995693728753425,0.994985085163373,0.9949230458403444,0.9881223202582723,0.9900852545817638
grateful,0.9947914417028071,0.9932787841828522,0.9999999999999996,0.9957397605406254,0.9926805599170903,0.9885303004099486,0.995865263692725,0.9952415208251725,0.9859203223227894,0.9743343579382858,0.9834122480267801,0.9912316700485234,0.9863603188809235,0.9917896283020003,0.9903009220099819,0.9913646750955827,0.9866325904952333,0.9909407631222354,0.9909513507637495,0.9920127582670282,0.989028633908968,0.9917020777934554,0.9940980653891972,0.992776867062176,0.9843953529398191,0.9934920634488622
gratefulness,0.9940916099486458,0.9942808923368697,0.9957397605406254,0.9999999999999994,0.9941098192874285,0.9875613164469903,0.9940505793426039,0.9983445019115877,0.9870719970887056,0.974115444303378,0.9835047554054892,0.9913648729734984,0.9893169911021416,0.9918727878889809,0.9908384774460143,0.9917002685419232,0.9860173845008321,0.9890824892607373,0.9918723051403929,0.9924706082303718,0.9894158195444734,0.9931695610309459,0.993578669217587,0.9923179842181687,0.9830507284876443,0.9902172761931873
gratitude,0.9922759713033987,0.9918175146004052,0.9926805599170903,0.9941098192874285,0.9999999999999994,0.9881889397656446,0.9923725371171865,0.994477985591218,0.9881242139427829,0.9714844965380864,0.9799968443902868,0.988837540326274,0.9888470479962653,0.9900425107876115,0.9870052884021943,0.9907460621577638,0.9823135715593705,0.9872820059593195,0.9874770997547492,0.9892173130053893,0.9856287889580428,0.9898159953872272,0.9925647010538255,0.990015503719075,0.9808186358448363,0.9882796612565468
thank,0.9886346364326095,0.9876985075157023,0.9885303004099486,0.9875613164469903,0.9881889397656446,0.9999999999999998,0.9895842848576906,0.9891193246409096,0.98684970635841,0.9722693917450762,0.9782827503462082,0.9877839430591361,0.9861086389017816,0.9881246626003668,0.9855233320509456,0.9875421171653752,0.9801637023840041,0.9858526762753386,0.9837452333069119,0.9853419689826632,0.9820854901642924,0.9863911138282143,0.9887648275736288,0.9883340611533424,0.9805006770921836,0.9891058380825674
thankful,0.9929326337458383,0.9920871094887573,0.995865263692725,0.9940505793426039,0.9923725371171865,0.9895842848576906,0.9999999999999998,0.9968166878238276,0.9849883996060125,0.9723911081574851,0.9818868908279326,0.9894974711671821,0.9862626267590802,0.9899589599773367,0.988638997192493,0.9897499067772988,0.9861089952318415,0.9891766646098875,0.9887048332693401,0.9906151572175491,0.9887534719150869,0.9918830617824884,0.9929494234587608,0.9919105394216142,0.9832746254420811,0.9913526260967005
thankfulness,0.9937843439747682,0.9941099393426217,0.9952415208251725,0.9983445019115877,0.994477985591218,0.9891193246409096,0.9968166878238276,0.9999999999999996,0.9866565091135211,0.9732065054065744,0.9834557587269828,0.9910243145392272,0.989212651717668,0.9914454413262273,0.9908257330833845,0.9915542162292248,0.9862685127127175,0.9893408537521412,0.9911374989520356,0.9925264705819118,0.9902552013420878,0.9938826703375987,0.9938236355872795,0.9929022509980594,0.9838575384678091,0.9906262625583335
debt,0.9892014135526825,0.9890129807641558,0.9859203223227894,0.9870719970887056,0.9881242139427829,0.98684970635841,0.9849883996060125,0.9866565091135211,0.9999999999999993,0.9751324457475242,0.9805534602553225,0.9888579819889589,0.9914874390327654,0.9885215849234525,0.9864930500356365,0.9879993539525465,0.9817025512145708,0.9891368974459318,0.9873106294085252,0.9861748854978186,0.9820401789988361,0.9889265954023814,0.9892050148408299,0.987903839435833,0.9828397600212554,0.9860230528024166
indebted,0.9770333577035468,0.9774467630347313,0.9743343579382858,0.974115444303378,0.9714844965380864,0.9722693917450762,0.9723911081574851,0.9732065054065744,0.9751324457475242,0.9999999999999996,0.9899918298498991,0.981349130305833,0.9727919451111864,0.978775398208567,0.9791403430041301,0.9767452184480953,0.9737848821297659,0.9764316961915798,0.977608462732468,0.9765771774929901,0.973640548545668,0.9765809428562873,0.9770419999726753,0.9758214456560327,0.9730815989780126,0.9723284549078294
indebtedness,0.9855178113024403,0.9880973388396552,0.9834122480267801,0.9835047554054892,0.9799968443902868,0.9782827503462082,0.9818868908279326,0.9834557587269828,0.9805534602553225,0.9899918298498991,0.9999999999999993,0.9897493715046313,0.9820590782034561,0.9855613042618341,0.992569348098235,0.985833348019388,0.9874559527229796,0.9844762893500428,0.9883258338197564,0.9871602802833641,0.9878383906647096,0.9870163460409971,0.9853572129887833,0.9856475020275707,0.9843347380544087,0.9811561455417795
indebtment,0.9933571028030684,0.9942995307685996,0.9912316700485234,0.9913648729734984,0.988837540326274,0.9877839430591361,0.9894974711671821,0.9910243145392272,0.9888579819889589,0.981349130305833,0.9897493715046313,0.9999999999999997,0.9889009314857043,0.9939612012716177,0.9941276482988644,0.9947120635602617,0.9901673471393473,0.9919807002329074,0.9927708840765198,0.9932365855082331,0.9892513642037843,0.9925267388797441,0.9937419838513288,0.9923880859717991,0.9874608130533566,0.9886118067138019
obligation,0.9887291880597063,0.9898558114942633,0.9863603188809235,0.9893169911021416,0.9888470479962653,0.9861086389017816,0.9862626267590802,0.989212651717668,0.9914874390327654,0.9727919451111864,0.9820590782034561,0.9889009314857043,0.9999999999999999,0.990579354944252,0.9893106121211038,0.9915708691814876,0.9825716851422125,0.9865557345838066,0.9876004223504397,0.9878665542207756,0.9855019521918901,0.9889805266881095,0.9906737059458469,0.9888786259903375,0.9815256732288029,0.9849739939218347
