,покшамо,покшамс,покшамс,спасибе,покшамо,покшамс,веле ведьме,веле ведьмась,паксято,паксязь,вельмема,вельмемс,вельмема,паксямс,паксязонзо,шкамсекс,шкамавтомс,шкамс,шкамось,шкамс,веле шкамост,веле шкамс,веле шкамс
покшамо,0.9999999999999993,0.9957245676707676,0.9957245676707676,0.9929797376920187,0.9999999999999993,0.9957245676707676,0.9906901103504213,0.9926959251517016,0.9959157122592682,0.9948660108214447,0.995645333651174,0.9943744148418002,0.995645333651174,0.9940964694481469,0.9950736129045596,0.9952063512467754,0.9951195006075831,0.9921094369914011,0.9960959202986426,0.9921094369914011,0.993447287925923,0.9920733543462411,0.9920733543462411
покшамс,0.9957245676707676,0.9999999999999998,0.9999999999999998,0.9910790573071449,0.9957245676707676,0.9999999999999998,0.9911036229800055,0.9922601461210984,0.9928221096454267,0.9932407052327225,0.9945192569835146,0.9946171845352549,0.9945192569835146,0.9965794203992432,0.9945957330541355,0.9941980723759068,0.995175760115494,0.9935459870078642,0.9949265176678387,0.9935459870078642,0.9921419190395037,0.9885543054759547,0.9885543054759547
покшамс,0.9957245676707676,0.9999999999999998,0.9999999999999998,0.9910790573071449,0.9957245676707676,0.9999999999999998,0.9911036229800055,0.9922601461210984,0.9928221096454267,0.9932407052327225,0.9945192569835146,0.9946171845352549,0.9945192569835146,0.9965794203992432,0.9945957330541355,0.9941980723759068,0.995175760115494,0.9935459870078642,0.9949265176678387,0.9935459870078642,0.9921419190395037,0.9885543054759547,0.9885543054759547
спасибе,0.9929797376920187,0.9910790573071449,0.9910790573071449,0.9999999999999998,0.9929797376920187,0.9910790573071449,0.995155387460909,0.9964057825298883,0.9929314848408959,0.9926109747022915,0.9928304662586105,0.9924425195396352,0.9928304662586105,0.9919752407055067,0.9934422434655039,0.9935022678480823,0.994033851635996,0.9887666539775549,0.9926571747465952,0.9887666539775549,0.9940976266873494,0.9922664162320922,0.9922664162320922
покшамо,0.9999999999999993,0.9957245676707676,0.9957245676707676,0.9929797376920187,0.9999999999999993,0.9957245676707676,0.9906901103504213,0.9926959251517016,0.9959157122592682,0.9948660108214447,0.995645333651174,0.9943744148418002,0.995645333651174,0.9940964694481469,0.9950736129045596,0.9952063512467754,0.9951195006075831,0.9921094369914011,0.9960959202986426,0.9921094369914011,0.993447287925923,0.9920733543462411,0.9920733543462411
покшамс,0.9957245676707676,0.9999999999999998,0.9999999999999998,0.9910790573071449,0.9957245676707676,0.9999999999999998,0.9911036229800055,0.9922601461210984,0.9928221096454267,0.9932407052327225,0.9945192569835146,0.9946171845352549,0.9945192569835146,0.9965794203992432,0.9945957330541355,0.9941980723759068,0.995175760115494,0.9935459870078642,0.9949265176678387,0.9935459870078642,0.9921419190395037,0.9885543054759547,0.9885543054759547
веле ведьме,0.9906901103504213,0.9911036229800055,0.9911036229800055,0.995155387460909,0.9906901103504213,0.9911036229800055,0.9999999999999992,0.9981605038686221,0.9906202300861174,0.9907249886545206,0.9913472563441105,0.9917771963870882,0.9913472563441105,0.9917648301202849,0.9916908465029268,0.9915365040937064,0.9923291273563732,0.9877778432148,0.9907444485165139,0.9877778432148,0.9933387313614358,0.9902112056631347,0.9902112056631347
веле ведьмась,0.9926959251517016,0.9922601461210984,0.9922601461210984,0.9964057825298883,0.9926959251517016,0.9922601461210984,0.9981605038686221,1.0,0.9923826282729039,0.9931046259124242,0.9929109961791089,0.9929996930589462,0.9929109961791089,0.9926343493847881,0.9934274489076452,0.9935429438305288,0.99419022419313,0.9891800663741617,0.9933057493208084,0.9891800663741617,0.9950136526371263,0.9927253697842265,0.9927253697842265
паксято,0.9959157122592682,0.9928221096454267,0.9928221096454267,0.9929314848408959,0.9959157122592682,0.9928221096454267,0.9906202300861174,0.9923826282729039,0.9999999999999994,0.9956908348775091,0.9957707603707555,0.9946108230317792,0.9957707603707555,0.992628805730785,0.9950130018497594,0.9951116277587703,0.9948707992415767,0.9910916323539738,0.9966379419559404,0.9910916323539738,0.9944641517697587,0.9930919037273382,0.9930919037273382
паксязь,0.9948660108214447,0.9932407052327225,0.9932407052327225,0.9926109747022915,0.9948660108214447,0.9932407052327225,0.9907249886545206,0.9931046259124242,0.9956908348775091,0.9999999999999996,0.9957297460516076,0.9946547180714798,0.9957297460516076,0.9945880494875343,0.9968322399039135,0.9960973898606705,0.9964532209752162,0.9930255830582633,0.9970255872045102,0.9930255830582633,0.9944645408580526,0.9938636137404365,0.9938636137404365
