,aprezi,aprezo,dankema,dankemo,dankemo,dankon,dankema,dankemo,ŝulda,ŝuldeco,devo,devigita,devigo,ŝuldi,ŝuldanta,pardonpeta,pardonpetoj,pardonpeti,pardonpeto,pardonon,bedaŭro,pardonu,pardonu min
aprezi,1.0,0.9967170776381015,0.9954152445863556,0.9955433225358261,0.9955433225358261,0.9943343347976225,0.9954152445863556,0.9955433225358261,0.9962893004528508,0.9944806393805694,0.9975115510493182,0.9951996890519846,0.9957037364216279,0.9965721988750431,0.9939550216978256,0.9967504363428152,0.996502925917058,0.9968156101689942,0.9964987134828358,0.995699274287899,0.9931470106497069,0.9955804127367651,0.9943591887452374
aprezo,0.9967170776381015,0.9999999999999996,0.9941812488760953,0.9934439625556358,0.9934439625556358,0.9926529565676627,0.9941812488760953,0.9934439625556358,0.9943524997536266,0.9958962017096686,0.9936443988989421,0.991921190278613,0.9922914301245341,0.9938161747977411,0.9924552178403107,0.9942031017837318,0.9938685653771367,0.9946673981292596,0.9963961109461277,0.9951153560808534,0.9934983881050549,0.9951625957399888,0.9919593799248934
dankema,0.9954152445863556,0.9941812488760953,0.9999999999999996,0.9959473122543656,0.9959473122543656,0.9956746790200958,0.9999999999999996,0.9959473122543656,0.9960549338917041,0.9945893523386157,0.9944642723619831,0.9929605141182842,0.9933232511380581,0.9949481832232173,0.9943398696047242,0.994063574473633,0.9941539849315288,0.9942725164251114,0.9943394931261477,0.9926304771119431,0.9906143888662482,0.9940808889498233,0.9901606521694013
dankemo,0.9955433225358261,0.9934439625556358,0.9959473122543656,0.9999999999999994,0.9999999999999994,0.996275436187951,0.9959473122543656,0.9999999999999994,0.9956051948651231,0.9926387108751024,0.9955865526151706,0.9945962865939971,0.9949776133101532,0.9958023125821712,0.9961705122968945,0.99480001998898,0.9944097783317096,0.9948899099793893,0.9946814222083281,0.9927610938053243,0.9913989225821485,0.9936800201572384,0.9907045317337747
dankemo,0.9955433225358261,0.9934439625556358,0.9959473122543656,0.9999999999999994,0.9999999999999994,0.996275436187951,0.9959473122543656,0.9999999999999994,0.9956051948651231,0.9926387108751024,0.9955865526151706,0.9945962865939971,0.9949776133101532,0.9958023125821712,0.9961705122968945,0.99480001998898,0.9944097783317096,0.9948899099793893,0.9946814222083281,0.9927610938053243,0.9913989225821485,0.9936800201572384,0.9907045317337747
dankon,0.9943343347976225,0.9926529565676627,0.9956746790200958,0.996275436187951,0.996275436187951,0.9999999999999992,0.9956746790200958,0.996275436187951,0.9947713071304474,0.992738716826623,0.9945480329181741,0.9930523640377832,0.9937622606838328,0.9947066697234322,0.9942017006413832,0.993639346677986,0.9938833379868273,0.9935967914453061,0.9939103214685991,0.9924582477956055,0.9899438132556014,0.99320341328422,0.9900027998204735
dankema,0.9954152445863556,0.9941812488760953,0.9999999999999996,0.9959473122543656,0.9959473122543656,0.9956746790200958,0.9999999999999996,0.9959473122543656,0.9960549338917041,0.9945893523386157,0.9944642723619831,0.9929605141182842,0.9933232511380581,0.9949481832232173,0.9943398696047242,0.994063574473633,0.9941539849315288,0.9942725164251114,0.9943394931261477,0.9926304771119431,0.9906143888662482,0.9940808889498233,0.9901606521694013
dankemo,0.9955433225358261,0.9934439625556358,0.9959473122543656,0.9999999999999994,0.9999999999999994,0.996275436187951,0.9959473122543656,0.9999999999999994,0.9956051948651231,0.9926387108751024,0.9955865526151706,0.9945962865939971,0.9949776133101532,0.9958023125821712,0.9961705122968945,0.99480001998898,0.9944097783317096,0.9948899099793893,0.9946814222083281,0.9927610938053243,0.9913989225821485,0.9936800201572384,0.9907045317337747
ŝulda,0.9962893004528508,0.9943524997536266,0.9960549338917041,0.9956051948651231,0.9956051948651231,0.9947713071304474,0.9960549338917041,0.9956051948651231,0.9999999999999993,0.9949166969013866,0.9957684219938091,0.9957823733626068,0.9955072071314645,0.9973346599389892,0.9959235930335801,0.9949691347920618,0.9944851478056451,0.9953990342681974,0.9945148502599667,0.9926825849348188,0.9917962977892226,0.9946207371293471,0.9916207469857414
ŝuldeco,0.9944806393805694,0.9958962017096686,0.9945893523386157,0.9926387108751024,0.9926387108751024,0.992738716826623,0.9945893523386157,0.9926387108751024,0.9949166969013866,0.9999999999999993,0.9922721448477454,0.9902939532669569,0.9904984627569288,0.9925770484028178,0.9919485460294908,0.9921316821286787,0.9917204634655457,0.9926193925391079,0.9943961445203262,0.9922344569431655,0.9904925026127223,0.9929374549707578,0.9896788862114388
devo,0.9975115510493182,0.9936443988989421,0.9944642723619831,0.9955865526151706,0.9955865526151706,0.9945480329181741,0.9944642723619831,0.9955865526151706,0.9957684219938091,0.9922721448477454,0.9999999999999997,0.9957967379799857,0.9964241346933098,0.9959672655688588,0.9936258867342004,0.9967943712467323,0.9964921916268524,0.9959909293714626,0.996159496841278,0.9945525022679853,0.9914338121122432,0.9942411183150089,0.9938568128287585
devigita,0.9951996890519846,0.991921190278613,0.9929605141182842,0.9945962865939971,0.9945962865939971,0.9930523640377832,0.9929605141182842,0.9945962865939971,0.9957823733626068,0.9902939532669569,0.9957967379799857,0.9999999999999987,0.9980391323475282,0.9965948262435425,0.994307006967838,0.9963370777240255,0.9953920802171952,0.9965037050414233,0.9939976765314766,0.992218751033295,0.9899261365617636,0.9931068405018709,0.9917890417254519
devigo,0.9957037364216279,0.9922914301245341,0.9933232511380581,0.9949776133101532,0.9949776133101532,0.9937622606838328,0.9933232511380581,0.9949776133101532,0.9955072071314645,0.9904984627569288,0.9964241346933098,0.9980391323475282,0.9999999999999992,0.9961843551184681,0.9935956502378068,0.9955865548783556,0.9955844247193499,0.9960216520296631,0.9941236567804476,0.9927804489864639,0.9904033087328852,0.9934538032104242,0.9908494230237319
ŝuldi,0.9965721988750431,0.9938161747977411,0.9949481832232173,0.9958023125821712,0.9958023125821712,0.9947066697234322,0.9949481832232173,0.9958023125821712,0.9973346599389892,0.9925770484028178,0.9959672655688588,0.9965948262435425,0.9961843551184681,0.9999999999999991,0.9952553514666567,0.9960975597491135,0.9954746519506861,0.9968932176523184,0.9947284852506205,0.9935229252906829,0.9922460968788065,0.9948497704568644,0.9928842688816951
ŝuldanta,0.9939550216978256,0.9924552178403107,0.9943398696047242,0.9961705122968945,0.9961705122968945,0.9942017006413832,0.9943398696047242,0.9961705122968945,0.9959235930335801,0.9919485460294908,0.9936258867342004,0.994307006967838,0.9935956502378068,0.9952553514666567,0.9999999999999993,0.9938631434091384,0.9934332871922351,0.9944990087090415,0.9932663981565344,0.9914640311114077,0.9919957263017112,0.9930487737434859,0.98986827708825
pardonpeta,0.9967504363428152,0.9942031017837318,0.994063574473633,0.99480001998898,0.99480001998898,0.993639346677986,0.994063574473633,0.99480001998898,0.9949691347920618,0.9921316821286787,0.9967943712467323,0.9963370777240255,0.9955865548783556,0.9960975597491135,0.9938631434091384,1.0000000000000002,0.9985133919866654,0.9990222706515569,0.9977689828524158,0.9960363124404675,0.9921519458606607,0.996094543203372,0.9950935853801003
pardonpetoj,0.996502925917058,0.9938685653771367,0.9941539849315288,0.9944097783317096,0.9944097783317096,0.9938833379868273,0.9941539849315288,0.9944097783317096,0.9944851478056451,0.9917204634655457,0.9964921916268524,0.9953920802171952,0.9955844247193499,0.9954746519506861,0.9934332871922351,0.9985133919866654,0.9999999999999993,0.9981981822048729,0.9970811881266747,0.995867476807621,0.992835633243278,0.9958677270434882,0.9942018260854126
pardonpeti,0.9968156101689942,0.9946673981292596,0.9942725164251114,0.9948899099793893,0.9948899099793893,0.9935967914453061,0.9942725164251114,0.9948899099793893,0.9953990342681974,0.9926193925391079,0.9959909293714626,0.9965037050414233,0.9960216520296631,0.9968932176523184,0.9944990087090415,0.9990222706515569,0.9981981822048729,0.9999999999999999,0.9973461612173723,0.9959449677691604,0.9932414267775762,0.9964473602724754,0.9943854269861075
