,सराहना,आभारी,आभार,आभार,धन्यवाद,आभारी,आभार,सराहना करना,कर्ज़दार,कर्ज़दारी,ज़िम्मेदारी,फर्ज़,बाध्य,मजबूर,ज़िम्मेदारी,फर्ज़,कर्ज़ बा,कर्ज़दार हो,माफियाँ,दुख,माफी,माफ़ करिए,माफ़ करिए,माफी माँगत,माफी माँगना,माफी माँगना,माफी दीजिए
सराहना,0.9999999999999994,0.9900579439749714,0.990844637356627,0.990844637356627,0.9916332221357324,0.9900579439749714,0.990844637356627,0.9931132905510205,0.9938215774757909,0.992704347190177,0.9925084443627455,0.9853542490557101,0.9921297296544335,0.9911003636835566,0.9925084443627455,0.9853542490557101,0.9841910431645989,0.9920917296543943,0.9912065739334756,0.9852730195757681,0.9923928413212812,0.9924682021247645,0.9924682021247645,0.9923772617505882,0.9930369453944333,0.9930369453944333,0.9905136111465335
आभारी,0.9900579439749714,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9939717623343959,0.9945737180866515,0.9918281315918466,0.9879465521489088,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.9879465521489088,0.9909303634193408,0.9932247594509453,0.9912352672971281,0.9856784790132995,0.9930534757146977,0.9929220046946966,0.9929220046946966,0.9936768397345522,0.9916167650809081,0.9916167650809081,0.9897276029914372
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9880753651380724,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9880753651380724,0.991628874612252,0.9949441544497702,0.9918271903392732,0.9881268655863843,0.9958014308039572,0.9955967729721704,0.9955967729721704,0.9960625745995031,0.994637638575683,0.994637638575683,0.9929607532019479
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9880753651380724,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9880753651380724,0.991628874612252,0.9949441544497702,0.9918271903392732,0.9881268655863843,0.9958014308039572,0.9955967729721704,0.9955967729721704,0.9960625745995031,0.994637638575683,0.994637638575683,0.9929607532019479
धन्यवाद,0.9916332221357324,0.9922854204023359,0.9963058455927044,0.9963058455927044,0.9999999999999998,0.9922854204023359,0.9963058455927044,0.9932308491624615,0.9958412147366493,0.995085784069956,0.9944835566231421,0.9865758049647674,0.9968321944197212,0.9943540083914303,0.9944835566231421,0.9865758049647674,0.988682866238123,0.9946142670998382,0.9914596152531135,0.9871586126755619,0.9948997871979184,0.9946241433813132,0.9946241433813132,0.9952425716662172,0.9949523642435745,0.9949523642435745,0.9926799163555996
आभारी,0.9900579439749714,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9939717623343959,0.9945737180866515,0.9918281315918466,0.9879465521489088,0.9943083055507678,0.9940861577571538,0.9918281315918466,0.9879465521489088,0.9909303634193408,0.9932247594509453,0.9912352672971281,0.9856784790132995,0.9930534757146977,0.9929220046946966,0.9929220046946966,0.9936768397345522,0.9916167650809081,0.9916167650809081,0.9897276029914372
आभार,0.990844637356627,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9957942436095797,0.9954940770043481,0.9940181290645834,0.9880753651380724,0.997139811565795,0.9964419721865234,0.9940181290645834,0.9880753651380724,0.991628874612252,0.9949441544497702,0.9918271903392732,0.9881268655863843,0.9958014308039572,0.9955967729721704,0.9955967729721704,0.9960625745995031,0.994637638575683,0.994637638575683,0.9929607532019479
सराहना करना,0.9931132905510205,0.9911423784208391,0.9930902570532345,0.9930902570532345,0.9932308491624615,0.9911423784208391,0.9930902570532345,0.9999999999999996,0.9941291992873155,0.9932762239376716,0.9943305273782644,0.9847796950674516,0.9930639384186984,0.9930812338947907,0.9943305273782644,0.9847796950674516,0.9886961494899694,0.9932705578567944,0.9903837350600327,0.9859001062626896,0.9934347061386605,0.9943404822964663,0.9943404822964663,0.9927466851256881,0.9935586863169451,0.9935586863169451,0.9914698621336362
कर्ज़दार,0.9938215774757909,0.9939717623343959,0.9957942436095797,0.9957942436095797,0.9958412147366493,0.9939717623343959,0.9957942436095797,0.9941291992873155,0.9999999999999994,0.9987795346349609,0.995769902894975,0.9894644790608467,0.9964759083218181,0.9950865512448728,0.995769902894975,0.9894644790608467,0.9879625869243446,0.996564488846148,0.9935107706218465,0.98838129457911,0.9963498675803353,0.9952267579110937,0.9952267579110937,0.9971153956664603,0.9964578418976663,0.9964578418976663,0.9935417440195
कर्ज़दारी,0.992704347190177,0.9945737180866515,0.9954940770043481,0.9954940770043481,0.995085784069956,0.9945737180866515,0.9954940770043481,0.9932762239376716,0.9987795346349609,0.9999999999999999,0.9954148087946243,0.988986420250724,0.9960815915789019,0.994949011336642,0.9954148087946243,0.988986420250724,0.9876485275913889,0.9967243705676517,0.9937963786626219,0.9877861485177568,0.9962202151330122,0.9946955621771549,0.9946955621771549,0.9971743188293885,0.9963445196057569,0.9963445196057569,0.9932837603817876
