,arvostaa,arvostus,kiitollinen,kiitollisuus,kiitollisuus,kiitos,kiitollinen,kiitollisuus,velkaantunut,velkaantuneisuus,velvollisuus,pakotettu,velvoitettu,velvollisuus,olla velkaa,velkaa oleva,pahoitteleva,anteeksipyynnöt,anteeksipyyntö,anteeksi,pahoittelu,anteeksi,pyytää anteeksi,suo anteeksi
arvostaa,0.9999999999999997,0.9944803219994305,0.9915256863235843,0.9880932713563974,0.9880932713563974,0.9955448824774746,0.9915256863235843,0.9880932713563974,0.9942451415566933,0.993954702489317,0.9940687482251537,0.9931885667230099,0.9934029232560145,0.9940687482251537,0.9951446231589124,0.9946185202863839,0.9921146480843305,0.9933126001769926,0.9940388018384981,0.99396358587056,0.9917299150017193,0.99396358587056,0.9950974178042303,0.9929430225061979
arvostus,0.9944803219994305,1.0000000000000002,0.9880565932168172,0.9881104555907249,0.9881104555907249,0.9937950737195811,0.9880565932168172,0.9881104555907249,0.9921860531289184,0.9933643168254014,0.9931458258199347,0.9925556805771079,0.9945566306480075,0.9931458258199347,0.9917511537840356,0.9928288024857985,0.9920355254421637,0.9930499278864267,0.9930543893894883,0.9931056800225371,0.992206345877953,0.9931056800225371,0.9918400340672343,0.992110845022639
kiitollinen,0.9915256863235843,0.9880565932168172,1.0000000000000002,0.9911933820072784,0.9911933820072784,0.9903687072497129,1.0000000000000002,0.9911933820072784,0.9910395188953842,0.9934890432033131,0.994638086760397,0.9935589206643856,0.9923638850902629,0.994638086760397,0.9888541645118728,0.9926687020791239,0.9918501148962449,0.9919618834433206,0.9933273055307988,0.9899506548482456,0.989867626348525,0.9899506548482456,0.9904350611921036,0.989430672678849
kiitollisuus,0.9880932713563974,0.9881104555907249,0.9911933820072784,0.9999999999999998,0.9999999999999998,0.9875073169412188,0.9911933820072784,0.9999999999999998,0.9862860735292343,0.992651342792054,0.9935788493902764,0.9908317759739633,0.9916312452493653,0.9935788493902764,0.986425660453914,0.9891184011765767,0.9920499751940965,0.992375350204406,0.9917643796895868,0.9866427770516148,0.9902689202989516,0.9866427770516148,0.9869364631886908,0.986631170973327
kiitollisuus,0.9880932713563974,0.9881104555907249,0.9911933820072784,0.9999999999999998,0.9999999999999998,0.9875073169412188,0.9911933820072784,0.9999999999999998,0.9862860735292343,0.992651342792054,0.9935788493902764,0.9908317759739633,0.9916312452493653,0.9935788493902764,0.986425660453914,0.9891184011765767,0.9920499751940965,0.992375350204406,0.9917643796895868,0.9866427770516148,0.9902689202989516,0.9866427770516148,0.9869364631886908,0.986631170973327
kiitos,0.9955448824774746,0.9937950737195811,0.9903687072497129,0.9875073169412188,0.9875073169412188,1.0,0.9903687072497129,0.9875073169412188,0.9933980516537593,0.9925754118275854,0.992671712186648,0.992461322564681,0.9924303465665675,0.992671712186648,0.9938068193631192,0.9937015690568526,0.9905570593523353,0.9915510391164963,0.9918270671653724,0.9930069895680788,0.9913947098440714,0.9930069895680788,0.9918905677159962,0.9927239722593464
kiitollinen,0.9915256863235843,0.9880565932168172,1.0000000000000002,0.9911933820072784,0.9911933820072784,0.9903687072497129,1.0000000000000002,0.9911933820072784,0.9910395188953842,0.9934890432033131,0.994638086760397,0.9935589206643856,0.9923638850902629,0.994638086760397,0.9888541645118728,0.9926687020791239,0.9918501148962449,0.9919618834433206,0.9933273055307988,0.9899506548482456,0.989867626348525,0.9899506548482456,0.9904350611921036,0.989430672678849
kiitollisuus,0.9880932713563974,0.9881104555907249,0.9911933820072784,0.9999999999999998,0.9999999999999998,0.9875073169412188,0.9911933820072784,0.9999999999999998,0.9862860735292343,0.992651342792054,0.9935788493902764,0.9908317759739633,0.9916312452493653,0.9935788493902764,0.986425660453914,0.9891184011765767,0.9920499751940965,0.992375350204406,0.9917643796895868,0.9866427770516148,0.9902689202989516,0.9866427770516148,0.9869364631886908,0.986631170973327
velkaantunut,0.9942451415566933,0.9921860531289184,0.9910395188953842,0.9862860735292343,0.9862860735292343,0.9933980516537593,0.9910395188953842,0.9862860735292343,1.0000000000000002,0.9932443649233655,0.9917565188378945,0.9928134978284251,0.9929137090933529,0.9917565188378945,0.9930340645248145,0.9948866493964101,0.9897379407100617,0.9900810747068426,0.9900160642710667,0.992724702528888,0.9885199130279761,0.992724702528888,0.9924799777836923,0.9920772187732393
velkaantuneisuus,0.993954702489317,0.9933643168254014,0.9934890432033131,0.992651342792054,0.992651342792054,0.9925754118275854,0.9934890432033131,0.992651342792054,0.9932443649233655,0.9999999999999989,0.99764962007573,0.9947641366599591,0.9953304263936158,0.99764962007573,0.9925822163830671,0.9945013440516235,0.9946999985869194,0.9953398565087166,0.9947591227548304,0.9924058086968839,0.9943546276428225,0.9924058086968839,0.9921141193944739,0.9916678646685716
