,apprécier,appréciation,gratitude,remercier,reconnaissant,reconnaissance,endetté,obligation,obligé,engagement,devoir,dû,sentiment d'obligation,désolé,excuses,s'excuser,excuse,regret,désolé,excusez-moi,pardonnez-moi,plein de regrets
apprécier,0.9999999999999987,0.9968883339517749,0.990023383669112,0.9967074893685882,0.9938823704302088,0.9855345456734661,0.9926773436830048,0.9883914784460949,0.9902364355783695,0.9847786318916293,0.993220125378902,0.990544229526874,0.995558232551114,0.9960312825395425,0.9958469558449629,0.9951261493443099,0.9953314691305813,0.9928028854970699,0.9960312825395425,0.9935890116393552,0.9928985341355899,0.9964740376129999
appréciation,0.9968883339517749,0.9999999999999992,0.9918175146004052,0.9946370260141091,0.9918230179043673,0.9876720875134073,0.9927307137820653,0.9898558114942626,0.9893362644328269,0.9861440543795614,0.9929000263799089,0.988851830791412,0.9950628690817757,0.9947013370347602,0.9961905594595769,0.9947454222190966,0.994985085163373,0.9927154607355704,0.9947013370347602,0.9910686725054243,0.9906428876542398,0.9945884623132857
gratitude,0.990023383669112,0.9918175146004052,0.9999999999999994,0.9882065082600724,0.9891557049850193,0.9850686798131919,0.9875843263605202,0.9888470479962648,0.9864593785095923,0.9834559418991006,0.9849590261390311,0.9844220751713386,0.9888751953704603,0.986411604003954,0.9913814044632998,0.9887971644936621,0.9925647010538255,0.9843166425854072,0.986411604003954,0.98651064277088,0.9866325322719997,0.9883000987240182
remercier,0.9967074893685882,0.9946370260141091,0.9882065082600724,0.9999999999999997,0.9943185500403273,0.984080633597791,0.9926100849853822,0.9868908028060694,0.9887680020657427,0.9840352257099413,0.9923158585452019,0.9890370153081564,0.9954953551563401,0.9958109516113266,0.9937815388717004,0.993256480294072,0.9929119231867395,0.9918380063031165,0.9958109516113266,0.9923615032248254,0.9928982345720541,0.9962296087007589
reconnaissant,0.9938823704302088,0.9918230179043673,0.9891557049850193,0.9943185500403273,0.9999999999999997,0.984292088239158,0.9911354724379215,0.9862478974721235,0.987548259991681,0.9842083988618472,0.9891420409565449,0.9875492202873439,0.9917643926511962,0.9920803493544216,0.9920476551069565,0.9911070871273057,0.9920508576777645,0.9880843937688131,0.9920803493544216,0.988764088910965,0.9882930062311076,0.9933108194922942
reconnaissance,0.9855345456734661,0.9876720875134073,0.9850686798131919,0.984080633597791,0.984292088239158,0.9999999999999996,0.9852193471429187,0.987815457032897,0.9837770181350431,0.9806214714661597,0.982952461688688,0.9816398928470812,0.986191157580149,0.9868579902018452,0.9877727517276009,0.9853071335725462,0.986994478334659,0.9837753167849457,0.9868579902018452,0.982665044654677,0.9813776735146046,0.9837955095665818
endetté,0.9926773436830048,0.9927307137820653,0.9875843263605202,0.9926100849853822,0.9911354724379215,0.9852193471429187,1.0,0.9892083392905406,0.9895652177168418,0.9861253858904279,0.9907635429056443,0.9900729614801439,0.9924651904412453,0.9936082828104373,0.9934475602808867,0.9920612489322054,0.9929812542933641,0.9895394896134749,0.9936082828104373,0.989268580384832,0.988544345487865,0.9922662789781803
obligation,0.9883914784460949,0.9898558114942626,0.9888470479962648,0.9868908028060694,0.9862478974721235,0.987815457032897,0.9892083392905406,0.9999999999999999,0.9927264552415744,0.9856928617243611,0.9838140463415126,0.9858138621505825,0.9905988263896427,0.9870920461357543,0.9906901032638074,0.9875431319827709,0.9906737059458469,0.9860703303434587,0.9870920461357543,0.9854760613472597,0.9845305361188866,0.986433671422565
obligé,0.9902364355783695,0.9893362644328269,0.9864593785095923,0.9887680020657427,0.987548259991681,0.9837770181350431,0.9895652177168418,0.9927264552415744,0.9999999999999996,0.9882289444566391,0.9849256991989592,0.9916164540087283,0.9897963687812903,0.9890458847119882,0.9906403214312701,0.9890108350244007,0.9912047265997646,0.9864806925259546,0.9890458847119876,0.9874335462765569,0.9868866342357517,0.9879923252140373
engagement,0.9847786318916293,0.9861440543795614,0.9834559418991006,0.9840352257099413,0.9842083988618472,0.9806214714661597,0.9861253858904279,0.9856928617243611,0.9882289444566391,0.9999999999999994,0.9802530149560934,0.9873963420814357,0.983779652392449,0.9838861761876481,0.9846604408273738,0.9846189715363529,0.9848424449276231,0.9792423299407184,0.983886176187648,0.9787545794438817,0.9788317501381419,0.9821592906658284
devoir,0.993220125378902,0.9929000263799089,0.9849590261390311,0.9923158585452019,0.9891420409565449,0.982952461688688,0.9907635429056443,0.9838140463415126,0.9849256991989592,0.9802530149560934,1.0,0.9867918122017467,0.99182273960756,0.9939788612468935,0.9929113131124013,0.9918950797964362,0.9914248499903251,0.9919331106214497,0.993978861246894,0.991360880179359,0.9896415061804263,0.9922356467692318
dû,0.990544229526874,0.988851830791412,0.9844220751713386,0.9890370153081564,0.9875492202873439,0.9816398928470812,0.9900729614801439,0.9858138621505825,0.9916164540087283,0.9873963420814357,0.9867918122017467,0.9999999999999993,0.987913645471491,0.9904849815283809,0.9899981266184683,0.9893162751172311,0.9898380961040287,0.9846195949412029,0.9904849815283823,0.9857313648026094,0.985566035337144,0.9887253164920378
sentiment d'obligation,0.995558232551114,0.9950628690817757,0.9888751953704603,0.9954953551563401,0.9917643926511962,0.986191157580149,0.9924651904412453,0.9905988263896427,0.9897963687812903,0.983779652392449,0.99182273960756,0.987913645471491,1.0000000000000004,0.9949625860619593,0.9941324125051093,0.9935125340643013,0.9936395289950004,0.9924922184275944,0.9949625860619598,0.993404478228741,0.993064360542863,0.995982331342479
désolé,0.9960312825395425,0.9947013370347602,0.986411604003954,0.9958109516113266,0.9920803493544216,0.9868579902018452,0.9936082828104373,0.9870920461357543,0.9890458847119882,0.9838861761876481,0.9939788612468935,0.9904849815283809,0.9949625860619593,0.9999999999999997,0.9944481466314457,0.9932579970342843,0.9929713097338766,0.9930851483141462,0.9999999999999991,0.992590283866441,0.9919650103604545,0.9953094243410545
excuses,0.9958469558449629,0.9961905594595769,0.9913814044632998,0.9937815388717004,0.9920476551069565,0.9877727517276009,0.9934475602808867,0.9906901032638074,0.9906403214312701,0.9846604408273738,0.9929113131124013,0.9899981266184683,0.9941324125051093,0.9944481466314457,0.9999999999999997,0.995939284012224,0.9986485596083158,0.9930379592387691,0.9944481466314458,0.9929879570302733,0.9915614368282574,0.9947487276416755
s'excuser,0.9951261493443099,0.9947454222190966,0.9887971644936621,0.993256480294072,0.9911070871273057,0.9853071335725462,0.9920612489322054,0.9875431319827709,0.9890108350244007,0.9846189715363529,0.9918950797964362,0.9893162751172311,0.9935125340643013,0.9932579970342843,0.995939284012224,0.9999999999999998,0.995604353968448,0.9914555309692875,0.9932579970342849,0.9919043119733846,0.9912922061061248,0.9936677133533168
excuse,0.9953314691305813,0.994985085163373,0.9925647010538255,0.9929119231867395,0.9920508576777645,0.986994478334659,0.9929812542933641,0.9906737059458469,0.9912047265997646,0.9848424449276231,0.9914248499903251,0.9898380961040287,0.9936395289950004,0.9929713097338766,0.9986485596083158,0.995604353968448,0.9999999999999997,0.9916175897710512,0.9929713097338767,0.9930410597387689,0.9915010246454776,0.9940302022520663
regret,0.9928028854970699,0.9927154607355704,0.9843166425854072,0.9918380063031165,0.9880843937688131,0.9837753167849457,0.9895394896134749,0.9860703303434587,0.9864806925259546,0.9792423299407184,0.9919331106214497,0.9846195949412029,0.9924922184275944,0.9930851483141462,0.9930379592387691,0.9914555309692875,0.9916175897710512,1.0,0.993085148314146,0.9909274448198198,0.9896718458919714,0.9925677917833001
désolé,0.9960312825395425,0.9947013370347602,0.986411604003954,0.9958109516113266,0.9920803493544216,0.9868579902018452,0.9936082828104373,0.9870920461357543,0.9890458847119876,0.983886176187648,0.993978861246894,0.9904849815283823,0.9949625860619598,0.9999999999999991,0.9944481466314458,0.9932579970342849,0.9929713097338767,0.993085148314146,0.9999999999999997,0.9925902838664413,0.9919650103604548,0.9953094243410547
excusez-moi,0.9935890116393552,0.9910686725054243,0.98651064277088,0.9923615032248254,0.988764088910965,0.982665044654677,0.989268580384832,0.9854760613472597,0.9874335462765569,0.9787545794438817,0.991360880179359,0.9857313648026094,0.993404478228741,0.992590283866441,0.9929879570302733,0.9919043119733846,0.9930410597387689,0.9909274448198198,0.9925902838664413,0.9999999999999998,0.9977231481713411,0.9933404835026087
pardonnez-moi,0.9928985341355899,0.9906428876542398,0.9866325322719997,0.9928982345720541,0.9882930062311076,0.9813776735146046,0.988544345487865,0.9845305361188866,0.9868866342357517,0.9788317501381419,0.9896415061804263,0.985566035337144,0.993064360542863,0.9919650103604545,0.9915614368282574,0.9912922061061248,0.9915010246454776,0.9896718458919714,0.9919650103604548,0.9977231481713411,1.0000000000000004,0.9936320180701342
plein de regrets,0.9964740376129999,0.9945884623132857,0.9883000987240182,0.9962296087007589,0.9933108194922942,0.9837955095665818,0.9922662789781803,0.986433671422565,0.9879923252140373,0.9821592906658284,0.9922356467692318,0.9887253164920378,0.995982331342479,0.9953094243410545,0.9947487276416755,0.9936677133533168,0.9940302022520663,0.9925677917833001,0.9953094243410547,0.9933404835026087,0.9936320180701342,0.9999999999999993
