,apreciar,apreciación,agradecida,agradecido,agradecemento,gratitude,grazas,agradecida,agradecido,agradecemento,endebedada,endebedado,endebedamento,obrigación,obrigada,obrigado,obrigación,deber,debendo,con débeda,desculpante,desculpas,desculparse,desculpa,desculpa,perdoa,perdóame,pena,síntoo
apreciar,0.9999999999999998,0.9852693840330049,0.986032032348901,0.9866761582810373,0.9876279544486928,0.9818801045625469,0.9656244912049983,0.986032032348901,0.9866761582810364,0.987627954448693,0.9854615575571513,0.9834943658635739,0.9876242168374441,0.9829793653182523,0.9856309921555655,0.986443999779415,0.9829793653182523,0.9862046802253007,0.986689285282311,0.9878925358807216,0.9862969399540275,0.9866642294548695,0.9875883096951,0.9878232109678858,0.9878232109678858,0.9866904621035406,0.9865943921813207,0.9868341608593068,0.9876369905171695
apreciación,0.9852693840330049,1.0000000000000007,0.9892764279273811,0.9888918673954765,0.9903708322751866,0.9834864191582263,0.969501512522145,0.9892764279273811,0.9888918673954762,0.9903708322751856,0.9901851807440986,0.9908920467005858,0.990771366615153,0.99353741624722,0.9863397811487568,0.9900910184312152,0.99353741624722,0.991840698464913,0.9915567416751202,0.99134339959241,0.9904665503711049,0.9886802375761843,0.9901679537594188,0.9899378255102568,0.9899378255102568,0.9933448307116364,0.9911309442143975,0.9898160451288847,0.990769994944612
agradecida,0.986032032348901,0.9892764279273811,0.9999999999999999,0.9976853096552349,0.9972504527896964,0.990525826251397,0.9681655519962491,0.9999999999999999,0.9976853096552347,0.9972504527896974,0.9908274254508395,0.9884902996432412,0.9925063786164221,0.9887356135089479,0.9903811330850554,0.9920999198384384,0.9887356135089479,0.9923199821711465,0.9934668600759935,0.9943110256179623,0.9936124831096994,0.9923614535367166,0.9940326546407913,0.9935133707628053,0.9935133707628053,0.9905067325649338,0.9897291834050485,0.9922143571296002,0.9923551643018004
agradecido,0.9866761582810373,0.9888918673954765,0.9976853096552349,0.9999999999999996,0.9968028385226215,0.9899237722829707,0.9675141408698626,0.9976853096552349,0.9999999999999999,0.9968028385226221,0.9898744940842557,0.989440832388595,0.9923278171932759,0.9895066215283574,0.9904510968291745,0.9931294983885326,0.9895066215283574,0.9915083255222953,0.9935981197014827,0.9945041478234236,0.99228185874373,0.9913686819636697,0.9927845534052055,0.9925733063669057,0.9925733063669057,0.9898539587928814,0.9890872884865545,0.9925217934105706,0.9912617257514953
agradecemento,0.9876279544486928,0.9903708322751866,0.9972504527896964,0.9968028385226215,1.0000000000000002,0.9911034169976205,0.9689365853775483,0.9972504527896964,0.9968028385226221,1.0000000000000007,0.9922826176950619,0.989538726395008,0.993949237294607,0.9900864225854136,0.9908930092205013,0.9916935519699032,0.9900864225854136,0.9941406470488381,0.9944090362092216,0.9951777287028698,0.9933851813573371,0.9929831827325388,0.9939250941189345,0.9932705989875666,0.9932705989875666,0.9919411162972152,0.9911252418159483,0.9929012818651911,0.9936611761725879
gratitude,0.9818801045625469,0.9834864191582263,0.990525826251397,0.9899237722829707,0.9911034169976205,0.9999999999999994,0.9622395714381782,0.990525826251397,0.9899237722829707,0.9911034169976193,0.9832636028765922,0.9821583502047757,0.9862871610789555,0.983536329079698,0.9847606822863952,0.9868078066534502,0.983536329079698,0.9878540314032799,0.9880485869438669,0.9891286069024012,0.9859867929728232,0.9849234621778766,0.9869604310372694,0.986716859726275,0.986716859726275,0.9837827601017183,0.9827402138771915,0.9872722491894045,0.9871428267903997
grazas,0.9656244912049983,0.969501512522145,0.9681655519962491,0.9675141408698626,0.9689365853775483,0.9622395714381782,0.9999999999999993,0.9681655519962491,0.9675141408698636,0.9689365853775482,0.97146471958776,0.9698327506285586,0.9703157643582881,0.9676590007400115,0.967525712339051,0.9690534790401825,0.9676590007400115,0.9710797589141452,0.9722788780293818,0.9707977318555479,0.9708928352355726,0.9697115794284816,0.9715151571441987,0.9698187124374085,0.9698187124374085,0.9735012301733067,0.9687337296864319,0.9731991929192564,0.9723283713543145
agradecida,0.986032032348901,0.9892764279273811,0.9999999999999999,0.9976853096552349,0.9972504527896964,0.990525826251397,0.9681655519962491,0.9999999999999999,0.9976853096552347,0.9972504527896974,0.9908274254508395,0.9884902996432412,0.9925063786164221,0.9887356135089479,0.9903811330850554,0.9920999198384384,0.9887356135089479,0.9923199821711465,0.9934668600759935,0.9943110256179623,0.9936124831096994,0.9923614535367166,0.9940326546407913,0.9935133707628053,0.9935133707628053,0.9905067325649338,0.9897291834050485,0.9922143571296002,0.9923551643018004
agradecido,0.9866761582810364,0.9888918673954762,0.9976853096552347,0.9999999999999999,0.9968028385226221,0.9899237722829707,0.9675141408698636,0.9976853096552347,0.9999999999999996,0.9968028385226215,0.989874494084256,0.9894408323885945,0.9923278171932771,0.9895066215283581,0.9904510968291738,0.9931294983885322,0.9895066215283574,0.9915083255222953,0.9935981197014827,0.9945041478234236,0.99228185874373,0.9913686819636697,0.9927845534052055,0.9925733063669057,0.9925733063669057,0.9898539587928814,0.9890872884865545,0.9925217934105706,0.9912617257514953
agradecemento,0.987627954448693,0.9903708322751856,0.9972504527896974,0.9968028385226221,1.0000000000000007,0.9911034169976193,0.9689365853775482,0.9972504527896974,0.9968028385226215,1.0000000000000002,0.9922826176950615,0.9895387263950086,0.9939492372946066,0.9900864225854131,0.9908930092205013,0.9916935519699024,0.9900864225854136,0.9941406470488381,0.9944090362092216,0.9951777287028698,0.9933851813573371,0.9929831827325388,0.9939250941189345,0.9932705989875666,0.9932705989875666,0.9919411162972152,0.9911252418159483,0.9929012818651911,0.9936611761725879
