,დაფასება,დაფასება,მადლიერი,მადლიერება,მადლიერება,გმადლობ,მადლიერი,მადლიერება,დავალებული,ვალდებულება,ვალდებულება,ვალდებული,ვალდებულება,ვალი მაქვს,ვალში მყოფი,ბოდიშები,ბოდიში,უკაცრავად,მომიტევეთ,წუხილი,ბოდიში,ბოდიშის მთხოვნელი,ბოდიშის მოხდა
დაფასება,1.0000000000000004,1.0000000000000004,0.9772553050250947,0.9866001157266338,0.9866001157266338,0.9806628621151167,0.9772553050250947,0.9866001157266338,0.9867775930025628,0.9867701866542047,0.9867701866542047,0.9848078875778549,0.9867701866542047,0.9808173201525278,0.9842183273770544,0.984560474248813,0.983933660692804,0.9827016311177603,0.9837869150907291,0.9825009994715803,0.983933660692804,0.977971776260988,0.9804180332358546
დაფასება,1.0000000000000004,1.0000000000000004,0.9772553050250947,0.9866001157266338,0.9866001157266338,0.9806628621151167,0.9772553050250947,0.9866001157266338,0.9867775930025628,0.9867701866542047,0.9867701866542047,0.9848078875778549,0.9867701866542047,0.9808173201525278,0.9842183273770544,0.984560474248813,0.983933660692804,0.9827016311177603,0.9837869150907291,0.9825009994715803,0.983933660692804,0.977971776260988,0.9804180332358546
მადლიერი,0.9772553050250947,0.9772553050250947,0.9999999999999999,0.9894630419651766,0.9894630419651766,0.9911861906674668,0.9999999999999999,0.9894630419651766,0.9838570796662498,0.9855832285893641,0.9855832285893641,0.9918867759959784,0.9855832285893641,0.9878462171146591,0.9890723741966436,0.9921067099300792,0.9901867023326411,0.9884384336367886,0.9873546252029316,0.9928897127070081,0.9901867023326411,0.9965562959016365,0.9930831671233992
მადლიერება,0.9866001157266338,0.9866001157266338,0.9894630419651766,1.0,1.0,0.993130524300405,0.9894630419651766,1.0,0.9893203756610881,0.9967311544285129,0.9967311544285129,0.9957716124946513,0.9967311544285129,0.9941593771412354,0.99513073286159,0.9965561124650714,0.9928325252260439,0.9956589494746445,0.9948055932862947,0.9944598145387518,0.9928325252260439,0.9898702892169854,0.993061845695648
მადლიერება,0.9866001157266338,0.9866001157266338,0.9894630419651766,1.0,1.0,0.993130524300405,0.9894630419651766,1.0,0.9893203756610881,0.9967311544285129,0.9967311544285129,0.9957716124946513,0.9967311544285129,0.9941593771412354,0.99513073286159,0.9965561124650714,0.9928325252260439,0.9956589494746445,0.9948055932862947,0.9944598145387518,0.9928325252260439,0.9898702892169854,0.993061845695648
გმადლობ,0.9806628621151167,0.9806628621151167,0.9911861906674668,0.993130524300405,0.993130524300405,0.9999999999999999,0.9911861906674668,0.993130524300405,0.985858116914564,0.9905093812550491,0.9905093812550491,0.9939563355895461,0.9905093812550491,0.9948522070934321,0.992643707121996,0.9937676111197684,0.9911405478240597,0.9929491121801114,0.9943863164898884,0.992506070526821,0.9911405478240597,0.9925046925480597,0.9925309931205557
მადლიერი,0.9772553050250947,0.9772553050250947,0.9999999999999999,0.9894630419651766,0.9894630419651766,0.9911861906674668,0.9999999999999999,0.9894630419651766,0.9838570796662498,0.9855832285893641,0.9855832285893641,0.9918867759959784,0.9855832285893641,0.9878462171146591,0.9890723741966436,0.9921067099300792,0.9901867023326411,0.9884384336367886,0.9873546252029316,0.9928897127070081,0.9901867023326411,0.9965562959016365,0.9930831671233992
მადლიერება,0.9866001157266338,0.9866001157266338,0.9894630419651766,1.0,1.0,0.993130524300405,0.9894630419651766,1.0,0.9893203756610881,0.9967311544285129,0.9967311544285129,0.9957716124946513,0.9967311544285129,0.9941593771412354,0.99513073286159,0.9965561124650714,0.9928325252260439,0.9956589494746445,0.9948055932862947,0.9944598145387518,0.9928325252260439,0.9898702892169854,0.993061845695648
დავალებული,0.9867775930025628,0.9867775930025628,0.9838570796662498,0.9893203756610881,0.9893203756610881,0.985858116914564,0.9838570796662498,0.9893203756610881,0.9999999999999998,0.9891138454974234,0.9891138454974234,0.9907350337134457,0.9891138454974234,0.9858043203082258,0.990725148439518,0.98949138918636,0.9888672874294911,0.9879282423451183,0.9866587029596542,0.9882921144292999,0.9888672874294911,0.984724343480785,0.9853626034284872
ვალდებულება,0.9867701866542047,0.9867701866542047,0.9855832285893641,0.9967311544285129,0.9967311544285129,0.9905093812550491,0.9855832285893641,0.9967311544285129,0.9891138454974234,0.9999999999999993,0.9999999999999993,0.9957894295260113,0.9999999999999993,0.9920001270521821,0.994965443939941,0.9953566786189607,0.9909540554790397,0.9941548096099794,0.9932051846303406,0.9929518516661504,0.9909540554790397,0.9873688378511123,0.9895818753063634
