,schätzen,wertschätzung,dankbarkeit,danken,dankbar,schuld,verschuldet,verpflichtung,verpflichtet,verpflichtungsgefühl,schulden,schuldig,entschuldigend,entschuldigungen,entschuldigung,verzeihung,bedauern,entschuldigung,sich entschuldigen,entschuldigen sie,verzeihen sie mir
schätzen,0.9999999999999992,0.9958049875425399,0.9921341491086972,0.9942556804253068,0.9931361397614081,0.9934702195457055,0.991082967753885,0.9957369877024008,0.9882256010678108,0.9956236279300982,0.9965297892696371,0.9942633037205275,0.9932016331745762,0.9950896107076767,0.9926108390363342,0.9962164368432973,0.9935860482929119,0.9926108390363342,0.9927790142284497,0.9921521037544614,0.9927638757593937
wertschätzung,0.9958049875425399,0.9999999999999999,0.9946692898424909,0.9937736044644087,0.9931957278716655,0.9942808673432522,0.9900967571349762,0.9977410039319998,0.9877837408257033,0.9978282770372381,0.9957140561886763,0.9951882894802971,0.9940656000112921,0.996448732672978,0.9959400308625465,0.9963078499141483,0.9939928999013147,0.9959400308625465,0.9928412119200685,0.9925271789319265,0.9927947599263931
dankbarkeit,0.9921341491086972,0.9946692898424909,0.9999999999999999,0.9938960799336378,0.994789363567351,0.9931699454851064,0.9873856962458318,0.9944337506983512,0.9834121396944489,0.9943126052538482,0.9927042865991205,0.9933617104044419,0.991287623909385,0.9937696566041223,0.9935527935285706,0.9931988360715769,0.9919961996410862,0.9935527935285706,0.9894476104625625,0.9894273177767503,0.9927890571938331
danken,0.9942556804253068,0.9937736044644087,0.9938960799336378,1.0000000000000002,0.9974814408458778,0.9964424521773468,0.9918960819879542,0.9950377961087407,0.9877592273785827,0.9936924450901133,0.9944431589858906,0.996407973356549,0.9951961521175686,0.9939553538213302,0.9917670566647372,0.9951151291052758,0.9949138840486718,0.9917670566647372,0.9939145257675133,0.9946277991261463,0.9967621593358927
dankbar,0.9931361397614081,0.9931957278716655,0.994789363567351,0.9974814408458778,0.9999999999999996,0.9960214307330745,0.9899564072602428,0.994390260868744,0.9870721884095451,0.9933155339869926,0.9935605861548011,0.9960015889632271,0.9942898810449383,0.9935089143030674,0.9915969366104272,0.9945712721013125,0.9930085650625253,0.9915969366104272,0.9917816795538918,0.9924045375574453,0.9960368997898723
schuld,0.9934702195457055,0.9942808673432522,0.9931699454851064,0.9964424521773468,0.9960214307330745,1.0000000000000002,0.9908128102955056,0.9949156077707664,0.9865589726074269,0.9940668290400665,0.9948557785971228,0.9978256514071631,0.9947465729785107,0.9942227236191687,0.9929671364765925,0.9934015021318345,0.9934458129079682,0.9929671364765925,0.9934662632535789,0.9938987221556598,0.9946576952399131
verschuldet,0.991082967753885,0.9900967571349762,0.9873856962458318,0.9918960819879542,0.9899564072602428,0.9908128102955056,0.9999999999999998,0.9921708769963358,0.9859320435638654,0.9901350440622578,0.9909418550549526,0.9923620059166576,0.9943123833553799,0.990437515239374,0.9893002865566224,0.992198888920173,0.9925365711749914,0.9893002865566224,0.990652982237041,0.9904959783649512,0.989702409546694
verpflichtung,0.9957369877024008,0.9977410039319998,0.9944337506983512,0.9950377961087407,0.994390260868744,0.9949156077707664,0.9921708769963358,0.9999999999999997,0.9885245456020885,0.9980079254084818,0.996477437825512,0.9956934613968019,0.9948207945617182,0.9968834554234379,0.9959204693251316,0.9972657454480627,0.9943284213828422,0.9959204693251316,0.9932391985746882,0.993101587196655,0.99375847445538
verpflichtet,0.9882256010678108,0.9877837408257033,0.9834121396944489,0.9877592273785827,0.9870721884095451,0.9865589726074269,0.9859320435638654,0.9885245456020885,0.9999999999999997,0.98720801026462,0.9886298595073684,0.9882637012252208,0.9882498265198547,0.9868183143758343,0.9847542742192777,0.9883583971562003,0.9869540116468098,0.9847542742192777,0.9882665187201453,0.9867131290015434,0.9859740387381934
verpflichtungsgefühl,0.9956236279300982,0.9978282770372381,0.9943126052538482,0.9936924450901133,0.9933155339869926,0.9940668290400665,0.9901350440622578,0.9980079254084818,0.98720801026462,0.9999999999999996,0.9959775612718843,0.9953183500453062,0.9943083767341352,0.9972447987365171,0.9961357354202445,0.9962056138352733,0.993757125650015,0.9961357354202452,0.9927885968065513,0.9924963481815762,0.9932566733541137
