,कदर,ऋणी,ऋणीत्व,आभार,धन्यवाद,आभारदार,आभार,कदर करप,करजारी,करजारीपण,कर्तव्य,जबाबदारी,बाध्य,मजबूर,जबाबदारी,करज आसा,करजदार आसा,माफियां,माफी,दु:ख,माफ कर,माफ कर,माफ कर,माफी मागपाचो,माफी मागी
कदर,0.9999999999999991,0.9760818784192163,0.9733638509731334,0.9752356396132643,0.9736102673440774,0.9758509726713743,0.9752356396132643,0.9821831132965415,0.9744702576339875,0.9722461554996767,0.9715278385570872,0.9733197414580582,0.9767865967552113,0.9746523377458025,0.9733197414580582,0.9744017255866282,0.973376983190851,0.9775217591766496,0.9746739896033585,0.9733120547037885,0.9721911163929045,0.9721911163929045,0.9721911163929045,0.9719809614505386,0.97348515297242
ऋणी,0.9760818784192163,1.0000000000000002,0.9974520740925067,0.9966233503888762,0.995424945291964,0.996055974929681,0.9966233503888762,0.9938471709878827,0.9957640447512665,0.9950206876930464,0.9949973276872879,0.9945480373340613,0.9958914308388601,0.9950413818946254,0.9945480373340613,0.9954735657897602,0.9945668499369915,0.9912433277161532,0.9950454042244891,0.9912770381833781,0.9942298417434917,0.9942298417434917,0.9942298417434917,0.9934335550042717,0.9942332965004174
ऋणीत्व,0.9733638509731334,0.9974520740925067,0.9999999999999991,0.9958768435403582,0.9958232928924791,0.9954723062291283,0.9958768435403582,0.9924525788575073,0.994548027528772,0.995045384831505,0.9962573274906191,0.9941040790316346,0.9949543036179318,0.9941744366672235,0.9941040790316346,0.994367867857659,0.9938222971066476,0.9897144977208191,0.9936839098184471,0.9913496376033858,0.9933600761173699,0.9933600761173699,0.9933600761173699,0.9928913522322448,0.9934305417842069
आभार,0.9752356396132643,0.9966233503888762,0.9958768435403582,1.0000000000000004,0.9963058455927044,0.9975494859380866,1.0000000000000004,0.994472246976482,0.99662375613456,0.9967218195165779,0.9951532023318427,0.995055221276378,0.997139811565795,0.9964419721865234,0.995055221276378,0.9973068742248149,0.9955714658848517,0.9918271903392732,0.9958014308039572,0.9923227945630883,0.9960379279751728,0.9960379279751728,0.9960379279751728,0.9949599787234902,0.9955871241118838
धन्यवाद,0.9736102673440774,0.995424945291964,0.9958232928924791,0.9963058455927044,0.9999999999999998,0.9955886596977876,0.9963058455927044,0.9931788660755687,0.9954390453625575,0.9957855122688896,0.9953133783268239,0.9952551757174221,0.9968321944197212,0.9943540083914303,0.9952551757174221,0.9954005414890137,0.9951585261284038,0.9914596152531135,0.9948997871979184,0.9916590740228369,0.9939350310476404,0.9939350310476404,0.9939350310476404,0.9938115762252002,0.9941401765008752
आभारदार,0.9758509726713743,0.996055974929681,0.9954723062291283,0.9975494859380866,0.9955886596977876,0.9999999999999994,0.9975494859380866,0.9947518510237625,0.9978905137827603,0.9966748411058846,0.9938803354998562,0.9963670126136853,0.9965264353590385,0.996433888464932,0.9963670126136853,0.9974546704229645,0.996867864438338,0.9927532278707499,0.9958508565580848,0.9926161286559922,0.9949988725394738,0.9949988725394738,0.9949988725394738,0.995363078995431,0.9953707923553784
आभार,0.9752356396132643,0.9966233503888762,0.9958768435403582,1.0000000000000004,0.9963058455927044,0.9975494859380866,1.0000000000000004,0.994472246976482,0.99662375613456,0.9967218195165779,0.9951532023318427,0.995055221276378,0.997139811565795,0.9964419721865234,0.995055221276378,0.9973068742248149,0.9955714658848517,0.9918271903392732,0.9958014308039572,0.9923227945630883,0.9960379279751728,0.9960379279751728,0.9960379279751728,0.9949599787234902,0.9955871241118838
कदर करप,0.9821831132965415,0.9938471709878827,0.9924525788575073,0.994472246976482,0.9931788660755687,0.9947518510237625,0.994472246976482,0.9999999999999997,0.9948786750214355,0.9927201007594155,0.9912514272668905,0.9931935365918922,0.9956543900764201,0.994639040792697,0.9931935365918922,0.9951166192867157,0.9941432218672522,0.9915308467761201,0.9944162919863468,0.9913159176413211,0.9926487566868322,0.9926487566868322,0.9926487566868322,0.9920080898741794,0.9926416466353616
करजारी,0.9744702576339875,0.9957640447512665,0.994548027528772,0.99662375613456,0.9954390453625575,0.9978905137827603,0.99662375613456,0.9948786750214355,0.9999999999999996,0.9966457330573386,0.9931690118727103,0.9959122408426411,0.9970120501557851,0.9958982248022311,0.9959122408426411,0.9975433565136708,0.9973177988609253,0.9937401519069289,0.9961022751784817,0.9920200881613069,0.9942723985722841,0.9942723985722841,0.9942723985722841,0.9944811760211381,0.9943811579238974
करजारीपण,0.9722461554996767,0.9950206876930464,0.995045384831505,0.9967218195165779,0.9957855122688896,0.9966748411058846,0.9967218195165779,0.9927201007594155,0.9966457330573386,1.0,0.9937308439606093,0.9954964224883265,0.9961113546054432,0.9943571712309147,0.9954964224883265,0.9966108367459184,0.9962037840751371,0.9912043504705828,0.9958819612141773,0.9909485809498414,0.9955963001955204,0.9955963001955204,0.9955963001955204,0.9964616176951764,0.9957896095957072
