,εκτιμώ,εκτίμηση,ευγνώμων,ευγνωμοσύνη,ευγνωμοσύνη,ευχαριστώ,ευγνώμων,ευγνωμοσύνη,χρεωμένη,χρεωμένος,υποχρέωση,χρέος,υποχρέωση,υποχρεωμένη,υποχρεωμένος,υποχρέωση,οφείλω,οφειλόμενη,οφειλόμενος,απολογητικός,συγγνώμες,συγγνώμη,λύπη,συγγνώμη,ζητώ συγγνώμη,με συγχωρείτε,συγχωρέστε με
εκτιμώ,0.9999999999999996,0.9830215530004995,0.9822353103569773,0.9835052670727448,0.9835052670727448,0.9859309869178546,0.9822353103569773,0.9835052670727448,0.9865980396108934,0.9849341795825332,0.9845467080114533,0.9859634018308585,0.9845467080114533,0.9836645435049027,0.9834195637835367,0.9845467080114533,0.9883977764328615,0.9854724380530385,0.987447149008693,0.9832494559937855,0.9857550877046514,0.9851486709770346,0.9850726477863061,0.9851486709770346,0.9846817094877653,0.9849169737926332,0.9851424653181227
εκτίμηση,0.9830215530004995,0.9999999999999994,0.9827359763115602,0.9853251020446562,0.9853251020446562,0.9841753174949929,0.9827359763115602,0.9853251020446562,0.9871758927295662,0.9858628116844018,0.9853729008225324,0.9860161723440973,0.9853729008225324,0.9854898840904157,0.9851432505873752,0.9853729008225324,0.9834460979912472,0.9866378816822422,0.9858630125114458,0.9855374210789665,0.983617874222736,0.986286478006379,0.9858317439961464,0.986286478006379,0.9859207483424466,0.9844325926895439,0.9841862745703233
ευγνώμων,0.9822353103569773,0.9827359763115602,0.9999999999999996,0.9906586066590782,0.9906586066590782,0.9890484692170363,0.9999999999999996,0.9906586066590782,0.9903182295391848,0.9902412139410356,0.9876490297917597,0.9907093773296128,0.9876490297917597,0.9869497315996983,0.9885083456505516,0.9876490297917597,0.9885890310200939,0.988338896590313,0.9878212624327352,0.9889481207522045,0.9916480386024075,0.9918070846469889,0.9911891783874819,0.9918070846469889,0.9885398098594134,0.9872740488844055,0.9873700445361081
ευγνωμοσύνη,0.9835052670727448,0.9853251020446562,0.9906586066590782,0.9999999999999999,0.9999999999999999,0.9932241997392806,0.9906586066590782,0.9999999999999999,0.9934830290617606,0.9891395011046187,0.9931514325025143,0.993604857877986,0.9931514325025143,0.9891421906163692,0.9906648072530025,0.9931514325025143,0.9914006742780855,0.9931113472356317,0.9890147652979799,0.9927917367074345,0.9946520247395179,0.9965613149055539,0.9933609007559775,0.9965613149055539,0.9946496642501467,0.9929030925715727,0.9915598540335543
ευγνωμοσύνη,0.9835052670727448,0.9853251020446562,0.9906586066590782,0.9999999999999999,0.9999999999999999,0.9932241997392806,0.9906586066590782,0.9999999999999999,0.9934830290617606,0.9891395011046187,0.9931514325025143,0.993604857877986,0.9931514325025143,0.9891421906163692,0.9906648072530025,0.9931514325025143,0.9914006742780855,0.9931113472356317,0.9890147652979799,0.9927917367074345,0.9946520247395179,0.9965613149055539,0.9933609007559775,0.9965613149055539,0.9946496642501467,0.9929030925715727,0.9915598540335543
ευχαριστώ,0.9859309869178546,0.9841753174949929,0.9890484692170363,0.9932241997392806,0.9932241997392806,0.9999999999999996,0.9890484692170363,0.9932241997392806,0.9955555010542304,0.9907595589915457,0.9937150675152713,0.9952642676748231,0.9937150675152713,0.9925681998291229,0.9916315830436271,0.9937150675152713,0.9964744657005318,0.9922893093021696,0.9896336655705218,0.9918923656972671,0.995101425699608,0.9946393359730368,0.9938603617337544,0.9946393359730368,0.9963619240502972,0.9945713144366379,0.9968341601024702
ευγνώμων,0.9822353103569773,0.9827359763115602,0.9999999999999996,0.9906586066590782,0.9906586066590782,0.9890484692170363,0.9999999999999996,0.9906586066590782,0.9903182295391848,0.9902412139410356,0.9876490297917597,0.9907093773296128,0.9876490297917597,0.9869497315996983,0.9885083456505516,0.9876490297917597,0.9885890310200939,0.988338896590313,0.9878212624327352,0.9889481207522045,0.9916480386024075,0.9918070846469889,0.9911891783874819,0.9918070846469889,0.9885398098594134,0.9872740488844055,0.9873700445361081
ευγνωμοσύνη,0.9835052670727448,0.9853251020446562,0.9906586066590782,0.9999999999999999,0.9999999999999999,0.9932241997392806,0.9906586066590782,0.9999999999999999,0.9934830290617606,0.9891395011046187,0.9931514325025143,0.993604857877986,0.9931514325025143,0.9891421906163692,0.9906648072530025,0.9931514325025143,0.9914006742780855,0.9931113472356317,0.9890147652979799,0.9927917367074345,0.9946520247395179,0.9965613149055539,0.9933609007559775,0.9965613149055539,0.9946496642501467,0.9929030925715727,0.9915598540335543
χρεωμένη,0.9865980396108934,0.9871758927295662,0.9903182295391848,0.9934830290617606,0.9934830290617606,0.9955555010542304,0.9903182295391848,0.9934830290617606,0.9999999999999994,0.9946144497425949,0.9956749812137192,0.9966595881053746,0.9956749812137192,0.9969783492904407,0.9944789690054177,0.9956749812137192,0.9950893450562446,0.9956176395977924,0.9926709388944479,0.9934024302460855,0.9953144462396447,0.9956660225466586,0.995501192910673,0.9956660225466586,0.9954687989605288,0.9939846486668619,0.9951860521701014
χρεωμένος,0.9849341795825332,0.9858628116844018,0.9902412139410356,0.9891395011046187,0.9891395011046187,0.9907595589915457,0.9902412139410356,0.9891395011046187,0.9946144497425949,0.9999999999999999,0.991003968571307,0.9943076740830625,0.991003968571307,0.9923474805066853,0.9970488543387774,0.991003968571307,0.9908165631599294,0.9910030866833294,0.9919946840461126,0.9934052885355228,0.9903908029993751,0.990984816861015,0.9930777656519143,0.990984816861015,0.9905984672861299,0.9885572554805367,0.9911826464706693
