,પ્રશંસા,આભારી,આભાર,આભાર,આભાર,આભારી,આભાર,કદર કરવી,કરજદાર,કરજદારી,જવાબદારી,ફરજ,બાધ્ય,મજબૂર,જવાબદારી,ફરજ,ઋણ બાકી,ઋણી હોવું,કરજ બાકી,ખેદપ્રકટક,માફીઓ,માફી,દુઃખ,માફ કરજો,માફ કરજો,માફી માંગવી,મારી માફી
પ્રશંસા,0.9999999999999994,0.9962769354383683,0.9962175084416305,0.9962175084416305,0.9962175084416305,0.9962769354383683,0.9962175084416305,0.9938974204619532,0.9956195525383467,0.9968914150605986,0.9938567842330234,0.9869940669514164,0.9912346366559235,0.9932242465017442,0.9938567842330234,0.9869940669514164,0.9950667484305479,0.995009036109999,0.9953942084286921,0.9967434755419258,0.9959351636173667,0.9959644953220963,0.9952205178073309,0.9954938128424226,0.9954938128424226,0.995224087456323,0.9954285288715519
આભારી,0.9962769354383683,0.9999999999999993,0.9962549855630665,0.9962549855630665,0.9962549855630665,0.9999999999999993,0.9962549855630665,0.9956556257366417,0.9966200073497343,0.9965916866890044,0.9940400040549034,0.9869224311656937,0.9904115107999732,0.9925680216226213,0.9940400040549034,0.9869224311656937,0.9953954395055662,0.9962834736008461,0.9957674282526752,0.9967097431641346,0.9950261827655312,0.9958619520256418,0.9953004684833413,0.9962541763171636,0.9962541763171636,0.996079004159178,0.9964162745901015
આભાર,0.9962175084416305,0.9962549855630665,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9962549855630665,0.9999999999999991,0.9931326639801241,0.9940149114139962,0.9959090436654565,0.9939696321318974,0.9851558891366868,0.990131787878664,0.9908291205687001,0.9939696321318974,0.9851558891366868,0.9938622235475122,0.9944395700730182,0.9941246533473637,0.9963154991743025,0.9958690008666766,0.9956488157117697,0.9936397347695863,0.9950694255938424,0.9950694255938424,0.9957077472185081,0.995086365848723
આભાર,0.9962175084416305,0.9962549855630665,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9962549855630665,0.9999999999999991,0.9931326639801241,0.9940149114139962,0.9959090436654565,0.9939696321318974,0.9851558891366868,0.990131787878664,0.9908291205687001,0.9939696321318974,0.9851558891366868,0.9938622235475122,0.9944395700730182,0.9941246533473637,0.9963154991743025,0.9958690008666766,0.9956488157117697,0.9936397347695863,0.9950694255938424,0.9950694255938424,0.9957077472185081,0.995086365848723
આભાર,0.9962175084416305,0.9962549855630665,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9962549855630665,0.9999999999999991,0.9931326639801241,0.9940149114139962,0.9959090436654565,0.9939696321318974,0.9851558891366868,0.990131787878664,0.9908291205687001,0.9939696321318974,0.9851558891366868,0.9938622235475122,0.9944395700730182,0.9941246533473637,0.9963154991743025,0.9958690008666766,0.9956488157117697,0.9936397347695863,0.9950694255938424,0.9950694255938424,0.9957077472185081,0.995086365848723
આભારી,0.9962769354383683,0.9999999999999993,0.9962549855630665,0.9962549855630665,0.9962549855630665,0.9999999999999993,0.9962549855630665,0.9956556257366417,0.9966200073497343,0.9965916866890044,0.9940400040549034,0.9869224311656937,0.9904115107999732,0.9925680216226213,0.9940400040549034,0.9869224311656937,0.9953954395055662,0.9962834736008461,0.9957674282526752,0.9967097431641346,0.9950261827655312,0.9958619520256418,0.9953004684833413,0.9962541763171636,0.9962541763171636,0.996079004159178,0.9964162745901015
આભાર,0.9962175084416305,0.9962549855630665,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9962549855630665,0.9999999999999991,0.9931326639801241,0.9940149114139962,0.9959090436654565,0.9939696321318974,0.9851558891366868,0.990131787878664,0.9908291205687001,0.9939696321318974,0.9851558891366868,0.9938622235475122,0.9944395700730182,0.9941246533473637,0.9963154991743025,0.9958690008666766,0.9956488157117697,0.9936397347695863,0.9950694255938424,0.9950694255938424,0.9957077472185081,0.995086365848723
કદર કરવી,0.9938974204619532,0.9956556257366417,0.9931326639801241,0.9931326639801241,0.9931326639801241,0.9956556257366417,0.9931326639801241,0.9999999999999997,0.9941946924501658,0.9945561781229467,0.9929411773798759,0.9846550816878025,0.9887511588140372,0.9898467110538841,0.9929411773798759,0.9846550816878025,0.9939743545587194,0.9967445591406318,0.993570473603251,0.9951916693815496,0.9935675552443,0.9934876121221107,0.9943233590636681,0.9945809465516036,0.9945809465516036,0.9957016780508409,0.9959152077432132
કરજદાર,0.9956195525383467,0.9966200073497343,0.9940149114139962,0.9940149114139962,0.9940149114139962,0.9966200073497343,0.9940149114139962,0.9941946924501658,1.0,0.9973148940332242,0.9934045231013402,0.9869597605642443,0.9889734560790855,0.9919635528726434,0.9934045231013402,0.9869597605642443,0.9937008748659596,0.9946074494867967,0.9945893972857485,0.9958551508181479,0.9937178922597307,0.9949265917569255,0.9947304240861283,0.9941319926079957,0.9941319926079957,0.9939137745421925,0.9949427254604656
કરજદારી,0.9968914150605986,0.9965916866890044,0.9959090436654565,0.9959090436654565,0.9959090436654565,0.9965916866890044,0.9959090436654565,0.9945561781229467,0.9973148940332242,0.9999999999999996,0.9960278709976742,0.987164846735481,0.9902193179515818,0.9925788404899207,0.9960278709976742,0.987164846735481,0.9943029887905559,0.9949354101100026,0.9953876799955339,0.9970384765799241,0.9963701903189307,0.9960480714817592,0.9950046646579119,0.9954646845311189,0.9954646845311189,0.9957016267585923,0.9958630517117183
