,apresye,apresyasyon,rekonesan,gratitid,gratitid,mèsi,rekonesan,gratitid,endete,dèt,obligasyon,oblije,obligasyon,dwe,dwe,dèt genyen,ekskizab,ekskize,ekskiz,regre,padon,eskiz yo,eskize m,padonnen m
apresye,0.9999999999999998,0.9922992499274623,0.993243548739144,0.9944795224543403,0.9944795224543403,0.993938422250078,0.993243548739144,0.9944795224543403,0.9838027141659164,0.976979745970788,0.9881979018263255,0.9905158513126927,0.9881979018263255,0.9917996008796395,0.9917996008796395,0.9913828556381757,0.9960295813075604,0.99579319020275,0.9878179320720554,0.9941967906930939,0.9909278325226857,0.9959740684882034,0.993794371330743,0.9940730768674619
apresyasyon,0.9922992499274623,0.9999999999999994,0.9899119290451224,0.9899527255004077,0.9899527255004077,0.98811564645513,0.9899119290451224,0.9899527255004077,0.976217330686125,0.970752054718819,0.9890831221798624,0.9848308686926628,0.9890831221798624,0.9873203015170315,0.9873203015170315,0.9876418584286192,0.9916707644499482,0.9908508530196964,0.9884812149267639,0.9891933493868498,0.991099221012437,0.9916824582994396,0.9880175046004219,0.9886621347647989
rekonesan,0.993243548739144,0.9899119290451224,0.9999999999999994,0.9926595446278277,0.9926595446278277,0.9939541379623966,0.9999999999999994,0.9926595446278277,0.9847092593298519,0.9784858004618147,0.9835244097352048,0.9901980299999724,0.9835244097352048,0.9880926745251162,0.9880926745251162,0.9895886230265414,0.9942643456225656,0.993994400243947,0.9859724402887197,0.9928442473839539,0.9922967767442443,0.9925610091068523,0.991702635073367,0.9930951868743816
gratitid,0.9944795224543403,0.9899527255004077,0.9926595446278277,1.0,1.0,0.9917130842104198,0.9926595446278277,1.0,0.9812813469011195,0.9749576893914532,0.9872160603416656,0.9898032459960444,0.9872160603416656,0.9898442125988451,0.9898442125988451,0.9914945822788718,0.9951319099136471,0.9947330982794818,0.9881668765818381,0.993585760682877,0.990615262374945,0.9934120327422149,0.9923269231491598,0.9918359791977703
gratitid,0.9944795224543403,0.9899527255004077,0.9926595446278277,1.0,1.0,0.9917130842104198,0.9926595446278277,1.0,0.9812813469011195,0.9749576893914532,0.9872160603416656,0.9898032459960444,0.9872160603416656,0.9898442125988451,0.9898442125988451,0.9914945822788718,0.9951319099136471,0.9947330982794818,0.9881668765818381,0.993585760682877,0.990615262374945,0.9934120327422149,0.9923269231491598,0.9918359791977703
mèsi,0.993938422250078,0.98811564645513,0.9939541379623966,0.9917130842104198,0.9917130842104198,0.9999999999999991,0.9939541379623966,0.9917130842104198,0.984818439947246,0.981336838598801,0.981429591277661,0.9895686843346686,0.981429591277661,0.9888132720126056,0.9888132720126056,0.9887180179171741,0.9931444919842766,0.9936994400752662,0.985724767465119,0.9940429484196223,0.9887146797274342,0.9930616432158671,0.991573213623347,0.9922583639578747
rekonesan,0.993243548739144,0.9899119290451224,0.9999999999999994,0.9926595446278277,0.9926595446278277,0.9939541379623966,0.9999999999999994,0.9926595446278277,0.9847092593298519,0.9784858004618147,0.9835244097352048,0.9901980299999724,0.9835244097352048,0.9880926745251162,0.9880926745251162,0.9895886230265414,0.9942643456225656,0.993994400243947,0.9859724402887197,0.9928442473839539,0.9922967767442443,0.9925610091068523,0.991702635073367,0.9930951868743816
gratitid,0.9944795224543403,0.9899527255004077,0.9926595446278277,1.0,1.0,0.9917130842104198,0.9926595446278277,1.0,0.9812813469011195,0.9749576893914532,0.9872160603416656,0.9898032459960444,0.9872160603416656,0.9898442125988451,0.9898442125988451,0.9914945822788718,0.9951319099136471,0.9947330982794818,0.9881668765818381,0.993585760682877,0.990615262374945,0.9934120327422149,0.9923269231491598,0.9918359791977703
endete,0.9838027141659164,0.976217330686125,0.9847092593298519,0.9812813469011195,0.9812813469011195,0.984818439947246,0.9847092593298519,0.9812813469011195,1.0000000000000002,0.9710566814392246,0.9693910082920811,0.9803208248595235,0.9693910082920811,0.9777165211433546,0.9777165211433546,0.9807443422655067,0.9840088187682825,0.9837904767849155,0.9732560403972791,0.9823953188066247,0.978082937031726,0.980596541853586,0.9846215186841434,0.983527862443224
dèt,0.976979745970788,0.970752054718819,0.9784858004618147,0.9749576893914532,0.9749576893914532,0.981336838598801,0.9784858004618147,0.9749576893914532,0.9710566814392246,0.9999999999999997,0.9646021480847926,0.9751724416894852,0.9646021480847926,0.972693182638647,0.972693182638647,0.9747415243087401,0.976529137571821,0.9782151875490991,0.9673271604022324,0.9779214178279613,0.9721872233339254,0.9778792216183765,0.9760466239612083,0.9763772365796084
