,הערכה,להעריך,מודה,תודה,להודות,הכרת תודה,מחויב,חוב,מחויבות,חובה,חייב,מצב חוב,תחושת חובה,מתנצל,התנצלויות,להתנצל,התנצלות,סליחה,צער,סליחה,סלח לי
הערכה,0.9999999999999991,0.9931502864668069,0.9943364066485427,0.9937374513412953,0.9926142309107597,0.9946824369512084,0.9933499051079946,0.9904808743918785,0.9946239227108411,0.9941684944648858,0.9922554611648846,0.9934726099785263,0.9948231225393951,0.9935172407725178,0.9961341557542807,0.993547861659604,0.9963523653597758,0.9941716720655152,0.9933555557111144,0.9941716720655152,0.9937823900148055
להעריך,0.9931502864668069,0.9999999999999994,0.9950003395252638,0.9946449459459025,0.996375980951735,0.9940794365862531,0.9951662330677558,0.9912239469301898,0.9957427813675083,0.9939107432383486,0.994228517160496,0.9930520242328718,0.9952874824341255,0.996259839908358,0.9943643609957546,0.9971368957633057,0.994545801639016,0.9935135233741312,0.9947377612831763,0.9935135233741312,0.995031758221587
מודה,0.9943364066485427,0.9950003395252638,0.9999999999999997,0.997245992123245,0.9953740278554104,0.9953987278575398,0.9966044232539693,0.9926954944358648,0.9970105809529237,0.9962441635282497,0.9960529584686926,0.993073530068093,0.9955317115928779,0.9968829820525862,0.9944716274840271,0.9956968327966887,0.9947015338535363,0.9945485851686345,0.9969782318245402,0.9945485851686345,0.9963054552663431
תודה,0.9937374513412953,0.9946449459459025,0.997245992123245,0.9999999999999993,0.9958994660391868,0.9970682029617888,0.9947930522187599,0.9906061613009062,0.9965740202110909,0.9942729136682288,0.9942443516533841,0.9921326003429759,0.9953489844966699,0.9969255970130646,0.9937968850880501,0.9953487604044643,0.9947950443328424,0.9926481479511536,0.9952881912753622,0.9926481479511536,0.9951685545694758
להודות,0.9926142309107597,0.996375980951735,0.9953740278554104,0.9958994660391868,0.9999999999999997,0.9949486695181605,0.994734965458043,0.9908673446001469,0.9964298036908276,0.993464251985326,0.9930423619833919,0.9925086704955396,0.9950702979962311,0.9972961263906239,0.9937831907354772,0.9981367138501535,0.9947471594609057,0.9928957676512784,0.99419417003377,0.9928957676512784,0.9954836413767978
הכרת תודה,0.9946824369512084,0.9940794365862531,0.9953987278575398,0.9970682029617888,0.9949486695181605,0.9999999999999991,0.9939531041426882,0.9904799039002905,0.9955540232967668,0.9932957775183614,0.9927499350516475,0.9931473097831133,0.9959106747998676,0.9955224576382371,0.9958433105999519,0.995048589177739,0.9959515810229281,0.9926591275670277,0.9935427992958126,0.9926591275670277,0.9953780898999227
מחויב,0.9933499051079946,0.9951662330677558,0.9966044232539693,0.9947930522187599,0.994734965458043,0.9939531041426882,0.9999999999999999,0.9940984429808123,0.9978319057234754,0.9960905633189397,0.9966005878480008,0.9951727138858728,0.9962909653518294,0.9968849287951919,0.9949531705364959,0.9955650709635498,0.9946814240740001,0.9955395306878774,0.9968744464778603,0.9955395306878774,0.996854704995261
חוב,0.9904808743918785,0.9912239469301898,0.9926954944358648,0.9906061613009062,0.9908673446001469,0.9904799039002905,0.9940984429808123,1.0000000000000002,0.9933694105028594,0.9947095602102094,0.9914916185077413,0.9949992743825746,0.9935146977546673,0.9923655541716128,0.9908879414200492,0.9918683623852123,0.9907442593601555,0.9930334850513286,0.9934473709397478,0.9930334850513286,0.9937655500324204
מחויבות,0.9946239227108411,0.9957427813675083,0.9970105809529237,0.9965740202110909,0.9964298036908276,0.9955540232967668,0.9978319057234754,0.9933694105028594,1.0,0.9960730898450783,0.9956753509506079,0.9953908752924792,0.9978655081362694,0.9977299207204163,0.996138483727967,0.9967781371345408,0.9966598113103615,0.9951490654409446,0.9965791721816201,0.9951490654409446,0.9968145908359838
חובה,0.9941684944648858,0.9939107432383486,0.9962441635282497,0.9942729136682288,0.993464251985326,0.9932957775183614,0.9960905633189397,0.9947095602102094,0.9960730898450783,0.9999999999999997,0.995484121113583,0.9950638000238201,0.9967778201133635,0.9951271390397398,0.9943465980221113,0.9949239133578539,0.99439510816133,0.995299219748561,0.9971409463547135,0.995299219748561,0.9956466361911558
