,प्रशंसा,आभारी,आभार,आभार,धन्यवाद,आभारी,आभार,सराहना करना,ऋणी,कर्ज़दार,ऋणग्रस्तता,कर्ज़दारी,कर्तव्य,दायित्व,बाध्य,मजबूर,कर्तव्य,दायित्व,ऋणस्वीकार,ऋणी होना,कर्ज़ होना,कर्ज़दार होना,खेदपूर्ण,माफ़ियाँ,माफ़ी,खेद,क्षमा करें,मुझे माफ़ करें,माफ़ करना,माफ़ी मांगना
प्रशंसा,0.9999999999999994,0.9943897883772707,0.9966723296056873,0.9966723296056873,0.9949368833768162,0.9943897883772707,0.9966723296056873,0.9930879197126993,0.9945586669977147,0.9961257559506047,0.9951153844109547,0.9960281738546758,0.9925717158108326,0.9949511423096171,0.9969046577090178,0.9962770301033369,0.9925717158108326,0.9949511423096171,0.9926654838552212,0.9926204220116618,0.9945080827957176,0.9928999751344084,0.9951262266269996,0.9923058062312093,0.9960399714574021,0.9921237745343808,0.9946719824800726,0.9864089154467484,0.9943948793666056,0.9948458987445281
आभारी,0.9943897883772707,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9929296057065271,0.9939717623343959,0.9907729225061745,0.9945737180866515,0.9904846374011528,0.99151814874078,0.9943083055507678,0.9940861577571538,0.9904846374011528,0.99151814874078,0.9914931849259403,0.9907268999332588,0.9917124590903853,0.9903763597255227,0.9923697797295572,0.9912352672971281,0.9930534757146977,0.9896218955701049,0.9920088299878821,0.9845146814380689,0.9924934515676658,0.9916167650809081
आभार,0.9966723296056873,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9966233503888777,0.9957942436095797,0.9938802143395016,0.9954940770043481,0.9951532023318427,0.9957031623037146,0.997139811565795,0.9964419721865234,0.9951532023318427,0.9957031623037146,0.9943884019936166,0.9937193035135284,0.9956227808646311,0.9935194773879031,0.9962765471598664,0.9918271903392732,0.9958014308039572,0.9936611589604744,0.9967058873508753,0.9883438177787597,0.9951880920865943,0.994637638575683
आभार,0.9966723296056873,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9966233503888777,0.9957942436095797,0.9938802143395016,0.9954940770043481,0.9951532023318427,0.9957031623037146,0.997139811565795,0.9964419721865234,0.9951532023318427,0.9957031623037146,0.9943884019936166,0.9937193035135284,0.9956227808646311,0.9935194773879031,0.9962765471598664,0.9918271903392732,0.9958014308039572,0.9936611589604744,0.9967058873508753,0.9883438177787597,0.9951880920865943,0.994637638575683
धन्यवाद,0.9949368833768162,0.9922854204023359,0.9963058455927044,0.9963058455927044,0.9999999999999998,0.9922854204023359,0.9963058455927044,0.9932308491624615,0.9954249452919631,0.9958412147366493,0.9940965877634701,0.995085784069956,0.9953133783268239,0.9965595114480423,0.9968321944197212,0.9943540083914303,0.9953133783268239,0.9965595114480423,0.9960180379439662,0.9953303669841312,0.9962247014525112,0.99514818540416,0.9952672248336252,0.9914596152531135,0.9948997871979184,0.9917684857006173,0.9955830600669904,0.9861939387822947,0.994883282210023,0.9949523642435745
आभारी,0.9943897883772707,0.9999999999999997,0.9950460880476794,0.9950460880476794,0.9922854204023359,0.9999999999999997,0.9950460880476794,0.9911423784208391,0.9929296057065271,0.9939717623343959,0.9907729225061745,0.9945737180866515,0.9904846374011528,0.99151814874078,0.9943083055507678,0.9940861577571538,0.9904846374011528,0.99151814874078,0.9914931849259403,0.9907268999332588,0.9917124590903853,0.9903763597255227,0.9923697797295572,0.9912352672971281,0.9930534757146977,0.9896218955701049,0.9920088299878821,0.9845146814380689,0.9924934515676658,0.9916167650809081
आभार,0.9966723296056873,0.9950460880476794,1.0000000000000004,1.0000000000000004,0.9963058455927044,0.9950460880476794,1.0000000000000004,0.9930902570532345,0.9966233503888777,0.9957942436095797,0.9938802143395016,0.9954940770043481,0.9951532023318427,0.9957031623037146,0.997139811565795,0.9964419721865234,0.9951532023318427,0.9957031623037146,0.9943884019936166,0.9937193035135284,0.9956227808646311,0.9935194773879031,0.9962765471598664,0.9918271903392732,0.9958014308039572,0.9936611589604744,0.9967058873508753,0.9883438177787597,0.9951880920865943,0.994637638575683
सराहना करना,0.9930879197126993,0.9911423784208391,0.9930902570532345,0.9930902570532345,0.9932308491624615,0.9911423784208391,0.9930902570532345,0.9999999999999996,0.9932504919702841,0.9941291992873155,0.9910512829785195,0.9932762239376716,0.9921467403200398,0.9932211598914944,0.9930639384186984,0.9930812338947907,0.9921467403200398,0.9932211598914944,0.9936533457491175,0.995282773418934,0.9955370093824306,0.9957371089288041,0.9925277023685086,0.9903837350600327,0.9934347061386605,0.9884303471311449,0.9948228761785255,0.985975930912154,0.9978204109536619,0.9935586863169451
ऋणी,0.9945586669977147,0.9929296057065271,0.9966233503888777,0.9966233503888777,0.9954249452919631,0.9929296057065271,0.9966233503888777,0.9932504919702841,1.0000000000000002,0.9954858070257507,0.9937902583021787,0.9951359759565644,0.9949973276872871,0.9942465786455837,0.99589143083886,0.9950413818946232,0.9949973276872879,0.9942465786455837,0.9953746689316079,0.9948039868495002,0.9943822773083952,0.9929744454505827,0.9949781522894221,0.9912433277161532,0.9950454042244891,0.991742837111068,0.9953522650846744,0.9866063828570418,0.9953826061362417,0.9933452947747359
कर्ज़दार,0.9961257559506047,0.9939717623343959,0.9957942436095797,0.9957942436095797,0.9958412147366493,0.9939717623343959,0.9957942436095797,0.9941291992873155,0.9954858070257507,0.9999999999999994,0.9961615121896698,0.9987795346349609,0.9929941511352487,0.9952009479530496,0.9964759083218181,0.9950865512448728,0.9929941511352478,0.9952009479530487,0.9942228703528814,0.9946150888940004,0.9958223687961248,0.9952494426643445,0.9937269863443615,0.9935107706218465,0.9963498675803353,0.990209463270521,0.9948499572429284,0.986215936942304,0.995513666235031,0.9964578418976663
ऋणग्रस्तता,0.9951153844109547,0.9907729225061745,0.9938802143395016,0.9938802143395016,0.9940965877634701,0.9907729225061745,0.9938802143395016,0.9910512829785195,0.9937902583021787,0.9961615121896698,1.0,0.9958185733345082,0.9901975159950881,0.994539474440359,0.9945817253457849,0.9922658264133607,0.9901975159950884,0.9945394744403585,0.9922696169554166,0.9919939804234239,0.9930532579597634,0.9917888190477318,0.99234816473655,0.989734447307373,0.993385199243435,0.9891118152020553,0.9924108800799537,0.9832000176498111,0.9914546600303642,0.9942318816297147
