,értékel,értékelés,méltányolás,hálás,hála,hála,köszönöm,hálás,hála,eladósodott,eladósodottság,kötelezettség,köteles,kötelezett,kötelezettség,tartozik,adós,tartozásban lévő,bocsánatkérő,bocsánatkérések,bocsánatkérés,elnézést,bánat,sajnálom,bocsánatot kér,bocsáss meg
értékel,0.9999999999999999,0.9977625059116682,0.9824923162264917,0.9849243511259458,0.986679674876947,0.986679674876947,0.9690515963942323,0.9849243511259458,0.9866796748769465,0.9859899341261484,0.9812293923505443,0.9876063120829786,0.9834885575052666,0.9898712724689313,0.9876063120829786,0.9842609691261284,0.9879573087494974,0.9892404669917955,0.985483705505673,0.9846009489175446,0.9865252764722476,0.9876884376435415,0.9859078378162638,0.9830806480394584,0.9866290327432715,0.9861911979550615
értékelés,0.9977625059116682,0.9999999999999994,0.9847465170227191,0.9875329011761647,0.9886543354240669,0.9886543354240669,0.9737174455216003,0.9875329011761647,0.9886543354240671,0.9882657037511873,0.9824306404784806,0.988696215253175,0.9862652358648215,0.9907368302539397,0.988696215253175,0.9870771153084741,0.9900837057575747,0.9910209652674481,0.9870502678990056,0.9862262479028141,0.9882571355093381,0.9898171019060501,0.9881784178711646,0.9848411966283572,0.9874456918233517,0.988492445767384
méltányolás,0.9824923162264917,0.9847465170227191,0.9999999999999998,0.9924115002064631,0.9909458629065014,0.9909458629065014,0.9702718372317983,0.9924115002064631,0.990945862906502,0.9870143383493944,0.9888421113248858,0.9914448883628787,0.9952218226710078,0.9905626338867768,0.9914448883628787,0.9820118589037847,0.9923131736466031,0.9874778479971801,0.9942478343973407,0.9906570070997577,0.9945412149154914,0.9913469633048033,0.9916881340333542,0.9872268448367978,0.991550345620308,0.9868763057855947
hálás,0.9849243511259458,0.9875329011761647,0.9924115002064631,0.9999999999999993,0.9933891464527972,0.9933891464527972,0.9819503065014408,0.9999999999999993,0.993389146452798,0.9893158984245627,0.9863623449287239,0.9898121011805682,0.9941816408448149,0.9904276983392557,0.9898121011805682,0.9861720815340496,0.9951514686128065,0.9909835172281816,0.9922711873064155,0.9881784628531387,0.9925620603255412,0.9903798777982612,0.9917292725154749,0.9885456123058363,0.9894042661996558,0.990360079101991
hála,0.986679674876947,0.9886543354240669,0.9909458629065014,0.9933891464527972,0.9999999999999998,0.9999999999999998,0.9787103552067715,0.9933891464527972,0.9999999999999997,0.9920051447634907,0.986248696409732,0.9907791244362586,0.9939482766969561,0.9925770980261246,0.9907791244362586,0.9885859121892748,0.9943361836927451,0.9918386459630244,0.991920466732474,0.9887634106000802,0.99232058466908,0.9920860018349719,0.992635673717989,0.9878883158585322,0.9910264656378002,0.991913021451662
hála,0.986679674876947,0.9886543354240669,0.9909458629065014,0.9933891464527972,0.9999999999999998,0.9999999999999998,0.9787103552067715,0.9933891464527972,0.9999999999999997,0.9920051447634907,0.986248696409732,0.9907791244362586,0.9939482766969561,0.9925770980261246,0.9907791244362586,0.9885859121892748,0.9943361836927451,0.9918386459630244,0.991920466732474,0.9887634106000802,0.99232058466908,0.9920860018349719,0.992635673717989,0.9878883158585322,0.9910264656378002,0.991913021451662
köszönöm,0.9690515963942323,0.9737174455216003,0.9702718372317983,0.9819503065014408,0.9787103552067715,0.9787103552067715,0.9999999999999994,0.9819503065014408,0.978710355206771,0.9772863787125228,0.9643486807240294,0.9697694024589405,0.9764507412930595,0.9725843762282655,0.9697694024589405,0.978548953235089,0.9787951346641575,0.977545623480117,0.9714221653873578,0.9686779754164379,0.9713219399174831,0.9746807550399483,0.9735339576302596,0.9767099089807235,0.9700950298153066,0.9756926797190286
hálás,0.9849243511259458,0.9875329011761647,0.9924115002064631,0.9999999999999993,0.9933891464527972,0.9933891464527972,0.9819503065014408,0.9999999999999993,0.993389146452798,0.9893158984245627,0.9863623449287239,0.9898121011805682,0.9941816408448149,0.9904276983392557,0.9898121011805682,0.9861720815340496,0.9951514686128065,0.9909835172281816,0.9922711873064155,0.9881784628531387,0.9925620603255412,0.9903798777982612,0.9917292725154749,0.9885456123058363,0.9894042661996558,0.990360079101991
hála,0.9866796748769465,0.9886543354240671,0.990945862906502,0.993389146452798,0.9999999999999997,0.9999999999999997,0.978710355206771,0.993389146452798,0.9999999999999998,0.9920051447634893,0.9862486964097319,0.9907791244362594,0.9939482766969558,0.992577098026125,0.9907791244362594,0.9885859121892755,0.9943361836927451,0.9918386459630244,0.991920466732474,0.9887634106000802,0.99232058466908,0.9920860018349719,0.992635673717989,0.9878883158585322,0.9910264656378002,0.991913021451662
eladósodott,0.9859899341261484,0.9882657037511873,0.9870143383493944,0.9893158984245627,0.9920051447634907,0.9920051447634907,0.9772863787125228,0.9893158984245627,0.9920051447634893,0.9999999999999993,0.9854098969408586,0.9886741137765922,0.989382764088516,0.9906106522817174,0.9886741137765922,0.9864296698688284,0.9928964562469815,0.9910023721542286,0.9879428533294509,0.9866844627340109,0.9890566929843431,0.9918972647551867,0.9890346714450394,0.987781773403007,0.9889649259760858,0.9934304868973528
eladósodottság,0.9812293923505443,0.9824306404784806,0.9888421113248858,0.9863623449287239,0.986248696409732,0.986248696409732,0.9643486807240294,0.9863623449287239,0.9862486964097319,0.9854098969408586,1.0000000000000007,0.994734846342234,0.9862351656163524,0.9902724374508481,0.994734846342234,0.9783006577935971,0.9863839820287442,0.9865055327925428,0.9930654199927258,0.9946500361230171,0.9930809603126338,0.9859988057653147,0.9881580186332172,0.983372433235904,0.9897227150296065,0.9870669793291668
kötelezettség,0.9876063120829786,0.988696215253175,0.9914448883628787,0.9898121011805682,0.9907791244362586,0.9907791244362586,0.9697694024589405,0.9898121011805682,0.9907791244362594,0.9886741137765922,0.994734846342234,0.9999999999999998,0.9916946830138603,0.9959169003506827,0.9999999999999998,0.9837795850490169,0.9913487161704962,0.9920343671241078,0.9952689731152147,0.9934587772531273,0.9954388024848483,0.9908440087895352,0.9930257070464379,0.9871865834020935,0.9938443716347479,0.9896909437298408
köteles,0.9834885575052666,0.9862652358648215,0.9952218226710078,0.9941816408448149,0.9939482766969561,0.9939482766969561,0.9764507412930595,0.9941816408448149,0.9939482766969558,0.989382764088516,0.9862351656163524,0.9916946830138603,0.9999999999999996,0.9918020318851986,0.9916946830138603,0.9851619282974434,0.9945414052517743,0.9898704614482733,0.993504447095984,0.9889182039500694,0.9937241444590288,0.9923276891037442,0.9939089313401607,0.9876844227503212,0.9910862710647734,0.9880794899181744
kötelezett,0.9898712724689313,0.9907368302539397,0.9905626338867768,0.9904276983392557,0.9925770980261246,0.9925770980261246,0.9725843762282655,0.9904276983392557,0.992577098026125,0.9906106522817174,0.9902724374508481,0.9959169003506827,0.9918020318851986,1.0000000000000002,0.9959169003506827,0.9868544818131858,0.9925635309773845,0.9935513797426686,0.9937695138381087,0.9919299263312807,0.9943560778818069,0.9923205495365529,0.9931422632116039,0.9904824235233708,0.9938674547271343,0.9917228532934714
kötelezettség,0.9876063120829786,0.988696215253175,0.9914448883628787,0.9898121011805682,0.9907791244362586,0.9907791244362586,0.9697694024589405,0.9898121011805682,0.9907791244362594,0.9886741137765922,0.994734846342234,0.9999999999999998,0.9916946830138603,0.9959169003506827,0.9999999999999998,0.9837795850490169,0.9913487161704962,0.9920343671241078,0.9952689731152147,0.9934587772531273,0.9954388024848483,0.9908440087895352,0.9930257070464379,0.9871865834020935,0.9938443716347479,0.9896909437298408
