,metur,mat,þakklá,þakklátur,þakklæti,þakklæti,takk,þakklá,þakklátur,þakklæti,skuldsettur,skuldugur,skuldir,skuldbinding,skylda,skuldbundinn,skyldugur,skuldbinding,skulda,skuldandi,afsakandi,afsakanir,afsökunarbeiðni,sektarkennd,afsakið,afsakið mig,biðjast afsökunar,fyrirgefðu mér
metur,0.9999999999999993,0.9880266102342068,0.987945636623719,0.9817762918879757,0.9865836017155749,0.9865836017155749,0.9938662727179567,0.987945636623719,0.9817762918879757,0.9865836017155756,0.9852342225630919,0.9926507749058718,0.9892070793958172,0.9872459724952904,0.9915526952296262,0.9874171373939818,0.9908235362426139,0.9872459724952904,0.991567827371994,0.9894972788263322,0.9919949765235401,0.9924715617915519,0.9859930664971441,0.9891021030629229,0.9793117396650903,0.9891649190894725,0.9867318291352721,0.9817273322683348
mat,0.9880266102342068,0.9999999999999998,0.9817544297775921,0.9770768454781127,0.9817545452979992,0.9817545452979992,0.9894031163653886,0.9817544297775921,0.9770768454781126,0.9817545452979994,0.9817607111708667,0.9881062250071723,0.984647748425661,0.983493556209168,0.9861301304904917,0.9840437040777128,0.9858609027023247,0.983493556209168,0.9876016325957303,0.9862676065729277,0.9869503743095231,0.9868868880190674,0.9824290924261011,0.985211740814084,0.9752434551032995,0.9846388965108893,0.9826175808338804,0.9784124359137713
þakklá,0.987945636623719,0.9817544297775921,1.0000000000000002,0.995572467936152,0.9961524170686583,0.9961524170686583,0.9902111886265744,1.0000000000000002,0.9955724679361504,0.9961524170686584,0.9923824681541605,0.9918087294665432,0.9919685540952622,0.9909111705177732,0.9928006090529922,0.9913444818460044,0.9942739317436314,0.9909111705177732,0.9929254529911435,0.9915340805848147,0.991086157990269,0.993905473576582,0.9935866639046307,0.9905119523341247,0.9898203786362697,0.9931702357407758,0.9933753348208396,0.989226595340828
þakklátur,0.9817762918879757,0.9770768454781127,0.995572467936152,0.9999999999999999,0.9958436284393996,0.9958436284393996,0.9841127901965272,0.995572467936152,0.9999999999999997,0.9958436284393988,0.9947146830920208,0.9866301312118622,0.9909281845124219,0.989207121499764,0.9885812470497835,0.9924436491647805,0.9922879331002523,0.989207121499764,0.988771133479157,0.9898546263200146,0.9874637517294214,0.9898761896847179,0.9947323929179925,0.988459353144715,0.9926418103047187,0.9895942869668647,0.9929626372139527,0.9849914605233481
þakklæti,0.9865836017155749,0.9817545452979992,0.9961524170686583,0.9958436284393996,0.9999999999999998,0.9999999999999998,0.9890670463532298,0.9961524170686583,0.9958436284393988,1.0000000000000004,0.9938961425103381,0.9906137665080355,0.993525683477304,0.9921010767831892,0.99114091632449,0.9935655335050307,0.9938297612876427,0.9921010767831892,0.9926889960120713,0.9926644020217934,0.9902998339587216,0.9925589909743743,0.9953731809575249,0.9915035603977301,0.9901044824212885,0.9923915861529246,0.9936783944665636,0.9896308002713967
þakklæti,0.9865836017155749,0.9817545452979992,0.9961524170686583,0.9958436284393996,0.9999999999999998,0.9999999999999998,0.9890670463532298,0.9961524170686583,0.9958436284393988,1.0000000000000004,0.9938961425103381,0.9906137665080355,0.993525683477304,0.9921010767831892,0.99114091632449,0.9935655335050307,0.9938297612876427,0.9921010767831892,0.9926889960120713,0.9926644020217934,0.9902998339587216,0.9925589909743743,0.9953731809575249,0.9915035603977301,0.9901044824212885,0.9923915861529246,0.9936783944665636,0.9896308002713967
takk,0.9938662727179567,0.9894031163653886,0.9902111886265744,0.9841127901965272,0.9890670463532298,0.9890670463532298,0.9999999999999991,0.9902111886265744,0.9841127901965272,0.9890670463532302,0.9887291545309307,0.9958197605420516,0.9925575995773007,0.992320962808716,0.992017076117942,0.9904209511014543,0.9930460906820635,0.992320962808716,0.9949179776802946,0.9941747773411888,0.9957296870445731,0.9956273983412148,0.9898582285990822,0.9937176080948549,0.9820011951965307,0.9923927576130541,0.9898991204059954,0.9829996309728746
þakklá,0.987945636623719,0.9817544297775921,1.0000000000000002,0.995572467936152,0.9961524170686583,0.9961524170686583,0.9902111886265744,1.0000000000000002,0.9955724679361504,0.9961524170686584,0.9923824681541605,0.9918087294665432,0.9919685540952622,0.9909111705177732,0.9928006090529922,0.9913444818460044,0.9942739317436314,0.9909111705177732,0.9929254529911435,0.9915340805848147,0.991086157990269,0.993905473576582,0.9935866639046307,0.9905119523341247,0.9898203786362697,0.9931702357407758,0.9933753348208396,0.989226595340828
þakklátur,0.9817762918879757,0.9770768454781126,0.9955724679361504,0.9999999999999997,0.9958436284393988,0.9958436284393988,0.9841127901965272,0.9955724679361504,0.9999999999999999,0.9958436284393996,0.9947146830920198,0.9866301312118623,0.9909281845124206,0.9892071214997638,0.9885812470497847,0.9924436491647801,0.9922879331002523,0.989207121499764,0.988771133479157,0.9898546263200146,0.9874637517294214,0.9898761896847179,0.9947323929179925,0.988459353144715,0.9926418103047187,0.9895942869668647,0.9929626372139527,0.9849914605233481
þakklæti,0.9865836017155756,0.9817545452979994,0.9961524170686584,0.9958436284393988,1.0000000000000004,1.0000000000000004,0.9890670463532302,0.9961524170686584,0.9958436284393996,0.9999999999999998,0.9938961425103375,0.9906137665080362,0.9935256834773044,0.9921010767831895,0.9911409163244903,0.9935655335050302,0.9938297612876427,0.9921010767831892,0.9926889960120713,0.9926644020217934,0.9902998339587216,0.9925589909743743,0.9953731809575249,0.9915035603977301,0.9901044824212885,0.9923915861529246,0.9936783944665636,0.9896308002713967
skuldsettur,0.9852342225630919,0.9817607111708667,0.9923824681541605,0.9947146830920208,0.9938961425103381,0.9938961425103381,0.9887291545309307,0.9923824681541605,0.9947146830920198,0.9938961425103375,0.9999999999999994,0.9900171120027002,0.9952605746903086,0.9942867917873427,0.9898061152525301,0.997081632628734,0.994819020216803,0.9942867917873417,0.9938639502094885,0.9957277223077275,0.9931011301661837,0.9927799232382604,0.9968286895642829,0.9944863835662674,0.9935009229215085,0.9918456013477116,0.9948180853430229,0.9833611607214086
skuldugur,0.9926507749058718,0.9881062250071723,0.9918087294665432,0.9866301312118622,0.9906137665080355,0.9906137665080355,0.9958197605420516,0.9918087294665432,0.9866301312118623,0.9906137665080362,0.9900171120027002,0.9999999999999994,0.993146865272149,0.9915642926811621,0.9930002913782283,0.9912664199405021,0.995436519407848,0.9915642926811615,0.9944586015265652,0.9940097357828445,0.9950169913711148,0.995668037757495,0.9907134795175374,0.9927199913174714,0.9846986112963085,0.9935812007563746,0.9910351787811686,0.9871585071484775
skuldir,0.9892070793958172,0.984647748425661,0.9919685540952622,0.9909281845124219,0.993525683477304,0.993525683477304,0.9925575995773007,0.9919685540952622,0.9909281845124206,0.9935256834773044,0.9952605746903086,0.993146865272149,0.9999999999999992,0.9953121444405105,0.9914182425316026,0.9959477203822585,0.9950717823490082,0.995312144440511,0.9951213237792739,0.9966731718101565,0.9943857839506794,0.9945292679426578,0.9935999841065635,0.9953964937031985,0.9876013984769654,0.9921372905736612,0.9926164903862734,0.9837040422364407
skuldbinding,0.9872459724952904,0.983493556209168,0.9909111705177732,0.989207121499764,0.9921010767831892,0.9921010767831892,0.992320962808716,0.9909111705177732,0.9892071214997638,0.9921010767831895,0.9942867917873427,0.9915642926811621,0.9953121444405105,0.9999999999999996,0.9894144057976139,0.994022928865703,0.9939422927660372,1.0000000000000002,0.9952662699254862,0.9964518517064246,0.9946386598772226,0.9944052592823301,0.9938444315266801,0.9960623764750254,0.9865227878379306,0.9926113189238799,0.9918961193014659,0.9817750007245797
skylda,0.9915526952296262,0.9861301304904917,0.9928006090529922,0.9885812470497835,0.99114091632449,0.99114091632449,0.992017076117942,0.9928006090529922,0.9885812470497847,0.9911409163244903,0.9898061152525301,0.9930002913782283,0.9914182425316026,0.9894144057976139,0.9999999999999997,0.991069135428854,0.9944991177961697,0.9894144057976133,0.9934992114774558,0.9919662218788626,0.9919701838737429,0.9935045057247512,0.9901661800029818,0.989925411843566,0.9868052966738906,0.9922626847546845,0.9907871313722515,0.9865951445127139
skuldbundinn,0.9874171373939818,0.9840437040777128,0.9913444818460044,0.9924436491647805,0.9935655335050307,0.9935655335050307,0.9904209511014543,0.9913444818460044,0.9924436491647801,0.9935655335050302,0.997081632628734,0.9912664199405021,0.9959477203822585,0.994022928865703,0.991069135428854,0.9999999999999999,0.9944048642468194,0.9940229288657033,0.9939712847813055,0.9958072344836506,0.9940449292551246,0.9929590912216358,0.9961837452056252,0.9945770084084238,0.9919797913667022,0.9920815626331047,0.9931797829925724,0.9838845063484626
skyldugur,0.9908235362426139,0.9858609027023247,0.9942739317436314,0.9922879331002523,0.9938297612876427,0.9938297612876427,0.9930460906820635,0.9942739317436314,0.9922879331002523,0.9938297612876427,0.994819020216803,0.995436519407848,0.9950717823490082,0.9939422927660372,0.9944991177961697,0.9944048642468194,1.0000000000000002,0.9939422927660374,0.9952596263618254,0.9955714862362872,0.9952615209445613,0.9958521656694819,0.9951672584442304,0.9946270021864045,0.9911074453692104,0.9949608558405003,0.9948913143706732,0.9867468634845497
skuldbinding,0.9872459724952904,0.983493556209168,0.9909111705177732,0.989207121499764,0.9921010767831892,0.9921010767831892,0.992320962808716,0.9909111705177732,0.989207121499764,0.9921010767831892,0.9942867917873417,0.9915642926811615,0.995312144440511,1.0000000000000002,0.9894144057976133,0.9940229288657033,0.9939422927660374,0.9999999999999996,0.9952662699254872,0.9964518517064238,0.9946386598772227,0.99440525928233,0.9938444315266785,0.9960623764750245,0.9865227878379306,0.9926113189238799,0.9918961193014659,0.9817750007245797
skulda,0.991567827371994,0.9876016325957303,0.9929254529911435,0.988771133479157,0.9926889960120713,0.9926889960120713,0.9949179776802946,0.9929254529911435,0.988771133479157,0.9926889960120713,0.9938639502094885,0.9944586015265652,0.9951213237792739,0.9952662699254862,0.9934992114774558,0.9939712847813055,0.9952596263618254,0.9952662699254872,0.9999999999999999,0.9970489960403118,0.9957950540023723,0.9958303066553383,0.9937753430678498,0.9957149113725412,0.9877744940757837,0.9941958967889485,0.9929238974456133,0.9859712426365742
skuldandi,0.9894972788263322,0.9862676065729277,0.9915340805848147,0.9898546263200146,0.9926644020217934,0.9926644020217934,0.9941747773411888,0.9915340805848147,0.9898546263200146,0.9926644020217934,0.9957277223077275,0.9940097357828445,0.9966731718101565,0.9964518517064246,0.9919662218788626,0.9958072344836506,0.9955714862362872,0.9964518517064238,0.9970489960403118,0.9999999999999993,0.9965457604078052,0.9954672335482085,0.9944846439218559,0.9970843587198679,0.9886169416222345,0.9934639838803337,0.9931684428952972,0.9832714055878411
afsakandi,0.9919949765235401,0.9869503743095231,0.991086157990269,0.9874637517294214,0.9902998339587216,0.9902998339587216,0.9957296870445731,0.991086157990269,0.9874637517294214,0.9902998339587216,0.9931011301661837,0.9950169913711148,0.9943857839506794,0.9946386598772226,0.9919701838737429,0.9940449292551246,0.9952615209445613,0.9946386598772227,0.9957950540023723,0.9965457604078052,0.9999999999999998,0.9974650097171185,0.9934629511861157,0.9967110418066931,0.9874981844197254,0.9935901258973103,0.9920680019059495,0.9822587154600628
afsakanir,0.9924715617915519,0.9868868880190674,0.993905473576582,0.9898761896847179,0.9925589909743743,0.9925589909743743,0.9956273983412148,0.993905473576582,0.9898761896847179,0.9925589909743743,0.9927799232382604,0.995668037757495,0.9945292679426578,0.9944052592823301,0.9935045057247512,0.9929590912216358,0.9958521656694819,0.99440525928233,0.9958303066553383,0.9954672335482085,0.9974650097171185,0.9999999999999992,0.9938303596776222,0.9950225876117202,0.9879780922975688,0.9957279165117466,0.9941283488051489,0.9869085041208848
afsökunarbeiðni,0.9859930664971441,0.9824290924261011,0.9935866639046307,0.9947323929179925,0.9953731809575249,0.9953731809575249,0.9898582285990822,0.9935866639046307,0.9947323929179925,0.9953731809575249,0.9968286895642829,0.9907134795175374,0.9935999841065635,0.9938444315266801,0.9901661800029818,0.9961837452056252,0.9951672584442304,0.9938444315266785,0.9937753430678498,0.9944846439218559,0.9934629511861157,0.9938303596776222,1.0,0.9941016675370623,0.9942253671969615,0.9936550992698268,0.9961980976184992,0.9867201802227344
sektarkennd,0.9891021030629229,0.985211740814084,0.9905119523341247,0.988459353144715,0.9915035603977301,0.9915035603977301,0.9937176080948549,0.9905119523341247,0.988459353144715,0.9915035603977301,0.9944863835662674,0.9927199913174714,0.9953964937031985,0.9960623764750254,0.989925411843566,0.9945770084084238,0.9946270021864045,0.9960623764750245,0.9957149113725412,0.9970843587198679,0.9967110418066931,0.9950225876117202,0.9941016675370623,1.0,0.987341488151721,0.9924401755596106,0.992286684824734,0.9806864870431213
afsakið,0.9793117396650903,0.9752434551032995,0.9898203786362697,0.9926418103047187,0.9901044824212885,0.9901044824212885,0.9820011951965307,0.9898203786362697,0.9926418103047187,0.9901044824212885,0.9935009229215085,0.9846986112963085,0.9876013984769654,0.9865227878379306,0.9868052966738906,0.9919797913667022,0.9911074453692104,0.9865227878379306,0.9877744940757837,0.9886169416222345,0.9874981844197254,0.9879780922975688,0.9942253671969615,0.987341488151721,0.9999999999999997,0.9898298918783113,0.9929870810632752,0.983546714230768
afsakið mig,0.9891649190894725,0.9846388965108893,0.9931702357407758,0.9895942869668647,0.9923915861529246,0.9923915861529246,0.9923927576130541,0.9931702357407758,0.9895942869668647,0.9923915861529246,0.9918456013477116,0.9935812007563746,0.9921372905736612,0.9926113189238799,0.9922626847546845,0.9920815626331047,0.9949608558405003,0.9926113189238799,0.9941958967889485,0.9934639838803337,0.9935901258973103,0.9957279165117466,0.9936550992698268,0.9924401755596106,0.9898298918783113,0.9999999999999999,0.9940461730745435,0.9900903771418389
biðjast afsökunar,0.9867318291352721,0.9826175808338804,0.9933753348208396,0.9929626372139527,0.9936783944665636,0.9936783944665636,0.9898991204059954,0.9933753348208396,0.9929626372139527,0.9936783944665636,0.9948180853430229,0.9910351787811686,0.9926164903862734,0.9918961193014659,0.9907871313722515,0.9931797829925724,0.9948913143706732,0.9918961193014659,0.9929238974456133,0.9931684428952972,0.9920680019059495,0.9941283488051489,0.9961980976184992,0.992286684824734,0.9929870810632752,0.9940461730745435,0.9999999999999999,0.9891303865764676
fyrirgefðu mér,0.9817273322683348,0.9784124359137713,0.989226595340828,0.9849914605233481,0.9896308002713967,0.9896308002713967,0.9829996309728746,0.989226595340828,0.9849914605233481,0.9896308002713967,0.9833611607214086,0.9871585071484775,0.9837040422364407,0.9817750007245797,0.9865951445127139,0.9838845063484626,0.9867468634845497,0.9817750007245797,0.9859712426365742,0.9832714055878411,0.9822587154600628,0.9869085041208848,0.9867201802227344,0.9806864870431213,0.983546714230768,0.9900903771418389,0.9891303865764676,0.9999999999999989
