,aprecar,aprecio,dankema,gratitudo,gratitudo,danko,dankema,dankeso,šuldala,šuldez,obligacione,obligata,obligacione,šuldar,šuldanta,pardona,pardoni,pardonar,pardono,tristeso,pardon,pardon me,pardonez me
aprecar,0.999999999999999,0.9969273315365176,0.9934685066157645,0.9915999890800924,0.9915999890800924,0.9940444348704824,0.9934685066157645,0.9949777769262355,0.9943221148780204,0.9954144817563607,0.9942923461986901,0.9929504609720072,0.9942923461986901,0.9929599202834296,0.9923296428085246,0.9944493561495458,0.995353642982693,0.9953632312015475,0.9942496822984439,0.9949918249928702,0.9944227225881271,0.9921363426289094,0.9913450912473959
aprecio,0.9969273315365176,1.0,0.9938627108218365,0.993544289286154,0.993544289286154,0.9945814474578812,0.9938627108218365,0.9958983028224012,0.9944534337159178,0.9950766283035525,0.9949389192615214,0.9935652040322595,0.9949389192615214,0.992473821807655,0.9926171513820728,0.9945888792997579,0.99616659265307,0.9946254345689439,0.995354504286424,0.9959657572954562,0.9941811952098291,0.9908774252162206,0.9905882360961289
dankema,0.9934685066157645,0.9938627108218365,0.9999999999999996,0.9897621339081161,0.9897621339081161,0.9950152079430907,0.9999999999999996,0.994553825376336,0.9959775299855522,0.9951380149056126,0.9927609045771271,0.9924495090732928,0.9927609045771271,0.9953690789459391,0.9943398696047242,0.9914333619103075,0.9940803166286933,0.9926242606091031,0.9930909020594011,0.9928972363903359,0.99244379152445,0.9891073947991711,0.9870598175962767
gratitudo,0.9915999890800924,0.993544289286154,0.9897621339081161,1.0000000000000002,1.0000000000000002,0.9909443736940609,0.9897621339081161,0.9907351681667296,0.9900016890705248,0.9910465924856733,0.9912084874056766,0.9925987925185631,0.9912084874056766,0.9891027802769169,0.9885354169587927,0.9931429881758442,0.9921193878703861,0.9908344798149915,0.9942752480797101,0.9924234318980093,0.9909634902611076,0.986819379161004,0.9874500654203119
gratitudo,0.9915999890800924,0.993544289286154,0.9897621339081161,1.0000000000000002,1.0000000000000002,0.9909443736940609,0.9897621339081161,0.9907351681667296,0.9900016890705248,0.9910465924856733,0.9912084874056766,0.9925987925185631,0.9912084874056766,0.9891027802769169,0.9885354169587927,0.9931429881758442,0.9921193878703861,0.9908344798149915,0.9942752480797101,0.9924234318980093,0.9909634902611076,0.986819379161004,0.9874500654203119
danko,0.9940444348704824,0.9945814474578812,0.9950152079430907,0.9909443736940609,0.9909443736940609,0.9999999999999991,0.9950152079430907,0.9959122681922153,0.9946222323036391,0.9934111400872574,0.992521591320111,0.9927470763300786,0.992521591320111,0.9943818608419499,0.9940197454268971,0.9928769386841186,0.9947405140588153,0.9930596277743631,0.9938629488089379,0.9949292849274988,0.9941052057257159,0.9920080446062796,0.9900957317860595
dankema,0.9934685066157645,0.9938627108218365,0.9999999999999996,0.9897621339081161,0.9897621339081161,0.9950152079430907,0.9999999999999996,0.994553825376336,0.9959775299855522,0.9951380149056126,0.9927609045771271,0.9924495090732928,0.9927609045771271,0.9953690789459391,0.9943398696047242,0.9914333619103075,0.9940803166286933,0.9926242606091031,0.9930909020594011,0.9928972363903359,0.99244379152445,0.9891073947991711,0.9870598175962767
dankeso,0.9949777769262355,0.9958983028224012,0.994553825376336,0.9907351681667296,0.9907351681667296,0.9959122681922153,0.994553825376336,0.9999999999999997,0.9951062451615263,0.9953549800194921,0.9936546894795094,0.9922485741985169,0.9936546894795094,0.9933338640725295,0.9932114408618975,0.9935914763479617,0.9950730428412541,0.9933842537509135,0.9938602463433609,0.995911892927413,0.9943433572462195,0.9924445432797673,0.9914664315480176
šuldala,0.9943221148780204,0.9944534337159178,0.9959775299855522,0.9900016890705248,0.9900016890705248,0.9946222323036391,0.9959775299855522,0.9951062451615263,0.9999999999999999,0.9959679680538079,0.9941636652556027,0.9934725739314556,0.9941636652556027,0.9959388481427662,0.9951558252781494,0.992068336285343,0.9950546035031944,0.9935761806054767,0.9931916277786734,0.9927897424176773,0.9925509710848887,0.9888981073450062,0.9872426602844321
šuldez,0.9954144817563607,0.9950766283035525,0.9951380149056126,0.9910465924856733,0.9910465924856733,0.9934111400872574,0.9951380149056126,0.9953549800194921,0.9959679680538079,0.9999999999999987,0.9940157618100046,0.9922864658176742,0.9940157618100046,0.9949286568548742,0.9936334073218085,0.992859368511961,0.9948748937697207,0.9936890408742525,0.993121217074446,0.994170589076017,0.9936017044786073,0.9904338742271995,0.9887855288999726
