,ipagyaman,panagyaman,agyaman,kapagyam,kapagyam,agyamanak,agyaman,kapagyam,nautang,utang,obligasion,pammilin,naobliga,napilitan,obligasion,agutang,utangon,agpakpakaasi,agpakawan,pakawan,pakawanennak,pakawanennak,panagayat,pakawanen,dagiti pakawan
ipagyaman,0.9999999999999991,0.9982200532187084,0.9961602193724363,0.9971239352579512,0.9971239352579512,0.9947350068715604,0.9961602193724363,0.9971239352579512,0.9964714840653709,0.9934610860665998,0.9939597343265162,0.995529060526311,0.9940804603334913,0.9956627453952852,0.9939597343265162,0.9954238811014923,0.9934148829396576,0.9963876483355916,0.9965572244949347,0.9950806515398866,0.9833868854940774,0.9833868854940774,0.9896473670711181,0.9825517352928448,0.995788051990672
panagyaman,0.9982200532187084,0.9999999999999993,0.9961973518120092,0.9966368125335174,0.9966368125335174,0.9951619484504763,0.9961973518120092,0.9966368125335174,0.9961209024845777,0.9924820160777801,0.9926836825458135,0.9953688193724355,0.9932845305490456,0.9945924796844218,0.9926836825458135,0.9958700649008071,0.9928410877534761,0.9953802152993666,0.9969876785616524,0.9952135038502675,0.9815146422441804,0.9815146422441804,0.991974078066912,0.9803993125109887,0.9966374389197812
agyaman,0.9961602193724363,0.9961973518120092,0.9999999999999994,0.9961963119063417,0.9961963119063417,0.9973845431992292,0.9999999999999994,0.9961963119063417,0.9944767359848626,0.9911413419401448,0.9915132051457111,0.995107493637711,0.9926296963417339,0.9936331450653014,0.9915132051457111,0.9958693875062014,0.9915429524441014,0.9960467700389574,0.9972718897278828,0.9943844269794886,0.9813551420064318,0.9813551420064318,0.9901170690512795,0.9802336507694452,0.9957128447835225
kapagyam,0.9971239352579512,0.9966368125335174,0.9961963119063417,0.9999999999999993,0.9999999999999993,0.9951077271930511,0.9961963119063417,0.9999999999999993,0.9946336790606133,0.9931084806352775,0.9929119454832497,0.9941307825413601,0.9931285671788392,0.9943073080373358,0.9929119454832497,0.9941189202996857,0.9928242496229369,0.9965471372174421,0.9975612625908247,0.9956664206070794,0.9837944705475509,0.9837944705475509,0.988547292357179,0.9825513438425066,0.9957472982717033
kapagyam,0.9971239352579512,0.9966368125335174,0.9961963119063417,0.9999999999999993,0.9999999999999993,0.9951077271930511,0.9961963119063417,0.9999999999999993,0.9946336790606133,0.9931084806352775,0.9929119454832497,0.9941307825413601,0.9931285671788392,0.9943073080373358,0.9929119454832497,0.9941189202996857,0.9928242496229369,0.9965471372174421,0.9975612625908247,0.9956664206070794,0.9837944705475509,0.9837944705475509,0.988547292357179,0.9825513438425066,0.9957472982717033
agyamanak,0.9947350068715604,0.9951619484504763,0.9973845431992292,0.9951077271930511,0.9951077271930511,0.9999999999999999,0.9973845431992292,0.9951077271930511,0.9931402541878155,0.9906144858090388,0.9894181772622099,0.9942671786973437,0.9917793857588284,0.9919129007575664,0.9894181772622099,0.9946526502359614,0.9907541144606888,0.9954078547752674,0.9963113040796366,0.992261873349883,0.9779391409452659,0.9779391409452659,0.9896968231555188,0.9766765182644005,0.9953432331169211
agyaman,0.9961602193724363,0.9961973518120092,0.9999999999999994,0.9961963119063417,0.9961963119063417,0.9973845431992292,0.9999999999999994,0.9961963119063417,0.9944767359848626,0.9911413419401448,0.9915132051457111,0.995107493637711,0.9926296963417339,0.9936331450653014,0.9915132051457111,0.9958693875062014,0.9915429524441014,0.9960467700389574,0.9972718897278828,0.9943844269794886,0.9813551420064318,0.9813551420064318,0.9901170690512795,0.9802336507694452,0.9957128447835225
kapagyam,0.9971239352579512,0.9966368125335174,0.9961963119063417,0.9999999999999993,0.9999999999999993,0.9951077271930511,0.9961963119063417,0.9999999999999993,0.9946336790606133,0.9931084806352775,0.9929119454832497,0.9941307825413601,0.9931285671788392,0.9943073080373358,0.9929119454832497,0.9941189202996857,0.9928242496229369,0.9965471372174421,0.9975612625908247,0.9956664206070794,0.9837944705475509,0.9837944705475509,0.988547292357179,0.9825513438425066,0.9957472982717033
nautang,0.9964714840653709,0.9961209024845777,0.9944767359848626,0.9946336790606133,0.9946336790606133,0.9931402541878155,0.9944767359848626,0.9946336790606133,0.9999999999999997,0.9897573561237639,0.9915438250242061,0.993835752321886,0.9914926141831113,0.9934365190244143,0.9915438250242061,0.994885825708554,0.9903795358751567,0.994159139052641,0.9945900558196811,0.9930744740665141,0.9800668646233972,0.9800668646233972,0.9896866251225444,0.9793846143231106,0.9953591002385419
utang,0.9934610860665998,0.9924820160777801,0.9911413419401448,0.9931084806352775,0.9931084806352775,0.9906144858090388,0.9911413419401448,0.9931084806352775,0.9897573561237639,0.9999999999999994,0.9912712376988483,0.9894902871641011,0.9913737018403255,0.9913308400181129,0.9912712376988483,0.9903541204973154,0.9973929250345347,0.9919768820273642,0.9910287776627789,0.9904932832808822,0.9788457667753737,0.9788457667753737,0.9830564455536837,0.977397260893467,0.9902553541237884
