,menghargai,apresiasi,bersyukur,bersyukur,rasa syukur,rasa syukur,terima kasih,rasa terima kasih,berhutang,kewajiban,terpaksa,wajib,kewajiban,berhutang,hutang piutang,hutang yang belum dibayar,maaf,permisi,penyesalan,maaf,bersikap menyesal,maafkan saya,meminta maaf,permintaan maaf,permintaan maaf
menghargai,0.9999999999999997,0.9900682258600447,0.9923910326110469,0.9923910326110469,0.9923982499500347,0.9923982499500347,0.9926980807613008,0.9934883996643598,0.9904834365479946,0.9902473718857998,0.9860373226440287,0.9821833889322953,0.9902473718857998,0.9904834365479946,0.9806352138897132,0.988909315850135,0.993426199372648,0.9918579692054555,0.987801610019031,0.993426199372648,0.9922630487414906,0.9890213611767101,0.9883566787567359,0.9930162256920232,0.9930162256920232
apresiasi,0.9900682258600447,0.9999999999999992,0.9876785814932179,0.9876785814932179,0.9917283921445941,0.9917283921445941,0.9918056210290769,0.991824042724224,0.98776340385702,0.9862905967831196,0.985875396741427,0.9800471629141858,0.9862905967831196,0.98776340385702,0.9736716081597646,0.9900420581495879,0.9904321211606665,0.9944825452212176,0.9845328792509923,0.9904321211606665,0.9896490130469268,0.9915771071191317,0.9900102193283438,0.9896157083971078,0.9896157083971078
bersyukur,0.9923910326110469,0.9876785814932179,1.0000000000000002,1.0000000000000002,0.9938519685391234,0.9938519685391234,0.9919534331509766,0.9927988023492108,0.993631405273835,0.9891237500926771,0.9845074689026568,0.981472583399084,0.9891237500926771,0.993631405273835,0.982865446260505,0.9892726059194851,0.9902920276768767,0.9900307589739961,0.9898921827165832,0.9902920276768767,0.9942826292678424,0.9898397811942061,0.9882776702707933,0.9912634723508944,0.9912634723508944
bersyukur,0.9923910326110469,0.9876785814932179,1.0000000000000002,1.0000000000000002,0.9938519685391234,0.9938519685391234,0.9919534331509766,0.9927988023492108,0.993631405273835,0.9891237500926771,0.9845074689026568,0.981472583399084,0.9891237500926771,0.993631405273835,0.982865446260505,0.9892726059194851,0.9902920276768767,0.9900307589739961,0.9898921827165832,0.9902920276768767,0.9942826292678424,0.9898397811942061,0.9882776702707933,0.9912634723508944,0.9912634723508944
rasa syukur,0.9923982499500347,0.9917283921445941,0.9938519685391234,0.9938519685391234,0.9999999999999994,0.9999999999999994,0.9946048796047375,0.9964339075913392,0.9924107933389237,0.9891356576523961,0.9873845253145688,0.9807978718548128,0.9891356576523961,0.9924107933389237,0.9813582027752739,0.9933593376352494,0.9923236874585759,0.9926842134805487,0.989784087354164,0.9923236874585759,0.9946916020176846,0.9942647904728419,0.9925832745970881,0.994099858897684,0.994099858897684
rasa syukur,0.9923982499500347,0.9917283921445941,0.9938519685391234,0.9938519685391234,0.9999999999999994,0.9999999999999994,0.9946048796047375,0.9964339075913392,0.9924107933389237,0.9891356576523961,0.9873845253145688,0.9807978718548128,0.9891356576523961,0.9924107933389237,0.9813582027752739,0.9933593376352494,0.9923236874585759,0.9926842134805487,0.989784087354164,0.9923236874585759,0.9946916020176846,0.9942647904728419,0.9925832745970881,0.994099858897684,0.994099858897684
terima kasih,0.9926980807613008,0.9918056210290769,0.9919534331509766,0.9919534331509766,0.9946048796047375,0.9946048796047375,0.9999999999999993,0.9979324961852284,0.9916969762800671,0.9896348490827018,0.9885823295835529,0.9823709105493662,0.9896348490827018,0.9916969762800671,0.9799789407222346,0.9913461084467137,0.9930581072478974,0.9936561882904176,0.988944446644893,0.9930581072478974,0.9938914436076284,0.9908046153870326,0.9916408063124982,0.9938960814590233,0.9938960814590233
rasa terima kasih,0.9934883996643598,0.991824042724224,0.9927988023492108,0.9927988023492108,0.9964339075913392,0.9964339075913392,0.9979324961852284,0.9999999999999993,0.9924445003449286,0.9895898865620977,0.9868555085329519,0.982516014996057,0.9895898865620977,0.9924445003449286,0.9822379974646397,0.991987891122918,0.9937225653529019,0.993775455224238,0.989348101027929,0.9937225653529019,0.9945807638819059,0.9913855526405114,0.9914886540035106,0.9947817924663778,0.9947817924663778
berhutang,0.9904834365479946,0.98776340385702,0.993631405273835,0.993631405273835,0.9924107933389237,0.9924107933389237,0.9916969762800671,0.9924445003449286,0.9999999999999993,0.9879059229401909,0.9875788271883081,0.9810730104065921,0.9879059229401909,0.9999999999999993,0.9857108565686659,0.9912828347341427,0.9893311626172191,0.9893429265931113,0.9891320190047499,0.9893311626172191,0.9923102629875633,0.9895255461805823,0.99026210563455,0.9899503275016243,0.9899503275016243
kewajiban,0.9902473718857998,0.9862905967831196,0.9891237500926771,0.9891237500926771,0.9891356576523961,0.9891356576523961,0.9896348490827018,0.9895898865620977,0.9879059229401909,0.9999999999999997,0.982299604039347,0.9797740713028444,0.9999999999999997,0.9879059229401909,0.9801404042128539,0.9868364907605363,0.9908736625205223,0.9891030367015184,0.9876875020914208,0.9908736625205223,0.9909312952535313,0.9844046237417868,0.9873279074152638,0.9915159135593901,0.9915159135593901
