,apreciar,apreciation,gratiose,gratitude,gratitude,gratias,gratiose,gratitude,indebitate,indebitamento,obligation,obligate,obligation,deber,debite,excusatori,excusas,excusar,excusa,tristessa,regrettabile,excusa me,pardon me
apreciar,0.9999999999999998,0.987064128385905,0.9818009604400016,0.9818801045625469,0.9818801045625469,0.9847459941193737,0.9818009604400016,0.9818801045625469,0.9861609433852684,0.9856467696549618,0.9829308755772185,0.988592341361002,0.9829308755772185,0.9862046802253007,0.9851859494306379,0.9859087380816598,0.9872823645565018,0.9890561122585014,0.9864427291562133,0.986445842621911,0.986494606510705,0.9832190040535413,0.9847878347600169
apreciation,0.987064128385905,0.9999999999999996,0.9885593115662323,0.9886612557940166,0.9886612557940166,0.9923991985360652,0.9885593115662323,0.9886612557940166,0.9922050754135009,0.9944411734794375,0.9897223886864663,0.9932364000190479,0.9897223886864663,0.9939474190602097,0.993011257635446,0.9919942668389313,0.9944763515304653,0.9951964061226748,0.9935317079027369,0.992329397627101,0.9908955700747597,0.9890989389387117,0.9890257544233911
gratiose,0.9818009604400016,0.9885593115662323,1.0000000000000002,0.985085684120538,0.985085684120538,0.9939497585259819,1.0000000000000002,0.985085684120538,0.9896292711397122,0.9878768463597131,0.9859740935152567,0.9894585961712955,0.9859740935152567,0.9884455827698058,0.9880273129338341,0.989345445347214,0.9909638954528147,0.9908511988859197,0.9909173723107303,0.9893403873382282,0.9906554370819023,0.9835729323767436,0.9830020115912266
gratitude,0.9818801045625469,0.9886612557940166,0.985085684120538,0.9999999999999994,0.9999999999999994,0.9888860943360208,0.985085684120538,0.9999999999999994,0.9860945604549861,0.9855862904386032,0.9888470479962653,0.9886646114802692,0.9888470479962653,0.9878540314032799,0.9858372111584524,0.9861112227148535,0.9888499233867377,0.9911546770576952,0.99117566483308,0.989885895876186,0.988879147653811,0.9846897528682071,0.9881649831611928
gratitude,0.9818801045625469,0.9886612557940166,0.985085684120538,0.9999999999999994,0.9999999999999994,0.9888860943360208,0.985085684120538,0.9999999999999994,0.9860945604549861,0.9855862904386032,0.9888470479962653,0.9886646114802692,0.9888470479962653,0.9878540314032799,0.9858372111584524,0.9861112227148535,0.9888499233867377,0.9911546770576952,0.99117566483308,0.989885895876186,0.988879147653811,0.9846897528682071,0.9881649831611928
gratias,0.9847459941193737,0.9923991985360652,0.9939497585259819,0.9888860943360208,0.9888860943360208,0.9999999999999999,0.9939497585259819,0.9888860943360208,0.9919952094372492,0.9916382516411265,0.987531291707251,0.9924158840709448,0.987531291707251,0.9926111141739402,0.9914557055134939,0.9922937476971236,0.9952096753240861,0.9940903615267989,0.9954008140775387,0.9935488242611847,0.9916775546415352,0.9886059439882388,0.9888702031301855
gratiose,0.9818009604400016,0.9885593115662323,1.0000000000000002,0.985085684120538,0.985085684120538,0.9939497585259819,1.0000000000000002,0.985085684120538,0.9896292711397122,0.9878768463597131,0.9859740935152567,0.9894585961712955,0.9859740935152567,0.9884455827698058,0.9880273129338341,0.989345445347214,0.9909638954528147,0.9908511988859197,0.9909173723107303,0.9893403873382282,0.9906554370819023,0.9835729323767436,0.9830020115912266
gratitude,0.9818801045625469,0.9886612557940166,0.985085684120538,0.9999999999999994,0.9999999999999994,0.9888860943360208,0.985085684120538,0.9999999999999994,0.9860945604549861,0.9855862904386032,0.9888470479962653,0.9886646114802692,0.9888470479962653,0.9878540314032799,0.9858372111584524,0.9861112227148535,0.9888499233867377,0.9911546770576952,0.99117566483308,0.989885895876186,0.988879147653811,0.9846897528682071,0.9881649831611928
indebitate,0.9861609433852684,0.9922050754135009,0.9896292711397122,0.9860945604549861,0.9860945604549861,0.9919952094372492,0.9896292711397122,0.9860945604549861,0.9999999999999993,0.9955866743562777,0.9869375701814005,0.9954550916243877,0.9869375701814005,0.9927587531940578,0.9934530395468678,0.9923589329162693,0.9940839845203074,0.9935752831284824,0.9917298784810265,0.991926569462669,0.9915222621002101,0.9888391200738117,0.9874780437916215
indebitamento,0.9856467696549618,0.9944411734794375,0.9878768463597131,0.9855862904386032,0.9855862904386032,0.9916382516411265,0.9878768463597131,0.9855862904386032,0.9955866743562777,0.9999999999999997,0.9869872709120984,0.9933959106285413,0.9869872709120984,0.9951891895147916,0.9935321965073003,0.9935078534460349,0.9948930802499586,0.9934719682414425,0.992692770393665,0.9932777570271933,0.9922868832156976,0.9876302220005339,0.9874106094212199
