,感謝する,感謝している,感謝,ありがとう,感謝の気持ち,借りている,義務,義務付けられている,義務感,借りる,申し訳なさそう,謝罪,謝る,謝罪,すみません,許してください,申し訳なさ,ごめん
感謝する,0.9999999999999994,0.9959025596141667,0.9903358676164133,0.9892368545093426,0.9932841768770609,0.9926801726392787,0.9891284336924651,0.9825352015034583,0.9889100183753932,0.9923527201057585,0.9923406453786493,0.989165508211417,0.9923416592428678,0.989165508211417,0.9903418970524334,0.9939677047074736,0.9924016282543326,0.9898593417430384
感謝している,0.9959025596141667,1.0000000000000004,0.9911807258763166,0.9882082310026572,0.9919998185147733,0.9925049834965283,0.989865100515337,0.9834824089548477,0.9898262616454468,0.9904832800583145,0.9903835474331257,0.9903460242800881,0.9919135338588232,0.9903460242800881,0.9878191460617352,0.9922440033149688,0.9913023832234398,0.9881878015794058
感謝,0.9903358676164133,0.9911807258763166,0.9999999999999998,0.9918985241539777,0.987165342119485,0.9920013498349023,0.9937127141545213,0.9870660017285231,0.9945505028536882,0.9927974944696278,0.9915593950401989,0.9958907702330929,0.9950839258597316,0.9958907702330929,0.990452590562324,0.9931491847195474,0.9918304065175293,0.9916546642147217
ありがとう,0.9892368545093426,0.9882082310026572,0.9918985241539777,0.9999999999999996,0.9873654327801284,0.993512115917029,0.9905949357209325,0.9803495290813145,0.9898879845457533,0.9952122264717576,0.9940360920565965,0.9900506361348504,0.9948019548558845,0.9900506361348504,0.9940502897301249,0.9955788331919581,0.9933908129616046,0.9945009825070216
感謝の気持ち,0.9932841768770609,0.9919998185147733,0.987165342119485,0.9873654327801284,0.9999999999999998,0.9904297201993599,0.9863643316070712,0.9788094360692146,0.9862330732915225,0.9905785191660281,0.9909334631861554,0.9863604890971683,0.9900591451220576,0.9863604890971683,0.9889934333069401,0.992936990200631,0.991060882285888,0.9877178982621541
借りている,0.9926801726392787,0.9925049834965283,0.9920013498349023,0.993512115917029,0.9904297201993599,0.9999999999999993,0.9925045753249127,0.9841024258601452,0.9906233949819884,0.9958722134243807,0.9948237655286918,0.9906665909355713,0.995643214710688,0.9906665909355713,0.994536538071306,0.9959185539911196,0.9951444609127414,0.9946744557994053
義務,0.9891284336924651,0.989865100515337,0.9937127141545213,0.9905949357209325,0.9863643316070712,0.9925045753249127,1.0,0.9912558619594466,0.9959009470518272,0.9922843486700416,0.9916851327029881,0.9932855455447206,0.9929808423048562,0.9932855455447206,0.9906937139940395,0.9921864484501823,0.992683542471369,0.9915861304067444
義務付けられている,0.9825352015034583,0.9834824089548477,0.9870660017285231,0.9803495290813145,0.9788094360692146,0.9841024258601452,0.9912558619594466,0.9999999999999992,0.9879011630216821,0.9827757512167712,0.983555982335017,0.9855821538481466,0.9840800418924875,0.9855821538481466,0.9816241460578813,0.9834875525493347,0.9841247050591225,0.982190090330212
義務感,0.9889100183753932,0.9898262616454468,0.9945505028536882,0.9898879845457533,0.9862330732915225,0.9906233949819884,0.9959009470518272,0.9879011630216821,0.9999999999999991,0.9914474837091332,0.9903590072950227,0.9945456363278216,0.9922621515619395,0.9945456363278216,0.988652064086283,0.9916471553151145,0.9910862027727784,0.9895541761609155
借りる,0.9923527201057585,0.9904832800583145,0.9927974944696278,0.9952122264717576,0.9905785191660281,0.9958722134243807,0.9922843486700416,0.9827757512167712,0.9914474837091332,0.9999999999999989,0.9955128398321043,0.9918302401586573,0.9974263276752048,0.9918302401586573,0.9965060968386751,0.9969139794326723,0.9954120223565549,0.9967831282902394
申し訳なさそう,0.9923406453786493,0.9903835474331257,0.9915593950401989,0.9940360920565965,0.9909334631861554,0.9948237655286918,0.9916851327029881,0.983555982335017,0.9903590072950227,0.9955128398321043,1.0000000000000002,0.9904162821086941,0.9958859470751454,0.9904162821086941,0.9947142316811538,0.9969304065575734,0.9986446160321045,0.9944066048734589
謝罪,0.989165508211417,0.9903460242800881,0.9958907702330929,0.9900506361348504,0.9863604890971683,0.9906665909355713,0.9932855455447206,0.9855821538481466,0.9945456363278216,0.9918302401586573,0.9904162821086941,0.9999999999999997,0.9941426176773432,0.9999999999999997,0.9883603322761497,0.991832264725585,0.9907346794120255,0.9896860087800866
謝る,0.9923416592428678,0.9919135338588232,0.9950839258597316,0.9948019548558845,0.9900591451220576,0.995643214710688,0.9929808423048562,0.9840800418924875,0.9922621515619395,0.9974263276752048,0.9958859470751454,0.9941426176773432,0.9999999999999996,0.9941426176773432,0.9952025761910324,0.9966176810355167,0.9961130957536037,0.9960365864302281
謝罪,0.989165508211417,0.9903460242800881,0.9958907702330929,0.9900506361348504,0.9863604890971683,0.9906665909355713,0.9932855455447206,0.9855821538481466,0.9945456363278216,0.9918302401586573,0.9904162821086941,0.9999999999999997,0.9941426176773432,0.9999999999999997,0.9883603322761497,0.991832264725585,0.9907346794120255,0.9896860087800866
すみません,0.9903418970524334,0.9878191460617352,0.990452590562324,0.9940502897301249,0.9889934333069401,0.994536538071306,0.9906937139940395,0.9816241460578813,0.988652064086283,0.9965060968386751,0.9947142316811538,0.9883603322761497,0.9952025761910324,0.9883603322761497,0.9999999999999998,0.9951196800827701,0.9944803554160333,0.9985307570985301
許してください,0.9939677047074736,0.9922440033149688,0.9931491847195474,0.9955788331919581,0.992936990200631,0.9959185539911196,0.9921864484501823,0.9834875525493347,0.9916471553151145,0.9969139794326723,0.9969304065575734,0.991832264725585,0.9966176810355167,0.991832264725585,0.9951196800827701,0.9999999999999992,0.996327161993098,0.9949404459149429
申し訳なさ,0.9924016282543326,0.9913023832234398,0.9918304065175293,0.9933908129616046,0.991060882285888,0.9951444609127414,0.992683542471369,0.9841247050591225,0.9910862027727784,0.9954120223565549,0.9986446160321045,0.9907346794120255,0.9961130957536037,0.9907346794120255,0.9944803554160333,0.996327161993098,1.0000000000000002,0.9944297296621453
ごめん,0.9898593417430384,0.9881878015794058,0.9916546642147217,0.9945009825070216,0.9877178982621541,0.9946744557994053,0.9915861304067444,0.982190090330212,0.9895541761609155,0.9967831282902394,0.9944066048734589,0.9896860087800866,0.9960365864302281,0.9896860087800866,0.9985307570985301,0.9949404459149429,0.9944297296621453,0.9999999999999998
