,ngapresiasi,apresiasi,syaukur,syaukur,syaukur,matur nuwun,matur nuwun,matur nuwun,utangan,kewajiban,kewajiban,kewajibané,kewajiban,utangan,duwé utang,utang-piutang,duwé utang,pangapunten,nyesel,ngapunten kula,nuwun sewu,nuwun sewu,nyuwun pangapunten,kang nyuwun pangapunten,pangapunten-pangapunten
ngapresiasi,0.9999999999999996,0.993130035211657,0.9797549685317857,0.9797549685317857,0.9797549685317857,0.9941490331953073,0.9941490331953073,0.9941490331953073,0.9932467371285271,0.9914845931846347,0.9914845931846347,0.9936605734006586,0.9914845931846347,0.9932467371285271,0.983567899326575,0.9929033527554912,0.983567899326575,0.991340401555314,0.991883082685535,0.9941828745324883,0.9943085885375584,0.9943085885375584,0.9912550307442416,0.9927355047167109,0.9933280219494639
apresiasi,0.993130035211657,0.9999999999999992,0.9751693450435717,0.9751693450435717,0.9751693450435717,0.9904412864263984,0.9904412864263984,0.9904412864263984,0.9915060892710963,0.9862905967831196,0.9862905967831196,0.9885414585416843,0.9862905967831196,0.9915060892710963,0.9812251863433873,0.9875981317757004,0.9812251863433873,0.9856936721618594,0.9894576959394796,0.9894157073283161,0.9889146140913468,0.9889146140913468,0.9884501421618797,0.9912934245514538,0.9882439155689486
syaukur,0.9797549685317857,0.9751693450435717,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.982371999185587,0.982371999185587,0.982371999185587,0.9773837056503456,0.9778205578568506,0.9778205578568506,0.9787287411774634,0.9778205578568506,0.9773837056503456,0.9724582613523834,0.976404951279243,0.9724582613523834,0.9780167990118921,0.9763927775083755,0.9779226248128112,0.9789769135785209,0.9789769135785209,0.9778483942050823,0.9779826492076898,0.9801654450580193
syaukur,0.9797549685317857,0.9751693450435717,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.982371999185587,0.982371999185587,0.982371999185587,0.9773837056503456,0.9778205578568506,0.9778205578568506,0.9787287411774634,0.9778205578568506,0.9773837056503456,0.9724582613523834,0.976404951279243,0.9724582613523834,0.9780167990118921,0.9763927775083755,0.9779226248128112,0.9789769135785209,0.9789769135785209,0.9778483942050823,0.9779826492076898,0.9801654450580193
syaukur,0.9797549685317857,0.9751693450435717,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.982371999185587,0.982371999185587,0.982371999185587,0.9773837056503456,0.9778205578568506,0.9778205578568506,0.9787287411774634,0.9778205578568506,0.9773837056503456,0.9724582613523834,0.976404951279243,0.9724582613523834,0.9780167990118921,0.9763927775083755,0.9779226248128112,0.9789769135785209,0.9789769135785209,0.9778483942050823,0.9779826492076898,0.9801654450580193
matur nuwun,0.9941490331953073,0.9904412864263984,0.982371999185587,0.982371999185587,0.982371999185587,1.0,1.0,1.0,0.9921605319706163,0.9897259291919323,0.9897259291919323,0.991564593585778,0.9897259291919323,0.9921605319706163,0.9849011728563782,0.9909227635852144,0.9849011728563782,0.992119420035704,0.9899478636099759,0.9921678680906849,0.9951557476661081,0.9951557476661081,0.993087103683452,0.9925546445778677,0.9942545216554837
matur nuwun,0.9941490331953073,0.9904412864263984,0.982371999185587,0.982371999185587,0.982371999185587,1.0,1.0,1.0,0.9921605319706163,0.9897259291919323,0.9897259291919323,0.991564593585778,0.9897259291919323,0.9921605319706163,0.9849011728563782,0.9909227635852144,0.9849011728563782,0.992119420035704,0.9899478636099759,0.9921678680906849,0.9951557476661081,0.9951557476661081,0.993087103683452,0.9925546445778677,0.9942545216554837
matur nuwun,0.9941490331953073,0.9904412864263984,0.982371999185587,0.982371999185587,0.982371999185587,1.0,1.0,1.0,0.9921605319706163,0.9897259291919323,0.9897259291919323,0.991564593585778,0.9897259291919323,0.9921605319706163,0.9849011728563782,0.9909227635852144,0.9849011728563782,0.992119420035704,0.9899478636099759,0.9921678680906849,0.9951557476661081,0.9951557476661081,0.993087103683452,0.9925546445778677,0.9942545216554837
utangan,0.9932467371285271,0.9915060892710963,0.9773837056503456,0.9773837056503456,0.9773837056503456,0.9921605319706163,0.9921605319706163,0.9921605319706163,0.9999999999999998,0.9905593226051678,0.9905593226051678,0.9912617572509058,0.9905593226051678,0.9999999999999998,0.9839316545175965,0.9942708928058079,0.9839316545175963,0.9888452165945701,0.992380088527241,0.9912404391907376,0.9898712446830138,0.9898712446830138,0.990031364741267,0.9917800328669151,0.9914620474872604
kewajiban,0.9914845931846347,0.9862905967831196,0.9778205578568506,0.9778205578568506,0.9778205578568506,0.9897259291919323,0.9897259291919323,0.9897259291919323,0.9905593226051678,0.9999999999999997,0.9999999999999997,0.9938111944232921,0.9999999999999997,0.9905593226051678,0.9788907553332212,0.9909485924947983,0.9788907553332212,0.9877875398851702,0.9872898777256433,0.9889933840988336,0.989186370633562,0.989186370633562,0.987410755205483,0.987573137766577,0.9897143168355972
