,ಮೆಚ್ಚುಗೆ,ಮೆಚ್ಚುಗೆ,ಕೃತಜ್ಞ,ಕೃತಜ್ಞತೆ,ಕೃತಜ್ಞತೆ,ಧನ್ಯವಾದ,ಕೃತಜ್ಞ,ಕೃತಜ್ಞತೆ,ಋಣಿಯು,ಸಾಲದವರು,ಸಾಲಬಾಧ್ಯತೆ,ಬಾಧ್ಯತೆ,ಕೃತಜ್ಞ,ಬಾಧ್ಯತೆಯು,ಬಾಧ್ಯತೆ,ಋಣಿಯಾಗಿರುವುದು,ಋಣ ಬಾಕಿ,ಸಾಲ ಹೊಂದಿರುವುದು,ಸಾಲ ಬಾಕಿ,ಕ್ಷಮೆಯಾಚಿಸುವ,ಕ್ಷಮೆಯಾಚನೆಗಳು,ಕ್ಷಮೆಯಾಚಿಸು,ಕ್ಷಮೆಯಾಚನೆ,ಕ್ಷಮಿಸಿ,ಮನ್ನಿಸು,ವಿಷಾದ,ಕ್ಷಮಿಸಿ
ಮೆಚ್ಚುಗೆ,0.9999999999999997,0.9999999999999997,0.9939562061745701,0.9956818414252406,0.9956818414252406,0.9930653337988021,0.9939562061745701,0.9956818414252406,0.9859050274449782,0.992562944126958,0.997351349134186,0.9970889106867379,0.9939562061745697,0.9962279982048411,0.9970889106867379,0.99448703886368,0.9965859511883507,0.9956036556785586,0.9950587419300262,0.9955701529853079,0.9956434852068178,0.9956801139170357,0.9967723250934941,0.9958142272245842,0.996307416497443,0.9951685164813376,0.9958142272245842
ಮೆಚ್ಚುಗೆ,0.9999999999999997,0.9999999999999997,0.9939562061745701,0.9956818414252406,0.9956818414252406,0.9930653337988021,0.9939562061745701,0.9956818414252406,0.9859050274449782,0.992562944126958,0.997351349134186,0.9970889106867379,0.9939562061745697,0.9962279982048411,0.9970889106867379,0.99448703886368,0.9965859511883507,0.9956036556785586,0.9950587419300262,0.9955701529853079,0.9956434852068178,0.9956801139170357,0.9967723250934941,0.9958142272245842,0.996307416497443,0.9951685164813376,0.9958142272245842
ಕೃತಜ್ಞ,0.9939562061745701,0.9939562061745701,0.9999999999999999,0.9944001193532388,0.9944001193532388,0.9896421169115467,0.9999999999999999,0.9944001193532388,0.9818102439087125,0.9891260306470747,0.9941744726026244,0.9928201544906532,0.9999999999999997,0.9925978582173013,0.9928201544906532,0.9913968214913741,0.994039932657739,0.9907113465542878,0.9932370452711811,0.9912863693267672,0.9954492658545587,0.9933620046925269,0.9946676549728531,0.9933099415744628,0.9909422200458871,0.9936888193305096,0.9933099415744628
ಕೃತಜ್ಞತೆ,0.9956818414252406,0.9956818414252406,0.9944001193532388,1.0000000000000002,1.0000000000000002,0.9942951627504575,0.9944001193532388,1.0000000000000002,0.9895467333541157,0.9909726366144452,0.9962081906096666,0.9960070347777,0.9944001193532397,0.9960127212926255,0.9960070347777,0.9959601208705561,0.9965059265341135,0.994126107797341,0.9925285349835923,0.9953676666053939,0.995715316358424,0.9964310216682701,0.9967633079040472,0.9950083131278398,0.9949184154700811,0.9945504695440958,0.9950083131278398
ಕೃತಜ್ಞತೆ,0.9956818414252406,0.9956818414252406,0.9944001193532388,1.0000000000000002,1.0000000000000002,0.9942951627504575,0.9944001193532388,1.0000000000000002,0.9895467333541157,0.9909726366144452,0.9962081906096666,0.9960070347777,0.9944001193532397,0.9960127212926255,0.9960070347777,0.9959601208705561,0.9965059265341135,0.994126107797341,0.9925285349835923,0.9953676666053939,0.995715316358424,0.9964310216682701,0.9967633079040472,0.9950083131278398,0.9949184154700811,0.9945504695440958,0.9950083131278398
ಧನ್ಯವಾದ,0.9930653337988021,0.9930653337988021,0.9896421169115467,0.9942951627504575,0.9942951627504575,0.9999999999999993,0.9896421169115467,0.9942951627504575,0.9899195855848516,0.9919830890982397,0.9932283807194578,0.993923274159119,0.9896421169115475,0.993222240997149,0.993923274159119,0.9939066172650407,0.9937909459908069,0.9933233628113037,0.9894486249079157,0.9963221305532234,0.9904943112834295,0.9945023270771848,0.9940927054954765,0.9941021587499372,0.9951063534516529,0.9943837209362776,0.9941021587499372
ಕೃತಜ್ಞ,0.9939562061745701,0.9939562061745701,0.9999999999999999,0.9944001193532388,0.9944001193532388,0.9896421169115467,0.9999999999999999,0.9944001193532388,0.9818102439087125,0.9891260306470747,0.9941744726026244,0.9928201544906532,0.9999999999999997,0.9925978582173013,0.9928201544906532,0.9913968214913741,0.994039932657739,0.9907113465542878,0.9932370452711811,0.9912863693267672,0.9954492658545587,0.9933620046925269,0.9946676549728531,0.9933099415744628,0.9909422200458871,0.9936888193305096,0.9933099415744628
ಕೃತಜ್ಞತೆ,0.9956818414252406,0.9956818414252406,0.9944001193532388,1.0000000000000002,1.0000000000000002,0.9942951627504575,0.9944001193532388,1.0000000000000002,0.9895467333541157,0.9909726366144452,0.9962081906096666,0.9960070347777,0.9944001193532397,0.9960127212926255,0.9960070347777,0.9959601208705561,0.9965059265341135,0.994126107797341,0.9925285349835923,0.9953676666053939,0.995715316358424,0.9964310216682701,0.9967633079040472,0.9950083131278398,0.9949184154700811,0.9945504695440958,0.9950083131278398
ಋಣಿಯು,0.9859050274449782,0.9859050274449782,0.9818102439087125,0.9895467333541157,0.9895467333541157,0.9899195855848516,0.9818102439087125,0.9895467333541157,0.9999999999999997,0.9861053083197678,0.9857184334287012,0.9867745139645138,0.9818102439087127,0.9880028694804854,0.9867745139645138,0.9920688525080269,0.9876851720937173,0.9882030174505676,0.9817178385108801,0.9900656244972893,0.9837864275308151,0.9877959747815012,0.9860929323704879,0.9876466643257253,0.987192576302246,0.9866953695280486,0.9876466643257253
ಸಾಲದವರು,0.992562944126958,0.992562944126958,0.9891260306470747,0.9909726366144452,0.9909726366144452,0.9919830890982397,0.9891260306470747,0.9909726366144452,0.9861053083197678,0.9999999999999999,0.9932183332337331,0.9925449649841662,0.9891260306470746,0.9916791385194452,0.9925449649841662,0.9915832314735711,0.9921256110500019,0.9950799234626407,0.9918157840882951,0.9930092331405486,0.9889777139175235,0.9927772913095436,0.9913048663596428,0.9942463053790982,0.9941204045834937,0.9950199178904964,0.9942463053790982
ಸಾಲಬಾಧ್ಯತೆ,0.997351349134186,0.997351349134186,0.9941744726026244,0.9962081906096666,0.9962081906096666,0.9932283807194578,0.9941744726026244,0.9962081906096666,0.9857184334287012,0.9932183332337331,0.9999999999999996,0.9979563996532405,0.9941744726026245,0.9970958093597838,0.9979563996532405,0.9945318474311724,0.9969642166906882,0.9966774647442266,0.9958267442256794,0.9953016106484643,0.996110644498764,0.9968303354201419,0.9960926904649762,0.996556360477539,0.9957866619139708,0.9952799599720064,0.996556360477539
ಬಾಧ್ಯತೆ,0.9970889106867379,0.9970889106867379,0.9928201544906532,0.9960070347777,0.9960070347777,0.993923274159119,0.9928201544906532,0.9960070347777,0.9867745139645138,0.9925449649841662,0.9979563996532405,0.9999999999999998,0.9928201544906526,0.9982379672517667,0.9999999999999998,0.9946517023476462,0.9963868091655956,0.9956074000323264,0.9939795695405483,0.9950211088998361,0.9943909482315908,0.995056313049028,0.9953982342048128,0.9951939819152263,0.995578869869607,0.994445531514977,0.9951939819152263
ಕೃತಜ್ಞ,0.9939562061745697,0.9939562061745697,0.9999999999999997,0.9944001193532397,0.9944001193532397,0.9896421169115475,0.9999999999999997,0.9944001193532397,0.9818102439087127,0.9891260306470746,0.9941744726026245,0.9928201544906526,0.9999999999999999,0.9925978582173014,0.9928201544906526,0.9913968214913736,0.994039932657739,0.9907113465542878,0.9932370452711811,0.9912863693267672,0.9954492658545587,0.9933620046925269,0.9946676549728531,0.9933099415744628,0.9909422200458871,0.9936888193305096,0.9933099415744628
ಬಾಧ್ಯತೆಯು,0.9962279982048411,0.9962279982048411,0.9925978582173013,0.9960127212926255,0.9960127212926255,0.993222240997149,0.9925978582173013,0.9960127212926255,0.9880028694804854,0.9916791385194452,0.9970958093597838,0.9982379672517667,0.9925978582173014,0.9999999999999994,0.9982379672517667,0.9959355835364794,0.9958923459864704,0.9954686572150746,0.9929910910828333,0.994331757336868,0.9948169532135278,0.9955621069739419,0.9951006014235974,0.9942960826229088,0.9947558986666675,0.9933348297608031,0.9942960826229088
ಬಾಧ್ಯತೆ,0.9970889106867379,0.9970889106867379,0.9928201544906532,0.9960070347777,0.9960070347777,0.993923274159119,0.9928201544906532,0.9960070347777,0.9867745139645138,0.9925449649841662,0.9979563996532405,0.9999999999999998,0.9928201544906526,0.9982379672517667,0.9999999999999998,0.9946517023476462,0.9963868091655956,0.9956074000323264,0.9939795695405483,0.9950211088998361,0.9943909482315908,0.995056313049028,0.9953982342048128,0.9951939819152263,0.995578869869607,0.994445531514977,0.9951939819152263
ಋಣಿಯಾಗಿರುವುದು,0.99448703886368,0.99448703886368,0.9913968214913741,0.9959601208705561,0.9959601208705561,0.9939066172650407,0.9913968214913741,0.9959601208705561,0.9920688525080269,0.9915832314735711,0.9945318474311724,0.9946517023476462,0.9913968214913736,0.9959355835364794,0.9946517023476462,0.9999999999999993,0.9953602605969212,0.9959362501627775,0.991376270195631,0.9949209422072444,0.9934860433912865,0.9948534652473054,0.9940264816683821,0.9940769273537368,0.9939927348530165,0.9929084185790523,0.9940769273537368
ಋಣ ಬಾಕಿ,0.9965859511883507,0.9965859511883507,0.994039932657739,0.9965059265341135,0.9965059265341135,0.9937909459908069,0.994039932657739,0.9965059265341135,0.9876851720937173,0.9921256110500019,0.9969642166906882,0.9963868091655956,0.994039932657739,0.9958923459864704,0.9963868091655956,0.9953602605969212,0.999999999999999,0.9944815175379759,0.9965640778792421,0.9957339487105401,0.9960063036662352,0.9966857169313134,0.9972193229430827,0.9963564995023233,0.9953445858585875,0.9955972754693353,0.9963564995023243
