,apreciate,apreciation,mapalyari,pamagpasalamat,pamagpasalamat,salamat,mapalyari,pamagpasalamat,utangan,utang,katungkulan,obligasyun,obligadu,pilitan,obligasyun,utang,utangan,atin utang,atin pang utang,magsalese,manisi,pamanisi,magsalese,pamanisi,kapagsisisi,paki-excuse ku,pasensya na,patawaran mu ku
apreciate,0.9999999999999989,0.9943382690133649,0.9927399921210851,0.9883629461922738,0.9883629461922738,0.9955705069328382,0.9927399921210851,0.9883629461922738,0.9945553342203715,0.9935848038652693,0.9901101999403632,0.9936614606311263,0.9938757328900201,0.9926623509855933,0.9936614606311263,0.9935848038652693,0.9945553342203715,0.992839833747351,0.9912413404595035,0.9943918396165754,0.9948926034029452,0.9909030233950812,0.9943918396165754,0.9909030233950812,0.9919954302326861,0.9934054994471784,0.9921577325821043,0.9923498242547573
apreciation,0.9943382690133649,0.9999999999999996,0.9914787384427324,0.9886487129359013,0.9886487129359013,0.9933659385175503,0.9914787384427324,0.9886487129359013,0.9927043703145809,0.9915110818703099,0.9892581993687776,0.9932346454371788,0.9917649348387844,0.9909073232372677,0.9932346454371788,0.9915110818703099,0.9927043703145809,0.9907026687718985,0.9904233496079462,0.9917992556075931,0.9929844984017122,0.9897510360030709,0.9917992556075931,0.9897510360030709,0.9908926975741543,0.9935834923397712,0.9904751616404373,0.9909708192128068
mapalyari,0.9927399921210851,0.9914787384427324,0.999999999999999,0.9940363228244186,0.9940363228244186,0.9954002784134179,0.999999999999999,0.9940363228244186,0.9944385769776919,0.991398202890922,0.993535280565947,0.9934118058362273,0.9923301851359853,0.9944931451972204,0.9934118058362273,0.991398202890922,0.9944385769776919,0.9910681149497512,0.9916637212513866,0.9926179315879695,0.9946995288364991,0.9945234590459046,0.9926179315879695,0.9945234590459046,0.9936876716977855,0.9938124025358996,0.9950074090070474,0.9943196337703368
pamagpasalamat,0.9883629461922738,0.9886487129359013,0.9940363228244186,0.9999999999999994,0.9999999999999994,0.9913678777700092,0.9940363228244186,0.9999999999999994,0.9905429903230639,0.9875325001612003,0.9942972782553166,0.9903363515010565,0.9887360811765837,0.9921628289668273,0.9903363515010565,0.9875325001612003,0.9905429903230639,0.9875414442283492,0.9916308577948031,0.9896891387834624,0.990885725326618,0.9919037039189581,0.9896891387834624,0.9919037039189581,0.9914782811300263,0.9904011393801342,0.9904401274381527,0.9932023126538648
pamagpasalamat,0.9883629461922738,0.9886487129359013,0.9940363228244186,0.9999999999999994,0.9999999999999994,0.9913678777700092,0.9940363228244186,0.9999999999999994,0.9905429903230639,0.9875325001612003,0.9942972782553166,0.9903363515010565,0.9887360811765837,0.9921628289668273,0.9903363515010565,0.9875325001612003,0.9905429903230639,0.9875414442283492,0.9916308577948031,0.9896891387834624,0.990885725326618,0.9919037039189581,0.9896891387834624,0.9919037039189581,0.9914782811300263,0.9904011393801342,0.9904401274381527,0.9932023126538648
salamat,0.9955705069328382,0.9933659385175503,0.9954002784134179,0.9913678777700092,0.9913678777700092,0.9999999999999998,0.9954002784134179,0.9913678777700092,0.9942794209610871,0.9927804427537726,0.9936385001197471,0.9946412588009034,0.9932958672301897,0.9951890677654402,0.9946412588009034,0.9927804427537726,0.9942794209610871,0.9927524460599614,0.9924429986692468,0.9957875048060942,0.9974768722604713,0.9936135644126276,0.9957875048060942,0.9936135644126276,0.9946740704761138,0.9948506571455764,0.9942681742125071,0.9946287098307692
mapalyari,0.9927399921210851,0.9914787384427324,0.999999999999999,0.9940363228244186,0.9940363228244186,0.9954002784134179,0.999999999999999,0.9940363228244186,0.9944385769776919,0.991398202890922,0.993535280565947,0.9934118058362273,0.9923301851359853,0.9944931451972204,0.9934118058362273,0.991398202890922,0.9944385769776919,0.9910681149497512,0.9916637212513866,0.9926179315879695,0.9946995288364991,0.9945234590459046,0.9926179315879695,0.9945234590459046,0.9936876716977855,0.9938124025358996,0.9950074090070474,0.9943196337703368
pamagpasalamat,0.9883629461922738,0.9886487129359013,0.9940363228244186,0.9999999999999994,0.9999999999999994,0.9913678777700092,0.9940363228244186,0.9999999999999994,0.9905429903230639,0.9875325001612003,0.9942972782553166,0.9903363515010565,0.9887360811765837,0.9921628289668273,0.9903363515010565,0.9875325001612003,0.9905429903230639,0.9875414442283492,0.9916308577948031,0.9896891387834624,0.990885725326618,0.9919037039189581,0.9896891387834624,0.9919037039189581,0.9914782811300263,0.9904011393801342,0.9904401274381527,0.9932023126538648
utangan,0.9945553342203715,0.9927043703145809,0.9944385769776919,0.9905429903230639,0.9905429903230639,0.9942794209610871,0.9944385769776919,0.9905429903230639,0.9999999999999998,0.9971052095409929,0.9908093970671829,0.9935090554864116,0.9926698162940465,0.9937033093700873,0.9935090554864116,0.9971052095409929,1.0000000000000002,0.9954115504688208,0.9934965071011239,0.9921836171965048,0.9941344509073048,0.991467233246308,0.9921836171965048,0.991467233246308,0.9931573096441115,0.9934049697339433,0.9923817701264026,0.9930285318278134
utang,0.9935848038652693,0.9915110818703099,0.991398202890922,0.9875325001612003,0.9875325001612003,0.9927804427537726,0.991398202890922,0.9875325001612003,0.9971052095409929,0.9999999999999994,0.9878601433849832,0.9917569903778322,0.9900554480326593,0.9910600665733995,0.9917569903778322,0.9999999999999994,0.9971052095409922,0.9980541546386832,0.9930940110699115,0.9904247025654092,0.9924536427621915,0.9891951439674093,0.9904247025654092,0.9891951439674093,0.9908213244309119,0.9914455025944147,0.9899681755955252,0.9910542612971039
katungkulan,0.9901101999403632,0.9892581993687776,0.993535280565947,0.9942972782553166,0.9942972782553166,0.9936385001197471,0.993535280565947,0.9942972782553166,0.9908093970671829,0.9878601433849832,0.999999999999999,0.9909804679860366,0.989729064800499,0.9926193288907186,0.9909804679860366,0.9878601433849832,0.9908093970671844,0.988569975881495,0.9920451166856364,0.992628967284348,0.9939470301459163,0.9921643012607382,0.992628967284348,0.9921643012607382,0.9936759461129266,0.9930233394269492,0.9902370160129212,0.9948659728552384
obligasyun,0.9936614606311263,0.9932346454371788,0.9934118058362273,0.9903363515010565,0.9903363515010565,0.9946412588009034,0.9934118058362273,0.9903363515010565,0.9935090554864116,0.9917569903778322,0.9909804679860366,0.9999999999999994,0.994702173772996,0.99490634684346,0.9999999999999994,0.9917569903778322,0.9935090554864118,0.9915247189452756,0.9912197305180154,0.9922583149514156,0.994313170389894,0.9918108566974668,0.9922583149514156,0.9918108566974668,0.993079601090731,0.9940158220031677,0.993036254389486,0.9932972773392534
obligadu,0.9938757328900201,0.9917649348387844,0.9923301851359853,0.9887360811765837,0.9887360811765837,0.9932958672301897,0.9923301851359853,0.9887360811765837,0.9926698162940465,0.9900554480326593,0.989729064800499,0.994702173772996,0.999999999999999,0.9927168606491721,0.994702173772996,0.9900554480326593,0.9926698162940465,0.9901988615453012,0.9904018260251001,0.9927740262170496,0.9937241149755874,0.9910346659613288,0.9927740262170496,0.9910346659613288,0.9922058940463213,0.9935139080165267,0.991124180924802,0.9924565106935412
pilitan,0.9926623509855933,0.9909073232372677,0.9944931451972204,0.9921628289668273,0.9921628289668273,0.9951890677654402,0.9944931451972204,0.9921628289668273,0.9937033093700873,0.9910600665733995,0.9926193288907186,0.99490634684346,0.9927168606491721,1.0000000000000004,0.99490634684346,0.9910600665733995,0.993703309370087,0.9910519624001796,0.9936943391489295,0.9923843590898653,0.9949054675888584,0.9936942632132507,0.9923843590898653,0.9936942632132507,0.9937701872002073,0.9935911399338238,0.9927291560016683,0.9945848418600097
obligasyun,0.9936614606311263,0.9932346454371788,0.9934118058362273,0.9903363515010565,0.9903363515010565,0.9946412588009034,0.9934118058362273,0.9903363515010565,0.9935090554864116,0.9917569903778322,0.9909804679860366,0.9999999999999994,0.994702173772996,0.99490634684346,0.9999999999999994,0.9917569903778322,0.9935090554864118,0.9915247189452756,0.9912197305180154,0.9922583149514156,0.994313170389894,0.9918108566974668,0.9922583149514156,0.9918108566974668,0.993079601090731,0.9940158220031677,0.993036254389486,0.9932972773392534
utang,0.9935848038652693,0.9915110818703099,0.991398202890922,0.9875325001612003,0.9875325001612003,0.9927804427537726,0.991398202890922,0.9875325001612003,0.9971052095409929,0.9999999999999994,0.9878601433849832,0.9917569903778322,0.9900554480326593,0.9910600665733995,0.9917569903778322,0.9999999999999994,0.9971052095409922,0.9980541546386832,0.9930940110699115,0.9904247025654092,0.9924536427621915,0.9891951439674093,0.9904247025654092,0.9891951439674093,0.9908213244309119,0.9914455025944147,0.9899681755955252,0.9910542612971039
utangan,0.9945553342203715,0.9927043703145809,0.9944385769776919,0.9905429903230639,0.9905429903230639,0.9942794209610871,0.9944385769776919,0.9905429903230639,1.0000000000000002,0.9971052095409922,0.9908093970671844,0.9935090554864118,0.9926698162940465,0.993703309370087,0.9935090554864118,0.9971052095409922,0.9999999999999998,0.9954115504688218,0.9934965071011244,0.992183617196505,0.994134450907305,0.9914672332463083,0.992183617196505,0.9914672332463083,0.9931573096441115,0.9934049697339433,0.9923817701264026,0.9930285318278134
atin utang,0.992839833747351,0.9907026687718985,0.9910681149497512,0.9875414442283492,0.9875414442283492,0.9927524460599614,0.9910681149497512,0.9875414442283492,0.9954115504688208,0.9980541546386832,0.988569975881495,0.9915247189452756,0.9901988615453012,0.9910519624001796,0.9915247189452756,0.9980541546386832,0.9954115504688218,0.9999999999999994,0.9944326677726083,0.9902207026657339,0.9927593855367319,0.9889394593518653,0.9902207026657339,0.9889394593518653,0.9912448899198357,0.9918759598978396,0.9897082983504425,0.992152114341938
atin pang utang,0.9912413404595035,0.9904233496079462,0.9916637212513866,0.9916308577948031,0.9916308577948031,0.9924429986692468,0.9916637212513866,0.9916308577948031,0.9934965071011239,0.9930940110699115,0.9920451166856364,0.9912197305180154,0.9904018260251001,0.9936943391489295,0.9912197305180154,0.9930940110699115,0.9934965071011244,0.9944326677726083,1.0000000000000002,0.9906751254115782,0.9928142195843527,0.9902862103190245,0.9906751254115782,0.9902862103190245,0.991662783872998,0.9932555079375015,0.9897823187880661,0.994953763954188
magsalese,0.9943918396165754,0.9917992556075931,0.9926179315879695,0.9896891387834624,0.9896891387834624,0.9957875048060942,0.9926179315879695,0.9896891387834624,0.9921836171965048,0.9904247025654092,0.992628967284348,0.9922583149514156,0.9927740262170496,0.9923843590898653,0.9922583149514156,0.9904247025654092,0.992183617196505,0.9902207026657339,0.9906751254115782,0.9999999999999997,0.9960765449083846,0.9925826742425596,0.9999999999999997,0.9925826742425596,0.9927007687692446,0.993067727602936,0.9914275931253825,0.9927691086640597
manisi,0.9948926034029452,0.9929844984017122,0.9946995288364991,0.990885725326618,0.990885725326618,0.9974768722604713,0.9946995288364991,0.990885725326618,0.9941344509073048,0.9924536427621915,0.9939470301459163,0.994313170389894,0.9937241149755874,0.9949054675888584,0.994313170389894,0.9924536427621915,0.994134450907305,0.9927593855367319,0.9928142195843527,0.9960765449083846,1.0,0.9943732665250834,0.9960765449083846,0.9943732665250834,0.9951128532458084,0.9952191488194599,0.9936758374783283,0.9953636435764015
pamanisi,0.9909030233950812,0.9897510360030709,0.9945234590459046,0.9919037039189581,0.9919037039189581,0.9936135644126276,0.9945234590459046,0.9919037039189581,0.991467233246308,0.9891951439674093,0.9921643012607382,0.9918108566974668,0.9910346659613288,0.9936942632132507,0.9918108566974668,0.9891951439674093,0.9914672332463083,0.9889394593518653,0.9902862103190245,0.9925826742425596,0.9943732665250834,0.9999999999999998,0.9925826742425596,0.9999999999999998,0.9945755157972607,0.9923077608997385,0.991863731541549,0.9925438140387396
magsalese,0.9943918396165754,0.9917992556075931,0.9926179315879695,0.9896891387834624,0.9896891387834624,0.9957875048060942,0.9926179315879695,0.9896891387834624,0.9921836171965048,0.9904247025654092,0.992628967284348,0.9922583149514156,0.9927740262170496,0.9923843590898653,0.9922583149514156,0.9904247025654092,0.992183617196505,0.9902207026657339,0.9906751254115782,0.9999999999999997,0.9960765449083846,0.9925826742425596,0.9999999999999997,0.9925826742425596,0.9927007687692446,0.993067727602936,0.9914275931253825,0.9927691086640597
pamanisi,0.9909030233950812,0.9897510360030709,0.9945234590459046,0.9919037039189581,0.9919037039189581,0.9936135644126276,0.9945234590459046,0.9919037039189581,0.991467233246308,0.9891951439674093,0.9921643012607382,0.9918108566974668,0.9910346659613288,0.9936942632132507,0.9918108566974668,0.9891951439674093,0.9914672332463083,0.9889394593518653,0.9902862103190245,0.9925826742425596,0.9943732665250834,0.9999999999999998,0.9925826742425596,0.9999999999999998,0.9945755157972607,0.9923077608997385,0.991863731541549,0.9925438140387396
kapagsisisi,0.9919954302326861,0.9908926975741543,0.9936876716977855,0.9914782811300263,0.9914782811300263,0.9946740704761138,0.9936876716977855,0.9914782811300263,0.9931573096441115,0.9908213244309119,0.9936759461129266,0.993079601090731,0.9922058940463213,0.9937701872002073,0.993079601090731,0.9908213244309119,0.9931573096441115,0.9912448899198357,0.991662783872998,0.9927007687692446,0.9951128532458084,0.9945755157972607,0.9927007687692446,0.9945755157972607,0.9999999999999998,0.9935633529688892,0.991556407472704,0.9939551330585616
paki-excuse ku,0.9934054994471784,0.9935834923397712,0.9938124025358996,0.9904011393801342,0.9904011393801342,0.9948506571455764,0.9938124025358996,0.9904011393801342,0.9934049697339433,0.9914455025944147,0.9930233394269492,0.9940158220031677,0.9935139080165267,0.9935911399338238,0.9940158220031677,0.9914455025944147,0.9934049697339433,0.9918759598978396,0.9932555079375015,0.993067727602936,0.9952191488194599,0.9923077608997385,0.993067727602936,0.9923077608997385,0.9935633529688892,0.9999999999999993,0.9921159444319931,0.9954941043708583
pasensya na,0.9921577325821043,0.9904751616404373,0.9950074090070474,0.9904401274381527,0.9904401274381527,0.9942681742125071,0.9950074090070474,0.9904401274381527,0.9923817701264026,0.9899681755955252,0.9902370160129212,0.993036254389486,0.991124180924802,0.9927291560016683,0.993036254389486,0.9899681755955252,0.9923817701264026,0.9897082983504425,0.9897823187880661,0.9914275931253825,0.9936758374783283,0.991863731541549,0.9914275931253825,0.991863731541549,0.991556407472704,0.9921159444319931,0.9999999999999994,0.9916174163316348
patawaran mu ku,0.9923498242547573,0.9909708192128068,0.9943196337703368,0.9932023126538648,0.9932023126538648,0.9946287098307692,0.9943196337703368,0.9932023126538648,0.9930285318278134,0.9910542612971039,0.9948659728552384,0.9932972773392534,0.9924565106935412,0.9945848418600097,0.9932972773392534,0.9910542612971039,0.9930285318278134,0.992152114341938,0.994953763954188,0.9927691086640597,0.9953636435764015,0.9925438140387396,0.9927691086640597,0.9925438140387396,0.9939551330585616,0.9954941043708583,0.9916174163316348,0.9999999999999991
