,бағалау,бағалау,ризамын,ризашылық,ризашылық,рахмет,ризамын,ризашылық,қарыздар,қарыздарлық,міндеттеме,міндетті,міндеттеме,қарыз,қарыз болу,қарызы бар,кешірімдер,кешірім,кешіріңіз,өкініш,кешіріңіз,кешірім сұрағыш,кешірім сұрау,мені кешіріңіз
бағалау,0.9999999999999993,0.9999999999999993,0.9916380709875628,0.994883667499249,0.994883667499249,0.9894698098398889,0.9916380709875628,0.994883667499249,0.9940485840674476,0.9923629584629136,0.9929013993528365,0.9893458768972166,0.9929013993528365,0.993085233250527,0.9950747108431719,0.9858235853168595,0.9915766216396646,0.9887073483597233,0.9873490801601267,0.9902187381585021,0.9873490801601267,0.9937786119849411,0.9941199994626004,0.9876867431002878
бағалау,0.9999999999999993,0.9999999999999993,0.9916380709875628,0.994883667499249,0.994883667499249,0.9894698098398889,0.9916380709875628,0.994883667499249,0.9940485840674476,0.9923629584629136,0.9929013993528365,0.9893458768972166,0.9929013993528365,0.993085233250527,0.9950747108431719,0.9858235853168595,0.9915766216396646,0.9887073483597233,0.9873490801601267,0.9902187381585021,0.9873490801601267,0.9937786119849411,0.9941199994626004,0.9876867431002878
ризамын,0.9916380709875628,0.9916380709875628,0.9999999999999994,0.9919125544287111,0.9919125544287111,0.9930871345319631,0.9999999999999994,0.9919125544287111,0.9927725874396713,0.9928709903532292,0.9918646222314599,0.9887664682768212,0.9918646222314599,0.9919085013298719,0.9914277930895549,0.9899526108992744,0.9936722710394886,0.9910042043921933,0.9871988895475657,0.9919358048800172,0.9871988895475657,0.9927860158771176,0.9920276373263961,0.9876665678249342
ризашылық,0.994883667499249,0.994883667499249,0.9919125544287111,0.9999999999999999,0.9999999999999999,0.988497459067095,0.9919125544287111,0.9999999999999999,0.9952330057562327,0.9935315806695569,0.992787337649178,0.9869998492009854,0.992787337649178,0.9938243305823458,0.9962652971007212,0.981447321539509,0.9913463593268921,0.9874783756283391,0.9876417929905235,0.9898349399274594,0.9876417929905235,0.9948770969076097,0.9952478378162803,0.986857055718654
ризашылық,0.994883667499249,0.994883667499249,0.9919125544287111,0.9999999999999999,0.9999999999999999,0.988497459067095,0.9919125544287111,0.9999999999999999,0.9952330057562327,0.9935315806695569,0.992787337649178,0.9869998492009854,0.992787337649178,0.9938243305823458,0.9962652971007212,0.981447321539509,0.9913463593268921,0.9874783756283391,0.9876417929905235,0.9898349399274594,0.9876417929905235,0.9948770969076097,0.9952478378162803,0.986857055718654
рахмет,0.9894698098398889,0.9894698098398889,0.9930871345319631,0.988497459067095,0.988497459067095,0.9999999999999993,0.9930871345319631,0.988497459067095,0.989905095026328,0.9906503400432557,0.9901238561592113,0.9895847201238251,0.9901238561592113,0.9893281258792042,0.9892409348821195,0.9865845996451981,0.9949636323818107,0.9937838714599777,0.9876089975278775,0.9912810628730244,0.9876089975278775,0.9926442194997374,0.990375646113281,0.9888399589180319
ризамын,0.9916380709875628,0.9916380709875628,0.9999999999999994,0.9919125544287111,0.9919125544287111,0.9930871345319631,0.9999999999999994,0.9919125544287111,0.9927725874396713,0.9928709903532292,0.9918646222314599,0.9887664682768212,0.9918646222314599,0.9919085013298719,0.9914277930895549,0.9899526108992744,0.9936722710394886,0.9910042043921933,0.9871988895475657,0.9919358048800172,0.9871988895475657,0.9927860158771176,0.9920276373263961,0.9876665678249342
ризашылық,0.994883667499249,0.994883667499249,0.9919125544287111,0.9999999999999999,0.9999999999999999,0.988497459067095,0.9919125544287111,0.9999999999999999,0.9952330057562327,0.9935315806695569,0.992787337649178,0.9869998492009854,0.992787337649178,0.9938243305823458,0.9962652971007212,0.981447321539509,0.9913463593268921,0.9874783756283391,0.9876417929905235,0.9898349399274594,0.9876417929905235,0.9948770969076097,0.9952478378162803,0.986857055718654
қарыздар,0.9940485840674476,0.9940485840674476,0.9927725874396713,0.9952330057562327,0.9952330057562327,0.989905095026328,0.9927725874396713,0.9952330057562327,0.9999999999999999,0.9957961465440713,0.9920161813604927,0.9876363659201259,0.9920161813604927,0.9968233675311614,0.9961034998203298,0.9880671142547128,0.9933434160657373,0.9899894917553952,0.9890355034253396,0.991348219662316,0.9890355034253396,0.9952167959147626,0.9956070308067051,0.9891104024366243
қарыздарлық,0.9923629584629136,0.9923629584629136,0.9928709903532292,0.9935315806695569,0.9935315806695569,0.9906503400432557,0.9928709903532292,0.9935315806695569,0.9957961465440713,0.9999999999999992,0.9932726858610459,0.9908125278005129,0.9932726858610459,0.9956486680363402,0.9950629688538443,0.9889141174135173,0.9924066504008738,0.9898484074812467,0.9892341699401053,0.9913763082109722,0.9892341699401053,0.9943869274807783,0.9946137303222197,0.9900299460815244
міндеттеме,0.9929013993528365,0.9929013993528365,0.9918646222314599,0.992787337649178,0.992787337649178,0.9901238561592113,0.9918646222314599,0.992787337649178,0.9920161813604927,0.9932726858610459,0.9999999999999998,0.9944501265930884,0.9999999999999998,0.9924149778477995,0.9938447674088653,0.9859238737804025,0.9921959539337082,0.9893322499819328,0.9889419853753914,0.9911986793900414,0.9889419853753914,0.9935591372689765,0.9935898097089564,0.9893511905794987
міндетті,0.9893458768972166,0.9893458768972166,0.9887664682768212,0.9869998492009854,0.9869998492009854,0.9895847201238251,0.9887664682768212,0.9869998492009854,0.9876363659201259,0.9908125278005129,0.9944501265930884,1.0000000000000002,0.9944501265930884,0.988609136825297,0.9893902773586025,0.9851477939542629,0.9909116111263371,0.9888927281200952,0.9889476888178873,0.9909649007934389,0.9889476888178873,0.9910259571559091,0.9901756657090316,0.990386352818573
міндеттеме,0.9929013993528365,0.9929013993528365,0.9918646222314599,0.992787337649178,0.992787337649178,0.9901238561592113,0.9918646222314599,0.992787337649178,0.9920161813604927,0.9932726858610459,0.9999999999999998,0.9944501265930884,0.9999999999999998,0.9924149778477995,0.9938447674088653,0.9859238737804025,0.9921959539337082,0.9893322499819328,0.9889419853753914,0.9911986793900414,0.9889419853753914,0.9935591372689765,0.9935898097089564,0.9893511905794987
қарыз,0.993085233250527,0.993085233250527,0.9919085013298719,0.9938243305823458,0.9938243305823458,0.9893281258792042,0.9919085013298719,0.9938243305823458,0.9968233675311614,0.9956486680363402,0.9924149778477995,0.988609136825297,0.9924149778477995,1.0000000000000002,0.9960032721023548,0.988907992686899,0.9926010539273773,0.9900773006488868,0.9896395182826261,0.9913581654768789,0.9896395182826261,0.9943107490056221,0.9961312797862097,0.9893145977422585
қарыз болу,0.9950747108431719,0.9950747108431719,0.9914277930895549,0.9962652971007212,0.9962652971007212,0.9892409348821195,0.9914277930895549,0.9962652971007212,0.9961034998203298,0.9950629688538443,0.9938447674088653,0.9893902773586025,0.9938447674088653,0.9960032721023548,0.9999999999999999,0.9843878245972807,0.9925999713255045,0.9893095806439639,0.9917546332385415,0.992834487390726,0.9917546332385415,0.9964661047492176,0.9974202036086294,0.9910305648468147
қарызы бар,0.9858235853168595,0.9858235853168595,0.9899526108992744,0.981447321539509,0.981447321539509,0.9865845996451981,0.9899526108992744,0.981447321539509,0.9880671142547128,0.9889141174135173,0.9859238737804025,0.9851477939542629,0.9859238737804025,0.988907992686899,0.9843878245972807,0.9999999999999989,0.9873847463249277,0.9865407823751429,0.9823633880002054,0.9858202927269804,0.9823633880002054,0.9858266245485124,0.9860112269436495,0.9845953277135153
кешірімдер,0.9915766216396646,0.9915766216396646,0.9936722710394886,0.9913463593268921,0.9913463593268921,0.9949636323818107,0.9936722710394886,0.9913463593268921,0.9933434160657373,0.9924066504008738,0.9921959539337082,0.9909116111263371,0.9921959539337082,0.9926010539273773,0.9925999713255045,0.9873847463249277,1.0000000000000004,0.9966071200776806,0.9917015145839061,0.9944159818664785,0.9917015145839061,0.995309847892301,0.9944607165809163,0.9920131948247544
кешірім,0.9887073483597233,0.9887073483597233,0.9910042043921933,0.9874783756283391,0.9874783756283391,0.9937838714599777,0.9910042043921933,0.9874783756283391,0.9899894917553952,0.9898484074812467,0.9893322499819328,0.9888927281200952,0.9893322499819328,0.9900773006488868,0.9893095806439639,0.9865407823751429,0.9966071200776806,1.0000000000000002,0.9873311233978592,0.9916808440419854,0.9873311233978592,0.9920508037652367,0.9911817468304711,0.988460833858352
кешіріңіз,0.9873490801601267,0.9873490801601267,0.9871988895475657,0.9876417929905235,0.9876417929905235,0.9876089975278775,0.9871988895475657,0.9876417929905235,0.9890355034253396,0.9892341699401053,0.9889419853753914,0.9889476888178873,0.9889419853753914,0.9896395182826261,0.9917546332385415,0.9823633880002054,0.9917015145839061,0.9873311233978592,1.0000000000000002,0.9933740315925867,1.0000000000000002,0.9938155746792081,0.9934343533928415,0.9976055438557858
өкініш,0.9902187381585021,0.9902187381585021,0.9919358048800172,0.9898349399274594,0.9898349399274594,0.9912810628730244,0.9919358048800172,0.9898349399274594,0.991348219662316,0.9913763082109722,0.9911986793900414,0.9909649007934389,0.9911986793900414,0.9913581654768789,0.992834487390726,0.9858202927269804,0.9944159818664785,0.9916808440419854,0.9933740315925867,1.0000000000000002,0.9933740315925867,0.9954486636253399,0.994081662128973,0.9928350598396875
кешіріңіз,0.9873490801601267,0.9873490801601267,0.9871988895475657,0.9876417929905235,0.9876417929905235,0.9876089975278775,0.9871988895475657,0.9876417929905235,0.9890355034253396,0.9892341699401053,0.9889419853753914,0.9889476888178873,0.9889419853753914,0.9896395182826261,0.9917546332385415,0.9823633880002054,0.9917015145839061,0.9873311233978592,1.0000000000000002,0.9933740315925867,1.0000000000000002,0.9938155746792081,0.9934343533928415,0.9976055438557858
