,баалоо,баалоо,ыраазы,ыраазылык,ыраазылык,рахмат,ыраазы,ыраазылык,карыздар,карыздарлык,милдет,милдеттүү,милдет,карыз болуу,карызы бар,кечиримдер,кечирим,кечириңиз,өкүнүч,кечирим сураган,кечирим сура,мени кечириңиз,кечирип коюңуз
баалоо,0.9999999999999994,0.9999999999999994,0.9929227650382375,0.9911525509005545,0.9911525509005545,0.9869003949105578,0.9929227650382375,0.9911525509005545,0.9911249780740173,0.9926444354524706,0.9928007964343322,0.9880774217812464,0.9928007964343322,0.9906421130399272,0.9877007923832741,0.9900701640904762,0.9929447079790558,0.9858803680173954,0.9869827522361911,0.9938214169647045,0.9946449682921261,0.9848608850147841,0.990298139090549
баалоо,0.9999999999999994,0.9999999999999994,0.9929227650382375,0.9911525509005545,0.9911525509005545,0.9869003949105578,0.9929227650382375,0.9911525509005545,0.9911249780740173,0.9926444354524706,0.9928007964343322,0.9880774217812464,0.9928007964343322,0.9906421130399272,0.9877007923832741,0.9900701640904762,0.9929447079790558,0.9858803680173954,0.9869827522361911,0.9938214169647045,0.9946449682921261,0.9848608850147841,0.990298139090549
ыраазы,0.9929227650382375,0.9929227650382375,0.9999999999999996,0.9951965958123317,0.9951965958123317,0.9902652472333557,0.9999999999999996,0.9951965958123317,0.9945556852313785,0.9959750475264534,0.9930822523317488,0.9907771954087112,0.9930822523317488,0.9923024473466895,0.9913284732591339,0.9943283713125183,0.9943227557249865,0.9908071434335918,0.9889056198968735,0.9948169864620511,0.9956936819073585,0.9887765690699033,0.9932572555595418
ыраазылык,0.9911525509005545,0.9911525509005545,0.9951965958123317,0.9999999999999994,0.9999999999999994,0.9853351668514976,0.9951965958123317,0.9999999999999994,0.9929581492319718,0.9953122602263249,0.9896466477750611,0.9877704549104711,0.9896466477750611,0.9906453247753382,0.9880510327522991,0.9898093282602448,0.9914781053165174,0.9867457481441471,0.9889690233594218,0.9927176717845284,0.9934775212682803,0.9843872814357844,0.9903597779186298
ыраазылык,0.9911525509005545,0.9911525509005545,0.9951965958123317,0.9999999999999994,0.9999999999999994,0.9853351668514976,0.9951965958123317,0.9999999999999994,0.9929581492319718,0.9953122602263249,0.9896466477750611,0.9877704549104711,0.9896466477750611,0.9906453247753382,0.9880510327522991,0.9898093282602448,0.9914781053165174,0.9867457481441471,0.9889690233594218,0.9927176717845284,0.9934775212682803,0.9843872814357844,0.9903597779186298
рахмат,0.9869003949105578,0.9869003949105578,0.9902652472333557,0.9853351668514976,0.9853351668514976,0.9999999999999998,0.9902652472333557,0.9853351668514976,0.9885955512654855,0.9899744126263257,0.9909938444031855,0.9901536875850023,0.9909938444031855,0.9871377974368475,0.9865300009148738,0.9898391203551333,0.9904228229655035,0.9882352404536066,0.9841771714556747,0.9900592363931405,0.9908166508793594,0.9882719157909087,0.9893996823679347
ыраазы,0.9929227650382375,0.9929227650382375,0.9999999999999996,0.9951965958123317,0.9951965958123317,0.9902652472333557,0.9999999999999996,0.9951965958123317,0.9945556852313785,0.9959750475264534,0.9930822523317488,0.9907771954087112,0.9930822523317488,0.9923024473466895,0.9913284732591339,0.9943283713125183,0.9943227557249865,0.9908071434335918,0.9889056198968735,0.9948169864620511,0.9956936819073585,0.9887765690699033,0.9932572555595418
ыраазылык,0.9911525509005545,0.9911525509005545,0.9951965958123317,0.9999999999999994,0.9999999999999994,0.9853351668514976,0.9951965958123317,0.9999999999999994,0.9929581492319718,0.9953122602263249,0.9896466477750611,0.9877704549104711,0.9896466477750611,0.9906453247753382,0.9880510327522991,0.9898093282602448,0.9914781053165174,0.9867457481441471,0.9889690233594218,0.9927176717845284,0.9934775212682803,0.9843872814357844,0.9903597779186298
карыздар,0.9911249780740173,0.9911249780740173,0.9945556852313785,0.9929581492319718,0.9929581492319718,0.9885955512654855,0.9945556852313785,0.9929581492319718,0.9999999999999998,0.9967254190830473,0.9919720149860507,0.9918391513642723,0.9919720149860507,0.9945648694853826,0.9931733189812391,0.9931784233692554,0.9936846795861155,0.98953287722813,0.9883209149860617,0.9943188653090926,0.9945598505699521,0.9886066919005517,0.9929521729137961
карыздарлык,0.9926444354524706,0.9926444354524706,0.9959750475264534,0.9953122602263249,0.9953122602263249,0.9899744126263257,0.9959750475264534,0.9953122602263249,0.9967254190830473,0.9999999999999993,0.9944585473730685,0.9942076787329178,0.9944585473730685,0.9949002500357652,0.9933129349468831,0.9936896857709137,0.994583151922211,0.9906893806053296,0.9911499857589966,0.995371569433521,0.9954985669726266,0.9895277020022848,0.9942220924209726
