,감사하는,감사,감사하다,고마워하다,감사함,빚,빚진,의무,의무감,빚지다,빚지고 있다,빚진 상태,의무를 느끼다,미안한,사과들,사과하다,사과,실례합니다,용서해주세요,유감,미안해요
감사하는,0.9999999999999997,0.9943066080339181,0.996091825178371,0.9939065281935049,0.9958431552828415,0.9942920353743665,0.9920333976405884,0.9929739645340386,0.9925398220470858,0.9923803212308333,0.9908847247971833,0.9947002911324333,0.9943728134862866,0.9943718643784633,0.992100083951391,0.9922404871165795,0.9868560264640795,0.9916072851630725,0.9937415002601959,0.9922489574082515,0.9922123036500389
감사,0.9943066080339181,0.9999999999999996,0.994336714340554,0.9931952427736316,0.9945873625753465,0.9941681949929966,0.9935971887250988,0.9965465576948349,0.9962941204949867,0.9945372375203179,0.9935509251527613,0.9953345787002245,0.993349263117655,0.9937273332526628,0.9965857807934687,0.9939911399209183,0.9899855915840773,0.9924708483452421,0.9922033181670322,0.995332513817951,0.9910843095998434
감사하다,0.996091825178371,0.994336714340554,0.9999999999999998,0.9976620829618115,0.9965014148255809,0.9960193028471044,0.9926154019289846,0.9945647793169734,0.9946512228273621,0.9952920148552079,0.9935831403561503,0.9962471948496804,0.9954344907880857,0.9937282454833848,0.9934888502139088,0.9957412288977696,0.9887427525950726,0.9931092031387571,0.9932408569176551,0.9937670532872063,0.9916187654520219
고마워하다,0.9939065281935049,0.9931952427736316,0.9976620829618115,0.9999999999999993,0.9954226152275494,0.9961253485933513,0.9926308795554006,0.994320872757325,0.9939591498325742,0.9955638690554101,0.9932662080635276,0.9958064239833172,0.995649453803728,0.9941856061179086,0.9940721624988503,0.9953151544218465,0.9880811420743977,0.994532249481045,0.9950074752271734,0.9938874652047126,0.9938648973888187
감사함,0.9958431552828415,0.9945873625753465,0.9965014148255809,0.9954226152275494,0.9999999999999998,0.9951096884952385,0.9915949870533456,0.9937456731011316,0.993967715915827,0.9931664943459987,0.9914053759772037,0.995362270716833,0.9938507000082653,0.9940493009055471,0.9931270779568387,0.9937094866705217,0.9886443717826685,0.9934980742543924,0.9937299646556876,0.9927227138590006,0.9923123576316432
빚,0.9942920353743665,0.9941681949929966,0.9960193028471044,0.9961253485933513,0.9951096884952385,0.9999999999999993,0.9953901246725482,0.9943845360893054,0.9939575880722885,0.9958403661959284,0.9934825243294289,0.9963525436596719,0.9940915387623624,0.994484061685178,0.9938401863883751,0.9941958818534888,0.9886419747998001,0.9929508518306532,0.9943403184852648,0.9940456234548695,0.9937432334953384
빚진,0.9920333976405884,0.9935971887250988,0.9926154019289846,0.9926308795554006,0.9915949870533456,0.9953901246725482,0.9999999999999996,0.9928642269294217,0.9930391018239052,0.9947821155694345,0.993992289481833,0.9945962512643206,0.9899418680209904,0.9941683891033023,0.9929247808193233,0.9932274243476246,0.9884180473662987,0.9906852244399085,0.992345823667337,0.9952347508427283,0.9920345097564981
의무,0.9929739645340386,0.9965465576948349,0.9945647793169734,0.994320872757325,0.9937456731011316,0.9943845360893054,0.9928642269294217,0.9999999999999994,0.9972562939849346,0.9944341772347732,0.992851109844247,0.9954149136758749,0.9950336318354144,0.9925162614076821,0.995805028838625,0.9942162556730099,0.9908903586401688,0.9915638297328155,0.9910582783704349,0.9945294325901409,0.9895744289696997
의무감,0.9925398220470858,0.9962941204949867,0.9946512228273621,0.9939591498325742,0.993967715915827,0.9939575880722885,0.9930391018239052,0.9972562939849346,0.9999999999999999,0.9945970986113178,0.9934791236573026,0.995544382619886,0.9940682429623974,0.9924762095239317,0.9957955614026002,0.9950002625471943,0.99118879894982,0.9919257216541247,0.9915010848592214,0.9962067106558745,0.9899142361451595
빚지다,0.9923803212308333,0.9945372375203179,0.9952920148552079,0.9955638690554101,0.9931664943459987,0.9958403661959284,0.9947821155694345,0.9944341772347732,0.9945970986113178,1.0,0.9967263992260774,0.9959601006713348,0.9945700535759029,0.9936031881138044,0.9959380308235728,0.9972615007958087,0.9899299593021583,0.9929480399419296,0.9927720614890893,0.9951968859982795,0.9915071788652847
빚지고 있다,0.9908847247971833,0.9935509251527613,0.9935831403561503,0.9932662080635276,0.9914053759772037,0.9934825243294289,0.993992289481833,0.992851109844247,0.9934791236573026,0.9967263992260774,0.9999999999999997,0.9941868283788626,0.9914032181036081,0.9920319250504807,0.9943687608799725,0.996962394611075,0.9899763232976886,0.9914104144536865,0.9906709000298142,0.9942110639110532,0.9891015680906633
빚진 상태,0.9947002911324333,0.9953345787002245,0.9962471948496804,0.9958064239833172,0.995362270716833,0.9963525436596719,0.9945962512643206,0.9954149136758749,0.995544382619886,0.9959601006713348,0.9941868283788626,0.9999999999999991,0.995368235593544,0.9937002633437009,0.9958162897188663,0.9955886548389469,0.9893152439661033,0.9935375084775059,0.9939127046890508,0.9951094428387421,0.9921436006521902
의무를 느끼다,0.9943728134862866,0.993349263117655,0.9954344907880857,0.995649453803728,0.9938507000082653,0.9940915387623624,0.9899418680209904,0.9950336318354144,0.9940682429623974,0.9945700535759029,0.9914032181036081,0.995368235593544,0.9999999999999994,0.9913949351735265,0.994095907135604,0.9936683745057262,0.9869345529740439,0.9917207819419295,0.9929221011723696,0.9925845161069257,0.9904473452982837
미안한,0.9943718643784633,0.9937273332526628,0.9937282454833848,0.9941856061179086,0.9940493009055471,0.994484061685178,0.9941683891033023,0.9925162614076821,0.9924762095239317,0.9936031881138044,0.9920319250504807,0.9937002633437009,0.9913949351735265,1.0,0.9927197585621872,0.992523587791118,0.9886421464511698,0.9933926646518548,0.9946035719684021,0.9944760392908011,0.9952678397475432
사과들,0.992100083951391,0.9965857807934687,0.9934888502139088,0.9940721624988503,0.9931270779568387,0.9938401863883751,0.9929247808193233,0.995805028838625,0.9957955614026002,0.9959380308235728,0.9943687608799725,0.9958162897188663,0.994095907135604,0.9927197585621872,0.9999999999999993,0.996004531393529,0.9918866037135146,0.9922663283770524,0.991908540520694,0.995363910679614,0.9903111779420102
