,qedrdanîn,qedrnasî,spasdar,spasî,spasî,spas,spasdar,spasî,qerazdar,qerazdarî,mecburiyet,pîvan,mecbur,xelatî,mecburiyet,qerazdar,borrçdar bûn,qeraz bûn,qerazdar bûn,baxişxwaz,baxişxwazan,baxişxwazî,bibore,xemgînî,bibore,baxiş xwestin,li min re bibore,li min re bibore
qedrdanîn,1.0000000000000004,0.9945445308028901,0.9873220395224959,0.9892937317697186,0.9892937317697186,0.9868671563549328,0.9873220395224959,0.9892937317697186,0.9919810364043826,0.9931388551559303,0.9888119367373198,0.9899067544284916,0.98866819609328,0.9871277409709086,0.9888119367373198,0.9919810364043826,0.9885297984524294,0.9933394565308473,0.9927392414595374,0.9899314586213297,0.9896156273574769,0.9900383177985652,0.9874558788065414,0.9842434240848241,0.9874558788065414,0.9871802669819149,0.9819530528854259,0.9819530528854259
qedrnasî,0.9945445308028901,0.9999999999999994,0.9922520832687132,0.990303090473172,0.990303090473172,0.9884228117693205,0.9922520832687132,0.990303090473172,0.9979974595693171,0.9981661387008127,0.9909167029436304,0.9930971132356842,0.9909553812048343,0.9902274433123922,0.9909167029436304,0.9979974595693171,0.991328834960213,0.9970229862492361,0.9968737076822839,0.9923441871337455,0.993130706452118,0.9928799793618213,0.9906706488274736,0.986075861459093,0.9906706488274736,0.9916008282777291,0.9859073947462196,0.9859073947462196
spasdar,0.9873220395224959,0.9922520832687132,0.9999999999999998,0.9911349752866281,0.9911349752866281,0.9911694044687693,0.9999999999999998,0.9911349752866281,0.9920828580291504,0.9936512210393872,0.9909781205554571,0.9946478082486623,0.9924616568281559,0.9900778708310547,0.9909781205554571,0.9920828580291504,0.9933998678361206,0.9914643687364472,0.9918949900819485,0.9921782818642934,0.992770342722445,0.9923250097433002,0.9924339812700784,0.98796097721708,0.9924339812700784,0.9938894683619864,0.9869535308060666,0.9869535308060666
spasî,0.9892937317697186,0.990303090473172,0.9911349752866281,0.9999999999999993,0.9999999999999993,0.9959745568548872,0.9911349752866281,0.9999999999999993,0.9883431609284327,0.9905416983266568,0.989882602030177,0.9928961971667619,0.9931106344910486,0.9908790395646928,0.989882602030177,0.9883431609284327,0.9910834657259937,0.9902708648925528,0.9889655609242843,0.9923973334996464,0.9917315888024698,0.9929197844093194,0.9916565907566414,0.9901663249065752,0.9916565907566414,0.9909405628407832,0.9856187817120332,0.9856187817120332
spasî,0.9892937317697186,0.990303090473172,0.9911349752866281,0.9999999999999993,0.9999999999999993,0.9959745568548872,0.9911349752866281,0.9999999999999993,0.9883431609284327,0.9905416983266568,0.989882602030177,0.9928961971667619,0.9931106344910486,0.9908790395646928,0.989882602030177,0.9883431609284327,0.9910834657259937,0.9902708648925528,0.9889655609242843,0.9923973334996464,0.9917315888024698,0.9929197844093194,0.9916565907566414,0.9901663249065752,0.9916565907566414,0.9909405628407832,0.9856187817120332,0.9856187817120332
spas,0.9868671563549328,0.9884228117693205,0.9911694044687693,0.9959745568548872,0.9959745568548872,0.9999999999999998,0.9911694044687693,0.9959745568548872,0.9872666868987311,0.9887792044402961,0.988091787508057,0.9921630743138433,0.9917959205782704,0.9889289984370828,0.988091787508057,0.9872666868987311,0.9899798634052983,0.9889665488094472,0.9878615757650372,0.9904207526016576,0.9899379691130585,0.9905825982925875,0.9907520904380318,0.988035162862197,0.9907520904380318,0.9899545540383657,0.9846837548666612,0.9846837548666612
spasdar,0.9873220395224959,0.9922520832687132,0.9999999999999998,0.9911349752866281,0.9911349752866281,0.9911694044687693,0.9999999999999998,0.9911349752866281,0.9920828580291504,0.9936512210393872,0.9909781205554571,0.9946478082486623,0.9924616568281559,0.9900778708310547,0.9909781205554571,0.9920828580291504,0.9933998678361206,0.9914643687364472,0.9918949900819485,0.9921782818642934,0.992770342722445,0.9923250097433002,0.9924339812700784,0.98796097721708,0.9924339812700784,0.9938894683619864,0.9869535308060666,0.9869535308060666
spasî,0.9892937317697186,0.990303090473172,0.9911349752866281,0.9999999999999993,0.9999999999999993,0.9959745568548872,0.9911349752866281,0.9999999999999993,0.9883431609284327,0.9905416983266568,0.989882602030177,0.9928961971667619,0.9931106344910486,0.9908790395646928,0.989882602030177,0.9883431609284327,0.9910834657259937,0.9902708648925528,0.9889655609242843,0.9923973334996464,0.9917315888024698,0.9929197844093194,0.9916565907566414,0.9901663249065752,0.9916565907566414,0.9909405628407832,0.9856187817120332,0.9856187817120332
qerazdar,0.9919810364043826,0.9979974595693171,0.9920828580291504,0.9883431609284327,0.9883431609284327,0.9872666868987311,0.9920828580291504,0.9883431609284327,0.9999999999999996,0.9987795253069212,0.9897699020302861,0.9922566883667066,0.9899821522570944,0.9885714669719818,0.9897699020302861,0.9999999999999996,0.9910591819592531,0.9975411958421149,0.9981180087884821,0.9909570019806067,0.99236649676964,0.9914340580139779,0.9899860717094131,0.9846868129351447,0.9899860717094131,0.9913801626928137,0.985189044442505,0.985189044442505
qerazdarî,0.9931388551559303,0.9981661387008127,0.9936512210393872,0.9905416983266568,0.9905416983266568,0.9887792044402961,0.9936512210393872,0.9905416983266568,0.9987795253069212,0.9999999999999996,0.9915120796970958,0.9933423267402554,0.9918103517337521,0.9901208631884041,0.9915120796970958,0.9987795253069212,0.9926014850339956,0.9974393070048863,0.9979350325976513,0.9925674493226044,0.9933808673655613,0.9930490618823229,0.9914519988712432,0.9865179066363826,0.9914519988712432,0.9924744784872708,0.9863957692575803,0.9863957692575803
mecburiyet,0.9888119367373198,0.9909167029436304,0.9909781205554571,0.989882602030177,0.989882602030177,0.988091787508057,0.9909781205554571,0.989882602030177,0.9897699020302861,0.9915120796970958,1.0,0.9908874232002238,0.9926629305866613,0.9906513614928363,1.0,0.9897699020302861,0.991961228123225,0.9919523551397033,0.9917645231888176,0.9945608070234271,0.9944205905752194,0.9944803181292489,0.9913068949149287,0.9896362471452815,0.9913068949149287,0.993040510947969,0.98646127802353,0.98646127802353
pîvan,0.9899067544284916,0.9930971132356842,0.9946478082486623,0.9928961971667619,0.9928961971667619,0.9921630743138433,0.9946478082486623,0.9928961971667619,0.9922566883667066,0.9933423267402554,0.9908874232002238,1.0000000000000002,0.9945014421116668,0.9921220384346431,0.9908874232002238,0.9922566883667066,0.9948554692807836,0.9926286317261626,0.9921756862283119,0.9935287364584494,0.9941702642777727,0.9937379138855009,0.9945685247501479,0.9881445620858291,0.9945685247501479,0.9941463960116608,0.987827918387367,0.987827918387367
