,پێزانین,پێزانین,سوپاسگزار,سوپاسداری,سوپاس,سوپاس,سوپاسگزار,سوپاسداری,قەرەزداری,قەرەزداری,پێوەندی,مەجبووربوون,بەرزبوو,مەجبوور,پێوەندی,قەرەزەدار,قەرەزەدار بوون,پێشیمانبوو,لێبوردنەکان,لێبوردن,ببورە,خەمگینی,ببورە,لێبوردن داواکردن,لێبوردنم بدە
پێزانین,0.9999999999999996,0.9999999999999996,0.9937077186700678,0.9876531153003808,0.9933848681661752,0.9933848681661752,0.9937077186700678,0.9876531153003808,0.9948484456035558,0.9948484456035558,0.9958570555746664,0.994023575223558,0.9906100820937841,0.9902671345120486,0.9958570555746664,0.9944770581383081,0.9944765895756202,0.9961831564682002,0.9966000642773745,0.996857986208433,0.9946774928714233,0.9955121359294353,0.9946774928714233,0.9948688053662613,0.9944824769033388
پێزانین,0.9999999999999996,0.9999999999999996,0.9937077186700678,0.9876531153003808,0.9933848681661752,0.9933848681661752,0.9937077186700678,0.9876531153003808,0.9948484456035558,0.9948484456035558,0.9958570555746664,0.994023575223558,0.9906100820937841,0.9902671345120486,0.9958570555746664,0.9944770581383081,0.9944765895756202,0.9961831564682002,0.9966000642773745,0.996857986208433,0.9946774928714233,0.9955121359294353,0.9946774928714233,0.9948688053662613,0.9944824769033388
سوپاسگزار,0.9937077186700678,0.9937077186700678,1.0,0.9897703735907557,0.9956531082721697,0.9956531082721697,1.0,0.9897703735907557,0.9926269171398724,0.9926269171398724,0.9921718083076994,0.9932693866113692,0.9891567059887583,0.9881805042246988,0.9921718083076994,0.9927505058640531,0.9925694462951458,0.9944328932901926,0.9941635145697972,0.9925658136482498,0.9920050939960086,0.9929864019232737,0.9920050939960086,0.9919134775178595,0.9912145274453901
سوپاسداری,0.9876531153003808,0.9876531153003808,0.9897703735907557,0.9999999999999996,0.9871717227962513,0.9871717227962513,0.9897703735907557,0.9999999999999996,0.9899646994824162,0.9899646994824162,0.9870634274327593,0.9867338160164137,0.9822643862112349,0.9830605687820857,0.9870634274327593,0.9872810410940189,0.9859114635250171,0.9890893482810588,0.9868156980758589,0.9864477785033265,0.9833535040871297,0.9868210606655989,0.9833535040871297,0.9876174620690651,0.9830634899853188
سوپاس,0.9933848681661752,0.9933848681661752,0.9956531082721697,0.9871717227962513,0.9999999999999998,0.9999999999999998,0.9956531082721697,0.9871717227962513,0.9922134425446735,0.9922134425446735,0.9923045216279455,0.9930504506994638,0.989534245117517,0.98830616072632,0.9923045216279455,0.9922901273930997,0.9920098518374639,0.9928210678373574,0.993484238712083,0.9923972683409953,0.992466472461499,0.9933152226103352,0.992466472461499,0.9904342588269266,0.990706161974898
سوپاس,0.9933848681661752,0.9933848681661752,0.9956531082721697,0.9871717227962513,0.9999999999999998,0.9999999999999998,0.9956531082721697,0.9871717227962513,0.9922134425446735,0.9922134425446735,0.9923045216279455,0.9930504506994638,0.989534245117517,0.98830616072632,0.9923045216279455,0.9922901273930997,0.9920098518374639,0.9928210678373574,0.993484238712083,0.9923972683409953,0.992466472461499,0.9933152226103352,0.992466472461499,0.9904342588269266,0.990706161974898
سوپاسگزار,0.9937077186700678,0.9937077186700678,1.0,0.9897703735907557,0.9956531082721697,0.9956531082721697,1.0,0.9897703735907557,0.9926269171398724,0.9926269171398724,0.9921718083076994,0.9932693866113692,0.9891567059887583,0.9881805042246988,0.9921718083076994,0.9927505058640531,0.9925694462951458,0.9944328932901926,0.9941635145697972,0.9925658136482498,0.9920050939960086,0.9929864019232737,0.9920050939960086,0.9919134775178595,0.9912145274453901
سوپاسداری,0.9876531153003808,0.9876531153003808,0.9897703735907557,0.9999999999999996,0.9871717227962513,0.9871717227962513,0.9897703735907557,0.9999999999999996,0.9899646994824162,0.9899646994824162,0.9870634274327593,0.9867338160164137,0.9822643862112349,0.9830605687820857,0.9870634274327593,0.9872810410940189,0.9859114635250171,0.9890893482810588,0.9868156980758589,0.9864477785033265,0.9833535040871297,0.9868210606655989,0.9833535040871297,0.9876174620690651,0.9830634899853188
قەرەزداری,0.9948484456035558,0.9948484456035558,0.9926269171398724,0.9899646994824162,0.9922134425446735,0.9922134425446735,0.9926269171398724,0.9899646994824162,0.9999999999999998,0.9999999999999998,0.9963461970155784,0.9937213327968073,0.9918416689958426,0.9906914713882411,0.9963461970155784,0.9976747600731088,0.9964532156005845,0.9951701747126241,0.9962221636952333,0.9952290973887047,0.9951378642324772,0.9961542987738277,0.9951378642324772,0.9932307449429275,0.9939959370119386
قەرەزداری,0.9948484456035558,0.9948484456035558,0.9926269171398724,0.9899646994824162,0.9922134425446735,0.9922134425446735,0.9926269171398724,0.9899646994824162,0.9999999999999998,0.9999999999999998,0.9963461970155784,0.9937213327968073,0.9918416689958426,0.9906914713882411,0.9963461970155784,0.9976747600731088,0.9964532156005845,0.9951701747126241,0.9962221636952333,0.9952290973887047,0.9951378642324772,0.9961542987738277,0.9951378642324772,0.9932307449429275,0.9939959370119386
پێوەندی,0.9958570555746664,0.9958570555746664,0.9921718083076994,0.9870634274327593,0.9923045216279455,0.9923045216279455,0.9921718083076994,0.9870634274327593,0.9963461970155784,0.9963461970155784,0.9999999999999996,0.9933099977013227,0.9918421790116525,0.9897075971836643,0.9999999999999996,0.9953350653258805,0.9948269114444788,0.9961658942649244,0.9968554601870067,0.9966831576950812,0.9956769769030318,0.9955180655606278,0.9956769769030318,0.9938124696404017,0.994376859139177
مەجبووربوون,0.994023575223558,0.994023575223558,0.9932693866113692,0.9867338160164137,0.9930504506994638,0.9930504506994638,0.9932693866113692,0.9867338160164137,0.9937213327968073,0.9937213327968073,0.9933099977013227,0.9999999999999994,0.9945543741173949,0.995443748783449,0.9933099977013227,0.995353013157787,0.9957619950148148,0.994838061866997,0.994644254938678,0.9935590144806532,0.9944655893257736,0.9941190461853018,0.9944655893257736,0.9932624525542206,0.9933934798435968
بەرزبوو,0.9906100820937841,0.9906100820937841,0.9891567059887583,0.9822643862112349,0.989534245117517,0.989534245117517,0.9891567059887583,0.9822643862112349,0.9918416689958426,0.9918416689958426,0.9918421790116525,0.9945543741173949,0.9999999999999994,0.9928457818973527,0.9918421790116525,0.9938323412321094,0.9929198973158211,0.9920046707834441,0.9912491023365853,0.9907755753005913,0.9926632838335572,0.9921466670886809,0.9926632838335572,0.9886007345695538,0.9905537315161155
مەجبوور,0.9902671345120486,0.9902671345120486,0.9881805042246988,0.9830605687820857,0.98830616072632,0.98830616072632,0.9881805042246988,0.9830605687820857,0.9906914713882411,0.9906914713882411,0.9897075971836643,0.995443748783449,0.9928457818973527,0.9999999999999993,0.9897075971836643,0.9929764556904112,0.991118352587473,0.9888533623816527,0.9900405733030544,0.9887042655384715,0.9913976627663841,0.9925695851541871,0.9913976627663841,0.9882202869356049,0.9904323476204557
پێوەندی,0.9958570555746664,0.9958570555746664,0.9921718083076994,0.9870634274327593,0.9923045216279455,0.9923045216279455,0.9921718083076994,0.9870634274327593,0.9963461970155784,0.9963461970155784,0.9999999999999996,0.9933099977013227,0.9918421790116525,0.9897075971836643,0.9999999999999996,0.9953350653258805,0.9948269114444788,0.9961658942649244,0.9968554601870067,0.9966831576950812,0.9956769769030318,0.9955180655606278,0.9956769769030318,0.9938124696404017,0.994376859139177
قەرەزەدار,0.9944770581383081,0.9944770581383081,0.9927505058640531,0.9872810410940189,0.9922901273930997,0.9922901273930997,0.9927505058640531,0.9872810410940189,0.9976747600731088,0.9976747600731088,0.9953350653258805,0.995353013157787,0.9938323412321094,0.9929764556904112,0.9953350653258805,0.9999999999999991,0.9978466367786565,0.9942834552578527,0.9963318727440853,0.9939975660833255,0.9950809569253316,0.9959000288935448,0.9950809569253316,0.9925571562320099,0.9949273722443607
قەرەزەدار بوون,0.9944765895756202,0.9944765895756202,0.9925694462951458,0.9859114635250171,0.9920098518374639,0.9920098518374639,0.9925694462951458,0.9859114635250171,0.9964532156005845,0.9964532156005845,0.9948269114444788,0.9957619950148148,0.9929198973158211,0.991118352587473,0.9948269114444788,0.9978466367786565,0.9999999999999996,0.9950334999349021,0.996370003072709,0.9949060324236912,0.9947823262501654,0.9939564323168657,0.9947823262501654,0.9932499196243545,0.9937291723264818
پێشیمانبوو,0.9961831564682002,0.9961831564682002,0.9944328932901926,0.9890893482810588,0.9928210678373574,0.9928210678373574,0.9944328932901926,0.9890893482810588,0.9951701747126241,0.9951701747126241,0.9961658942649244,0.994838061866997,0.9920046707834441,0.9888533623816527,0.9961658942649244,0.9942834552578527,0.9950334999349021,0.9999999999999992,0.9965007900627392,0.9967054543051963,0.9936622204124754,0.993508188244259,0.9936622204124754,0.994482191375866,0.9934302327793256
لێبوردنەکان,0.9966000642773745,0.9966000642773745,0.9941635145697972,0.9868156980758589,0.993484238712083,0.993484238712083,0.9941635145697972,0.9868156980758589,0.9962221636952333,0.9962221636952333,0.9968554601870067,0.994644254938678,0.9912491023365853,0.9900405733030544,0.9968554601870067,0.9963318727440853,0.996370003072709,0.9965007900627392,1.0,0.9974760653480915,0.9960135076990647,0.9958562323803443,0.9960135076990647,0.994916144940946,0.9970369793534877
لێبوردن,0.996857986208433,0.996857986208433,0.9925658136482498,0.9864477785033265,0.9923972683409953,0.9923972683409953,0.9925658136482498,0.9864477785033265,0.9952290973887047,0.9952290973887047,0.9966831576950812,0.9935590144806532,0.9907755753005913,0.9887042655384715,0.9966831576950812,0.9939975660833255,0.9949060324236912,0.9967054543051963,0.9974760653480915,0.9999999999999996,0.9949085618542891,0.993853590166031,0.9949085618542891,0.9958216243017232,0.99453827105138
ببورە,0.9946774928714233,0.9946774928714233,0.9920050939960086,0.9833535040871297,0.992466472461499,0.992466472461499,0.9920050939960086,0.9833535040871297,0.9951378642324772,0.9951378642324772,0.9956769769030318,0.9944655893257736,0.9926632838335572,0.9913976627663841,0.9956769769030318,0.9950809569253316,0.9947823262501654,0.9936622204124754,0.9960135076990647,0.9949085618542891,0.9999999999999998,0.9953605545169881,0.9999999999999998,0.9923787674665899,0.9957746346497502
خەمگینی,0.9955121359294353,0.9955121359294353,0.9929864019232737,0.9868210606655989,0.9933152226103352,0.9933152226103352,0.9929864019232737,0.9868210606655989,0.9961542987738277,0.9961542987738277,0.9955180655606278,0.9941190461853018,0.9921466670886809,0.9925695851541871,0.9955180655606278,0.9959000288935448,0.9939564323168657,0.993508188244259,0.9958562323803443,0.993853590166031,0.9953605545169881,0.9999999999999996,0.9953605545169881,0.9919312794015099,0.9946684842212254
ببورە,0.9946774928714233,0.9946774928714233,0.9920050939960086,0.9833535040871297,0.992466472461499,0.992466472461499,0.9920050939960086,0.9833535040871297,0.9951378642324772,0.9951378642324772,0.9956769769030318,0.9944655893257736,0.9926632838335572,0.9913976627663841,0.9956769769030318,0.9950809569253316,0.9947823262501654,0.9936622204124754,0.9960135076990647,0.9949085618542891,0.9999999999999998,0.9953605545169881,0.9999999999999998,0.9923787674665899,0.9957746346497502
لێبوردن داواکردن,0.9948688053662613,0.9948688053662613,0.9919134775178595,0.9876174620690651,0.9904342588269266,0.9904342588269266,0.9919134775178595,0.9876174620690651,0.9932307449429275,0.9932307449429275,0.9938124696404017,0.9932624525542206,0.9886007345695538,0.9882202869356049,0.9938124696404017,0.9925571562320099,0.9932499196243545,0.994482191375866,0.994916144940946,0.9958216243017232,0.9923787674665899,0.9919312794015099,0.9923787674665899,0.9999999999999996,0.9930371732485191
لێبوردنم بدە,0.9944824769033388,0.9944824769033388,0.9912145274453901,0.9830634899853188,0.990706161974898,0.990706161974898,0.9912145274453901,0.9830634899853188,0.9939959370119386,0.9939959370119386,0.994376859139177,0.9933934798435968,0.9905537315161155,0.9904323476204557,0.994376859139177,0.9949273722443607,0.9937291723264818,0.9934302327793256,0.9970369793534877,0.99453827105138,0.9957746346497502,0.9946684842212254,0.9957746346497502,0.9930371732485191,0.9999999999999999
