,aestimare,aestimatio,grata,gratus,gratia,gratia,grata,gratus,gratia,gratias ago,debitor,obligatus,debitum,obligatio,coactus,obligatus,obligatio,debere,debens,debiturus,excusatorius,paenitens,excusationes,excusare,excusatio,ignosce,paenitentia,paenitet,ignosce mihi
aestimare,0.9999999999999994,0.9949393195690681,0.9908822329734281,0.9889973342158997,0.9924692256306389,0.9924692256306389,0.9908822329734281,0.9889973342158997,0.9924692256306386,0.9944126810470846,0.9913487875715963,0.9927872989001854,0.99367447616744,0.9923156142243535,0.9878912539485871,0.9927872989001854,0.9923156142243535,0.9937620648366758,0.9906646096402368,0.9941750844744514,0.9941658366307621,0.9902783784205804,0.9942943722432054,0.9933441085350229,0.995337005907046,0.9928951637642183,0.9958040310073043,0.9906847751145235,0.9899520407405326
aestimatio,0.9949393195690681,0.9999999999999994,0.9846219196446762,0.9822858858762226,0.9897411542777304,0.9897411542777304,0.9846219196446762,0.9822858858762226,0.9897411542777297,0.990862681991259,0.9856677435205803,0.9891600649487475,0.9918562180901551,0.9951372414754925,0.9859041794940271,0.9891600649487475,0.9951372414754925,0.9901930726474354,0.984777194564711,0.9878380847167999,0.9912573417929448,0.984240111860983,0.9892658919308787,0.987855011761871,0.9932844858587416,0.985734857412525,0.9920908263957089,0.9856011095196092,0.9830946236991936
grata,0.9908822329734281,0.9846219196446762,0.9999999999999999,0.997978819625733,0.99225242274305,0.99225242274305,0.9999999999999999,0.997978819625733,0.9922524227430501,0.9915704025485812,0.9906832045255591,0.9933619318469297,0.9848664156167339,0.9842038677264819,0.9874875415838621,0.9933619318469297,0.9842038677264819,0.9894857834138336,0.9923521654618666,0.9928942325268265,0.9920754785521496,0.9908705032949696,0.9922815396860547,0.9910848011353621,0.9899491143823588,0.9926636225176936,0.9948783871691195,0.9896927025904648,0.9878709324939622
gratus,0.9889973342158997,0.9822858858762226,0.997978819625733,0.9999999999999992,0.9897335906842654,0.9897335906842654,0.997978819625733,0.9999999999999992,0.9897335906842657,0.9884154718378507,0.9881629788823063,0.9940162080782933,0.9826135886778659,0.9820371712561291,0.9869656993806563,0.9940162080782933,0.9820371712561291,0.9871812812512636,0.9902545368524395,0.990461218200002,0.9910969865648339,0.9883805426058828,0.9895688702363474,0.9883309600906447,0.9871794013167676,0.9900979246482667,0.9925795111366514,0.9870116417973334,0.985151806164298
gratia,0.9924692256306389,0.9897411542777304,0.99225242274305,0.9897335906842654,0.9999999999999994,0.9999999999999994,0.99225242274305,0.9897335906842654,0.9999999999999987,0.9956574277058955,0.9884610853590517,0.9937562656083767,0.987702522562654,0.9874973926504774,0.9888924018358151,0.9937562656083767,0.9874973926504774,0.9908906111836574,0.9896044452416848,0.9897712032701733,0.9931855294978126,0.9861398100610733,0.9908383095341571,0.9885979496107664,0.9905592655084965,0.9894762598839605,0.9920375538819939,0.9859122974207671,0.9850801378444747
gratia,0.9924692256306389,0.9897411542777304,0.99225242274305,0.9897335906842654,0.9999999999999994,0.9999999999999994,0.99225242274305,0.9897335906842654,0.9999999999999987,0.9956574277058955,0.9884610853590517,0.9937562656083767,0.987702522562654,0.9874973926504774,0.9888924018358151,0.9937562656083767,0.9874973926504774,0.9908906111836574,0.9896044452416848,0.9897712032701733,0.9931855294978126,0.9861398100610733,0.9908383095341571,0.9885979496107664,0.9905592655084965,0.9894762598839605,0.9920375538819939,0.9859122974207671,0.9850801378444747
grata,0.9908822329734281,0.9846219196446762,0.9999999999999999,0.997978819625733,0.99225242274305,0.99225242274305,0.9999999999999999,0.997978819625733,0.9922524227430501,0.9915704025485812,0.9906832045255591,0.9933619318469297,0.9848664156167339,0.9842038677264819,0.9874875415838621,0.9933619318469297,0.9842038677264819,0.9894857834138336,0.9923521654618666,0.9928942325268265,0.9920754785521496,0.9908705032949696,0.9922815396860547,0.9910848011353621,0.9899491143823588,0.9926636225176936,0.9948783871691195,0.9896927025904648,0.9878709324939622
gratus,0.9889973342158997,0.9822858858762226,0.997978819625733,0.9999999999999992,0.9897335906842654,0.9897335906842654,0.997978819625733,0.9999999999999992,0.9897335906842657,0.9884154718378507,0.9881629788823063,0.9940162080782933,0.9826135886778659,0.9820371712561291,0.9869656993806563,0.9940162080782933,0.9820371712561291,0.9871812812512636,0.9902545368524395,0.990461218200002,0.9910969865648339,0.9883805426058828,0.9895688702363474,0.9883309600906447,0.9871794013167676,0.9900979246482667,0.9925795111366514,0.9870116417973334,0.985151806164298
gratia,0.9924692256306386,0.9897411542777297,0.9922524227430501,0.9897335906842657,0.9999999999999987,0.9999999999999987,0.9922524227430501,0.9897335906842657,0.9999999999999994,0.9956574277058957,0.9884610853590523,0.9937562656083758,0.9877025225626526,0.9874973926504791,0.9888924018358145,0.9937562656083758,0.9874973926504774,0.9908906111836574,0.9896044452416848,0.9897712032701733,0.9931855294978126,0.9861398100610733,0.9908383095341571,0.9885979496107664,0.9905592655084965,0.9894762598839605,0.9920375538819939,0.9859122974207671,0.9850801378444747
gratias ago,0.9944126810470846,0.990862681991259,0.9915704025485812,0.9884154718378507,0.9956574277058955,0.9956574277058955,0.9915704025485812,0.9884154718378507,0.9956574277058957,0.9999999999999997,0.9911250028138275,0.9920774080624947,0.989013484031198,0.989094381473367,0.9869082774754047,0.9920774080624947,0.9890943814733663,0.9939270342604787,0.9927811292402248,0.9936913057710608,0.9933101757244506,0.9901962197060729,0.9949966425343033,0.9915633132560087,0.9927786898853067,0.992798887455472,0.9945755384807848,0.9905937990912559,0.9888685260266911
