,novērtēt,novērtējums,pateicīgs,pateicīga,pateicība,paldies,pateicīga,pateicīgs,pateicība,parādā,parādsaistības,pienākums,saistības,aizņēmies,piespiests,saistības,būt parādā,parādā esošs,atvainojošs,nožēlojošs,atvainošanās,atvainoties,atvainošanās,atvainojiet,nožēla,piedod,piedodiet ma
novērtēt,0.9999999999999992,0.9677528547089193,0.9864193214692861,0.9910863701692797,0.9861357832281634,0.9927950718275312,0.9910863701692797,0.9864193214692861,0.9861357832281629,0.9908210760226488,0.987414919098556,0.9874512049293852,0.9903326670276537,0.9918296825789422,0.9833886383828033,0.9903326670276537,0.9905982670172447,0.9865538408517079,0.9878180308342256,0.9793767864683817,0.9870299188341167,0.9934648005292315,0.9870299188341167,0.9913193050368667,0.9924329099461665,0.9918193780363678,0.9865033568918755
novērtējums,0.9677528547089193,0.9999999999999998,0.9664821337073056,0.9677807916777796,0.9645318109828367,0.9680865252202554,0.9677807916777796,0.9664821337073056,0.964531810982836,0.9664364922717159,0.9827447551414874,0.9789060695061849,0.9804225883119314,0.9703845947999575,0.9768537666659948,0.9804225883119314,0.966589809371746,0.9780630101488309,0.9774467464337896,0.9807025941231589,0.9729421798527912,0.9754660766790287,0.9729421798527912,0.970362507580873,0.9698764116028196,0.9723452442596882,0.9742891209158039
pateicīgs,0.9864193214692861,0.9664821337073056,0.9999999999999992,0.9938995671827207,0.9919299533171384,0.9899027599511452,0.9938995671827207,0.9999999999999992,0.991929953317138,0.9857306528031556,0.9863549871688739,0.9871061086677669,0.9891159593034033,0.9880154813094649,0.9797616865605673,0.9891159593034033,0.9843770398514564,0.9840594828739151,0.98656661188575,0.9795038970414999,0.9851851800025077,0.9887677571754276,0.9851851800025077,0.9880378117626171,0.9873092930380968,0.9867265569763335,0.9821380988477276
pateicīga,0.9910863701692797,0.9677807916777796,0.9938995671827207,1.0,0.9942373411009557,0.9941119750454139,1.0,0.9938995671827207,0.9942373411009564,0.9901051250210279,0.9884058374800595,0.9898908890748158,0.9913032164113972,0.9921168745609038,0.9821769380917825,0.9913032164113972,0.9891562485499634,0.9861071746812131,0.9884512084405258,0.9805088917055963,0.9870304051554578,0.9924872769683488,0.9870304051554578,0.9900096656294374,0.9926738440595774,0.9905896958406283,0.9832613124673021
pateicība,0.9861357832281634,0.9645318109828367,0.9919299533171384,0.9942373411009557,0.9999999999999993,0.9902862089723627,0.9942373411009557,0.9919299533171384,1.0000000000000002,0.9838424012141547,0.9843322148535558,0.9856402160320734,0.9870654895374494,0.9863564307726771,0.9767950972601401,0.9870654895374494,0.9830926258063007,0.980831900870662,0.9838998484006147,0.9789380043857364,0.982148490788157,0.9871240641657273,0.982148490788157,0.9869582403341561,0.9875528699421999,0.9860626819669192,0.9799561748580531
paldies,0.9927950718275312,0.9680865252202554,0.9899027599511452,0.9941119750454139,0.9902862089723627,0.9999999999999993,0.9941119750454139,0.9899027599511452,0.9902862089723617,0.9922118551887232,0.9901115477298592,0.9890294139169711,0.9930614147163065,0.993343858473544,0.9831896478612604,0.9930614147163065,0.9912777584015117,0.9874588743657727,0.9896008444374716,0.9815816323059634,0.987636634152907,0.9939390314066215,0.987636634152907,0.9929971276600339,0.9942889682102536,0.9918551858303809,0.9858879490082321
pateicīga,0.9910863701692797,0.9677807916777796,0.9938995671827207,1.0,0.9942373411009557,0.9941119750454139,1.0,0.9938995671827207,0.9942373411009564,0.9901051250210279,0.9884058374800595,0.9898908890748158,0.9913032164113972,0.9921168745609038,0.9821769380917825,0.9913032164113972,0.9891562485499634,0.9861071746812131,0.9884512084405258,0.9805088917055963,0.9870304051554578,0.9924872769683488,0.9870304051554578,0.9900096656294374,0.9926738440595774,0.9905896958406283,0.9832613124673021
pateicīgs,0.9864193214692861,0.9664821337073056,0.9999999999999992,0.9938995671827207,0.9919299533171384,0.9899027599511452,0.9938995671827207,0.9999999999999992,0.991929953317138,0.9857306528031556,0.9863549871688739,0.9871061086677669,0.9891159593034033,0.9880154813094649,0.9797616865605673,0.9891159593034033,0.9843770398514564,0.9840594828739151,0.98656661188575,0.9795038970414999,0.9851851800025077,0.9887677571754276,0.9851851800025077,0.9880378117626171,0.9873092930380968,0.9867265569763335,0.9821380988477276
pateicība,0.9861357832281629,0.964531810982836,0.991929953317138,0.9942373411009564,1.0000000000000002,0.9902862089723617,0.9942373411009564,0.991929953317138,0.9999999999999993,0.9838424012141554,0.9843322148535564,0.9856402160320716,0.9870654895374497,0.986356430772677,0.9767950972601397,0.9870654895374497,0.9830926258063007,0.980831900870662,0.9838998484006147,0.9789380043857364,0.982148490788157,0.9871240641657273,0.982148490788157,0.9869582403341561,0.9875528699421999,0.9860626819669192,0.9799561748580531
parādā,0.9908210760226488,0.9664364922717159,0.9857306528031556,0.9901051250210279,0.9838424012141547,0.9922118551887232,0.9901051250210279,0.9857306528031556,0.9838424012141554,0.9999999999999998,0.986727803220779,0.9880244971248275,0.9900928019280133,0.9908423688983758,0.9831506267630052,0.9900928019280133,0.9916166771833073,0.9881919134155209,0.9868481693025302,0.9778690636718419,0.9850232764182179,0.9909458485011858,0.9850232764182179,0.9867750387726211,0.9920358064913793,0.9903424121077239,0.983001629547577
parādsaistības,0.987414919098556,0.9827447551414874,0.9863549871688739,0.9884058374800595,0.9843322148535558,0.9901115477298592,0.9884058374800595,0.9863549871688739,0.9843322148535564,0.986727803220779,0.9999999999999999,0.9932189157298508,0.9980205770416049,0.9900738763283163,0.9888719676811057,0.9980205770416049,0.9868189505000183,0.991223050524091,0.9915723755620338,0.9899112131871702,0.9877252157187908,0.9921918274182078,0.9877252157187908,0.9887228180994583,0.9889829680785638,0.9906201528409351,0.9874412673031308
pienākums,0.9874512049293852,0.9789060695061849,0.9871061086677669,0.9898908890748158,0.9856402160320734,0.9890294139169711,0.9898908890748158,0.9871061086677669,0.9856402160320716,0.9880244971248275,0.9932189157298508,0.9999999999999996,0.9946771269292553,0.9903469908011682,0.9882829188498862,0.9946771269292553,0.9868240861370172,0.9908188745751872,0.9912469885562608,0.9853676285459086,0.9879668182943124,0.9924302777027405,0.9879668182943124,0.9871870654124937,0.9890661462133704,0.9901821725660738,0.985329194569685
saistības,0.9903326670276537,0.9804225883119314,0.9891159593034033,0.9913032164113972,0.9870654895374494,0.9930614147163065,0.9913032164113972,0.9891159593034033,0.9870654895374497,0.9900928019280133,0.9980205770416049,0.9946771269292553,0.9999999999999998,0.9925150745023688,0.9884426178902515,0.9999999999999998,0.9894869049998437,0.9919102769553385,0.9927703875351913,0.9884531564242993,0.9897273179584355,0.9942404365766159,0.9897273179584355,0.9914164778935336,0.9916274428218971,0.9921982203464945,0.9888436343130954
aizņēmies,0.9918296825789422,0.9703845947999575,0.9880154813094649,0.9921168745609038,0.9863564307726771,0.993343858473544,0.9921168745609038,0.9880154813094649,0.986356430772677,0.9908423688983758,0.9900738763283163,0.9903469908011682,0.9925150745023688,1.0,0.9896921832126335,0.9925150745023688,0.9898835625082706,0.9885224151757397,0.9920661587599967,0.9825937637727038,0.9901708466293717,0.9940612793701507,0.9901708466293717,0.9916580197612963,0.9922718281221873,0.9915126498477173,0.9862456308402527
