,waardere,waardering,dankbaar,dankbaarheid,dankbaarheid,danke,dankbaar,dankbaarheid,sjöldig,sjöldigheid,verplichting,verplich,verplichte,verplichting,sjöldig zién,sjöldig höbbe,excuusachtig,excuuse,excuus,excuus,pardon,pardon,sjelheid,sorry,vergeef me,zich verontschuldigje
waardere,1.0,0.9942908979428057,0.9935163988889115,0.9885735089796261,0.9885735089796261,0.9945738701255453,0.9935163988889115,0.9885735089796261,0.990968650766032,0.9942761773840032,0.9937994643198528,0.9943596277279149,0.9938921080254958,0.9937994643198528,0.9916846233187298,0.9931433718252112,0.9948780326742978,0.9947577493653473,0.9926410799960168,0.9926410799960168,0.9933302957793056,0.9933302957793056,0.9929306975461257,0.9881076741371343,0.9936129808912361,0.9911664869939555
waardering,0.9942908979428057,0.9999999999999997,0.9912967931582173,0.9912412961862864,0.9912412961862864,0.990769325692783,0.9912967931582173,0.9912412961862864,0.9871914526557961,0.992661382177117,0.9940744417524934,0.9911527315278141,0.9911445618166265,0.9940744417524934,0.9898266838580762,0.9901143060744584,0.9923319786013606,0.9911102824418274,0.9871927532104827,0.9871927532104827,0.9905940349787858,0.9905940349787858,0.993109898761087,0.9828399025120247,0.9894233532425909,0.989813525875987
dankbaar,0.9935163988889115,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9960868469913406,0.999999999999999,0.9942832376873055,0.9928852891178501,0.9956388428608612,0.9945005936163258,0.9959835056640016,0.995798454550283,0.9945005936163258,0.9937457508058222,0.9936145590578888,0.9966684961348274,0.9925320797613361,0.9919882912280067,0.9919882912280067,0.9940327678383475,0.9940327678383475,0.994829995269747,0.9910865563374363,0.993795279194845,0.992964597114869
dankbaarheid,0.9885735089796261,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9891878208111741,0.9942832376873055,0.9999999999999998,0.9851956315300938,0.9933732349571566,0.9908627950026733,0.9897285881691981,0.9899515734090892,0.9908627950026733,0.9880060846715661,0.9885048208392725,0.9903789119011357,0.9867280667227757,0.9845311277477244,0.9845311277477244,0.9885488575237499,0.9885488575237499,0.9947898358437929,0.9828112074523565,0.9883574519143905,0.9875864028033923
dankbaarheid,0.9885735089796261,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9891878208111741,0.9942832376873055,0.9999999999999998,0.9851956315300938,0.9933732349571566,0.9908627950026733,0.9897285881691981,0.9899515734090892,0.9908627950026733,0.9880060846715661,0.9885048208392725,0.9903789119011357,0.9867280667227757,0.9845311277477244,0.9845311277477244,0.9885488575237499,0.9885488575237499,0.9947898358437929,0.9828112074523565,0.9883574519143905,0.9875864028033923
danke,0.9945738701255453,0.990769325692783,0.9960868469913406,0.9891878208111741,0.9891878208111741,1.0000000000000004,0.9960868469913406,0.9891878208111741,0.9946646003487679,0.9948779694000741,0.9938869411167668,0.995884484518398,0.9952360724163236,0.9938869411167668,0.9929765476298991,0.9953954099137441,0.995511289593091,0.9942526149715508,0.992510113605035,0.992510113605035,0.9945437313012475,0.9945437313012475,0.9935048479846891,0.9912084582033481,0.9947270595719508,0.9922403420935837
dankbaar,0.9935163988889115,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9960868469913406,0.999999999999999,0.9942832376873055,0.9928852891178501,0.9956388428608612,0.9945005936163258,0.9959835056640016,0.995798454550283,0.9945005936163258,0.9937457508058222,0.9936145590578888,0.9966684961348274,0.9925320797613361,0.9919882912280067,0.9919882912280067,0.9940327678383475,0.9940327678383475,0.994829995269747,0.9910865563374363,0.993795279194845,0.992964597114869
dankbaarheid,0.9885735089796261,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9891878208111741,0.9942832376873055,0.9999999999999998,0.9851956315300938,0.9933732349571566,0.9908627950026733,0.9897285881691981,0.9899515734090892,0.9908627950026733,0.9880060846715661,0.9885048208392725,0.9903789119011357,0.9867280667227757,0.9845311277477244,0.9845311277477244,0.9885488575237499,0.9885488575237499,0.9947898358437929,0.9828112074523565,0.9883574519143905,0.9875864028033923
sjöldig,0.990968650766032,0.9871914526557961,0.9928852891178501,0.9851956315300938,0.9851956315300938,0.9946646003487679,0.9928852891178501,0.9851956315300938,0.9999999999999993,0.9923452285013001,0.9908421122038276,0.9938068646060244,0.9933006547260096,0.9908421122038276,0.9911260471389193,0.9945670461051589,0.9933477306328876,0.9903908483198235,0.990482545859892,0.990482545859892,0.9910747918028875,0.9910747918028875,0.9896370415790281,0.9882971900664915,0.9899069665149685,0.9895166106901749
sjöldigheid,0.9942761773840032,0.992661382177117,0.9956388428608612,0.9933732349571566,0.9933732349571566,0.9948779694000741,0.9956388428608612,0.9933732349571566,0.9923452285013001,0.9999999999999996,0.9936103330947255,0.994241546094145,0.9944983327131293,0.9936103330947255,0.9932790353388168,0.9952971757095366,0.9953600850779073,0.9922876090549254,0.9900732700149598,0.9900732700149598,0.9923886839129469,0.9923886839129469,0.9975545791220168,0.9875680349970649,0.9933242226873725,0.9911230627068045
verplichting,0.9937994643198528,0.9940744417524934,0.9945005936163258,0.9908627950026733,0.9908627950026733,0.9938869411167668,0.9945005936163258,0.9908627950026733,0.9908421122038276,0.9936103330947255,0.9999999999999994,0.9968010262601934,0.9952397343109297,0.9999999999999994,0.992594827095116,0.9921753602808193,0.9956318151001424,0.9923432922989226,0.989909165797284,0.989909165797284,0.9926892826498599,0.9926892826498599,0.9928234650341667,0.9860322003262121,0.9919315903398411,0.9930220924177608
verplich,0.9943596277279149,0.9911527315278141,0.9959835056640016,0.9897285881691981,0.9897285881691981,0.995884484518398,0.9959835056640016,0.9897285881691981,0.9938068646060244,0.994241546094145,0.9968010262601934,0.9999999999999997,0.9972500655292004,0.9968010262601934,0.9926438252061787,0.9936649633966386,0.9966650639395375,0.9936955293840938,0.9938359637646677,0.9938359637646677,0.9944042869263855,0.9944042869263855,0.9928660951372213,0.9892577629047056,0.9938813285715197,0.9933744983737409
verplichte,0.9938921080254958,0.9911445618166265,0.995798454550283,0.9899515734090892,0.9899515734090892,0.9952360724163236,0.995798454550283,0.9899515734090892,0.9933006547260096,0.9944983327131293,0.9952397343109297,0.9972500655292004,0.9999999999999991,0.9952397343109297,0.9932773675068733,0.9935082859749294,0.9968267498362547,0.9926107801471936,0.9923669601872178,0.9923669601872178,0.9944338903002726,0.9944338903002726,0.9930784693660301,0.9904227564317141,0.9941729758643608,0.9930189982546724
verplichting,0.9937994643198528,0.9940744417524934,0.9945005936163258,0.9908627950026733,0.9908627950026733,0.9938869411167668,0.9945005936163258,0.9908627950026733,0.9908421122038276,0.9936103330947255,0.9999999999999994,0.9968010262601934,0.9952397343109297,0.9999999999999994,0.992594827095116,0.9921753602808193,0.9956318151001424,0.9923432922989226,0.989909165797284,0.989909165797284,0.9926892826498599,0.9926892826498599,0.9928234650341667,0.9860322003262121,0.9919315903398411,0.9930220924177608
sjöldig zién,0.9916846233187298,0.9898266838580762,0.9937457508058222,0.9880060846715661,0.9880060846715661,0.9929765476298991,0.9937457508058222,0.9880060846715661,0.9911260471389193,0.9932790353388168,0.992594827095116,0.9926438252061787,0.9932773675068733,0.992594827095116,0.9999999999999991,0.9938962394015987,0.9946319668698109,0.9898402767937635,0.9885459359655515,0.9885459359655515,0.9912042438920295,0.9912042438920295,0.9912536400069835,0.9875215579254943,0.9930905285517999,0.9924385678476131
sjöldig höbbe,0.9931433718252112,0.9901143060744584,0.9936145590578888,0.9885048208392725,0.9885048208392725,0.9953954099137441,0.9936145590578888,0.9885048208392725,0.9945670461051589,0.9952971757095366,0.9921753602808193,0.9936649633966386,0.9935082859749294,0.9921753602808193,0.9938962394015987,0.9999999999999998,0.9936761859974362,0.9922125005840559,0.9894151450229606,0.9894151450229606,0.9923368716516499,0.9923368716516499,0.9922968772438124,0.9876727294621865,0.9931618714128754,0.9901043817503369
excuusachtig,0.9948780326742978,0.9923319786013606,0.9966684961348274,0.9903789119011357,0.9903789119011357,0.995511289593091,0.9966684961348274,0.9903789119011357,0.9933477306328876,0.9953600850779073,0.9956318151001424,0.9966650639395375,0.9968267498362547,0.9956318151001424,0.9946319668698109,0.9936761859974362,0.9999999999999998,0.9947512684754283,0.9937092323121323,0.9937092323121323,0.9942818974427857,0.9942818974427857,0.9942902457429654,0.9903498423858708,0.9942297114497739,0.993528571287441
excuuse,0.9947577493653473,0.9911102824418274,0.9925320797613361,0.9867280667227757,0.9867280667227757,0.9942526149715508,0.9925320797613361,0.9867280667227757,0.9903908483198235,0.9922876090549254,0.9923432922989226,0.9936955293840938,0.9926107801471936,0.9923432922989226,0.9898402767937635,0.9922125005840559,0.9947512684754283,0.9999999999999996,0.993462878417575,0.993462878417575,0.9936999648948159,0.9936999648948159,0.9906017625470072,0.987276551078278,0.991760260623465,0.9905461392712824
excuus,0.9926410799960168,0.9871927532104827,0.9919882912280067,0.9845311277477244,0.9845311277477244,0.992510113605035,0.9919882912280067,0.9845311277477244,0.990482545859892,0.9900732700149598,0.989909165797284,0.9938359637646677,0.9923669601872178,0.989909165797284,0.9885459359655515,0.9894151450229606,0.9937092323121323,0.993462878417575,0.9999999999999992,0.9999999999999992,0.9926591827136847,0.9926591827136847,0.987898550988036,0.9890618272235128,0.9904926040155309,0.9888690783748196
excuus,0.9926410799960168,0.9871927532104827,0.9919882912280067,0.9845311277477244,0.9845311277477244,0.992510113605035,0.9919882912280067,0.9845311277477244,0.990482545859892,0.9900732700149598,0.989909165797284,0.9938359637646677,0.9923669601872178,0.989909165797284,0.9885459359655515,0.9894151450229606,0.9937092323121323,0.993462878417575,0.9999999999999992,0.9999999999999992,0.9926591827136847,0.9926591827136847,0.987898550988036,0.9890618272235128,0.9904926040155309,0.9888690783748196
pardon,0.9933302957793056,0.9905940349787858,0.9940327678383475,0.9885488575237499,0.9885488575237499,0.9945437313012475,0.9940327678383475,0.9885488575237499,0.9910747918028875,0.9923886839129469,0.9926892826498599,0.9944042869263855,0.9944338903002726,0.9926892826498599,0.9912042438920295,0.9923368716516499,0.9942818974427857,0.9936999648948159,0.9926591827136847,0.9926591827136847,0.9999999999999998,0.9999999999999998,0.9913127676034229,0.9911967156784488,0.9928509083433129,0.991480494267966
pardon,0.9933302957793056,0.9905940349787858,0.9940327678383475,0.9885488575237499,0.9885488575237499,0.9945437313012475,0.9940327678383475,0.9885488575237499,0.9910747918028875,0.9923886839129469,0.9926892826498599,0.9944042869263855,0.9944338903002726,0.9926892826498599,0.9912042438920295,0.9923368716516499,0.9942818974427857,0.9936999648948159,0.9926591827136847,0.9926591827136847,0.9999999999999998,0.9999999999999998,0.9913127676034229,0.9911967156784488,0.9928509083433129,0.991480494267966
sjelheid,0.9929306975461257,0.993109898761087,0.994829995269747,0.9947898358437929,0.9947898358437929,0.9935048479846891,0.994829995269747,0.9947898358437929,0.9896370415790281,0.9975545791220168,0.9928234650341667,0.9928660951372213,0.9930784693660301,0.9928234650341667,0.9912536400069835,0.9922968772438124,0.9942902457429654,0.9906017625470072,0.987898550988036,0.987898550988036,0.9913127676034229,0.9913127676034229,0.9999999999999998,0.9858979522850566,0.9923976277931561,0.9912966209332398
sorry,0.9881076741371343,0.9828399025120247,0.9910865563374363,0.9828112074523565,0.9828112074523565,0.9912084582033481,0.9910865563374363,0.9828112074523565,0.9882971900664915,0.9875680349970649,0.9860322003262121,0.9892577629047056,0.9904227564317141,0.9860322003262121,0.9875215579254943,0.9876727294621865,0.9903498423858708,0.987276551078278,0.9890618272235128,0.9890618272235128,0.9911967156784488,0.9911967156784488,0.9858979522850566,0.9999999999999996,0.9889593219608618,0.9859083962757494
vergeef me,0.9936129808912361,0.9894233532425909,0.993795279194845,0.9883574519143905,0.9883574519143905,0.9947270595719508,0.993795279194845,0.9883574519143905,0.9899069665149685,0.9933242226873725,0.9919315903398411,0.9938813285715197,0.9941729758643608,0.9919315903398411,0.9930905285517999,0.9931618714128754,0.9942297114497739,0.991760260623465,0.9904926040155309,0.9904926040155309,0.9928509083433129,0.9928509083433129,0.9923976277931561,0.9889593219608618,0.9999999999999993,0.9931310586778358
zich verontschuldigje,0.9911664869939555,0.989813525875987,0.992964597114869,0.9875864028033923,0.9875864028033923,0.9922403420935837,0.992964597114869,0.9875864028033923,0.9895166106901749,0.9911230627068045,0.9930220924177608,0.9933744983737409,0.9930189982546724,0.9930220924177608,0.9924385678476131,0.9901043817503369,0.993528571287441,0.9905461392712824,0.9888690783748196,0.9888690783748196,0.991480494267966,0.991480494267966,0.9912966209332398,0.9859083962757494,0.9931310586778358,0.9999999999999991
