,vertinti,vertinimas,dėkinga,dėkingas,dėkingumas,dėkingumas,ačiū,dėkinga,dėkingas,dėkingumas,įsiskolinęs,įsiskolinusi,įsiskolinimas,įsipareigojimas,prievolė,įpareigota,įpareigotas,įsipareigojimas,skola,skolingas,būti skolingam,atsiprašantis,atsiprašymai,atsiprašyti,atsiprašymas,atsiprašau,apgailestavimas,atsiprašau,atleisk man
vertinti,0.9999999999999998,0.9932578294429149,0.9937899140004472,0.9938340889223153,0.9925097715314648,0.9925097715314648,0.9907308403370836,0.9937899140004472,0.9938340889223148,0.9925097715314656,0.9945753990279876,0.9953249077442573,0.9938533250532122,0.9893847997989567,0.9929335696205658,0.9911586926127444,0.9926038149203469,0.9893847997989567,0.9852464097254762,0.9947854370015531,0.9943865992265283,0.9949570777324129,0.9958346846758966,0.9937509520307931,0.994612798071549,0.9941399645646335,0.9925257193720093,0.9941399645646335,0.9896865202659426
vertinimas,0.9932578294429149,0.9999999999999997,0.9890741542194806,0.9946910453858709,0.9956413815021558,0.9956413815021558,0.9858398894157393,0.9890741542194806,0.9946910453858716,0.9956413815021564,0.993015066148151,0.9917275688805898,0.9942064050992184,0.9948363160360416,0.9895982141926495,0.987753187876209,0.9897484077519635,0.9948363160360416,0.9820489399433073,0.9946695526628705,0.9914026554328519,0.9957220578873709,0.9950193002487864,0.9921352694435208,0.9959445615126378,0.9904145127616077,0.9948340542256141,0.9904145127616077,0.9849973635054535
dėkinga,0.9937899140004472,0.9890741542194806,0.9999999999999991,0.9946847351073403,0.992252137439782,0.992252137439782,0.989466590384855,0.9999999999999991,0.99468473510734,0.9922521374397824,0.9937225572246289,0.9956531132931998,0.9910015037637121,0.9863900923128658,0.9895563607276279,0.9928329477725399,0.992171321079463,0.9863900923128658,0.9866263343343,0.9925965616081259,0.9934392087719623,0.9926978270801006,0.9919247757833497,0.9897698330787995,0.9909010230959616,0.995177306525908,0.9876583566890531,0.995177306525908,0.9895250627570309
dėkingas,0.9938340889223153,0.9946910453858709,0.9946847351073403,0.9999999999999991,0.9971576311090756,0.9971576311090756,0.9877864720042703,0.9946847351073403,0.9999999999999992,0.9971576311090754,0.9953900065076482,0.9951048546395772,0.9955349890739681,0.9941806824919445,0.9901700063558976,0.9911220654399192,0.9914924174840514,0.9941806824919445,0.986665746691344,0.9970620968651733,0.9932628947735078,0.9971642122021878,0.9951984294781784,0.9931914180572516,0.9948533635752976,0.994582035994849,0.9941018449578404,0.994582035994849,0.988146030875359
dėkingumas,0.9925097715314648,0.9956413815021558,0.992252137439782,0.9971576311090756,0.999999999999999,0.999999999999999,0.985771852999729,0.992252137439782,0.9971576311090754,0.9999999999999986,0.9934666860396264,0.9929510119207106,0.9944635962291771,0.9932507655651874,0.9881255452703437,0.9888391295498,0.9894816738618574,0.9932507655651874,0.9840408131067565,0.9946546407559399,0.9933643183576124,0.9951616186003361,0.9946013465132071,0.9918135304963136,0.994881780713739,0.9918945311470752,0.9933315806149489,0.9918945311470752,0.9858345262678297
dėkingumas,0.9925097715314648,0.9956413815021558,0.992252137439782,0.9971576311090756,0.999999999999999,0.999999999999999,0.985771852999729,0.992252137439782,0.9971576311090754,0.9999999999999986,0.9934666860396264,0.9929510119207106,0.9944635962291771,0.9932507655651874,0.9881255452703437,0.9888391295498,0.9894816738618574,0.9932507655651874,0.9840408131067565,0.9946546407559399,0.9933643183576124,0.9951616186003361,0.9946013465132071,0.9918135304963136,0.994881780713739,0.9918945311470752,0.9933315806149489,0.9918945311470752,0.9858345262678297
ačiū,0.9907308403370836,0.9858398894157393,0.989466590384855,0.9877864720042703,0.985771852999729,0.985771852999729,0.9999999999999996,0.989466590384855,0.9877864720042693,0.985771852999729,0.9890984718631232,0.988319635607562,0.9866075754850174,0.9828913180502133,0.988517231944843,0.9868967475130133,0.9897396964600709,0.9828913180502133,0.9793857584408386,0.9887330675677921,0.9899093265285984,0.9888130107099908,0.9887619757841196,0.9870407638634991,0.9885788681371863,0.9881804145106202,0.9848926570963887,0.9881804145106202,0.9859640215011969
dėkinga,0.9937899140004472,0.9890741542194806,0.9999999999999991,0.9946847351073403,0.992252137439782,0.992252137439782,0.989466590384855,0.9999999999999991,0.99468473510734,0.9922521374397824,0.9937225572246289,0.9956531132931998,0.9910015037637121,0.9863900923128658,0.9895563607276279,0.9928329477725399,0.992171321079463,0.9863900923128658,0.9866263343343,0.9925965616081259,0.9934392087719623,0.9926978270801006,0.9919247757833497,0.9897698330787995,0.9909010230959616,0.995177306525908,0.9876583566890531,0.995177306525908,0.9895250627570309
dėkingas,0.9938340889223148,0.9946910453858716,0.99468473510734,0.9999999999999992,0.9971576311090754,0.9971576311090754,0.9877864720042693,0.99468473510734,0.9999999999999991,0.9971576311090756,0.9953900065076484,0.9951048546395769,0.9955349890739684,0.9941806824919441,0.9901700063558972,0.9911220654399187,0.9914924174840514,0.9941806824919445,0.986665746691344,0.9970620968651733,0.9932628947735078,0.9971642122021878,0.9951984294781784,0.9931914180572516,0.9948533635752976,0.994582035994849,0.9941018449578404,0.994582035994849,0.988146030875359
dėkingumas,0.9925097715314656,0.9956413815021564,0.9922521374397824,0.9971576311090754,0.9999999999999986,0.9999999999999986,0.985771852999729,0.9922521374397824,0.9971576311090756,0.999999999999999,0.993466686039625,0.9929510119207107,0.9944635962291767,0.9932507655651873,0.988125545270345,0.9888391295498001,0.9894816738618574,0.9932507655651874,0.9840408131067565,0.9946546407559399,0.9933643183576124,0.9951616186003361,0.9946013465132071,0.9918135304963136,0.994881780713739,0.9918945311470752,0.9933315806149489,0.9918945311470752,0.9858345262678297
